"","nMissDetYr","nMissDetYrLci","nMissDetYrUci","nMissSum","nMissSumLci","nMissSumUci"
"0-23",29.5709875555213,1.54060956044888,180.853470255707,295.167254817802,14.8634748670772,1807.99208181966
"24-29",9.94699459196286,0.518225336145393,60.8349141939748,99.3183279741118,5.03063541593725,608.197523994231
"30-35",9.59905036119012,0.50009789933169,58.7069189258914,95.8486918587024,4.85916724011821,586.927377505715
"36-47",5.46594425739528,0.284768507105591,33.4292179224031,54.6474159650452,2.83565846214832,334.280152615123
"48-59",3.2218256047253,0.167852876723152,19.7043923568413,32.2985580148648,1.75883073484331,197.124225536025
"60-71",1.87177638114514,0.0975170877333848,11.4476140993662,18.8938422765148,1.15124934239728,114.652219458725
"72-83",1.17574358848196,0.0612546946445681,7.19074084721118,12.0365061662743,0.891617227900387,72.1864787535664
"84-95",0.634115263407876,0.0330365712473585,3.87819127494825,6.69097759741895,0.680190675813783,39.1317377128227
"96-107",0.301070925550613,0.0156853992584993,1.84132239671379,3.38476990196949,0.530914639048353,18.7872846136012
"108-119",0.129703314817876,0.00675737211870762,0.793253676240565,1.65584688255536,0.426387455563679,8.29135049678224
"120-131",0.0522160604737391,0.00272038807712389,0.31934867653733,0.842180395984496,0.347223672018345,3.5135065566204
"132-143",0.0199023644171822,0.0010368870109285,0.121721050552775,0.467746228879838,0.279091454817302,1.48593309023577
"144-155",0.00788126174289364,0.000410603371520978,0.0482010799781262,0.329120659462228,0.254414075748502,0.732318841814554
"156-167",0.00343581095808561,0.000179001232203806,0.0210131073149212,0.254008441501469,0.22144034424265,0.429781405069824
"168-179",0.000824194986805701,4.29394748471908e-05,0.00504070157451798,0.108135657637838,0.100323102518252,0.15030072351496
"180-191",4.82587427990019e-05,2.51421703085814e-06,0.000295146081577094,0.0137686217330263,0.0133111764753448,0.0162374951208072
"192-203",4.19429542364131e-06,2.18517275315084e-07,2.56519293181851e-05,0.0026494338916901,0.00260967611020684,0.00286401023063554
"204-",5.24683515150168e-07,2.73353210856614e-08,3.20891665598613e-06,0.000827377168933476,0.000822403686992831,0.000854219500341835
"p1",1.28900640076456e-07,6.71555382034206e-09,7.88344590529454e-07,0.000358636744610485,0.000357414893747924,0.000365231184115015
"p2",0,0,0,0,0,0
"p3",0,0,0,0,0,0
"p4",0,0,0,0,0,0
"p5",0,0,0,0,0,0
"p6",0,0,0,0,0,0
