"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",8.33318133307658e-13,4.13521101331863e-13,2.05203384412114e-13,2.25723722853325e-13,2.48296095138658e-13,2.73125704652524e-13,3.00438275117776e-13,3.30482102629554e-13,3.63530312892509e-13,3.9988334418176e-13,4.39871678599936e-13,4.8385884645993e-13,5.32244731105923e-13,5.85469204216515e-13,6.44016124638167e-13,7.08417737101984e-13,7.79259510812182e-13,8.571854618934e-13,9.4290400808274e-13,1.03719440889101e-12,1.14091384978012e-12,1.25500523475813e-12,1.38050575823394e-12,1.51855633405733e-12,1.67041196746307e-12,1.83745316420938e-12,2.02119848063031e-12,2.22331832869335e-12,2.44565016156268e-12,2.69021517771895e-12,2.95923669549084e-12,3.25516036503993e-12,3.58067640154392e-12,3.93874404169831e-12,4.33261844586814e-12,4.76588029045496e-12,5.24246831950046e-12,5.7667151514505e-12,6.34338666659555e-12,6.97772533325511e-12,7.67549786658062e-12,8.44304765323868e-12,9.28735241856255e-12,1.02160876604188e-11,1.12376964264607e-11,1.23614660691068e-11,1.35976126760174e-11,1.49573739436192e-11,1.64531113379811e-11,1.80984224717792e-11,1.99082647189571e-11,2.18990911908529e-11,2.40890003099381e-11,2.6497900340932e-11,2.91476903750252e-11,3.20624594125277e-11,3.52687053537804e-11,3.87955758891585e-11,4.26751334780743e-11,4.69426468258818e-11,5.163691150847e-11,5.6800602659317e-11,6.24806629252486e-11,6.87287292177735e-11,7.56016021395509e-11,8.3161762353506e-11,9.14779385888566e-11,1.00625732447742e-10,1.10688305692516e-10,1.21757136261768e-10,1.33932849887945e-10,1.47326134876739e-10,1.62058748364413e-10,1.78264623200855e-10,1.9609108552094e-10,2.15700194073034e-10,2.37270213480338e-10,2.60997234828372e-10,2.87096958311209e-10,3.1580665414233e-10,3.47387319556563e-10,3.82126051512219e-10,4.20338656663441e-10,4.62372522329785e-10,5.08609774562763e-10,5.5947075201904e-10,6.15417827220944e-10,6.76959609943039e-10,7.44655570937342e-10,8.19121128031077e-10,9.01033240834184e-10,9.91136564917603e-10,1.09025022140936e-09,1.1992752435503e-09,1.31920276790533e-09,1.45112304469586e-09,1.59623534916545e-09,1.75585888408199e-09,1.93144477249019e-09,2.12458924973921e-09,2.33704817471313e-09
"24-29",9.84279717152511e-11,4.88433428227404e-11,2.42377455973737e-11,1.24556025314435e-11,1.37011627845878e-11,1.50712790630466e-11,1.65784069693513e-11,1.82362476662864e-11,2.0059872432915e-11,2.20658596762065e-11,2.42724456438272e-11,2.66996902082099e-11,2.93696592290309e-11,3.2306625151934e-11,3.55372876671274e-11,3.90910164338401e-11,4.30001180772242e-11,4.73001298849466e-11,5.20301428734413e-11,5.72331571607854e-11,6.29564728768639e-11,6.92521201645503e-11,7.61773321810054e-11,8.37950653991059e-11,9.21745719390165e-11,1.01392029132918e-10,1.1153123204621e-10,1.22684355250831e-10,1.34952790775914e-10,1.48448069853506e-10,1.63292876838856e-10,1.79622164522742e-10,1.97584380975016e-10,2.17342819072518e-10,2.39077100979769e-10,2.62984811077746e-10,2.89283292185521e-10,3.18211621404073e-10,3.5003278354448e-10,3.85036061898928e-10,4.23539668088821e-10,4.65893634897703e-10,5.12482998387474e-10,5.63731298226221e-10,6.20104428048843e-10,6.82114870853728e-10,7.50326357939101e-10,8.25358993733011e-10,9.07894893106312e-10,9.98684382416943e-10,1.09855282065864e-09,1.2084081027245e-09,1.32924891299695e-09,1.46217380429665e-09,1.60839118472631e-09,1.76923030319894e-09,1.94615333351884e-09,2.14076866687072e-09,2.35484553355779e-09,2.59033008691357e-09,2.84936309560493e-09,3.13429940516542e-09,3.44772934568197e-09,3.79250228025016e-09,4.17175250827518e-09,4.5889277591027e-09,5.04782053501297e-09,5.55260258851427e-09,6.10786284736569e-09,6.71864913210226e-09,7.39051404531249e-09,8.12956544984374e-09,8.94252199482812e-09,9.83677419431093e-09,1.0820451613742e-08,1.19024967751162e-08,1.30927464526278e-08,1.44020210978906e-08,1.58422232076797e-08,1.74264455284477e-08,1.91690900812924e-08,2.10859990894217e-08,2.31945989983639e-08,2.55140588982002e-08,2.80654647880203e-08,3.08720112668223e-08,3.39592123935045e-08,3.7355133632855e-08,4.10906469961405e-08,4.51997116957545e-08,4.971968286533e-08,5.4691651151863e-08,6.01608162670493e-08,6.61768978937542e-08,7.27945876831297e-08,8.00740464514426e-08,8.80814510965869e-08,9.68895962062456e-08,1.0657855582687e-07,1.17236411409557e-07,1.28960052550513e-07
"30-35",1.36344641484734e-10,6.76588976693361e-11,3.35746706579756e-11,1.70438530478386e-11,1.87482383526225e-11,2.06230621878847e-11,2.26853684066732e-11,2.49539052473405e-11,2.74492957720745e-11,3.0194225349282e-11,3.32136478842102e-11,3.65350126726312e-11,4.01885139398943e-11,4.42073653338838e-11,4.86281018672722e-11,5.34909120539994e-11,5.88400032593994e-11,6.47240035853393e-11,7.11964039438732e-11,7.83160443382605e-11,8.61476487720866e-11,9.47624136492953e-11,1.04238655014225e-10,1.14662520515647e-10,1.26128772567212e-10,1.38741649823933e-10,1.52615814806327e-10,1.67877396286959e-10,1.84665135915655e-10,2.03131649507221e-10,2.23444814457943e-10,2.45789295903737e-10,2.70368225494111e-10,2.97405048043522e-10,3.27145552847874e-10,3.59860108132662e-10,3.95846118945928e-10,4.35430730840521e-10,4.78973803924573e-10,5.2687118431703e-10,5.79558302748733e-10,6.37514133023606e-10,7.01265546325967e-10,7.71392100958564e-10,8.4853131105442e-10,9.33384442159863e-10,1.02672288637585e-09,1.12939517501343e-09,1.24233469251478e-09,1.36656816176626e-09,1.50322497794288e-09,1.65354747573717e-09,1.81890222331089e-09,2.00079244564197e-09,2.20087169020617e-09,2.42095885922679e-09,2.66305474514947e-09,2.92936021966442e-09,3.22229624163086e-09,3.54452586579394e-09,3.89897845237334e-09,4.28887629761067e-09,4.71776392737174e-09,5.18954032010891e-09,5.70849435211981e-09,6.27934378733179e-09,6.90727816606497e-09,7.59800598267147e-09,8.35780658093861e-09,9.19358723903247e-09,1.01129459629357e-08,1.11242405592293e-08,1.22366646151522e-08,1.34603310766675e-08,1.48063641843342e-08,1.62870006027676e-08,1.79157006630444e-08,1.97072707293488e-08,2.16779978022837e-08,2.38457975825121e-08,2.62303773407633e-08,2.88534150748396e-08,3.17387565823236e-08,3.49126322405559e-08,3.84038954646115e-08,4.22442850110727e-08,4.646871351218e-08,5.1115584863398e-08,5.62271433497378e-08,6.18498576847116e-08,6.80348434531827e-08,7.4838327798501e-08,8.23221605783511e-08,9.05543766361862e-08,9.96098142998048e-08,1.09570795729785e-07,1.20527875302764e-07,1.3258066283304e-07,1.45838729116344e-07,1.60422602027979e-07,1.76464862230777e-07
"36-47",4.33423554722548e-05,2.1507966589018e-05,1.06729923132682e-05,5.2963056478452e-06,2.62822724060409e-06,2.8910499646645e-06,3.18015496113095e-06,3.49817045724404e-06,3.84798750296844e-06,4.23278625326529e-06,4.65606487859182e-06,5.121671366451e-06,5.6338385030961e-06,6.19722235340572e-06,6.81694458874629e-06,7.49863904762092e-06,8.24850295238301e-06,9.07335324762131e-06,9.98068857238344e-06,1.09787574296218e-05,1.2076633172584e-05,1.32842964898424e-05,1.46127261388266e-05,1.60739987527093e-05,1.76813986279802e-05,1.94495384907782e-05,2.1394492339856e-05,2.35339415738416e-05,2.58873357312258e-05,2.84760693043484e-05,3.13236762347832e-05,3.44560438582616e-05,3.79016482440877e-05,4.16918130684965e-05,4.58609943753461e-05,5.04470938128808e-05,5.54918031941688e-05,6.10409835135857e-05,6.71450818649443e-05,7.38595900514388e-05,8.12455490565826e-05,8.93701039622409e-05,9.8307114358465e-05,0.000108137825794311,0.000118951608373743,0.000130846769211117,0.000143931446132229,0.000158324590745452,0.000174157049819997,0.000191572754801996,0.000210730030282196,0.000231803033310416,0.000254983336641457,0.000280481670305603,0.000308529837336163,0.00033938282106978,0.000373321103176758,0.000410653213494433,0.000451718534843877,0.000496890388328264,0.000546579427161091,0.0006012373698772,0.00066136110686492,0.000727497217551412,0.000800246939306554,0.000880271633237209,0.00096829879656093,0.00106512867621702,0.00117164154383873,0.0012888056982226,0.00141768626804486,0.00155945489484934,0.00171540038433428,0.00188694042276771,0.00207563446504448,0.00228319791154893,0.00251151770270382,0.0027626694729742,0.00303893642027162,0.00334283006229878,0.00367711306852866,0.00404482437538153,0.00444930681291968,0.00489423749421165,0.00538366124363282,0.0059220273679961,0.00651423010479571,0.00716565311527528,0.0078822184268028,0.00867044026948309,0.0095374842964314,0.0104912327260745,0.011540355998682,0.0126943915985502,0.0139638307584052,0.0153602138342457,0.0168962352176703,0.0185858587394373,0.0204444446133811,0.0224888890747192,0.0247377779821911
"48-59",0.000536324557530014,0.000266142680492054,0.000132069146163482,6.5537249929636e-05,3.25218361222904e-05,1.80137775376032e-05,1.98151552913635e-05,2.17966708204998e-05,2.39763379025498e-05,2.63739716928048e-05,2.90113688620853e-05,3.19125057482938e-05,3.51037563231232e-05,3.86141319554355e-05,4.24755451509791e-05,4.6723099666077e-05,5.13954096326847e-05,5.65349505959531e-05,6.21884456555485e-05,6.84072902211033e-05,7.52480192432137e-05,8.2772821167535e-05,9.10501032842886e-05,0.000100155113612717,0.000110170624973989,0.000121187687471388,0.000133306456218527,0.00014663710184038,0.000161300812024418,0.000177430893226859,0.000195173982549545,0.0002146913808045,0.00023616051888495,0.000259776570773445,0.000285754227850789,0.000314329650635868,0.000345762615699455,0.000380338877269401,0.000418372764996341,0.000460210041495975,0.000506231045645572,0.00055685415021013,0.000612539565231143,0.000673793521754257,0.000741172873929683,0.000815290161322651,0.000896819177454916,0.000986501095200408,0.00108515120472045,0.00119366632519249,0.00131303295771174,0.00144433625348292,0.00158876987883121,0.00174764686671433,0.00192241155338576,0.00211465270872434,0.00232611797959678,0.00255872977755645,0.0028146027553121,0.00309606303084331,0.00340566933392764,0.0037462362673204,0.00412085989405245,0.00453294588345769,0.00498624047180346,0.0054848645189838,0.00603335097088219,0.00663668606797041,0.00730035467476745,0.00803039014224419,0.00883342915646861,0.00971677207211548,0.010688449279327,0.0117572942072597,0.0129330236279857,0.0142263259907843,0.0156489585898627,0.017213854448849,0.0189352398937339,0.0208287638831073,0.022911640271418,0.0252028042985598,0.0277230847284158,0.0304953932012573,0.0335449325213831,0.0368994257735214,0.0405893683508735,0.0446483051859609,0.049113135704557,0.0540244492750127,0.059426894202514,0.0653695836227654,0.0719065419850419,0.0790971961835461,0.0870069158019007,0.0957076073820908,0.1052783681203,0.11580620493233,0.127386825425563,0.140125507968119,0.154138058764931
"60-71",0.00201946829632501,0.0010021295836758,0.000497291145548448,0.000246772959774124,0.000122457224949219,6.07674842332382e-05,4.0570564851033e-05,4.46276213361363e-05,4.90903834697499e-05,5.39994218167249e-05,5.93993639983974e-05,6.53393003982371e-05,7.18732304380609e-05,7.9060553481867e-05,8.69666088300537e-05,9.56632697130591e-05,0.000105229596684365,0.000115752556352801,0.000127327811988082,0.00014006059318689,0.000154066652505579,0.000169473317756137,0.00018642064953175,0.000205062714484925,0.000225568985933418,0.00024812588452676,0.000272938472979436,0.000300232320277379,0.000330255552305117,0.000363281107535629,0.000399609218289192,0.000439570140118111,0.000483527154129922,0.000531879869542915,0.000585067856497206,0.000643574642146927,0.00070793210636162,0.000778725316997782,0.00085659784869756,0.000942257633567316,0.00103648339692405,0.00114013173661645,0.0012541449102781,0.00137955940130591,0.0015175153414365,0.00166926687558015,0.00183619356313816,0.00201981291945198,0.00222179421139718,0.0024439736325369,0.00268837099579059,0.00295720809536964,0.00325292890490661,0.00357822179539727,0.003936043974937,0.0043296483724307,0.00476261320967377,0.00523887453064115,0.00576276198370526,0.00633903818207579,0.00697294200028337,0.0076702362003117,0.00843725982034288,0.00928098580237716,0.0102090843826149,0.0112299928208764,0.012352992102964,0.0135882913132604,0.0149471204445865,0.0164418324890451,0.0180860157379496,0.0198946173117446,0.021884079042919,0.0240724869472109,0.026479735641932,0.0291277092061252,0.0320404801267378,0.0352445281394115,0.0387689809533527,0.042645879048688,0.0469104669535568,0.0516015136489125,0.0567616650138037,0.0624378315151841,0.0686816146667025,0.0755497761333728,0.0831047537467101,0.0914152291213811,0.100556752033519,0.110612427236871,0.121673669960558,0.133841036956614,0.147225140652275,0.161947654717503,0.178142420189253,0.195956662208179,0.215552328428997,0.237107561271896,0.260818317399086,0.286900149138995,0.315590164052894
"72-83",0.00439331310462308,0.00218011297355114,0.00108184699434341,0.000536849664842571,0.000266403256790022,0.000132198453079303,6.56014164659239e-05,4.79621015915224e-05,5.27583117506746e-05,5.80341429257421e-05,6.38375572183163e-05,7.02213129401479e-05,7.72434442341627e-05,8.4967788657579e-05,9.34645675233369e-05,0.000102811024275671,0.000113092126703238,0.000124401339373561,0.000136841473310918,0.000150525620642009,0.00016557818270621,0.000182136000976831,0.000200349601074515,0.000220384561181966,0.000242423017300163,0.000266665319030179,0.000293331850933197,0.000322665036026516,0.000354931539629168,0.000390424693592085,0.000429467162951294,0.000472413879246423,0.000519655267171065,0.000571620793888172,0.000628782873276989,0.000691661160604688,0.000760827276665157,0.000836910004331673,0.00092060100476484,0.00101266110524132,0.00111392721576546,0.001225319937342,0.0013478519310762,0.00148263712418382,0.00163090083660221,0.00179399092026243,0.00197339001228867,0.00217072901351754,0.00238780191486929,0.00262658210635622,0.00288924031699184,0.00317816434869103,0.00349598078356013,0.00384557886191614,0.00423013674810776,0.00465315042291853,0.00511846546521039,0.00563031201173143,0.00619334321290457,0.00681267753419503,0.00749394528761453,0.00824333981637598,0.00906767379801358,0.00997444117781494,0.0109718852955964,0.0120690738251561,0.0132759812076717,0.0146035793284389,0.0160639372612827,0.017670330987411,0.0194373640861521,0.0213811004947673,0.0235192105442441,0.0258711315986685,0.0284582447585353,0.0313040692343889,0.0344344761578278,0.0378779237736105,0.0416657161509716,0.0458322877660688,0.0504155165426756,0.0554570681969432,0.0610027750166375,0.0671030525183013,0.0738133577701314,0.0811946935471446,0.089314162901859,0.098245579192045,0.108070137111249,0.118877150822374,0.130764865904612,0.143841352495073,0.15822548774458,0.174048036519038,0.191452840170942,0.210598124188037,0.23165793660684,0.254823730267524,0.280306103294277,0.308336713623704,0.339170384986075
"84-95",0.00678561211681451,0.00336725397372339,0.00167094716414158,0.000829181418194433,0.000411468321101668,0.000204184724301824,0.000101323478625491,5.02801928786537e-05,3.91427443406236e-05,4.3057018774686e-05,4.73627206521546e-05,5.209899271737e-05,5.7308891989107e-05,6.30397811880178e-05,6.93437593068195e-05,7.62781352375015e-05,8.39059487612517e-05,9.22965436373768e-05,0.000101526198001115,0.000111678817801226,0.000122846699581349,0.000135131369539483,0.000148644506493432,0.000163508957142775,0.000179859852857053,0.000197845838142758,0.000217630421957034,0.000239393464152737,0.000263332810568011,0.000289666091624812,0.000318632700787293,0.000350495970866022,0.000385545567952625,0.000424100124747887,0.000466510137222676,0.000513161150944943,0.000564477266039438,0.000620924992643382,0.00068301749190772,0.000751319241098492,0.000826451165208341,0.000909096281729175,0.00100000590990209,0.0011000065008923,0.00121000715098153,0.00133100786607969,0.00146410865268765,0.00161051951795642,0.00177157146975206,0.00194872861672727,0.0021436014784,0.00235796162624,0.002593757788864,0.0028531335677504,0.00313844692452543,0.00345229161697798,0.00379752077867578,0.00417727285654335,0.00459500014219769,0.00505450015641746,0.00555995017205921,0.00611594518926513,0.00672753970819164,0.00740029367901081,0.00814032304691189,0.00895435535160308,0.00984979088676339,0.0108347699754397,0.0119182469729837,0.0131100716702821,0.0144210788373103,0.0158631867210413,0.0174495053931454,0.01919445593246,0.021113901525706,0.0232252916782766,0.0255478208461042,0.0281026029307147,0.0309128632237861,0.0340041495461648,0.0374045645007812,0.0411450209508594,0.0452595230459453,0.0497854753505398,0.0547640228855938,0.0602404251741532,0.0662644676915685,0.0728909144607254,0.0801800059067979,0.0881980064974777,0.0970178071472255,0.106719587861948,0.117391546648143,0.129130701312957,0.142043771444253,0.156248148588678,0.171872963447546,0.189060259792301,0.207966285771531,0.228762914348684,0.251639205783552
"96-107",0.00822958925741858,0.00408380506461412,0.00202652444540097,0.0010056310873878,0.000499028712047277,0.000247635199996091,0.000122885098185081,6.09798096401292e-05,3.0260277598068e-05,2.44965708245049e-05,2.69462279069554e-05,2.96408506976509e-05,3.2604935767416e-05,3.58654293441576e-05,3.94519722785734e-05,4.33971695064307e-05,4.77368864570738e-05,5.25105751027812e-05,5.77616326130593e-05,6.35377958743653e-05,6.98915754618018e-05,7.6880733007982e-05,8.45688063087802e-05,9.30256869396582e-05,0.000102328255633624,0.000112561081196986,0.000123817189316685,0.000136198908248354,0.000149818799073189,0.000164800678980508,0.000181280746878559,0.000199408821566415,0.000219349703723056,0.000241284674095362,0.000265413141504898,0.000291954455655388,0.000321149901220927,0.000353264891343019,0.000388591380477321,0.000427450518525053,0.000470195570377559,0.000517215127415315,0.000568936640156846,0.000625830304172531,0.000688413334589784,0.000757254668048762,0.000832980134853639,0.000916278148339003,0.0010079059631729,0.00110869655949019,0.00121956621543921,0.00134152283698313,0.00147567512068145,0.00162324263274959,0.00178556689602455,0.00196412358562701,0.00216053594418971,0.00237658953860868,0.00261424849246955,0.0028756733417165,0.00316324067588815,0.00347956474347697,0.00382752121782466,0.00421027333960713,0.00463130067356785,0.00509443074092463,0.00560387381501709,0.0061642611965188,0.00678068731617068,0.00745875604778775,0.00820463165256653,0.00902509481782318,0.0099276042996055,0.0109203647295661,0.0120124012025227,0.0132136413227749,0.0145350054550524,0.0159885060005577,0.0175873566006134,0.0193460922606748,0.0212807014867423,0.0234087716354165,0.0257496487989581,0.0283246136788539,0.0311570750467393,0.0342727825514133,0.0377000608065546,0.0414700668872101,0.0456170735759311,0.0501787809335242,0.0551966590268766,0.0607163249295643,0.0667879574225207,0.0734667531647728,0.0808134284812501,0.0888947713293751,0.0977842484623126,0.107562673308544,0.118318940639398,0.130150834703338,0.143165918173672
"108-119",0.00856477075100798,0.00425013364290269,0.00210906240314808,0.00104658925909324,0.000519353564699822,0.000257721090506991,0.000127890063738183,6.34634455829013e-05,3.14927431227121e-05,1.5627781635297e-05,1.29098596321461e-05,1.42008455953607e-05,1.56209301548968e-05,1.71830231703865e-05,1.89013254874251e-05,2.07914580361676e-05,2.28706038397844e-05,2.51576642237629e-05,2.76734306461391e-05,3.04407737107531e-05,3.34848510818284e-05,3.68333361900112e-05,4.05166698090123e-05,4.45683367899136e-05,4.90251704689049e-05,5.39276875157954e-05,5.9320456267375e-05,6.52525018941125e-05,7.17777520835237e-05,7.89555272918761e-05,8.68510800210637e-05,9.55361880231701e-05,0.000105089806825487,0.000115598787508036,0.000127158666258839,0.000139874532884723,0.000153861986173196,0.000169248184790515,0.000186173003269567,0.000204790303596524,0.000225269333956176,0.000247796267351794,0.000272575894086973,0.00029983348349567,0.000329816831845237,0.000362798515029761,0.000399078366532737,0.000438986203186011,0.000482884823504612,0.000531173305855073,0.000584290636440581,0.000642719700084639,0.000706991670093103,0.000777690837102413,0.000855459920812654,0.00094100591289392,0.00103510650418331,0.00113861715460164,0.00125247887006181,0.00137772675706799,0.00151549943277479,0.00166704937605227,0.00183375431365749,0.00201712974502324,0.00221884271952557,0.00244072699147812,0.00268479969062594,0.00295327965968853,0.00324860762565738,0.00357346838822312,0.00393081522704544,0.00432389674974998,0.00475628642472498,0.00523191506719748,0.00575510657391722,0.00633061723130895,0.00696367895443984,0.00766004684988383,0.00842605153487221,0.00926865668835943,0.0101955223571954,0.0112150745929149,0.0123365820522064,0.013570240257427,0.0149272642831698,0.0164199907114867,0.0180619897826354,0.0198681887608989,0.0218550076369888,0.0240405084006877,0.0264445592407565,0.0290890151648322,0.0319979166813154,0.0351977083494469,0.0387174791843916,0.0425892271028308,0.0468481498131139,0.0515329647944253,0.0566862612738678,0.0623548874012546,0.06859037614138
