"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0.0330037760681241,0.0163776081214377,0.00812713209621014,0.00717753246172109,0.0078952857078932,0.00868481427868252,0.00955329570655077,0.0105086252772058,0.0115594878049264,0.0127154365854191,0.013986980243961,0.0153856782683571,0.0169242460951928,0.0186166707047121,0.0204783377751833,0.0225261715527016,0.0247787887079718,0.027256667578769,0.0299823343366458,0.0329805677703104,0.0362786245473415,0.0399064870020756,0.0438971357022832,0.0482868492725115,0.0531155341997627,0.058427087619739,0.0642697963817129,0.0706967760198842,0.0777664536218726,0.0855430989840598,0.0940974088824658,0.103507149770712,0.113857864747784,0.125243651222562,0.137768016344818,0.1515448179793,0.16669929977723,0.183369229754953,0.201706152730448,0.221876768003493,0.244064444803843,0.268470889284227,0.29531797821265,0.324849776033915,0.357334753637306,0.393068229001037,0.432375051901141,0.475612557091255,0.52317381280038,0.575491194080418,0.63304031348846,0.696344344837306,0.765978779321037,0.842576657253141,0.926834322978455,1.0195177552763,1.12146953080393,1.23361648388432,1.35697813227276,1.49267594550003,1.64194354005003,1.80613789405504,1.98675168346054,2.1854268518066,2.40396953698726,2.64436649068598,2.90880313975458,3.19968345373004,3.51965179910304,3.87161697901335,4.25877867691468,4.68465654460615,5.15312219906677,5.66843441897345,6.23527786087079,6.85880564695787,7.54468621165366,8.29915483281902,9.12907031610093,10.041977347711,11.0461750824821,12.1507925907303,13.3658718498034,14.7024590347837,16.1727049382621,17.7899754320883,19.5689729752971,21.5258702728268,23.6784573001095,26.0463030301205,28.6509333331325,31.5160266664458,34.6676293330904,38.1343922663994,41.9478314930394,46.1426146423433,50.7568761065776,55.8325637172354,61.4158200889589,67.5574020978548,74.3131423076403
"36-47",0.0259988209770682,0.0129015086244355,0.00640217204207819,0.00317697782868096,0.00246814737250694,0.00271496210975763,0.0029864583207334,0.00328510415280674,0.00361361456808741,0.00397497602489615,0.00437247362738577,0.00480972099012435,0.00529069308913678,0.00581976239805046,0.00640173863785551,0.00704191250164106,0.00774610375180517,0.00852071412698568,0.00937278553968425,0.0103100640936527,0.0113410705030179,0.0124751775533197,0.0137226953086517,0.0150949648395169,0.0166044613234686,0.0182649074558154,0.020091398201397,0.0221005380215367,0.0243105918236904,0.0267416510060594,0.0294158161066653,0.0323573977173319,0.0355931374890651,0.0391524512379716,0.0430676963617687,0.0473744659979456,0.0521119125977402,0.0573231038575142,0.0630554142432656,0.0693609556675922,0.0762970512343514,0.0839267563577866,0.0923194319935652,0.101551375192922,0.111706512712214,0.122877163983435,0.135164880381779,0.148681368419957,0.163549505261953,0.179904455788148,0.197894901366963,0.217684391503659,0.239452830654025,0.263398113719427,0.28973792509137,0.318711717600507,0.350582889360558,0.385641178296614,0.424205296126275,0.466625825738902,0.513288408312793,0.564617249144072,0.621078974058479,0.683186871464327,0.75150555861076,0.826656114471836,0.90932172591902,1.00025389851092,1.10027928836201,1.21030721719822,1.33133793891804,1.46447173280984,1.61091890609083,1.77201079669991,1.9492118763699,2.14413306400689,2.35854637040758,2.59440100744834,2.85384110819317,3.13922521901249,3.45314774091374,3.79846251500511,4.17830876650562,4.59613964315618,5.0557536074718,5.56132896821898,6.11746186504088,6.72920805154497,7.40212885669947,8.14234174236942,8.95657591660636,9.852233508267,10.8374568590937,11.9212025450031,13.1133227995034,14.4246550794537,15.8671205873991,17.453832646139,19.1992159107529,21.1191375018282,23.231051252011
"48-59",0.0464227358925154,0.0230365572352472,0.0114315315340641,0.00567271888241852,0.00281499809741654,0.00223926828501707,0.00246319511351877,0.00270951462487065,0.00298046608735772,0.00327851269609349,0.00360636396570284,0.00396700036227312,0.00436370039850044,0.00480007043835048,0.00528007748218553,0.00580808523040408,0.00638889375344449,0.00702778312878894,0.00773056144166784,0.00850361758583462,0.00935397934441808,0.0102893772788599,0.0113183150067459,0.0124501465074205,0.0136951611581625,0.0150646772739788,0.0165711450013767,0.0182282595015143,0.0200510854516657,0.0220561939968323,0.0242618133965156,0.0266879947361671,0.0293567942097838,0.0322924736307622,0.0355217209938384,0.0390738930932223,0.0429812824025445,0.047279410642799,0.0520073517070789,0.0572080868777868,0.0629288955655655,0.069221785122122,0.0761439636343342,0.0837583599977676,0.0921341959975444,0.101347615597299,0.111482377157029,0.122630614872732,0.134893676360005,0.148383043996005,0.163221348395606,0.179543483235166,0.197497831558683,0.217247614714551,0.238972376186007,0.262869613804607,0.289156575185068,0.318072232703575,0.349879455973932,0.384867401571326,0.423354141728458,0.465689555901304,0.512258511491435,0.563484362640578,0.619832798904636,0.6818160787951,0.74999768667461,0.824997455342071,0.907497200876278,0.998246920963906,1.0980716130603,1.20787877436633,1.32866665180296,1.46153331698325,1.60768664868158,1.76845531354974,1.94530084490471,2.13983092939518,2.3538140223347,2.58919542456817,2.84811496702499,3.13292646372749,3.44621911010024,3.79084102111026,4.16992512322129,4.58691763554342,5.04560939909776,5.55017033900754,6.10518737290829,6.71570611019912,7.38727672121904,8.12600439334094,8.93860483267503,9.83246531594254,10.8157118475368,11.8972830322905,13.0870113355195,14.3957124690715,15.8352837159786,17.4188120875765,19.1606932963341
"60-71",0.0478892850992334,0.0237643093612116,0.0117926671539394,0.0058519267902895,0.00290392722120272,0.0014410285036435,0.0010999126492092,0.00120990391413012,0.00133089430554314,0.00146398373609745,0.0016103821097072,0.00177142032067792,0.00194856235274571,0.00214341858802028,0.00235776044682231,0.00259353649150454,0.00285289014065499,0.00313817915472049,0.00345199707019254,0.00379719677721179,0.00417691645493297,0.00459460810042627,0.0050540689104689,0.00555947580151579,0.00611542338166737,0.00672696571983411,0.00739966229181752,0.00813962852099927,0.0089535913730992,0.00984895051040912,0.01083384556145,0.011917230117595,0.0131089531293545,0.01441984844229,0.015861833286519,0.0174480166151709,0.019192818276688,0.0211121001043568,0.0232233101147925,0.0255456411262717,0.0281002052388989,0.0309102257627888,0.0340012483390677,0.0374013731729744,0.0411415104902719,0.0452556615392991,0.049781227693229,0.0547593504625519,0.0602352855088071,0.0662588140596878,0.0728846954656566,0.0801731650122222,0.0881904815134445,0.0970095296647889,0.106710482631268,0.117381530894395,0.129119683983834,0.142031652382218,0.156234817620439,0.171858299382483,0.189044129320732,0.207948542252805,0.228743396478085,0.251617736125894,0.276779509738483,0.304457460712331,0.334903206783565,0.368393527461921,0.405232880208113,0.445756168228925,0.490331785051817,0.539364963556999,0.593301459912699,0.652631605903969,0.717894766494366,0.789684243143802,0.868652667458183,0.955517934204001,1.0510697276244,1.15617670038684,1.27179437042553,1.39897380746808,1.53887118821489,1.69275830703637,1.86203413774001,2.04823755151401,2.25306130666542,2.47836743733196,2.72620418106515,2.99882459917167,3.29870705908884,3.62857776499772,3.99143554149749,4.39057909564724,4.82963700521197,5.31260070573316,5.84386077630648,6.42824685393713,7.07107153933084,7.77817869326393,8.55599656259032
"72-83",0.11382578846099,0.0564842687600299,0.0280294356884576,0.0139091694424011,0.00690220797620599,0.00342511284689458,0.00169965872578803,0.00133783403987985,0.00147161744386783,0.00161877918825462,0.00178065710708008,0.00195872281778809,0.0021545950995669,0.00237005460952359,0.00260706007047595,0.00286776607752354,0.0031545426852759,0.00346999695380348,0.00381699664918383,0.00419869631410222,0.00461856594551244,0.00508042254006368,0.00558846479407005,0.00614731127347706,0.00676204240082476,0.00743824664090724,0.00818207130499797,0.00900027843549777,0.00990030627904754,0.0108903369069523,0.0119793705976475,0.0131773076574123,0.0144950384231535,0.0159445422654689,0.0175389964920157,0.0192928961412173,0.0212221857553391,0.023344404330873,0.0256788447639603,0.0282467292403563,0.0310714021643919,0.0341785423808311,0.0375963966189142,0.0413560362808057,0.0454916399088862,0.0500408038997749,0.0550448842897523,0.0605493727187276,0.0666043099906004,0.0732647409896604,0.0805912150886264,0.0886503365974891,0.097515370257238,0.107266907282962,0.117993598011258,0.129792957812384,0.142772253593622,0.157049478952984,0.172754426848283,0.190029869533111,0.209032856486422,0.229936142135065,0.252929756348571,0.278222731983428,0.306045005181771,0.336649505699948,0.370314456269943,0.407345901896937,0.448080492086631,0.492888541295294,0.542177395424824,0.596395134967306,0.656034648464037,0.721638113310441,0.793801924641485,0.873182117105633,0.960500328816197,1.05655036169782,1.1622053978676,1.27842593765436,1.40626853141979,1.54689538456177,1.70158492301795,1.87174341531975,2.05891775685172,2.26480953253689,2.49129048579058,2.74041953436964,3.01446148780661,3.31590763658727,3.64749840024599,4.01224824027059,4.41347306429765,4.85482037072742,5.34030240780016,5.87433264858018,6.4617659134382,7.10794250478202,7.81873675526022,8.60061043078624,9.46067147386487
"84-95",0.194759502409514,0.0966463595500495,0.0479592456271399,0.0237990261799071,0.0118098948326948,0.0058604757566537,0.00290816951216565,0.00144313367423926,0.00117046091348196,0.00128750700483016,0.00141625770531318,0.00155788347584449,0.00171367182342894,0.00188503900577184,0.00207354290634902,0.00228089719698392,0.00250898691668232,0.00275988560835055,0.0030358741691856,0.00333946158610416,0.00367340774471458,0.00404074851918604,0.00444482337110464,0.0048893057082151,0.00537823627903662,0.00591605990694028,0.00650766589763431,0.00715843248739774,0.00787427573613751,0.00866170330975126,0.00952787364072639,0.010480661004799,0.0115287271052789,0.0126815998158068,0.0139497597973875,0.0153447357771263,0.0168792093548389,0.0185671302903228,0.0204238433193551,0.0224662276512906,0.0247128504164196,0.0271841354580616,0.0299025490038678,0.0328928039042545,0.03618208429468,0.039800292724148,0.0437803219965628,0.0481583541962191,0.052974189615841,0.0582716085774251,0.0640987694351676,0.0705086463786844,0.0775595110165528,0.0853154621182081,0.0938470083300289,0.103231709163032,0.113554880079335,0.124910368087269,0.137401404895995,0.151141545385595,0.166255699924154,0.18288126991657,0.201169396908227,0.22128633659905,0.243414970258955,0.26775646728485,0.294532114013335,0.323985325414669,0.356383857956136,0.392022243751749,0.431224468126924,0.474346914939617,0.521781606433578,0.573959767076936,0.63135574378463,0.694491318163093,0.763940449979402,0.840334494977342,0.924367944475077,1.01680473892258,1.11848521281484,1.23033373409633,1.35336710750596,1.48870381825656,1.63757420008221,1.80133162009043,1.98146478209948,2.17961126030943,2.39757238634037,2.6373296249744,2.90106258747185,3.19116884621903,3.51028573084093,3.86131430392503,4.24744573431753,4.67219030774928,5.13940933852421,5.65335027237663,6.2186852996143,6.84055382957573,7.5246092125333
"96-107",0.255602701591443,0.126838846343057,0.0629417953780195,0.0312338823604047,0.0154993260272375,0.0076912983319404,0.00381668660475637,0.00189397108397583,0.000939853553201432,0.000778437889221406,0.000856281678143547,0.000941909845957902,0.00103610083055369,0.00113971091360906,0.00125368200496997,0.00137905020546696,0.00151695522601366,0.00166865074861503,0.00183551582347653,0.00201906740582418,0.0022209741464066,0.00244307156104726,0.00268737871715199,0.00295611658886719,0.00325172824775391,0.0035769010725293,0.00393459117978223,0.00432805029776045,0.0047608553275365,0.00523694086029015,0.00576063494631916,0.00633669844095108,0.00697036828504618,0.0076674051135508,0.00843414562490588,0.00927756018739648,0.0102053162061361,0.0112258478267497,0.0123484326094247,0.0135832758703672,0.0149416034574039,0.0164357638031443,0.0180793401834587,0.0198872742018046,0.0218760016219851,0.0240636017841836,0.0264699619626019,0.0291169581588621,0.0320286539747483,0.0352315193722232,0.0387546713094455,0.04263013844039,0.0468931522844291,0.051582467512872,0.0567407142641592,0.0624147856905751,0.0686562642596326,0.0755218906855959,0.0830740797541554,0.091381487729571,0.100519636502528,0.110571600152781,0.121628760168059,0.133791636184865,0.147170799803351,0.161887879783687,0.178076667762055,0.195884334538261,0.215472767992087,0.237020044791296,0.260722049270425,0.286794254197468,0.315473679617215,0.347021047578936,0.38172315233683,0.419895467570513,0.461885014327564,0.50807351576032,0.558880867336353,0.614768954069988,0.676245849476987,0.743870434424686,0.818257477867154,0.900083225653869,0.990091548219256,1.08910070304118,1.1980107733453,1.31781185067983,1.44959303574781,1.5945523393226,1.75400757325486,1.92940833058034,2.12234916363837,2.33458408000221,2.56804248800244,2.82484673680268,3.10733141048295,3.41806455153124,3.75987100668437,4.1358581073528,4.54944391808808
"108-119",0.250132337272815,0.124124263535712,0.0615947260808543,0.0305654202724347,0.0151676121621873,0.0075266905101255,0.00373500254551893,0.00185343664606189,0.000919738971821198,0.000456406091939583,0.000383106762290875,0.000421417438519963,0.000463559182371959,0.000509915100609155,0.00056090661067007,0.000616997271737077,0.000678696998910785,0.000746566698801864,0.00082122336868205,0.000903345705550255,0.000993680276105281,0.00109304830371581,0.00120235313408739,0.00132258844749613,0.00145484729224574,0.00160033202147032,0.00176036522361735,0.00193640174597908,0.00213004192057699,0.00234304611263469,0.00257735072389816,0.00283508579628798,0.00311859437591678,0.00343045381350845,0.0037734991948593,0.00415084911434523,0.00456593402577975,0.00502252742835773,0.0055247801711935,0.00607725818831285,0.00668498400714414,0.00735348240785855,0.00808883064864441,0.00889771371350885,0.00978748508485973,0.0107662335933457,0.0118428569526803,0.0130271426479483,0.0143298569127431,0.0157628426040175,0.0173391268644192,0.0190730395508611,0.0209803435059472,0.023078377856542,0.0253862156421962,0.0279248372064158,0.0307173209270574,0.0337890530197631,0.0371679583217394,0.0408847541539134,0.0449732295693047,0.0494705525262352,0.0544176077788587,0.0598593685567446,0.065845305412419,0.072429835953661,0.0796728195490271,0.0876401015039298,0.0964041116543227,0.106044522819755,0.116648975101731,0.128313872611904,0.141145259873094,0.155259785860403,0.170785764446444,0.187864340891088,0.206650774980197,0.227315852478217,0.250047437726038,0.275052181498642,0.302557399648506,0.332813139613357,0.366094453574693,0.402703898932162,0.442974288825378,0.487271717707916,0.535998889478708,0.589598778426579,0.648558656269237,0.713414521896161,0.784755974085777,0.863231571494354,0.94955472864379,1.04451020150817,1.14896122165899,1.26385734382488,1.39024307820737,1.52926738602811,1.68219412463092,1.85041353709401,2.03545489080342
