"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",6.72271172693995e-06,3.33604063819704e-06,1.65545803415966e-06,8.21495179490642e-07,4.56375620902468e-07,5.02013182992715e-07,5.52214501291987e-07,6.07435951421185e-07,6.68179546563304e-07,7.34997501219634e-07,8.08497251341598e-07,8.89346976475758e-07,9.78281674123334e-07,1.07610984153567e-06,1.18372082568923e-06,1.30209290825816e-06,1.43230219908397e-06,1.57553241899237e-06,1.73308566089161e-06,1.90639422698077e-06,2.09703364967885e-06,2.30673701464673e-06,2.5374107161114e-06,2.79115178772254e-06,3.0702669664948e-06,3.37729366314428e-06,3.71502302945871e-06,4.08652533240458e-06,4.49517786564504e-06,4.94469565220954e-06,5.4391652174305e-06,5.98308173917355e-06,6.5813899130909e-06,7.23952890439999e-06,7.96348179483999e-06,8.75982997432399e-06,9.63581297175639e-06,1.0599394268932e-05,1.16593336958252e-05,1.28252670654078e-05,1.41077937719485e-05,1.55185731491434e-05,1.70704304640577e-05,1.87774735104635e-05,2.06552208615099e-05,2.27207429476609e-05,2.49928172424269e-05,2.74920989666696e-05,3.02413088633366e-05,3.32654397496703e-05,3.65919837246373e-05,4.0251182097101e-05,4.42763003068111e-05,4.87039303374922e-05,5.35743233712415e-05,5.89317557083656e-05,6.48249312792022e-05,7.13074244071224e-05,7.84381668478346e-05,8.62819835326181e-05,9.491018188588e-05,0.000104401200074468,0.000114841320081915,0.000126325452090106,0.000138957997299117,0.000152853797029029,0.000168139176731932,0.000184953094405125,0.000203448403845637,0.000223793244230201,0.000246172568653221,0.000270789825518543,0.000297868808070397,0.000327655688877437,0.000360421257765181,0.000396463383541699,0.000436109721895869,0.000479720694085456,0.000527692763494001,0.000580462039843401,0.000638508243827742,0.000702359068210516,0.000772594975031568,0.000849854472534724,0.000934839919788197,0.00102832391176702,0.00113115630294372,0.00124427193323809,0.0013686991265619,0.00150556903921809,0.0016561259431399,0.00182173853745389,0.00200391239119928,0.00220430363031921,0.00242473399335113,0.00266720739268624,0.00293392813195487,0.00322732094515035,0.00355005303966539,0.00390505834363193,0.00429556417799512
"48-59",1.2330057524423e-05,6.11859836380424e-06,3.03625882226366e-06,1.50669599271459e-06,7.47674341138587e-07,7.82370862026702e-07,8.60607948229372e-07,9.46668743052309e-07,1.04133561735754e-06,1.14546917909329e-06,1.26001609700262e-06,1.38601770670288e-06,1.52461947737317e-06,1.67708142511049e-06,1.84478956762154e-06,2.02926852438369e-06,2.23219537682206e-06,2.45541491450427e-06,2.7009564059547e-06,2.97105204655017e-06,3.26815725120519e-06,3.59497297632571e-06,3.95447027395827e-06,4.34991730135411e-06,4.78490903148951e-06,5.26339993463847e-06,5.78973992810232e-06,6.36871392091255e-06,7.00558531300381e-06,7.70614384430419e-06,8.47675822873459e-06,9.32443405160807e-06,1.02568774567689e-05,1.12825652024458e-05,1.24108217226903e-05,1.36519038949594e-05,1.50170942844553e-05,1.65188037129008e-05,1.81706840841909e-05,1.998775249261e-05,2.1986527741871e-05,2.41851805160581e-05,2.66036985676639e-05,2.92640684244303e-05,3.21904752668734e-05,3.54095227935607e-05,3.89504750729168e-05,4.28455225802085e-05,4.71300748382294e-05,5.18430823220523e-05,5.70273905542575e-05,6.27301296096833e-05,6.90031425706515e-05,7.59034568277168e-05,8.34938025104883e-05,9.18431827615373e-05,0.000101027501037691,0.00011113025114146,0.000122243276255606,0.000134467603881167,0.000147914364269283,0.000162705800696212,0.000178976380765833,0.000196874018842416,0.000216561420726658,0.000238217562799324,0.000262039319079256,0.000288243250987182,0.0003170675760859,0.00034877433369449,0.000383651767063939,0.000422016943770333,0.000464218638147365,0.000510640501962103,0.000561704552158314,0.000617875007374145,0.000679662508111559,0.000747628758922715,0.000822391634814987,0.000904630798296486,0.000995093878126133,0.00109460326593875,0.00120406359253262,0.00132446995178588,0.00145691694696447,0.00160260864166092,0.00176286950582701,0.00193915645640971,0.00213307210205069,0.00234637931225575,0.00258101724348133,0.00283911896782946,0.0031230308646124,0.00343533395107365,0.00377886734618102,0.00415675408079912,0.00457242948887903,0.00502967243776694,0.00553263968154362,0.00608590364969799,0.0066944940146678
"60-71",5.63481090807747e-06,2.7961868575404e-06,1.38756403184249e-06,6.8855696723945e-07,3.41685634863611e-07,1.69556156755223e-07,1.1320180751809e-07,1.24521988269895e-07,1.36974187096887e-07,1.50671605806576e-07,1.65738766387233e-07,1.82312643025959e-07,2.00543907328554e-07,2.20598298061411e-07,2.42658127867554e-07,2.66923940654298e-07,2.93616334719733e-07,3.229779681917e-07,3.55275765010883e-07,3.90803341511966e-07,4.2988367566316e-07,4.72872043229482e-07,5.20159247552423e-07,5.7217517230767e-07,6.29392689538449e-07,6.92331958492283e-07,7.61565154341513e-07,8.37721669775648e-07,9.21493836753229e-07,1.01364322042855e-06,1.1150075424714e-06,1.22650829671856e-06,1.34915912639041e-06,1.48407503902941e-06,1.63248254293237e-06,1.79573079722562e-06,1.97530387694813e-06,2.17283426464301e-06,2.39011769110728e-06,2.62912946021802e-06,2.89204240623981e-06,3.18124664686379e-06,3.49937131155021e-06,3.84930844270518e-06,4.23423928697575e-06,4.65766321567333e-06,5.12342953724063e-06,5.63577249096479e-06,6.19934974006105e-06,6.81928471406735e-06,7.50121318547408e-06,8.25133450402151e-06,9.0764679544237e-06,9.98411474986585e-06,1.09825262248524e-05,1.20807788473378e-05,1.3288856732072e-05,1.46177424052787e-05,1.60795166458069e-05,1.76874683103876e-05,1.94562151414259e-05,2.14018366555689e-05,2.35420203211255e-05,2.58962223532383e-05,2.84858445885614e-05,3.13344290474179e-05,3.44678719521596e-05,3.7914659147376e-05,4.17061250621133e-05,4.58767375683244e-05,5.04644113251563e-05,5.5510852457673e-05,6.10619377034395e-05,6.71681314737844e-05,7.3884944621164e-05,8.12734390832799e-05,8.94007829916072e-05,9.83408612907685e-05,0.000108174947419847,0.00011899244216183,0.000130891686378013,0.000143980855015812,0.000158378940517394,0.000174216834569137,0.000191638518026047,0.00021080236982865,0.000231882606811513,0.000255070867492668,0.000280577954241933,0.000308635749666122,0.000339499324632737,0.000373449257096023,0.000410794182805617,0.000451873601086186,0.000497060961194805,0.000546767057314261,0.000601443763045696,0.000661588139350272,0.000727746953285299,0.000800521648613828,0.000880573813475213
"72-83",1.68249867938265e-05,8.34913677116465e-06,4.14312865013294e-06,2.05596284766075e-06,1.02023943447323e-06,5.06277876002744e-07,2.51232484325785e-07,1.83679539032251e-07,2.02047492935473e-07,2.22252242229022e-07,2.44477466451928e-07,2.6892521309712e-07,2.95817734406837e-07,3.25399507847514e-07,3.5793945863227e-07,3.93733404495495e-07,4.33106744945051e-07,4.76417419439556e-07,5.24059161383519e-07,5.76465077521859e-07,6.34111585274042e-07,6.97522743801476e-07,7.67275018181596e-07,8.4400251999976e-07,9.28402771999701e-07,1.02124304919969e-06,1.12336735411967e-06,1.23570408953162e-06,1.3592744984848e-06,1.49520194833326e-06,1.64472214316664e-06,1.80919435748328e-06,1.99011379323162e-06,2.18912517255474e-06,2.40803768981025e-06,2.64884145879127e-06,2.91372560467032e-06,3.20509816513753e-06,3.52560798165113e-06,3.87816877981637e-06,4.26598565779788e-06,4.69258422357782e-06,5.1618426459355e-06,5.67802691052899e-06,6.24582960158198e-06,6.87041256174016e-06,7.55745381791407e-06,8.31319919970548e-06,9.14451911967617e-06,1.00589710316438e-05,1.10648681348078e-05,1.21713549482889e-05,1.33884904431178e-05,1.47273394874292e-05,1.62000734361724e-05,1.78200807797895e-05,1.96020888577684e-05,2.15622977435457e-05,2.37185275178999e-05,2.60903802696897e-05,2.86994182966587e-05,3.1569360126325e-05,3.47262961389577e-05,3.81989257528539e-05,4.20188183281392e-05,4.62207001609522e-05,5.08427701770477e-05,5.59270471947532e-05,6.15197519142274e-05,6.76717271056509e-05,7.44388998162142e-05,8.18827897978384e-05,9.00710687776213e-05,9.90781756553816e-05,0.000108985993220923,0.000119884592543012,0.000131873051797316,0.000145060356977048,0.000159566392674747,0.000175523031942227,0.000193075335136451,0.000212382868650093,0.000233621155515101,0.000256983271066616,0.000282681598173278,0.000310949757990609,0.000342044733789661,0.000376249207168632,0.000413874127885502,0.000455261540674039,0.000500787694741447,0.000550866464215594,0.000605953110637165,0.000666548421700872,0.000733203263870941,0.000806523590258054,0.000887175949283822,0.000975893544212236,0.00107348289863347,0.00118083118849682,0.00129891430734652
"84-95",3.50565151285261e-05,1.7396247801862e-05,8.63261611926559e-06,4.28380084667603e-06,2.12576922690083e-06,1.05487975930182e-06,5.23467595872092e-07,2.59762614185962e-07,2.0222320190522e-07,2.2244552209574e-07,2.44690074305315e-07,2.69159081735845e-07,2.96074989909429e-07,3.2568248890037e-07,3.58250737790406e-07,3.94075811569455e-07,4.33483392726401e-07,4.76831731999043e-07,5.24514905198933e-07,5.76966395718836e-07,6.34663035290728e-07,6.98129338819805e-07,7.67942272701774e-07,8.44736499971952e-07,9.2921014996914e-07,1.02213116496603e-06,1.12434428146266e-06,1.23677870960892e-06,1.36045658056982e-06,1.4965022386268e-06,1.6461524624895e-06,1.81076770873842e-06,1.99184447961226e-06,2.19102892757352e-06,2.41013182033083e-06,2.65114500236396e-06,2.91625950260034e-06,3.20788545286031e-06,3.52867399814639e-06,3.88154139796103e-06,4.26969553775721e-06,4.6966650915329e-06,5.16633160068606e-06,5.68296476075492e-06,6.25126123683032e-06,6.8763873605133e-06,7.56402609656452e-06,8.32042870622105e-06,9.15247157684301e-06,1.00677187345275e-05,1.10744906079803e-05,1.21819396687781e-05,1.34001336356561e-05,1.47401469992219e-05,1.62141616991442e-05,1.78355778690583e-05,1.96191356559641e-05,2.15810492215614e-05,2.37391541437169e-05,2.61130695580875e-05,2.87243765138968e-05,3.15968141652873e-05,3.47564955818155e-05,3.82321451399968e-05,4.20553596539976e-05,4.62608956193957e-05,5.08869851813349e-05,5.59756836994701e-05,6.15732520694154e-05,6.7730577276358e-05,7.45036350039939e-05,8.19539985043929e-05,9.01493983548329e-05,9.91643381903148e-05,0.000109080772009348,0.000119988849210283,0.000131987734131311,0.000145186507544443,0.000159705158298884,0.000175675674128777,0.00019324324154165,0.000212567565695817,0.000233824322265392,0.000257206754491941,0.000282927429941134,0.00031122017293524,0.000342342190228773,0.000376576409251643,0.000414234050176814,0.000455657455194491,0.000501223200713947,0.00055134552078534,0.000606480072863867,0.00066712808015025,0.000733840888165291,0.000807224976981824,0.000887947474680004,0.000976742222147983,0.00107441644436279,0.00118185808879906,0.00130004389767899
"96-107",4.05943477004532e-05,2.01443106755753e-05,9.99629937617074e-06,4.96050735253957e-06,2.46157425549465e-06,1.22151775709227e-06,6.0615909821169e-07,3.00796979995976e-07,1.49265800747087e-07,1.20834987313894e-07,1.32918486045284e-07,1.46210334649811e-07,1.60831368114791e-07,1.76914504926277e-07,1.946059554189e-07,2.14066550960785e-07,2.35473206056866e-07,2.59020526662552e-07,2.84922579328806e-07,3.13414837261691e-07,3.44756320987855e-07,3.79231953086645e-07,4.17155148395311e-07,4.58870663234849e-07,5.04757729558332e-07,5.55233502514149e-07,6.10756852765575e-07,6.71832538042135e-07,7.3901579184634e-07,8.12917371030978e-07,8.94209108134069e-07,9.83630018947481e-07,1.08199302084223e-06,1.19019232292647e-06,1.3092115552191e-06,1.44013271074101e-06,1.58414598181513e-06,1.74256057999665e-06,1.91681663799629e-06,2.10849830179597e-06,2.31934813197551e-06,2.55128294517315e-06,2.80641123969036e-06,3.08705236365945e-06,3.39575760002536e-06,3.73533336002789e-06,4.10886669603065e-06,4.51975336563379e-06,4.97172870219699e-06,5.46890157241678e-06,6.01579172965845e-06,6.61737090262436e-06,7.27910799288678e-06,8.00701879217537e-06,8.807720671393e-06,9.68849273853226e-06,1.06573420123855e-05,1.17230762136241e-05,1.28953838349868e-05,1.41849222184854e-05,1.56034144403337e-05,1.71637558843672e-05,1.8880131472804e-05,2.07681446200846e-05,2.28449590820926e-05,2.5129454990302e-05,2.76424004893318e-05,3.04066405382658e-05,3.34473045920927e-05,3.67920350513007e-05,4.04712385564309e-05,4.45183624120738e-05,4.89701986532819e-05,5.38672185186103e-05,5.92539403704703e-05,6.51793344075184e-05,7.16972678482704e-05,7.88669946330976e-05,8.67536940964073e-05,9.54290635060452e-05,0.00010497196985665,0.000115469166842319,0.000127016083526549,0.000139717691879204,0.000153689461067126,0.000169058407173839,0.000185964247891222,0.000204560672680345,0.000225016739948378,0.000247518413943215,0.000272270255337541,0.000299497280871287,0.000329447008958407,0.000362391709854262,0.000398630880839683,0.000438493968923662,0.000482343365816019,0.000530577702397624,0.000583635472637387,0.000641999019901113,0.000706198921891235
"108-119",3.77397574470298e-05,1.87277648712001e-05,9.29336065721206e-06,4.61168499812996e-06,2.2884766131907e-06,1.1356207571082e-06,5.6353405428816e-07,2.79644968053539e-07,1.38769445364653e-07,6.8862168702161e-08,5.68859325435009e-08,6.25745257978515e-08,6.88319783776368e-08,7.57151762154004e-08,8.32866938369418e-08,9.16153632206352e-08,1.007768995427e-07,1.10854589496967e-07,1.21940048446667e-07,1.34134053291331e-07,1.47547458620463e-07,1.62302204482507e-07,1.7853242493076e-07,1.96385667423838e-07,2.16024234166224e-07,2.37626657582848e-07,2.6138932334113e-07,2.87528255675245e-07,3.16281081242769e-07,3.47909189367045e-07,3.82700108303746e-07,4.2097011913412e-07,4.63067131047539e-07,5.09373844152275e-07,5.60311228567523e-07,6.16342351424284e-07,6.77976586566694e-07,7.45774245223361e-07,8.20351669745701e-07,9.02386836720262e-07,9.92625520392285e-07,1.0918880724315e-06,1.20107687967467e-06,1.32118456764219e-06,1.45330302440635e-06,1.598633326847e-06,1.75849665953168e-06,1.93434632548488e-06,2.12778095803334e-06,2.34055905383665e-06,2.57461495922035e-06,2.83207645514249e-06,3.11528410065661e-06,3.42681251072223e-06,3.76949376179451e-06,4.14644313797397e-06,4.56108745177145e-06,5.0171961969484e-06,5.51891581664337e-06,6.07080739830766e-06,6.67788813813852e-06,7.34567695195247e-06,8.08024464714731e-06,8.88826911186243e-06,9.77709602304876e-06,1.07548056253533e-05,1.18302861878889e-05,1.30133148066776e-05,1.43146462873451e-05,1.57461109160798e-05,1.73207220076879e-05,1.90527942084565e-05,2.09580736293025e-05,2.30538809922326e-05,2.53592690914557e-05,2.78951960006016e-05,3.06847156006616e-05,3.3753187160728e-05,3.71285058768001e-05,4.0841356464481e-05,4.49254921109287e-05,4.94180413220212e-05,5.43598454542235e-05,5.97958299996468e-05,6.57754129996108e-05,7.2352954299572e-05,7.9588249729529e-05,8.75470747024824e-05,9.63017821727294e-05,0.000105931960390005,0.000116525156429003,0.000128177672071903,0.000140995439279095,0.000155094983207005,0.000170604481527701,0.000187664929680476,0.000206431422648524,0.000227074564913374,0.000249782021404712,0.000274760223545181,0.000302236245899701
