"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",8.33318133307658e-13,4.13521101331863e-13,2.05203384412114e-13,2.25723722853325e-13,2.48296095138658e-13,2.73125704652524e-13,3.00438275117776e-13,3.30482102629554e-13,3.63530312892509e-13,3.9988334418176e-13,4.39871678599936e-13,4.8385884645993e-13,5.32244731105923e-13,5.85469204216515e-13,6.44016124638167e-13,7.08417737101984e-13,7.79259510812182e-13,8.571854618934e-13,9.4290400808274e-13,1.03719440889101e-12,1.14091384978012e-12,1.25500523475813e-12,1.38050575823394e-12,1.51855633405733e-12,1.67041196746307e-12,1.83745316420938e-12,2.02119848063031e-12,2.22331832869335e-12,2.44565016156268e-12,2.69021517771895e-12,2.95923669549084e-12,3.25516036503993e-12,3.58067640154392e-12,3.93874404169831e-12,4.33261844586814e-12,4.76588029045496e-12,5.24246831950046e-12,5.7667151514505e-12,6.34338666659555e-12,6.97772533325511e-12,7.67549786658062e-12,8.44304765323868e-12,9.28735241856255e-12,1.02160876604188e-11,1.12376964264607e-11,1.23614660691068e-11,1.35976126760174e-11,1.49573739436192e-11,1.64531113379811e-11,1.80984224717792e-11,1.99082647189571e-11,2.18990911908529e-11,2.40890003099381e-11,2.6497900340932e-11,2.91476903750252e-11,3.20624594125277e-11,3.52687053537804e-11,3.87955758891585e-11,4.26751334780743e-11,4.69426468258818e-11,5.163691150847e-11,5.6800602659317e-11,6.24806629252486e-11,6.87287292177735e-11,7.56016021395509e-11,8.3161762353506e-11,9.14779385888566e-11,1.00625732447742e-10,1.10688305692516e-10,1.21757136261768e-10,1.33932849887945e-10,1.47326134876739e-10,1.62058748364413e-10,1.78264623200855e-10,1.9609108552094e-10,2.15700194073034e-10,2.37270213480338e-10,2.60997234828372e-10,2.87096958311209e-10,3.1580665414233e-10,3.47387319556563e-10,3.82126051512219e-10,4.20338656663441e-10,4.62372522329785e-10,5.08609774562763e-10,5.5947075201904e-10,6.15417827220944e-10,6.76959609943039e-10,7.44655570937342e-10,8.19121128031077e-10,9.01033240834184e-10,9.91136564917603e-10,1.09025022140936e-09,1.1992752435503e-09,1.31920276790533e-09,1.45112304469586e-09,1.59623534916545e-09,1.75585888408199e-09,1.93144477249019e-09,2.12458924973921e-09,2.33704817471313e-09
"24-29",9.84279717152511e-11,4.88433428227404e-11,2.42377455973737e-11,1.24556025314435e-11,1.37011627845878e-11,1.50712790630466e-11,1.65784069693513e-11,1.82362476662864e-11,2.0059872432915e-11,2.20658596762065e-11,2.42724456438272e-11,2.66996902082099e-11,2.93696592290309e-11,3.2306625151934e-11,3.55372876671274e-11,3.90910164338401e-11,4.30001180772242e-11,4.73001298849466e-11,5.20301428734413e-11,5.72331571607854e-11,6.29564728768639e-11,6.92521201645503e-11,7.61773321810054e-11,8.37950653991059e-11,9.21745719390165e-11,1.01392029132918e-10,1.1153123204621e-10,1.22684355250831e-10,1.34952790775914e-10,1.48448069853506e-10,1.63292876838856e-10,1.79622164522742e-10,1.97584380975016e-10,2.17342819072518e-10,2.39077100979769e-10,2.62984811077746e-10,2.89283292185521e-10,3.18211621404073e-10,3.5003278354448e-10,3.85036061898928e-10,4.23539668088821e-10,4.65893634897703e-10,5.12482998387474e-10,5.63731298226221e-10,6.20104428048843e-10,6.82114870853728e-10,7.50326357939101e-10,8.25358993733011e-10,9.07894893106312e-10,9.98684382416943e-10,1.09855282065864e-09,1.2084081027245e-09,1.32924891299695e-09,1.46217380429665e-09,1.60839118472631e-09,1.76923030319894e-09,1.94615333351884e-09,2.14076866687072e-09,2.35484553355779e-09,2.59033008691357e-09,2.84936309560493e-09,3.13429940516542e-09,3.44772934568197e-09,3.79250228025016e-09,4.17175250827518e-09,4.5889277591027e-09,5.04782053501297e-09,5.55260258851427e-09,6.10786284736569e-09,6.71864913210226e-09,7.39051404531249e-09,8.12956544984374e-09,8.94252199482812e-09,9.83677419431093e-09,1.0820451613742e-08,1.19024967751162e-08,1.30927464526278e-08,1.44020210978906e-08,1.58422232076797e-08,1.74264455284477e-08,1.91690900812924e-08,2.10859990894217e-08,2.31945989983639e-08,2.55140588982002e-08,2.80654647880203e-08,3.08720112668223e-08,3.39592123935045e-08,3.7355133632855e-08,4.10906469961405e-08,4.51997116957545e-08,4.971968286533e-08,5.4691651151863e-08,6.01608162670493e-08,6.61768978937542e-08,7.27945876831297e-08,8.00740464514426e-08,8.80814510965869e-08,9.68895962062456e-08,1.0657855582687e-07,1.17236411409557e-07,1.28960052550513e-07
"30-35",1.36344641484734e-10,6.76588976693361e-11,3.35746706579756e-11,1.70438530478386e-11,1.87482383526225e-11,2.06230621878847e-11,2.26853684066732e-11,2.49539052473405e-11,2.74492957720745e-11,3.0194225349282e-11,3.32136478842102e-11,3.65350126726312e-11,4.01885139398943e-11,4.42073653338838e-11,4.86281018672722e-11,5.34909120539994e-11,5.88400032593994e-11,6.47240035853393e-11,7.11964039438732e-11,7.83160443382605e-11,8.61476487720866e-11,9.47624136492953e-11,1.04238655014225e-10,1.14662520515647e-10,1.26128772567212e-10,1.38741649823933e-10,1.52615814806327e-10,1.67877396286959e-10,1.84665135915655e-10,2.03131649507221e-10,2.23444814457943e-10,2.45789295903737e-10,2.70368225494111e-10,2.97405048043522e-10,3.27145552847874e-10,3.59860108132662e-10,3.95846118945928e-10,4.35430730840521e-10,4.78973803924573e-10,5.2687118431703e-10,5.79558302748733e-10,6.37514133023606e-10,7.01265546325967e-10,7.71392100958564e-10,8.4853131105442e-10,9.33384442159863e-10,1.02672288637585e-09,1.12939517501343e-09,1.24233469251478e-09,1.36656816176626e-09,1.50322497794288e-09,1.65354747573717e-09,1.81890222331089e-09,2.00079244564197e-09,2.20087169020617e-09,2.42095885922679e-09,2.66305474514947e-09,2.92936021966442e-09,3.22229624163086e-09,3.54452586579394e-09,3.89897845237334e-09,4.28887629761067e-09,4.71776392737174e-09,5.18954032010891e-09,5.70849435211981e-09,6.27934378733179e-09,6.90727816606497e-09,7.59800598267147e-09,8.35780658093861e-09,9.19358723903247e-09,1.01129459629357e-08,1.11242405592293e-08,1.22366646151522e-08,1.34603310766675e-08,1.48063641843342e-08,1.62870006027676e-08,1.79157006630444e-08,1.97072707293488e-08,2.16779978022837e-08,2.38457975825121e-08,2.62303773407633e-08,2.88534150748396e-08,3.17387565823236e-08,3.49126322405559e-08,3.84038954646115e-08,4.22442850110727e-08,4.646871351218e-08,5.1115584863398e-08,5.62271433497378e-08,6.18498576847116e-08,6.80348434531827e-08,7.4838327798501e-08,8.23221605783511e-08,9.05543766361862e-08,9.96098142998048e-08,1.09570795729785e-07,1.20527875302764e-07,1.3258066283304e-07,1.45838729116344e-07,1.60422602027979e-07,1.76464862230777e-07
"36-47",4.37560260219182e-05,2.17129718834422e-05,1.07747229869938e-05,5.34678790492902e-06,2.65327827179209e-06,2.9186060989713e-06,3.21046670886843e-06,3.53151337975527e-06,3.8846647177308e-06,4.27313118950388e-06,4.70044430845427e-06,5.1704887392997e-06,5.68753761322967e-06,6.25629137455264e-06,6.8819205120079e-06,7.57011256320869e-06,8.32712381952956e-06,9.15983620148252e-06,1.00758198216308e-05,1.10834018037939e-05,1.21917419841732e-05,1.34109161825906e-05,1.47520078008496e-05,1.62272085809346e-05,1.7849929439028e-05,1.96349223829308e-05,2.15984146212239e-05,2.37582560833463e-05,2.6134081691681e-05,2.87474898608491e-05,3.1622238846934e-05,3.47844627316274e-05,3.82629090047901e-05,4.20891999052691e-05,4.6298119895796e-05,5.09279318853756e-05,5.60207250739132e-05,6.16227975813045e-05,6.7785077339435e-05,7.45635850733785e-05,8.20199435807163e-05,9.0221937938788e-05,9.92441317326668e-05,0.000109168544905933,0.000120085399396527,0.00013209393933618,0.000145303333269798,0.000159833666596777,0.000175817033256455,0.000193398736582101,0.000212738610240311,0.000234012471264342,0.000257413718390776,0.000283155090229853,0.000311470599252839,0.000342617659178123,0.000376879425095935,0.000414567367605528,0.000456024104366082,0.00050162651480269,0.000551789166282959,0.000606968082911255,0.00066766489120238,0.000734431380322618,0.00080787451835488,0.000888661970190368,0.000977528167209405,0.00107528098393035,0.00118280908232338,0.00130108999055572,0.00143119898961129,0.00157431888857242,0.00173175077742966,0.00190492585517263,0.00209541844068989,0.00230496028475888,0.00253545631323477,0.00278900194455825,0.00306790213901407,0.00337469235291548,0.00371216158820703,0.00408337774702773,0.0044917155217305,0.00494088707390355,0.00543497578129391,0.0059784733594233,0.00657632069536563,0.00723395276490219,0.00795734804139241,0.00875308284553165,0.00962839113008482,0.0105912302430933,0.0116503532674026,0.0128153885941429,0.0140969274535572,0.0155066201989129,0.0170572822188042,0.0187630104406846,0.0206393114847531,0.0227032426332284,0.0249735668965512
"48-59",0.000543832142386247,0.000269874869542747,0.000133921186656702,6.64562960824275e-05,3.29778984136133e-05,1.82579662655237e-05,2.00837628920761e-05,2.20921391812837e-05,2.43013530994121e-05,2.67314884093533e-05,2.94046372502886e-05,3.23451009753175e-05,3.55796110728493e-05,3.91375721801342e-05,4.30513293981476e-05,4.73564623379624e-05,5.20921085717586e-05,5.73013194289345e-05,6.3031451371828e-05,6.93345965090108e-05,7.62680561599118e-05,8.3894861775903e-05,9.22843479534934e-05,0.000101512782748843,0.000111664061023727,0.0001228304671261,0.00013511351383871,0.000148624865222581,0.000163487351744839,0.000179836086919323,0.000197819695611255,0.00021760166517238,0.000239361831689618,0.00026329801485858,0.000289627816344438,0.000318590597978882,0.00035044965777677,0.000385494623554448,0.000424044085909892,0.000466448494500882,0.00051309334395097,0.000564402678346067,0.000620842946180674,0.000682927240798741,0.000751219964878615,0.000826341961366477,0.000908976157503124,0.000999873773253437,0.00109986115057878,0.00120984726563666,0.00133083199220032,0.00146391519142036,0.00161030671056239,0.00177133738161863,0.0019484711197805,0.00214331823175855,0.0023576500549344,0.00259341506042784,0.00285275656647063,0.00313803222311769,0.00345183544542946,0.0037970189899724,0.00417672088896964,0.00459439297786661,0.00505383227565327,0.0055592155032186,0.00611513705354046,0.0067266507588945,0.00739931583478396,0.00813924741826235,0.00895317216008859,0.00984848937609745,0.0108333383137072,0.0119166721450779,0.0131083393595857,0.0144191732955443,0.0158610906250987,0.0174471996876086,0.0191919196563694,0.0211111116220064,0.023222222784207,0.0255444450626277,0.0280988895688905,0.0309087785257796,0.0339996563783575,0.0373996220161933,0.0411395842178126,0.0452535426395939,0.0497788969035532,0.0547567865939086,0.0602324652532994,0.0662557117786294,0.0728812829564924,0.0801694112521416,0.0881863523773557,0.0970049876150913,0.1067054863766,0.117376035014261,0.129113638515687,0.142025002367255,0.156227502603981
"60-71",0.00205013326891374,0.00101738329133532,0.000504860559603701,0.000250529163211268,0.000124321182206442,6.16924438939418e-05,4.11805629197284e-05,4.52986192117012e-05,4.98284811328714e-05,5.48113292461585e-05,6.02924621707744e-05,6.63217083878518e-05,7.2953879226637e-05,8.02492671493007e-05,8.82741938642308e-05,9.71016132506539e-05,0.000106811774575719,0.000117492952033291,0.00012924224723662,0.000142166471960282,0.000156383119156311,0.000172021431071942,0.000189223574179136,0.000208145931597049,0.000228960524756754,0.00025185657723243,0.000277042234955673,0.00030474645845124,0.000335221104296364,0.000368743214726001,0.000405617536198601,0.000446179289818461,0.000490797218800307,0.000539876940680338,0.000593864634748372,0.000653251098223209,0.00071857620804553,0.000790433828850083,0.000869477211735091,0.0009564249329086,0.00105206742619946,0.00115727416881941,0.00127300158570135,0.00140030174427148,0.00154033191869863,0.00169436511056849,0.00186380162162534,0.00205018178378788,0.00225519996216667,0.00248071995838333,0.00272879195422167,0.00300167114964383,0.00330183826460822,0.00363202209106904,0.00399522430017594,0.00439474673019354,0.00483422140321289,0.00531764354353418,0.0058494078978876,0.00643434868767636,0.007077783556444,0.0077855619120884,0.00856411810329724,0.00942052991362696,0.0103625829049897,0.0113988411954886,0.0125387253150375,0.0137925978465412,0.0151718576311954,0.0166890433943149,0.0183579477337464,0.020193742507121,0.0222131167578331,0.0244344284336165,0.0268778712769781,0.0295656584046759,0.0325222242451435,0.0357744466696579,0.0393518913366237,0.043287080470286,0.0476157885173146,0.0523773673690461,0.0576151041059507,0.0633766145165458,0.0697142759682004,0.0766857035650204,0.0843542739215225,0.0927897013136747,0.102068671445042,0.112275538589546,0.123503092448501,0.135853401693351,0.149438741862686,0.164382616048955,0.18082087765385,0.198902965419236,0.218793261961159,0.240672588157275,0.264739846973003,0.291213831670303,0.320335214837333
"72-83",0.00445594286136561,0.0022112256158167,0.00109728615686821,0.000544511107976605,0.000270205128219366,0.000134085072363999,6.65376218036196e-05,4.86656359328692e-05,5.35321995261562e-05,5.88854194787718e-05,6.4773961426649e-05,7.12513575693139e-05,7.83764933262452e-05,8.62141426588698e-05,9.48355569247568e-05,0.000104319112617232,0.000114751023878956,0.000126226126266851,0.000138848738893536,0.00015273361278289,0.000168006974061179,0.000184807671467297,0.000203288438614027,0.00022361728247543,0.000245979010722972,0.00027057691179527,0.000297634602974797,0.000327398063272276,0.000360137869599504,0.000396151656559455,0.0004357668222154,0.00047934350443694,0.000527277854880634,0.000580005640368698,0.000638006204405567,0.000701806824846124,0.000771987507330737,0.00084918625806381,0.000934104883870192,0.00102751537225721,0.00113026690948293,0.00124329360043123,0.00136762296047435,0.00150438525652178,0.00165482378217396,0.00182030616039136,0.00200233677643049,0.00220257045407354,0.0024228274994809,0.00266511024942899,0.00293162127437189,0.00322478340180907,0.00354726174198998,0.00390198791618898,0.00429218670780788,0.00472140537858867,0.00519354591644753,0.00571290050809229,0.00628419055890152,0.00691260961479167,0.00760387057627084,0.00836425763389792,0.00920068339728772,0.0101207517370165,0.0111328269107181,0.01224610960179,0.0134707205619689,0.0148177926181658,0.0162995718799824,0.0179295290679807,0.0197224819747788,0.0216947301722566,0.0238642031894823,0.0262506235084305,0.0288756858592736,0.0317632544452009,0.034939579889721,0.0384335378786931,0.0422768916665625,0.0465045808332187,0.0511550389165406,0.0562705428081946,0.0618975970890141,0.0680873567979155,0.0748960924777071,0.0823857017254778,0.0906242718980256,0.0996866990878282,0.109655368996611,0.120620905896272,0.132682996485899,0.145951296134489,0.160546425747938,0.176601068322732,0.194261175155005,0.213687292670506,0.235056021937556,0.258561624131312,0.284417786544443,0.312859565198888,0.344145521718776
"84-95",0.00686526688618985,0.00340678140825513,0.00169056203582991,0.000838914991746763,0.000416298454869762,0.000206581602703395,0.000102512892076081,5.08704207164595e-05,3.96269922224884e-05,4.35896914447372e-05,4.7948660589211e-05,5.27435266481321e-05,5.80178793129453e-05,6.38196672442398e-05,7.02016339686638e-05,7.72217973655302e-05,8.49439771020832e-05,9.34383748122915e-05,0.000102782212293521,0.000113060433522873,0.00012436647687516,0.000136803124562676,0.000150483437018944,0.000165531780720838,0.000182084958792922,0.000200293454672214,0.000220322800139436,0.000242355080153379,0.000266590588168717,0.000293249646985589,0.000322574611684148,0.000354832072852562,0.000390315280137819,0.000429346808151601,0.000472281488966761,0.000519509637863437,0.000571460601649781,0.000628606661814759,0.000691467327996235,0.000760614060795858,0.000836675466875444,0.000920343013562988,0.00101237731491929,0.00111361504641122,0.00122497655105234,0.00134747420615757,0.00148222162677333,0.00163044378945066,0.00179348816839573,0.0019728369852353,0.00217012068375883,0.00238713275213472,0.00262584602734819,0.00288843063008301,0.00317727369309131,0.00349500106240044,0.00384450116864048,0.00422895128550453,0.00465184641405498,0.00511703105546048,0.00562873416100653,0.00619160757710718,0.0068107683348179,0.00749184516829969,0.00824102968512967,0.00906513265364263,0.0099716459190069,0.0109688105109076,0.0120656915619983,0.0132722607181982,0.014599486790018,0.0160594354690198,0.0176653790159218,0.019431916917514,0.0213751086092654,0.0235126194701919,0.0258638814172111,0.0284502695589322,0.0312952965148254,0.034424826166308,0.0378673087829388,0.0416540396612327,0.0458194436273559,0.0504013879900915,0.0554415267891007,0.0609856794680108,0.0670842474148118,0.073792672156293,0.0811719393719223,0.0892891333091146,0.098218046640026,0.108039851304029,0.118843836434432,0.130728220077875,0.143801042085662,0.158181146294228,0.173999260923651,0.191399187016016,0.210539105717618,0.23159301628938,0.254752317918318
"96-107",0.00830005096750204,0.00411877058713286,0.00204387553954217,0.00101424129670858,0.000503301393870358,0.000249755451581291,0.000123937239900913,6.1501918524717e-05,3.05193659730118e-05,2.47219066913631e-05,2.71940973604994e-05,2.99135070965494e-05,3.29048578062043e-05,3.61953435868247e-05,3.98148779455072e-05,4.37963657400579e-05,4.81760023140637e-05,5.29936025454701e-05,5.82929628000171e-05,6.41222590800188e-05,7.05344849880207e-05,7.75879334868228e-05,8.53467268355051e-05,9.38813995190556e-05,0.000103269539470961,0.000113596493418057,0.000124956142759863,0.000137451757035849,0.000151196932739434,0.000166316626013378,0.000182948288614716,0.000201243117476187,0.000221367429223806,0.000243504172146186,0.000267854589360805,0.000294640048296886,0.000324104053126574,0.000356514458439232,0.000392165904283155,0.00043138249471147,0.000474520744182617,0.000521972818600879,0.000574170100460967,0.000631587110507064,0.00069474582155777,0.000764220403713547,0.000840642444084902,0.000924706688493393,0.00101717735734273,0.00111889509307701,0.00123078460238471,0.00135386306262318,0.00148924936888549,0.00163817430577404,0.00180199173635145,0.00198219090998659,0.00218041000098525,0.00239845100108378,0.00263829610119216,0.00290212571131137,0.00319233828244251,0.00351157211068676,0.00386272932175544,0.00424900225393098,0.00467390247932408,0.00514129272725649,0.00565542199998214,0.00622096419998035,0.00684306061997839,0.00752736668197623,0.00828010335017385,0.00910811368519124,0.0100189250537104,0.0110208175590814,0.0121228993149895,0.0133351892464885,0.0146687081711373,0.0161355789882511,0.0177491368870762,0.0195240505757838,0.0214764556333622,0.0236241011966984,0.0259865113163683,0.0285851624480051,0.0314436786928056,0.0345880465620862,0.0380468512182948,0.0418515363401242,0.0460366899741367,0.0506403589715504,0.0557043948687054,0.061274834355576,0.0674023177911336,0.0741425495702469,0.0815568045272716,0.0897124849799988,0.0986837334779987,0.108552106825799,0.119407317508378,0.131348049259216,0.144482854185138
"108-119",0.00861247470731022,0.00427380598574454,0.00212080943335396,0.00105241853926122,0.000522246253888607,0.000259156542312664,0.00012860238426484,6.38169235127712e-05,3.16681510215852e-05,1.57148250640009e-05,1.29880424948495e-05,1.42868467443345e-05,1.57155314187679e-05,1.72870845606447e-05,1.90157930167092e-05,2.09173723183801e-05,2.30091095502181e-05,2.531002050524e-05,2.78410225557639e-05,3.06251248113403e-05,3.36876372924744e-05,3.70564010217218e-05,4.0762041123894e-05,4.48382452362834e-05,4.93220697599117e-05,5.42542767359029e-05,5.96797044094932e-05,6.56476748504426e-05,7.22124423354868e-05,7.94336865690355e-05,8.73770552259391e-05,9.6114760748533e-05,0.000105726236823386,0.000116298860505725,0.000127928746556297,0.000140721621211927,0.00015479378333312,0.000170273161666432,0.000187300477833075,0.000206030525616383,0.000226633578178021,0.000249296935995823,0.000274226629595405,0.000301649292554946,0.000331814221810441,0.000364995643991485,0.000401495208390633,0.000441644729229696,0.000485809202152666,0.000534390122367933,0.000587829134604726,0.000646612048065199,0.000711273252871719,0.000782400578158891,0.00086064063597478,0.000946704699572258,0.00104137516952948,0.00114551268648243,0.00126006395513068,0.00138607035064374,0.00152467738570812,0.00167714512427893,0.00184485963670682,0.0020293456003775,0.00223228016041526,0.00245550817645678,0.00270105899410246,0.00297116489351271,0.00326828138286398,0.00359510952115038,0.00395462047326541,0.00435008252059195,0.00478509077265115,0.00526359984991627,0.00578995983490789,0.00636895581839868,0.00700585140023855,0.00770643654026241,0.00847708019428865,0.00932478821371751,0.0102572670350893,0.0112829937385982,0.012411293112458,0.0136524224237038,0.0150176646660742,0.0165194311326816,0.0181713742459498,0.0199885116705448,0.0219873628375992,0.0241860991213592,0.0266047090334951,0.0292651799368446,0.0321916979305291,0.035410867723582,0.0389519544959402,0.0428471499455342,0.0471318649400876,0.0518450514340964,0.057029556577506,0.0627325122352566,0.0690057634587823
