"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",6.17339173080445e-06,3.06344917437766e-06,1.52018878004559e-06,7.54369925998843e-07,3.74346897787006e-07,4.11781587565707e-07,4.52959746322277e-07,4.98255720954505e-07,5.48081293049955e-07,6.02889422354951e-07,6.63178364590446e-07,7.29496201049491e-07,8.0244582115444e-07,8.82690403269884e-07,9.70959443596873e-07,1.06805538795656e-06,1.17486092675222e-06,1.29234701942744e-06,1.42158172137018e-06,1.5637398935072e-06,1.72011388285792e-06,1.89212527114371e-06,2.08133779825808e-06,2.28947157808389e-06,2.51841873589228e-06,2.77026060948151e-06,3.04728667042966e-06,3.35201533747263e-06,3.68721687121989e-06,4.05593855834188e-06,4.46153241417607e-06,4.90768565559368e-06,5.39845422115305e-06,5.93829964326835e-06,6.53212960759519e-06,7.18534256835471e-06,7.90387682519017e-06,8.69426450770919e-06,9.56369095848011e-06,1.05200600543281e-05,1.15720660597609e-05,1.2729272665737e-05,1.40021999323107e-05,1.54024199255418e-05,1.6942661918096e-05,1.86369281099056e-05,2.05006209208962e-05,2.25506830129858e-05,2.48057513142844e-05,2.72863264457128e-05,3.00149590902841e-05,3.30164549993125e-05,3.63181004992437e-05,3.99499105491681e-05,4.39449016040849e-05,4.83393917644934e-05,5.31733309409428e-05,5.8490664035037e-05,6.43397304385408e-05,7.07737034823948e-05,7.78510738306343e-05,8.56361812136978e-05,9.41997993350676e-05,0.000103619779268574,0.000113981757195432,0.000125379932914975,0.000137917926206472,0.00015170971882712,0.000166880690709832,0.000183568759780815,0.000201925635758896,0.000222118199334786,0.000244330019268265,0.000268763021195091,0.0002956393233146,0.00032520325564606,0.000357723581210667,0.000393495939331733,0.000432845533264907,0.000476130086591397,0.000523743095250537,0.000576117404775591,0.00063372914525315,0.000697102059778465,0.000766812265756312,0.000843493492331943,0.000927842841565137,0.00102062712572165,0.00112268983829382,0.0012349588221232,0.00135845470433552,0.00149430017476907,0.00164373019224598,0.00180810321147057,0.00198891353261763,0.0021878048858794,0.00240658537446734,0.00264724391191407,0.00291196830310548,0.00320316513341602,0.00352348164675763
"48-59",0.000119796252898282,5.94470184361612e-05,2.94996539161367e-05,1.46387422626815e-05,7.26424708718348e-06,4.02365138655305e-06,4.42601652520836e-06,4.8686181777292e-06,5.35547999550212e-06,5.89102799505233e-06,6.48013079455756e-06,7.12814387401332e-06,7.84095826141465e-06,8.62505408755612e-06,9.48755949631173e-06,1.04363154459429e-05,1.14799469905372e-05,1.26279416895909e-05,1.389073585855e-05,1.5279809444405e-05,1.68077903888455e-05,1.84885694277301e-05,2.03374263705031e-05,2.23711690075534e-05,2.46082859083087e-05,2.70691144991396e-05,2.97760259490535e-05,3.27536285439589e-05,3.60289913983548e-05,3.96318905381903e-05,4.35950795920093e-05,4.79545875512103e-05,5.27500463063313e-05,5.80250509369644e-05,6.38275560306609e-05,7.0210311633727e-05,7.72313427970997e-05,8.49544770768096e-05,9.34499247844906e-05,0.00010279491726294,0.000113074408989234,0.000124381849888157,0.000136820034876973,0.00015050203836467,0.000165552242201137,0.000182107466421251,0.000200318213063376,0.000220350034369713,0.000242385037806685,0.000266623541587353,0.000293285895746089,0.000322614485320698,0.000354875933852767,0.000390363527238044,0.000429399879961849,0.000472339867958033,0.000519573854753837,0.000571531240229221,0.000628684364252143,0.000691552800677357,0.000760708080745093,0.000836778888819602,0.000920456777701562,0.00101250245547172,0.00111375270101889,0.00122512797112078,0.00134764076823286,0.00148240484505614,0.00163064532956176,0.00179370986251793,0.00197308084876973,0.0021703889336467,0.00238742782701137,0.00262617060971251,0.00288878767068376,0.00317766643775214,0.00349543308152735,0.00384497638968009,0.00422947402864809,0.0046524214315129,0.0051176635746642,0.00562942993213061,0.00619237292534368,0.00681161021787804,0.00749277123966585,0.00824204836363244,0.00906625319999568,0.00997287851999525,0.0109701663719948,0.0120671830091943,0.0132739013101137,0.014601291441125,0.0160614205852376,0.0176675626437613,0.0194343189081374,0.0213777507989512,0.0235155258788463,0.0258670784667309,0.028453786313404,0.0312991649447445,0.0344290814392189
"60-71",0.000557846279899673,0.000276822498896504,0.000137368839152403,6.81671397567072e-05,3.38268778514981e-05,1.67860595187667e-05,1.12069789442908e-05,1.23276768387198e-05,1.35604445225918e-05,1.4916488974851e-05,1.64081378723361e-05,1.80489516595697e-05,1.98538468255267e-05,2.18392315080794e-05,2.40231546588873e-05,2.64254701247761e-05,2.90680171372537e-05,3.1974818850979e-05,3.51723007360769e-05,3.86895308096846e-05,4.25584838906531e-05,4.68143322797184e-05,5.14957655076903e-05,5.66453420584593e-05,6.23098762643052e-05,6.85408638907358e-05,7.53949502798093e-05,8.29344453077903e-05,9.12278898385693e-05,0.000100350678822426,0.000110385746704669,0.000121424321375136,0.000133566753512649,0.000146923428863914,0.000161615771750306,0.000177777348925336,0.00019555508381787,0.000215110592199657,0.000236621651419623,0.000260283816561585,0.000286312198217744,0.000314943418039518,0.00034643775984347,0.000381081535827817,0.000419189689410598,0.000461108658351658,0.000507219524186824,0.000557941476605507,0.000613735624266057,0.000675109186692663,0.00074262010536193,0.000816882115898123,0.000898570327487935,0.000988427360236729,0.0010872700962604,0.00119599710588644,0.00131559681647509,0.0014471564981226,0.00159187214793485,0.00175105936272834,0.00192616529900117,0.00211878182890129,0.00233066001179142,0.00256372601297056,0.00282009861426762,0.00310210847569438,0.00341231932326382,0.0037535512555902,0.00412890638114922,0.00454179701926415,0.00499597672119056,0.00549557439330962,0.00604513183264058,0.00664964501590464,0.0073146095174951,0.00804607046924461,0.00885067751616908,0.00973574526778599,0.0107093197945646,0.011780251774021,0.0129582769514231,0.0142541046465655,0.015679515111222,0.0172474666223442,0.0189722132845786,0.0208694346130365,0.0229563780743402,0.0252520158817742,0.0277772174699516,0.0305549392169468,0.0336104331386414,0.0369714764525056,0.0406686240977561,0.0447354865075318,0.0492090351582849,0.0541299386741134,0.0595429325415248,0.0654972257956773,0.072046948375245,0.0792516432127695,0.0871768075340465
"72-83",0.00166567369258882,0.000826564540345289,0.000410169736363168,0.00020354032191842,0.000101003704012849,5.01215097242708e-05,2.48720159482525e-05,1.81842743641931e-05,2.00027018006124e-05,2.20029719806736e-05,2.4203269178741e-05,2.66235960966151e-05,2.92859557062766e-05,3.22145512769043e-05,3.54360064045947e-05,3.89796070450542e-05,4.28775677495596e-05,4.71653245245156e-05,5.18818569769671e-05,5.70700426746638e-05,6.27770469421302e-05,6.90547516363432e-05,7.59602267999776e-05,8.35562494799754e-05,9.19118744279729e-05,0.00010110306187077,0.000111213368057847,0.000122334704863632,0.000134568175349995,0.000148024992884995,0.000162827492173494,0.000179110241390844,0.000197021265529928,0.000216723392082921,0.000238395731291213,0.000262235304420334,0.000288458834862368,0.000317304718348604,0.000349035190183465,0.000383938709201811,0.000422332580121993,0.000464565838134192,0.000511022421947611,0.000562124664142372,0.00061833713055661,0.000680170843612271,0.000748187927973498,0.000823006720770848,0.000905307392847932,0.000995838132132726,0.001095421945346,0.0012049641398806,0.00132546055386866,0.00145800660925552,0.00160380727018108,0.00176418799719918,0.0019406067969191,0.00213466747661101,0.00234813422427212,0.00258294764669933,0.00284124241136926,0.00312536665250619,0.00343790331775681,0.00378169364953249,0.00415986301448574,0.00457584931593431,0.00503343424752774,0.00553677767228051,0.00609045543950857,0.00669950098345942,0.00736945108180537,0.0081063961899859,0.0089170358089845,0.00980873938988295,0.0107896133288712,0.0118685746617584,0.0130554321279342,0.0143609753407276,0.0157970728748004,0.0173767801622804,0.0191144581785085,0.0210259039963593,0.0231284943959953,0.0254413438355948,0.0279854782191543,0.0307840260410697,0.0338624286451767,0.0372486715096943,0.0409735386606638,0.0450708925267301,0.0495779817794032,0.0545357799573435,0.0599893579530778,0.0659882937483856,0.0725871231232242,0.0798458354355466,0.0878304189791013,0.0966134608770114,0.106274806964713,0.116902287661184,0.128592516427302
"84-95",0.00347059499772402,0.00172222853238432,0.000854628995807284,0.00042409628382093,0.000210451153463181,0.000104433096170879,5.18232919913362e-05,2.57164988044106e-05,2.00200969886166e-05,2.20221066874783e-05,2.42243173562261e-05,2.66467490918487e-05,2.93114240010336e-05,3.2242566401137e-05,3.54668230412507e-05,3.90135053453757e-05,4.29148558799133e-05,4.72063414679046e-05,5.19269756146951e-05,5.71196731761646e-05,6.28316404937811e-05,6.91148045431592e-05,7.60262849974751e-05,8.36289134972226e-05,9.19918048469449e-05,0.000101190985331639,0.000111310083864803,0.000122441092251284,0.000134685201476412,0.000148153721624053,0.000162969093786459,0.000179266003165105,0.000197192603481615,0.000216911863829776,0.000238603050212754,0.00026246335523403,0.000288709690757433,0.000317580659833176,0.000349338725816494,0.000384272598398143,0.000422699858237957,0.000464969844061753,0.000511466828467928,0.000562613511314721,0.000618874862446193,0.000680762348690813,0.000748838583559894,0.000823722441915883,0.000906094686107472,0.000996704154718219,0.00109637457019004,0.00120601202720905,0.00132661322992995,0.00145927455292295,0.00160520200821524,0.00176572220903676,0.00194229442994044,0.00213652387293448,0.00235017626022793,0.00258519388625073,0.0028437132748758,0.00312808460236338,0.00344089306259972,0.00378498236885969,0.00416348060574566,0.00457982866632023,0.00503781153295225,0.00554159268624747,0.00609575195487222,0.00670532715035945,0.00737585986539539,0.00811344585193493,0.00892479043712842,0.00981726948084127,0.0107989964289254,0.0118788960718179,0.0130667856789997,0.0143734642468997,0.0158108106715897,0.0173918917387486,0.0191310809126235,0.0210441890038859,0.0231486079042745,0.0254634686947019,0.0280098155641721,0.0308107971205893,0.0338918768326482,0.0372810645159131,0.0410091709675044,0.0451100880642548,0.0496210968706803,0.0545832065577483,0.0600415272135232,0.0660456799348755,0.072650247928363,0.0799152727211993,0.0879067999933193,0.0966974799926512,0.106367227991916,0.117003950791108,0.128704345870219
"96-107",0.00401884042234488,0.00199428675688197,0.000989633638240908,0.000491090227901414,0.000243695851293966,0.000120930257952135,6.0009750722958e-05,2.97789010196019e-05,1.47773142739616e-05,1.19626637440755e-05,1.3158930118483e-05,1.44748231303313e-05,1.59223054433645e-05,1.75145359877009e-05,1.9265989586471e-05,2.11925885451181e-05,2.331184739963e-05,2.56430321395929e-05,2.82073353535522e-05,3.10280688889075e-05,3.41308757777982e-05,3.7543963355578e-05,4.12983596911359e-05,4.54281956602494e-05,4.99710152262744e-05,5.49681167489018e-05,6.0464928423792e-05,6.65114212661712e-05,7.31625633927884e-05,8.04788197320672e-05,8.85267017052739e-05,9.73793718758013e-05,0.000107117309063381,0.00011782903996972,0.000129611943966692,0.000142573138363361,0.000156830452199697,0.000172513497419667,0.000189764847161633,0.000208741331877797,0.000229615465065576,0.000252577011572134,0.000277834712729347,0.000305618184002282,0.00033618000240251,0.000369798002642761,0.000406777802907038,0.000447455583197741,0.000492201141517516,0.000541421255669267,0.000595563381236194,0.000655119719359813,0.000720631691295795,0.000792694860425374,0.000871964346467912,0.000959160781114703,0.00105507685922617,0.00116058454514879,0.00127664299966367,0.00140430729963004,0.00154473802959304,0.00169921183255234,0.00186913301580758,0.00205604631738834,0.00226165094912717,0.00248781604403989,0.00273659764844388,0.00301025741328827,0.00331128315461709,0.0036424114700788,0.00400665261708668,0.00440731787879535,0.00484804966667489,0.00533285463334238,0.00586614009667662,0.00645275410634428,0.00709802951697871,0.00780783246867658,0.00858861571554423,0.00944747728709866,0.0103922250158085,0.0114314475173894,0.0125745922691283,0.0138320514960411,0.0152152566456453,0.0167367823102098,0.0184104605412308,0.0202515065953538,0.0222766572548892,0.0245043229803782,0.026954755278416,0.0296502308062576,0.0326152538868833,0.0358767792755717,0.0394644572031289,0.0434109029234417,0.0477519932157859,0.0525271925373645,0.057779911791101,0.0635579029702111,0.0699136932672322
"108-119",0.00373623598725593,0.00185404872224879,0.000920042705063993,0.000456556814814859,0.000226559184705879,0.000112426454953711,5.57898713745277e-05,2.76848518372997e-05,1.37381750911005e-05,6.81735470151401e-06,5.63170732180663e-06,6.1948780539873e-06,6.81436585938603e-06,7.49580244532463e-06,8.24538268985709e-06,9.0699209588428e-06,9.97691305472708e-06,1.09746043601998e-05,1.20720647962198e-05,1.32792712758418e-05,1.46071984034259e-05,1.60679182437685e-05,1.76747100681454e-05,1.94421810749599e-05,2.13863991824559e-05,2.35250391007015e-05,2.58775430107717e-05,2.84652973118488e-05,3.13118270430337e-05,3.44430097473371e-05,3.78873107220708e-05,4.16760417942779e-05,4.58436459737057e-05,5.04280105710762e-05,5.54708116281839e-05,6.10178927910022e-05,6.71196820701025e-05,7.38316502771127e-05,8.1214815304824e-05,8.93362968353064e-05,9.82699265188371e-05,0.000108096919170721,0.000118906611087793,0.000130797272196572,0.000143876999416229,0.000158264699357852,0.000174091169293638,0.000191500286223001,0.000210650314845302,0.000231715346329832,0.000254886880962815,0.000280375569059096,0.000308413125965006,0.000339254438561507,0.000373179882417657,0.000410497870659423,0.000451547657725366,0.000496702423497902,0.000546372665847693,0.000601009932432462,0.000661110925675708,0.000727222018243279,0.000799944220067607,0.000879938642074367,0.000967932506281804,0.00106472575690998,0.00117119833260098,0.00128831816586108,0.00141714998244719,0.00155886498069191,0.0017147514787611,0.00188622662663721,0.00207484928930093,0.00228233421823103,0.00251056764005413,0.00276162440405954,0.0030377868444655,0.00334156552891205,0.00367572208180325,0.00404329428998358,0.00444762371898193,0.00489238609088013,0.00538162469996814,0.00591978716996495,0.00651176588696145,0.0071629424756576,0.00787923672322336,0.00866716039554569,0.00953387643510026,0.0104872640786103,0.0115359904864713,0.0126895895351185,0.0139585484886303,0.0153544033374933,0.0168898436712427,0.0185788280383669,0.0204367108422036,0.022480381926424,0.0247284201190664,0.027201262130973,0.0299213883440703
