"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",0.000416528304631732,0.000206695662055893,0.000102569492247345,5.08985076669545e-05,2.52575890351069e-05,1.39901261510501e-05,1.53891387661551e-05,1.69280526427706e-05,1.86208579070477e-05,2.04829436977525e-05,2.25312380675277e-05,2.47843618742805e-05,2.72627980617085e-05,2.99890778678794e-05,3.29879856546673e-05,3.62867842201341e-05,3.99154626421475e-05,4.39070089063622e-05,4.82977097969985e-05,5.31274807766983e-05,5.84402288543681e-05,6.4284251739805e-05,7.07126769137855e-05,7.7783944605164e-05,8.55623390656804e-05,9.41185729722485e-05,0.000103530430269473,0.000113883473296421,0.000125271820626063,0.000137799002688669,0.000151578902957536,0.00016673679325329,0.000183410472578619,0.00020175151983648,0.000221926671820128,0.000244119339002141,0.000268531272902356,0.000295384400192591,0.00032492284021185,0.000357415124233035,0.000393156636656339,0.000432472300321973,0.00047571953035417,0.000523291483389587,0.000575620631728546,0.000633182694901401,0.000696500964391541,0.000766151060830695,0.000842766166913764,0.000927042783605141,0.00101974706196565,0.00112172176816222,0.00123389394497844,0.00135728333947629,0.00149301167342392,0.00164231284076631,0.00180654412484294,0.00198719853732723,0.00218591839105996,0.00240451023016595,0.00264496125318255,0.0029094573785008,0.00320040311635088,0.00352044342798597,0.00387248777078457,0.00425973654786302,0.00468571020264933,0.00515428122291426,0.00566970934520569,0.00623668027972626,0.00686034830769888,0.00754638313846877,0.00830102145231565,0.00913112359754722,0.0100442359573019,0.0110486595530321,0.0121535255083353,0.0133688780591689,0.0147057658650858,0.0161763424515944,0.0177939766967538,0.0195733743664292,0.0215307118030721,0.0236837829833793,0.0260521612817172,0.028657377409889,0.0315231151508779,0.0346754266659656,0.0381429693325622,0.0419572662658184,0.0461529928924003,0.0507682921816403,0.0558451213998044,0.0614296335397848,0.0675725968937633,0.0743298565831396,0.0817628422414536,0.0899391264655989,0.0989330391121589,0.108826343023375,0.119708977325712
"60-71",0.00146162201642534,0.0007253070847793,0.000359922306396045,0.000178605820017416,8.86303470977208e-05,4.39814247144716e-05,2.93635859067422e-05,3.22999444974164e-05,3.55299389471581e-05,3.90829328418739e-05,4.29912261260613e-05,4.72903487386674e-05,5.20193836125341e-05,5.72213219737876e-05,6.29434541711663e-05,6.9237799588283e-05,7.61615795471113e-05,8.37777375018224e-05,9.21555112520046e-05,0.000101371062377205,0.000111508168614926,0.000122658985476418,0.00013492488402406,0.000148417372426466,0.000163259109669113,0.000179585020636024,0.000197543522699626,0.000217297874969589,0.000239027662466548,0.000262930428713203,0.000289223471584523,0.000318145818742975,0.000349960400617273,0.000384956440679,0.0004234520847469,0.00046579729322159,0.00051237702254375,0.000563614724798125,0.000619976197277937,0.000681973817005731,0.000750171198706304,0.000825188318576934,0.000907707150434628,0.000998477865478091,0.0010983256520259,0.00120815821722849,0.00132897403895134,0.00146187144284647,0.00160805858713112,0.00176886444584423,0.00194575089042866,0.00214032597947152,0.00235435857741867,0.00258979443516054,0.0028487738786766,0.00313365126654426,0.00344701639319868,0.00379171803251855,0.00417088983577041,0.00458797881934745,0.00504677670128219,0.00555145437141041,0.00610659980855145,0.0067172597894066,0.00738898576834726,0.00812788434518199,0.00894067277970019,0.00983474005767021,0.0108182140634372,0.011900035469781,0.013090039016759,0.014399042918435,0.0158389472102785,0.0174228419313063,0.0191651261244369,0.0210816387368806,0.0231898026105687,0.0255087828716256,0.0280596611587881,0.0308656272746669,0.0339521900021336,0.037347409002347,0.0410821499025817,0.0451903648928399,0.0497094013821238,0.0546803415203362,0.0601483756723699,0.0661632132396069,0.0727795345635676,0.0800574880199243,0.0880632368219168,0.0968695605041084,0.106556516554519,0.117212168209971,0.128933385030968,0.141826723534065,0.156009395887472,0.171610335476219,0.188771369023841,0.207648505926225,0.228413356518847
"72-83",0.00272763941203426,0.00135354843320585,0.000671677257980242,0.000333309342924151,0.000165399552777172,8.20769433550322e-05,4.07294005176713e-05,2.97778272273293e-05,3.27556099500622e-05,3.60311709450685e-05,3.96342880395753e-05,4.35977168435328e-05,4.79574885278861e-05,5.27532373806747e-05,5.80285611187422e-05,6.38314172306164e-05,7.02145589536781e-05,7.72360148490459e-05,8.49596163339505e-05,9.34555779673455e-05,0.00010280113576408,0.000113081249340488,0.000124389374274537,0.000136828311701991,0.00015051114287219,0.000165562257159409,0.00018211848287535,0.000200330331162885,0.000220363364279173,0.00024239970070709,0.000266639670777799,0.000293303637855579,0.000322634001641137,0.000354897401805251,0.000390387141985776,0.000429425856184354,0.000472368441802789,0.000519605285983068,0.000571565814581375,0.000628722396039513,0.000691594635643464,0.000760754099207811,0.000836829509128592,0.000920512460041451,0.0010125637060456,0.00111382007665016,0.00122520208431517,0.00134772229274669,0.00148249452202136,0.00163074397422349,0.00179381837164584,0.00197320020881043,0.00217052022969147,0.00238757225266062,0.00262632947792668,0.00288896242571935,0.00317785866829128,0.00349564453512041,0.00384520898863245,0.0042297298874957,0.00465270287624527,0.0051179731638698,0.00562977048025678,0.00619274752828245,0.0068120222811107,0.00749322450922177,0.00824254696014395,0.00906680165615834,0.00997348182177418,0.0109708300039516,0.0120679130043468,0.0132747043047814,0.0146021747352596,0.0160623922087855,0.0176686314296641,0.0194354945726305,0.0213790440298936,0.0235169484328829,0.0258686432761712,0.0284555076037883,0.0313010583641672,0.0344311642005839,0.0378742806206423,0.0416617086827065,0.0458278795509772,0.0504106675060749,0.0554517342566824,0.0609969076823506,0.0670965984505857,0.0738062582956443,0.0811868841252087,0.0893055725377296,0.0982361297915025,0.108059742770653,0.118865717047718,0.13075228875249,0.143827517627739,0.158210269390513,0.174031296329564,0.191434425962521,0.210577868558773
"84-95",0.00331501711909049,0.00164502544133907,0.000816318168334301,0.000405085134373503,0.000201017167638487,9.97516281309453e-05,4.95001866341552e-05,2.45636940742431e-05,1.9122647352007e-05,2.10349120872077e-05,2.31384032959285e-05,2.54522436255213e-05,2.79974679880735e-05,3.07972147868808e-05,3.38769362655689e-05,3.72646298921258e-05,4.09910928813384e-05,4.50902021694722e-05,4.95992223864194e-05,5.45591446250614e-05,6.00150590875675e-05,6.60165649963243e-05,7.26182214959567e-05,7.98800436455524e-05,8.78680480101076e-05,9.66548528111184e-05,0.00010632033809223,0.000116952371901453,0.000128647609091599,0.000141512370000758,0.000155663607000834,0.000171229967700918,0.00018835296447101,0.000207188260918111,0.000227907087009922,0.000250697795710914,0.000275767575282005,0.000303344332810206,0.000333678766091226,0.000367046642700349,0.000403751306970384,0.000444126437667422,0.000488539081434165,0.000537392989577581,0.000591132288535339,0.000650245517388873,0.000715270069127761,0.000786797076040537,0.000865476783644591,0.00095202446200905,0.00104722690820995,0.00115194959903095,0.00126714455893405,0.00139385901482745,0.0015332449163102,0.00168656940794122,0.00185522634873534,0.00204074898360887,0.00224482388196976,0.00246930627016673,0.00271623689718341,0.00298786058690175,0.00328664664559192,0.00361531131015112,0.00397684244116623,0.00437452668528285,0.00481197935381114,0.00529317728919225,0.00582249501811148,0.00640474451992262,0.00704521897191489,0.00774974086910638,0.00852471495601702,0.00937718645161872,0.0103149050967806,0.0113463956064587,0.0124810351671045,0.013729138683815,0.0151020525521965,0.0166122578074161,0.0182734835881577,0.0201008319469735,0.0221109151416709,0.0243220066558379,0.0267542073214217,0.0294296280535639,0.0323725908589203,0.0356098499448123,0.0391708349392936,0.0430879184332229,0.0473967102765452,0.0521363813041998,0.0573500194346197,0.0630850213780817,0.0693935235158899,0.0763328758674789,0.0839661634542268,0.0923627797996495,0.101599057779614,0.111758963557576,0.122934859913333
"96-107",0.00421074883507371,0.00208951830773216,0.00103689080716006,0.000514540859486386,0.000255332860753311,0.000126704942043956,6.28753474621229e-05,3.12009086205273e-05,1.54829633241064e-05,1.25339070804294e-05,1.37872977884723e-05,1.51660275673196e-05,1.66826303240515e-05,1.83508933564567e-05,2.01859826921024e-05,2.22045809613126e-05,2.44250390574439e-05,2.68675429631883e-05,2.95542972595071e-05,3.25097269854578e-05,3.57606996840036e-05,3.93367696524039e-05,4.32704466176443e-05,4.75974912794088e-05,5.23572404073496e-05,5.75929644480846e-05,6.33522608928931e-05,6.96874869821824e-05,7.66562356804006e-05,8.43218592484407e-05,9.27540451732848e-05,0.000102029449690613,0.000112232394659675,0.000123455634125642,0.000135801197538206,0.000149381317292027,0.00016431944902123,0.000180751393923353,0.000198826533315688,0.000218709186647257,0.000240580105311982,0.000264638115843181,0.000291101927427499,0.000320212120170249,0.000352233332187273,0.000387456665406001,0.000426202331946601,0.000468822565141261,0.000515704821655387,0.000567275303820926,0.000624002834203019,0.000686403117623321,0.000755043429385653,0.000830547772324218,0.00091360254955664,0.0010049628045123,0.00110545908496353,0.00121600499345989,0.00133760549280588,0.00147136604208647,0.00161850264629511,0.00178035291092462,0.00195838820201709,0.00215422702221879,0.00236964972444067,0.00260661469688474,0.00286727616657322,0.00315400378323054,0.00346940416155359,0.00381634457770895,0.00419797903547985,0.00461777693902783,0.00507955463293062,0.00558751009622368,0.00614626110584605,0.00676088721643065,0.00743697593807372,0.00818067353188109,0.0089987408850692,0.00989861497357612,0.0108884764709337,0.0119773241180271,0.0131750565298298,0.0144925621828128,0.0159418184010941,0.0175360002412035,0.0192896002653238,0.0212185602918562,0.0233404163210418,0.025674457953146,0.0282419037484606,0.0310660941233067,0.0341727035356374,0.0375899738892011,0.0413489712781212,0.0454838684059334,0.0500322552465267,0.0550354807711794,0.0605390288482973,0.0665929317331271,0.0732522249064398
"108-119",0.00482853476375205,0.0023960849206539,0.00118901969808409,0.000590032444278377,0.000292794379993943,0.00014529463555328,7.21001923636548e-05,3.57785937456015e-05,1.77545680316116e-05,8.81042693378296e-06,7.27815231033948e-06,8.00596754137343e-06,8.80656429551077e-06,9.68722072506185e-06,1.0655942797568e-05,1.17215370773248e-05,1.28936907850573e-05,1.41830598635631e-05,1.56013658499194e-05,1.71615024349113e-05,1.88776526784024e-05,2.07654179462427e-05,2.28419597408669e-05,2.51261557149536e-05,2.7638771286449e-05,3.04026484150939e-05,3.34429132566033e-05,3.67872045822636e-05,4.046592504049e-05,4.4512517544539e-05,4.89637692989929e-05,5.38601462288922e-05,5.92461608517814e-05,6.51707769369596e-05,7.16878546306555e-05,7.88566400937211e-05,8.67423041030932e-05,9.54165345134026e-05,0.000104958187964743,0.000115454006761217,0.000126999407437339,0.000139699348181073,0.00015366928299918,0.000169036211299098,0.000185939832429008,0.000204533815671909,0.0002249871972391,0.00024748591696301,0.000272234508659311,0.000299457959525242,0.000329403755477766,0.000362344131025542,0.000398578544128097,0.000438436398540906,0.000482280038394997,0.000530508042234497,0.000583558846457946,0.000641914731103741,0.000706106204214115,0.000776716824635527,0.00085438850709908,0.000939827357808988,0.00103381009358989,0.00113719110294888,0.00125091021324376,0.00137600123456814,0.00151360135802495,0.00166496149382745,0.00183145764321019,0.00201460340753121,0.00221606374828433,0.00243767012311277,0.00268143713542405,0.00294958084896645,0.0032445389338631,0.00356899282724941,0.00392589210997435,0.00431848132097178,0.00475032945306896,0.00522536239837586,0.00574789863821344,0.00632268850203479,0.00695495735223827,0.00765045308746209,0.0084154983962083,0.00925704823582913,0.0101827530594121,0.0112010283653533,0.0123211312018886,0.0135532443220774,0.0149085687542852,0.0163994256297137,0.0180393681926851,0.0198433050119536,0.021827635513149,0.0240103990644638,0.0264114389709102,0.0290525828680013,0.0319578411548014,0.0351536252702815,0.0386689877973097
