"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",1.28961034577444e-05,6.3994898125747e-06,3.17564681420524e-06,1.57586510548949e-06,8.30722518689474e-07,9.13794770558422e-07,1.00517424761426e-06,1.10569167237569e-06,1.21626083961326e-06,1.33788692357459e-06,1.47167561593204e-06,1.61884317752525e-06,1.78072749527777e-06,1.95880024480555e-06,2.15468026928611e-06,2.37014829621472e-06,2.60716312583619e-06,2.86787943841981e-06,3.15466738226179e-06,3.47013412048797e-06,3.81714753253677e-06,4.19886228579044e-06,4.61874851436949e-06,5.08062336580644e-06,5.58868570238708e-06,6.14755427262579e-06,6.76230969988837e-06,7.43854066987721e-06,8.18239473686493e-06,9.00063421055142e-06,9.90069763160657e-06,1.08907673947672e-05,1.19798441342439e-05,1.31778285476683e-05,1.44956114024352e-05,1.59451725426787e-05,1.75396897969466e-05,1.92936587766412e-05,2.12230246543053e-05,2.33453271197359e-05,2.56798598317095e-05,2.82478458148804e-05,3.10726303963685e-05,3.41798934360053e-05,3.75978827796059e-05,4.13576710575665e-05,4.54934381633231e-05,5.00427819796554e-05,5.5047060177621e-05,6.05517661953831e-05,6.66069428149214e-05,7.32676370964135e-05,8.05944008060549e-05,8.86538408866604e-05,9.75192249753264e-05,0.000107271147472859,0.000117998262220145,0.000129798088442159,0.000142777897286375,0.000157055687015013,0.000172761255716514,0.000190037381288166,0.000209041119416982,0.000229945231358681,0.000252939754494549,0.000278233729944004,0.000306057102938404,0.000336662813232244,0.000370329094555469,0.000407362004011016,0.000448098204412117,0.000492908024853329,0.000542198827338662,0.000596418710072528,0.000656060581079781,0.000721666639187759,0.000793833303106536,0.000873216633417189,0.000960538296758908,0.0010565921264348,0.00116225133907828,0.00127847647298611,0.00140632412028472,0.00154695653231319,0.00170165218554451,0.00187181740409896,0.00205899914450886,0.00226489905895974,0.00249138896485572,0.00274052786134129,0.00301458064747542,0.00331603871222296,0.00364764258344525,0.00401240684178978,0.00441364752596876,0.00485501227856563,0.0053405135064222,0.00587456485706442,0.00646202134277086,0.00710822347704795,0.00781904582475274
"48-59",0.000132126310422705,6.55656167999654e-05,3.25359127384004e-05,1.61454382553961e-05,8.01192142832207e-06,4.80602224857975e-06,5.28662447343773e-06,5.8152869207815e-06,6.39681561285965e-06,7.03649717414562e-06,7.74014689156018e-06,8.5141615807162e-06,9.36557773878782e-06,1.03021355126666e-05,1.13323490639333e-05,1.24655839703266e-05,1.37121423673593e-05,1.50833566040952e-05,1.65916922645047e-05,1.82508614909552e-05,2.00759476400507e-05,2.20835424040558e-05,2.42918966444613e-05,2.67210863089075e-05,2.93931949397982e-05,3.23325144337781e-05,3.55657658771559e-05,3.91223424648715e-05,4.30345767113586e-05,4.73380343824945e-05,5.20718378207439e-05,5.72790216028183e-05,6.30069237631002e-05,6.93076161394102e-05,7.62383777533512e-05,8.38622155286863e-05,9.2248437081555e-05,0.00010147328078971,0.000111620608868682,0.00012278266975555,0.000135060936731105,0.000148567030404215,0.000163423733444637,0.0001797661067891,0.00019774271746801,0.000217516989214811,0.000239268688136293,0.000263195556949922,0.000289515112644914,0.000318466623909406,0.000350313286300346,0.000385344614930381,0.000423879076423419,0.000466266984065761,0.000512893682472337,0.000564183050719571,0.000620601355791528,0.000682661491370681,0.000750927640507749,0.000826020404558524,0.000908622445014376,0.000999484689515814,0.0010994331584674,0.00120937647431413,0.00133031412174555,0.0014633455339201,0.00160968008731211,0.00177064809604333,0.00194771290564766,0.00214248419621242,0.00235673261583367,0.00259240587741703,0.00285164646515874,0.00313681111167461,0.00345049222284207,0.00379554144512628,0.00417509558963891,0.0045926051486028,0.00505186566346308,0.00555705222980939,0.00611275745279033,0.00672403319806936,0.0073964365178763,0.00813608016966393,0.00894968818663032,0.00984465700529336,0.0108291227058227,0.011912034976405,0.0131032384740455,0.01441356232145,0.015854918553595,0.0174404104089545,0.01918445144985,0.021102896594835,0.0232131862543185,0.0255345048797503,0.0280879553677253,0.0308967509044979,0.0339864259949477,0.0373850685944424,0.0411235754538867
"60-71",0.000563481090807751,0.000279618685754044,0.000138756403184246,6.88556967239466e-05,3.41685634863617e-05,1.69556156755219e-05,1.13201807518089e-05,1.24521988269897e-05,1.36974187096887e-05,1.50671605806576e-05,1.65738766387234e-05,1.82312643025957e-05,2.00543907328553e-05,2.20598298061408e-05,2.42658127867549e-05,2.66923940654304e-05,2.93616334719734e-05,3.22977968191707e-05,3.55275765010878e-05,3.90803341511966e-05,4.29883675663163e-05,4.72872043229479e-05,5.20159247552427e-05,5.7217517230767e-05,6.29392689538437e-05,6.9233195849228e-05,7.61565154341508e-05,8.37721669775659e-05,9.21493836753226e-05,0.000101364322042855,0.00011150075424714,0.000122650829671854,0.00013491591263904,0.000148407503902944,0.000163248254293238,0.000179573079722562,0.000197530387694818,0.0002172834264643,0.00023901176911073,0.000262912946021803,0.000289204240623983,0.000318124664686382,0.00034993713115502,0.000384930844270522,0.000423423928697574,0.000465766321567332,0.000512342953724065,0.000563577249096472,0.000619934974006119,0.000681928471406731,0.000750121318547404,0.000825133450402144,0.000907646795442359,0.000998411474986595,0.00109825262248525,0.00120807788473378,0.00132888567320716,0.00146177424052787,0.00160795166458066,0.00176874683103873,0.0019456215141426,0.00214018366555686,0.00235420203211255,0.0025896222353238,0.00284858445885618,0.0031334429047418,0.00344678719521598,0.00379146591473758,0.00417061250621134,0.00458767375683247,0.00504644113251572,0.00555108524576729,0.00610619377034402,0.00671681314737842,0.00738849446211627,0.00812734390832789,0.00894007829916068,0.00983408612907676,0.0108174947419844,0.0118992442161829,0.0130891686378012,0.0143980855015813,0.0158378940517394,0.0174216834569134,0.0191638518026047,0.0210802369828652,0.0231882606811517,0.0255070867492668,0.0280577954241935,0.0308635749666129,0.0339499324632742,0.0373449257096016,0.0410794182805618,0.0451873601086179,0.0497060961194797,0.0546767057314277,0.0601443763045705,0.0661588139350275,0.0727746953285303,0.0800521648613833,0.0880573813475217
"72-83",0.00168249867938264,0.000834913677116454,0.000414312865013301,0.00020559628476608,0.000102023943447323,5.06277876002735e-05,2.51232484325783e-05,1.83679539032253e-05,2.02047492935479e-05,2.22252242229027e-05,2.44477466451929e-05,2.68925213097122e-05,2.95817734406834e-05,3.25399507847518e-05,3.5793945863227e-05,3.93733404495497e-05,4.33106744945047e-05,4.76417419439551e-05,5.24059161383506e-05,5.76465077521857e-05,6.34111585274043e-05,6.97522743801447e-05,7.67275018181592e-05,8.44002519999751e-05,9.28402771999726e-05,0.00010212430491997,0.000112336735411967,0.000123570408953164,0.00013592744984848,0.000149520194833328,0.000164472214316661,0.000180919435748327,0.00019901137932316,0.000218912517255476,0.000240803768981023,0.000264884145879125,0.000291372560467038,0.000320509816513742,0.000352560798165116,0.000387816877981628,0.00042659856577979,0.00046925842235777,0.000516184264593547,0.000567802691052901,0.000624582960158191,0.000687041256174011,0.000755745381791412,0.000831319919970553,0.000914451911967609,0.00100589710316437,0.00110648681348081,0.00121713549482889,0.00133884904431178,0.00147273394874295,0.00162000734361725,0.00178200807797897,0.00196020888577687,0.00215622977435456,0.00237185275179002,0.00260903802696902,0.00286994182966592,0.00315693601263251,0.00347262961389576,0.00381989257528534,0.00420188183281387,0.00462207001609526,0.00508427701770479,0.00559270471947527,0.00615197519142279,0.00676717271056507,0.00744388998162158,0.00818827897978374,0.00900710687776212,0.00990781756553833,0.0108985993220922,0.0119884592543014,0.0131873051797315,0.0145060356977047,0.0159566392674751,0.0175523031942227,0.0193075335136449,0.0212382868650094,0.0233621155515104,0.0256983271066614,0.0282681598173275,0.0310949757990603,0.0342044733789663,0.037624920716863,0.0413874127885493,0.0455261540674042,0.0500787694741446,0.0550866464215591,0.060595311063715,0.0666548421700865,0.0733203263870952,0.0806523590258047,0.0887175949283851,0.0975893544212237,0.107348289863346,0.118083118849681,0.129891430734649
"84-95",0.00350565151285255,0.00173962478018619,0.00086326161192655,0.000428380084667606,0.000212576922690082,0.00010548797593018,5.23467595872083e-05,2.59762614185966e-05,2.02223201905218e-05,2.2244552209574e-05,2.44690074305314e-05,2.69159081735846e-05,2.9607498990943e-05,3.25682488900373e-05,3.58250737790411e-05,3.94075811569452e-05,4.33483392726397e-05,4.76831731999037e-05,5.2451490519894e-05,5.76966395718834e-05,6.34663035290718e-05,6.9812933881979e-05,7.67942272701769e-05,8.44736499971946e-05,9.2921014996914e-05,0.000102213116496605,0.000112434428146266,0.000123677870960893,0.000136045658056982,0.00014965022386268,0.000164615246248948,0.000181076770873843,0.000199184447961227,0.00021910289275735,0.000241013182033085,0.000265114500236394,0.000291625950260033,0.000320788545286036,0.00035286739981464,0.000388154139796104,0.000426969553775714,0.000469666509153286,0.000516633160068614,0.000568296476075476,0.000625126123683023,0.000687638736051326,0.000756402609656459,0.000832042870622105,0.000915247157684315,0.00100677187345275,0.00110744906079802,0.00121819396687782,0.00134001336356561,0.00147401469992217,0.00162141616991438,0.00178355778690582,0.0019619135655964,0.00215810492215605,0.00237391541437165,0.00261130695580881,0.0028724376513897,0.00315968141652867,0.00347564955818153,0.00382321451399969,0.00420553596539966,0.00462608956193962,0.00508869851813358,0.00559756836994694,0.00615732520694164,0.0067730577276358,0.00745036350039938,0.00819539985043932,0.00901493983548326,0.00991643381903158,0.0109080772009347,0.0119988849210282,0.013198773413131,0.0145186507544441,0.0159705158298886,0.0175675674128774,0.0193243241541652,0.0212567565695817,0.0233824322265398,0.0257206754491938,0.0282927429941132,0.0311220172935245,0.034234219022877,0.0376576409251647,0.0414234050176812,0.0455657455194493,0.0501223200713942,0.0551345520785337,0.060648007286387,0.0667128080150257,0.0733840888165283,0.0807224976981812,0.0887947474679993,0.0976742222147992,0.107441644436279,0.118185808879907,0.130004389767898
"96-107",0.00405943477004533,0.00201443106755754,0.000999629937617079,0.000496050735253954,0.000246157425549461,0.000122151775709227,6.06159098211697e-05,3.00796979995978e-05,1.49265800747087e-05,1.20834987313894e-05,1.32918486045283e-05,1.46210334649812e-05,1.60831368114793e-05,1.76914504926272e-05,1.94605955418899e-05,2.14066550960789e-05,2.35473206056868e-05,2.59020526662555e-05,2.84922579328811e-05,3.13414837261692e-05,3.44756320987861e-05,3.79231953086647e-05,4.17155148395312e-05,4.58870663234843e-05,5.04757729558327e-05,5.5523350251416e-05,6.10756852765576e-05,6.71832538042134e-05,7.39015791846347e-05,8.12917371030982e-05,8.9420910813408e-05,9.83630018947488e-05,0.000108199302084224,0.000119019232292646,0.000130921155521911,0.000144013271074102,0.000158414598181512,0.000174256057999663,0.00019168166379963,0.000210849830179593,0.000231934813197552,0.000255128294517307,0.000280641123969038,0.000308705236365942,0.000339575760002536,0.000373533336002789,0.000410886669603068,0.000451975336563375,0.000497172870219713,0.000546890157241684,0.000601579172965852,0.000661737090262438,0.000727910799288681,0.00080070187921755,0.000880772067139305,0.000968849273853235,0.00106573420123856,0.00117230762136241,0.00128953838349866,0.00141849222184852,0.00156034144403337,0.00171637558843671,0.00188801314728038,0.00207681446200842,0.00228449590820926,0.00251294549903019,0.00276424004893321,0.00304066405382653,0.00334473045920919,0.0036792035051301,0.00404712385564311,0.00445183624120743,0.00489701986532817,0.00538672185186099,0.00592539403704709,0.0065179334407518,0.00716972678482698,0.00788669946330967,0.00867536940964064,0.00954290635060471,0.0104971969856652,0.0115469166842317,0.0127016083526549,0.0139717691879204,0.0153689461067124,0.0169058407173836,0.018596424789122,0.0204560672680342,0.0225016739948376,0.0247518413943214,0.0272270255337535,0.0299497280871289,0.0329447008958418,0.036239170985426,0.0398630880839685,0.0438493968923654,0.0482343365816019,0.0530577702397621,0.0583635472637384,0.0641999019901122,0.0706198921891234
"108-119",0.00377397574470296,0.00187277648711999,0.000929336065721205,0.000461168499812989,0.00022884766131907,0.000113562075710819,5.63534054288159e-05,2.79644968053533e-05,1.38769445364651e-05,6.88621687021617e-06,5.68859325435013e-06,6.25745257978515e-06,6.88319783776366e-06,7.57151762154003e-06,8.32866938369404e-06,9.16153632206344e-06,1.00776899542698e-05,1.10854589496968e-05,1.21940048446664e-05,1.34134053291331e-05,1.47547458620464e-05,1.6230220448251e-05,1.78532424930761e-05,1.96385667423838e-05,2.16024234166221e-05,2.37626657582843e-05,2.61389323341128e-05,2.87528255675241e-05,3.16281081242765e-05,3.47909189367041e-05,3.82700108303745e-05,4.2097011913412e-05,4.63067131047532e-05,5.09373844152285e-05,5.60311228567514e-05,6.16342351424265e-05,6.77976586566692e-05,7.45774245223361e-05,8.20351669745697e-05,9.02386836720267e-05,9.92625520392294e-05,0.000109188807243152,0.000120107687967468,0.000132118456764214,0.000145330302440636,0.000159863332684699,0.000175849665953169,0.000193434632548486,0.000212778095803335,0.000234055905383668,0.000257461495922035,0.000283207645514239,0.000311528410065663,0.000342681251072229,0.000376949376179452,0.000414644313797397,0.000456108745177137,0.000501719619694851,0.000551891581664336,0.000607080739830769,0.000667788813813847,0.000734567695195231,0.000808024464714754,0.00088882691118623,0.000977709602304853,0.00107548056253534,0.00118302861878887,0.00130133148066776,0.00143146462873454,0.00157461109160799,0.00173207220076879,0.00190527942084567,0.00209580736293023,0.00230538809922326,0.00253592690914558,0.00278951960006014,0.00306847156006616,0.00337531871607277,0.00371285058768005,0.00408413564644806,0.00449254921109286,0.00494180413220215,0.00543598454542236,0.0059795829999646,0.00657754129996106,0.00723529542995717,0.00795882497295289,0.00875470747024818,0.00963017821727299,0.0105931960390003,0.0116525156429003,0.0128177672071904,0.0140995439279094,0.0155094983207003,0.0170604481527704,0.0187664929680474,0.0206431422648522,0.0227074564913374,0.0249782021404711,0.0274760223545182,0.03022362458997
