"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",3.7139783184766e-08,1.84300370193923e-08,9.15400576686366e-09,1.006940634355e-08,1.1076346977905e-08,1.21839816756955e-08,1.34023798432651e-08,1.47426178275916e-08,1.62168796103508e-08,1.78385675713858e-08,1.96224243285244e-08,2.15846667613769e-08,2.37431334375146e-08,2.6117446781266e-08,2.87291914593926e-08,3.16021106053319e-08,3.47623216658651e-08,3.82385538324516e-08,4.20624092156967e-08,4.62686501372664e-08,5.08955151509931e-08,5.59850666660924e-08,6.15835733327016e-08,6.77419306659718e-08,7.4516123732569e-08,8.19677361058259e-08,9.01645097164085e-08,9.91809606880493e-08,1.09099056756854e-07,1.2000896243254e-07,1.32009858675794e-07,1.45210844543373e-07,1.5973192899771e-07,1.75705121897481e-07,1.9327563408723e-07,2.12603197495953e-07,2.33863517245548e-07,2.57249868970103e-07,2.82974855867113e-07,3.11272341453824e-07,3.42399575599207e-07,3.76639533159127e-07,4.1430348647504e-07,4.55733835122544e-07,5.01307218634799e-07,5.51437940498279e-07,6.06581734548107e-07,6.67239908002917e-07,7.33963898803209e-07,8.0736028868353e-07,8.88096317551883e-07,9.76905949307071e-07,1.07459654423778e-06,1.18205619866156e-06,1.30026181852771e-06,1.43028800038048e-06,1.57331680041853e-06,1.73064848046039e-06,1.90371332850642e-06,2.09408466135707e-06,2.30349312749277e-06,2.53384244024205e-06,2.78722668426626e-06,3.06594935269288e-06,3.37254428796217e-06,3.70979871675839e-06,4.08077858843423e-06,4.48885644727765e-06,4.93774209200542e-06,5.43151630120596e-06,5.97466793132656e-06,6.57213472445921e-06,7.22934819690513e-06,7.95228301659565e-06,8.74751131825521e-06,9.62226245008073e-06,1.05844886950888e-05,1.16429375645977e-05,1.28072313210575e-05,1.40879544531632e-05,1.54967498984795e-05,1.70464248883275e-05,1.87510673771602e-05,2.06261741148763e-05,2.26887915263639e-05,2.49576706790003e-05,2.74534377469003e-05,3.01987815215903e-05,3.32186596737494e-05,3.65405256411243e-05,4.01945782052367e-05,4.42140360257604e-05,4.86354396283365e-05,5.34989835911701e-05,5.88488819502871e-05,6.47337701453159e-05,7.12071471598474e-05,7.83278618758322e-05,8.61606480634154e-05,9.4776712869757e-05,0.000104254384156733
"24-29",1.91152777852217e-06,9.48565788510332e-07,4.7071094924284e-07,2.52643916173007e-07,2.77908307790307e-07,3.05699138569338e-07,3.36269052426272e-07,3.69895957668899e-07,4.06885553435789e-07,4.47574108779368e-07,4.92331519657305e-07,5.41564671623036e-07,5.95721138785339e-07,6.55293252663873e-07,7.2082257793026e-07,7.92904835723287e-07,8.72195319295615e-07,9.59414851225177e-07,1.05535633634769e-06,1.16089196998246e-06,1.27698116698071e-06,1.40467928367878e-06,1.54514721204666e-06,1.69966193325133e-06,1.86962812657646e-06,2.05659093923411e-06,2.26225003315752e-06,2.48847503647327e-06,2.7373225401206e-06,3.01105479413265e-06,3.31216027354592e-06,3.64337630090051e-06,4.00771393099056e-06,4.40848532408962e-06,4.84933385649858e-06,5.33426724214844e-06,5.86769396636329e-06,6.45446336299962e-06,7.09990969929958e-06,7.80990066922954e-06,8.59089073615249e-06,9.44997980976774e-06,1.03949777907445e-05,1.1434475569819e-05,1.25779231268009e-05,1.3835715439481e-05,1.52192869834291e-05,1.6741215681772e-05,1.84153372499492e-05,2.02568709749441e-05,2.22825580724385e-05,2.45108138796823e-05,2.69618952676506e-05,2.96580847944156e-05,3.26238932738572e-05,3.58862826012429e-05,3.94749108613672e-05,4.34224019475039e-05,4.77646421422543e-05,5.25411063564798e-05,5.77952169921277e-05,6.35747386913405e-05,6.99322125604746e-05,7.6925433816522e-05,8.46179771981743e-05,9.30797749179917e-05,0.000102387752409791,0.00011262652765077,0.000123889180415847,0.000136278098457432,0.000149905908303175,0.000164896499133492,0.000181386149046842,0.000199524763951526,0.000219477240346678,0.000241424964381346,0.000265567460819481,0.000292124206901429,0.000321336627591572,0.000353470290350729,0.000388817319385802,0.000427699051324382,0.000470468956456821,0.000517515852102503,0.000569267437312753,0.000626194181044028,0.000688813599148431,0.000757694959063274,0.000833464454969602,0.000916810900466562,0.00100849199051322,0.00110934118956454,0.00122027530852099,0.00134230283937309,0.0014765331233104,0.00162418643564144,0.00178660507920559,0.00196526558712615,0.00216179214583876,0.00237797136042264,0.0026157684964649
"30-35",2.61136195285894e-06,1.29584756116627e-06,6.4304410192625e-07,3.36155132927112e-07,3.69770646219823e-07,4.06747710841805e-07,4.47422481925986e-07,4.92164730118584e-07,5.41381203130443e-07,5.95519323443487e-07,6.55071255787836e-07,7.2057838136662e-07,7.92636219503281e-07,8.7189984145361e-07,9.59089825598971e-07,1.05499880815887e-06,1.16049868897475e-06,1.27654855787223e-06,1.40420341365945e-06,1.5446237550254e-06,1.69908613052794e-06,1.86899474358073e-06,2.05589421793881e-06,2.26148363973269e-06,2.48763200370596e-06,2.73639520407655e-06,3.01003472448421e-06,3.31103819693263e-06,3.64214201662589e-06,4.00635621828848e-06,4.40699184011733e-06,4.84769102412906e-06,5.33246012654197e-06,5.86570613919617e-06,6.45227675311579e-06,7.09750442842736e-06,7.8072548712701e-06,8.58798035839711e-06,9.44677839423682e-06,1.03914562336605e-05,1.14306018570266e-05,1.25736620427292e-05,1.38310282470021e-05,1.52141310717024e-05,1.67355441788726e-05,1.84090985967599e-05,2.02500084564358e-05,2.22750093020794e-05,2.45025102322874e-05,2.69527612555161e-05,2.96480373810677e-05,3.26128411191745e-05,3.58741252310919e-05,3.94615377542011e-05,4.34076915296213e-05,4.77484606825834e-05,5.25233067508417e-05,5.77756374259259e-05,6.35532011685185e-05,6.99085212853703e-05,7.68993734139074e-05,8.45893107552981e-05,9.3048241830828e-05,0.000102353066013911,0.000112588372615302,0.000123847209876832,0.000136231930864515,0.000149855123950967,0.000164840636346063,0.00018132469998067,0.000199457169978737,0.000219402886976611,0.000241343175674272,0.000265477493241699,0.000292025242565869,0.000321227766822456,0.000353350543504701,0.000388685597855171,0.000427554157640689,0.000470309573404757,0.000517340530745233,0.000569074583819757,0.000625982042201732,0.000688580246421906,0.000757438271064096,0.000833182098170506,0.000916500307987557,0.00100815033878631,0.00110896537266494,0.00121986190993144,0.00134184810092458,0.00147603291101704,0.00162363620211874,0.00178599982233062,0.00196459980456368,0.00216105978502005,0.00237716576352206,0.00261488233987426,0.00287637057386169,0.00316400763124786,0.00348040839437264
"36-47",7.76452917178533e-05,3.85302626464585e-05,1.91200407231352e-05,9.48802141861213e-06,5.00164196972996e-06,5.50180616670296e-06,6.05198678337326e-06,6.65718546171058e-06,7.32290400788164e-06,8.0551944086698e-06,8.86071384953679e-06,9.74678523449047e-06,1.07214637579395e-05,1.17936101337335e-05,1.29729711471068e-05,1.42702682618175e-05,1.56972950879992e-05,1.72670245967992e-05,1.89937270564791e-05,2.0893099762127e-05,2.29824097383397e-05,2.52806507121737e-05,2.7808715783391e-05,3.05895873617302e-05,3.36485460979032e-05,3.70134007076935e-05,4.07147407784628e-05,4.47862148563091e-05,4.92648363419401e-05,5.41913199761341e-05,5.96104519737475e-05,6.55714971711223e-05,7.21286468882345e-05,7.93415115770579e-05,8.72756627347637e-05,9.60032290082401e-05,0.000105603551909064,0.000116163907099971,0.000127780297809968,0.000140558327590964,0.000154614160350061,0.000170075576385067,0.000187083134023574,0.000205791447425931,0.000226370592168524,0.000249007651385377,0.000273908416523914,0.000301299258176306,0.000331429183993936,0.00036457210239333,0.000401029312632663,0.000441132243895929,0.000485245468285522,0.000533770015114075,0.000587147016625482,0.00064586171828803,0.000710447890116833,0.000781492679128517,0.000859641947041368,0.000945606141745505,0.00104016675592006,0.00114418343151206,0.00125860177466327,0.0013844619521296,0.00152290814734255,0.00167519896207681,0.00184271885828449,0.00202699074411294,0.00222968981852423,0.00245265880037666,0.00269792468041432,0.00296771714845576,0.00326448886330133,0.00359093774963147,0.00395003152459461,0.00434503467705408,0.00477953814475948,0.00525749195923543,0.00578324115515897,0.00636156527067487,0.00699772179774236,0.0076974939775166,0.00846724337526826,0.00931396771279508,0.0102453644840746,0.0112699009324821,0.0123968910257303,0.0136365801283033,0.0150002381411336,0.016500261955247,0.0181502881507717,0.0199653169658489,0.0219618486624337,0.0241580335286771,0.0265738368815448,0.0292312205696993,0.0321543426266693,0.0353697768893362,0.0389067545782698,0.0427974300360968,0.0470771730397065
"48-59",4.28712737870059e-05,2.12741996643405e-05,1.05569891299894e-05,5.23874088093313e-06,2.59964329598468e-06,2.72028215298146e-06,2.99231036827961e-06,3.29154140510757e-06,3.62069554561832e-06,3.98276510018015e-06,4.38104161019817e-06,4.81914577121799e-06,5.30106034833978e-06,5.83116638317376e-06,6.41428302149114e-06,7.05571132364025e-06,7.76128245600427e-06,8.53741070160471e-06,9.39115177176518e-06,1.03302669489417e-05,1.13632936438359e-05,1.24996230082195e-05,1.37495853090414e-05,1.51245438399456e-05,1.66369982239401e-05,1.83006980463341e-05,2.01307678509675e-05,2.21438446360643e-05,2.43582290996707e-05,2.67940520096378e-05,2.94734572106015e-05,3.24208029316617e-05,3.56628832248279e-05,3.92291715473108e-05,4.31520887020418e-05,4.7467297572246e-05,5.22140273294705e-05,5.74354300624176e-05,6.31789730686594e-05,6.94968703755253e-05,7.64465574130779e-05,8.40912131543857e-05,9.25003344698242e-05,0.000101750367916807,0.000111925404708487,0.000123117945179336,0.00013542973969727,0.000148972713666997,0.000163869985033696,0.000180256983537066,0.000198282681890773,0.00021811095007985,0.000239922045087835,0.000263914249596618,0.00029030567455628,0.000319336242011909,0.0003512698662131,0.000386396852834409,0.00042503653811785,0.000467540191929635,0.000514294211122598,0.000565723632234858,0.000622295995458345,0.00068452559500418,0.000752978154504596,0.000828275969955056,0.000911103566950563,0.00100221392364562,0.00110243531601018,0.0012126788476112,0.00133394673237232,0.00146734140560955,0.0016140755461705,0.00177548310078756,0.00195303141086631,0.00214833455195295,0.00236316800714824,0.00259948480786306,0.00285943328864937,0.00314537661751431,0.00345991427926574,0.00380590570719231,0.00418649627791154,0.0046051459057027,0.00506566049627297,0.00557222654590026,0.00612944920049029,0.00674239412053932,0.00741663353259325,0.00815829688585257,0.00897412657443784,0.00987153923188162,0.0108586931550698,0.0119445624705768,0.0131390187176345,0.0144529205893979,0.0158982126483377,0.0174880339131715,0.0192368373044886,0.0211605210349374,0.0232765731384312
"60-71",1.4763858751771e-05,7.32633418968969e-06,3.63557885248541e-06,1.8040991920951e-06,8.95256031290093e-07,4.44256815297704e-07,2.96601877845884e-07,3.26262065630464e-07,3.58888272193517e-07,3.94777099412864e-07,4.34254809354155e-07,4.77680290289578e-07,5.25448319318537e-07,5.77993151250385e-07,6.35792466375422e-07,6.99371713012951e-07,7.69308884314264e-07,8.4623977274567e-07,9.30863750020272e-07,1.02395012502227e-06,1.12634513752449e-06,1.23897965127696e-06,1.36287761640463e-06,1.4991653780451e-06,1.64908191584964e-06,1.81399010743458e-06,1.99538911817808e-06,2.19492802999585e-06,2.41442083299544e-06,2.65586291629501e-06,2.92144920792446e-06,3.21359412871699e-06,3.5349535415887e-06,3.88844889574741e-06,4.27729378532225e-06,4.70502316385444e-06,5.17552548023989e-06,5.69307802826395e-06,6.26238583109021e-06,6.88862441419931e-06,7.57748685561923e-06,8.33523554118123e-06,9.16875909529936e-06,1.00856350048291e-05,1.10941985053121e-05,1.22036183558434e-05,1.34239801914276e-05,1.47663782105705e-05,1.62430160316272e-05,1.78673176347904e-05,1.96540493982691e-05,2.16194543380963e-05,2.37813997719062e-05,2.61595397490961e-05,2.87754937240052e-05,3.16530430964066e-05,3.48183474060482e-05,3.83001821466522e-05,4.21302003613183e-05,4.63432203974493e-05,5.09775424371939e-05,5.60752966809143e-05,6.16828263490044e-05,6.78511089839051e-05,7.46362198822932e-05,8.20998418705234e-05,9.03098260575785e-05,9.93408086633358e-05,0.00010927488952967,0.000120202378482636,0.000132222616330899,0.000145444877963989,0.000159989365760387,0.000175988302336429,0.000193587132570075,0.000212945845827078,0.000234240430409788,0.000257664473450766,0.000283430920795844,0.000311774012875427,0.000342951414162969,0.000377246555579261,0.000414971211137184,0.000456468332250916,0.000502115165476005,0.000552326682023596,0.000607559350225946,0.00066831528524855,0.000735146813773402,0.000808661495150742,0.000889527644665808,0.000978480409132426,0.00107632845004564,0.00118396129505023,0.00130235742455526,0.00143259316701072,0.00157585248371181,0.00173343773208301,0.00190678150529133,0.00209745965582042,0.00230720562140249
"72-83",2.75519132528716e-05,1.36722063960189e-05,6.78461876747706e-06,3.36676103963781e-06,1.67070255330476e-06,8.29060033889225e-07,4.1140808603709e-07,3.00786133609382e-07,3.30864746970318e-07,3.63951221667348e-07,4.00346343834095e-07,4.40380978217502e-07,4.84419076039256e-07,5.3286098364318e-07,5.86147082007493e-07,6.44761790208242e-07,7.09237969229076e-07,7.8016176615199e-07,8.58177942767195e-07,9.43995737043906e-07,1.03839531074829e-06,1.14223484182315e-06,1.25645832600545e-06,1.38210415860597e-06,1.52031457446652e-06,1.6723460319132e-06,1.83958063510454e-06,2.02353869861499e-06,2.2258925684765e-06,2.44848182532411e-06,2.69333000785661e-06,2.96266300864225e-06,3.25892930950648e-06,3.58482224045709e-06,3.94330446450283e-06,4.33763491095306e-06,4.77139840204832e-06,5.2485382422533e-06,5.7733920664785e-06,6.35073127312649e-06,6.98580440043888e-06,7.68438484048304e-06,8.45282332453121e-06,9.29810565698439e-06,1.02279162226828e-05,1.12507078449512e-05,1.23757786294461e-05,1.36133564923907e-05,1.49746921416299e-05,1.64721613557931e-05,1.81193774913717e-05,1.99313152405094e-05,2.19244467645602e-05,2.41168914410159e-05,2.65285805851178e-05,2.91814386436293e-05,3.20995825079926e-05,3.53095407587918e-05,3.88404948346716e-05,4.27245443181384e-05,4.69969987499522e-05,5.16966986249473e-05,5.68663684874429e-05,6.25530053361871e-05,6.88083058698052e-05,7.56891364567846e-05,8.32580501024648e-05,9.15838551127108e-05,0.00010074224062398,0.000110816464686379,0.000121898111155015,0.000134087922270522,0.000147496714497573,0.000162246385947327,0.000178471024542066,0.000196318126996265,0.000215949939695894,0.000237544933665484,0.000261299427032024,0.000287429369735238,0.000316172306708759,0.000347789537379628,0.000382568491117598,0.000420825340229358,0.000462907874252294,0.000509198661677535,0.000560118527845273,0.000616130380629805,0.000677743418692797,0.000745517760562059,0.00082006953661827,0.000902076490280096,0.000992284139308117,0.00109151255323893,0.0012006638085628,0.00132073018941911,0.00145280320836097,0.0015980835291971,0.00175789188211684,0.00193368107032851,0.0021270491773614
"84-95",3.34850214049548e-05,1.66164185993847e-05,8.24563806398277e-06,4.09176903407574e-06,2.03047644079283e-06,1.0075922033429e-06,5.00001885193484e-07,2.48118121962046e-07,1.93158054060677e-07,2.12473859466742e-07,2.33721245413426e-07,2.57093369954757e-07,2.82802706950234e-07,3.1108297764526e-07,3.42191275409782e-07,3.76410402950777e-07,4.14051443245835e-07,4.55456587570427e-07,5.0100224632746e-07,5.51102470960213e-07,6.06212718056244e-07,6.66833989861868e-07,7.33517388848041e-07,8.06869127732856e-07,8.87556040506126e-07,9.76311644556731e-07,1.0739428090124e-06,1.18133708991367e-06,1.29947079890506e-06,1.42941787879553e-06,1.57235966667508e-06,1.72959563334257e-06,1.90255519667688e-06,2.09281071634457e-06,2.30209178797897e-06,2.53230096677686e-06,2.78553106345465e-06,3.06408416980003e-06,3.37049258678011e-06,3.70754184545808e-06,4.07829603000397e-06,4.48612563300432e-06,4.9347381963046e-06,5.42821201593522e-06,5.97103321752868e-06,6.5681365392816e-06,7.22495019320972e-06,7.9474452125307e-06,8.74218973378376e-06,9.61640870716213e-06,1.05780495778785e-05,1.1635854535666e-05,1.27994399892325e-05,1.40793839881561e-05,1.54873223869719e-05,1.7036054625669e-05,1.87396600882358e-05,2.06136260970597e-05,2.26749887067652e-05,2.49424875774415e-05,2.74367363351864e-05,3.01804099687051e-05,3.31984509655756e-05,3.6518296062132e-05,4.01701256683455e-05,4.41871382351796e-05,4.86058520586972e-05,5.34664372645686e-05,5.88130809910251e-05,6.46943890901279e-05,7.11638279991406e-05,7.82802107990544e-05,8.61082318789584e-05,9.47190550668539e-05,0.000104190960573543,0.000114610056630896,0.000126071062293984,0.000138678168523382,0.000152545985375721,0.000167800583913292,0.000184580642304623,0.000203038706535087,0.000223342577188593,0.000245676834907459,0.000270244518398202,0.000297268970238015,0.000326995867261828,0.000359695453988,0.000395664999386806,0.000435231499325478,0.000478754649258041,0.000526630114183829,0.000579293125602225,0.00063722243816243,0.000700944681978691,0.000771039150176567,0.000848143065194221,0.00093295737171363,0.00102625310888499,0.00112887841977349,0.00124176626175086
"96-107",4.25328165158945e-05,2.11062455326479e-05,1.04736445167683e-05,5.19738241905429e-06,2.57911980558901e-06,1.2798478994339e-06,6.35104519819418e-07,3.1516069313664e-07,1.56393568930369e-07,1.26605122024541e-07,1.39265634226991e-07,1.53192197649692e-07,1.68511417414665e-07,1.85362559156128e-07,2.03898815071736e-07,2.24288696578911e-07,2.46717566236801e-07,2.71389322860484e-07,2.98528255146534e-07,3.28381080661196e-07,3.61219188727307e-07,3.97341107600048e-07,4.3707521836004e-07,4.80782740196053e-07,5.2886101421566e-07,5.81747115637213e-07,6.39921827200936e-07,7.03914009921036e-07,7.74305410913142e-07,8.51735952004466e-07,9.36909547204892e-07,1.03060050192539e-06,1.13366055211792e-06,1.24702660732974e-06,1.37172926806267e-06,1.50890219486894e-06,1.65979241435586e-06,1.82577165579146e-06,2.00834882137062e-06,2.20918370350765e-06,2.43010207385839e-06,2.67311228124427e-06,2.94042350936863e-06,3.23446586030559e-06,3.55791244633611e-06,3.91370369096967e-06,4.30507406006669e-06,4.73558146607338e-06,5.20913961268073e-06,5.73005357394868e-06,6.30305893134357e-06,6.93336482447812e-06,7.62670130692567e-06,8.38937143761832e-06,9.2283085813803e-06,1.01511394395182e-05,1.11662533834702e-05,1.22828787218171e-05,1.35111665939987e-05,1.48622832533984e-05,1.63485115787386e-05,1.79833627366123e-05,1.97816990102737e-05,2.17598689113007e-05,2.39358558024308e-05,2.63294413826737e-05,2.89623855209416e-05,3.18586240730364e-05,3.50444864803401e-05,3.8548935128373e-05,4.24038286412102e-05,4.66442115053317e-05,5.13086326558651e-05,5.64394959214516e-05,6.20834455135966e-05,6.82917900649569e-05,7.5120969071453e-05,8.26330659785962e-05,9.08963725764558e-05,9.99860098341021e-05,0.000109984610817513,0.000120983071899264,0.000133081379089189,0.000146389516998111,0.000161028468697921,0.000177131315567711,0.000194844447124486,0.000214328891836934,0.000235761781020628,0.000259337959122689,0.000285271755034962,0.000313798930538449,0.000345178823592286,0.000379696705951532,0.000417666376546687,0.000459433014201358,0.000505376315621482,0.000555913947183621,0.000611505341901991,0.000672655876092193,0.000739921463701429
"108-119",4.87730784217381e-05,2.42028779864033e-05,1.20102999806473e-05,5.9599236795797e-06,2.95751898983781e-06,1.46762258134626e-06,7.28284771350039e-07,3.61399936824264e-07,1.79339071026383e-07,8.89942114523518e-08,7.35166900034284e-08,8.08683590037731e-08,8.89551949041486e-08,9.78507143945633e-08,1.0763578583402e-07,1.18399364417422e-07,1.30239300859165e-07,1.43263230945079e-07,1.57589554039592e-07,1.73348509443546e-07,1.90683360387902e-07,2.09751696426696e-07,2.30726866069364e-07,2.53799552676301e-07,2.79179507943935e-07,3.07097458738327e-07,3.3780720461216e-07,3.71587925073372e-07,4.08746717580713e-07,4.49621389338776e-07,4.9458352827265e-07,5.44041881099913e-07,5.9844606920992e-07,6.58290676130904e-07,7.24119743744002e-07,7.96531718118412e-07,8.76184889930239e-07,9.63803378923253e-07,1.06018371681558e-06,1.16620208849712e-06,1.28282229734685e-06,1.41110452708153e-06,1.55221497978968e-06,1.70743647776868e-06,1.87818012554553e-06,2.06599813810013e-06,2.27259795191009e-06,2.49985774710109e-06,2.74984352181118e-06,3.0248278739923e-06,3.32731066139159e-06,3.66004172753078e-06,4.02604590028381e-06,4.42865049031217e-06,4.87151553934335e-06,5.35866709327776e-06,5.89453380260563e-06,6.4839871828661e-06,7.13238590115258e-06,7.84562449126776e-06,8.63018694039484e-06,9.49320563443446e-06,1.04425261978774e-05,1.14867788176655e-05,1.26354566994322e-05,1.3899002369375e-05,1.52889026063126e-05,1.68177928669439e-05,1.84995721536384e-05,2.0349529369002e-05,2.23844823059021e-05,2.46229305364922e-05,2.70852235901421e-05,2.97937459491559e-05,3.2773120544072e-05,3.60504325984793e-05,3.96554758583271e-05,4.36210234441596e-05,4.79831257885746e-05,5.27814383674326e-05,5.80595822041756e-05,6.38655404245937e-05,7.02520944670529e-05,7.72773039137593e-05,8.50050343051342e-05,9.35055377356466e-05,0.000102856091509214,0.000113141700660133,0.000124455870726146,0.000136901457798764,0.000150591603578639,0.000165650763936501,0.000182215840330152,0.000200437424363171,0.000220481166799482,0.000242529283479433,0.000266782211827379,0.000293460433010109,0.000322806476311131,0.000355087123942242,0.000390595836336459
