"","nMissDetYr","nMissDetYrLci","nMissDetYrUci","nMissSum","nMissSumLci","nMissSumUci"
"0-23",33.6937606244673,1.45074431004063,206.067975357903,336.72034377448,14.2901806302137,2060.46249110883
"24-29",9.57819111801336,0.412405917517236,58.5793456918781,95.7278986569084,4.07004665194729,585.739444395555
"30-35",9.02166856435063,0.388443857089076,55.1757043722739,90.166661793659,3.83441472104347,551.707019872892
"36-47",3.52526121185059,0.151786341141908,21.5601769309858,35.2453800183215,1.51063131123472,215.594537209673
"48-59",2.40350890988181,0.103487316657997,14.6996418813032,24.0489296225398,1.0487136903017,147.010259336754
"60-71",1.8566585862136,0.0799417111570946,11.3551550406063,18.6054711189601,0.838302368395083,113.590435662887
"72-83",1.22698625115319,0.0528300578317152,7.50413631132393,12.333044140494,0.59148220727923,75.1045447422013
"84-95",0.702427448338714,0.0302442530904001,4.29598238463965,7.10476500607652,0.382933053593393,43.0403143690858
"96-107",0.368506659440286,0.0158667043834478,2.25375321155516,3.7737734793717,0.24737392880332,22.6262390005204
"108-119",0.172520202671211,0.00742816170571857,1.05511786793474,1.80971135394166,0.158790944286734,10.635688006577
"120-131",0.0726012620305644,0.00312597542810718,0.444022715119634,0.799054017503675,0.104301151479104,4.51326854839437
"132-143",0.0307005457591215,0.001321866163044,0.18776174548978,0.370408383902821,0.0766215879420459,1.94102038120941
"144-155",0.0150019213101331,0.00064593419009894,0.0917503862306429,0.217105491812757,0.0735456206124161,0.984590141017855
"156-167",0.00780465582228217,0.000336043226287399,0.0477325651353701,0.141102234217999,0.0664161082580513,0.540381327348878
"168-179",0.00198608368899883,8.55143373039591e-05,0.01214670719736,0.0479948251797621,0.0289891316628135,0.149601060263374
"180-191",0.000116615569928122,5.02108910967084e-06,0.000713210218892746,0.0045777551375212,0.00346181032933669,0.0105437016271674
"192-203",9.7408244902666e-06,4.19408384295842e-07,5.95739966042347e-05,0.00066843290097782,0.000575218739918113,0.0011667646221175
"204-",8.03537590446606e-07,3.45977286488365e-08,4.91436281728252e-06,0.00011610805933026,0.000108418660712282,0.000157216311598619
"p1",1.84610350183134e-07,7.94872433765394e-09,1.12906011045638e-06,4.3750244226392e-05,4.19836279679372e-05,5.31947418291244e-05
"p2",0,0,0,0,0,0
"p3",0,0,0,0,0,0
"p4",0,0,0,0,0,0
"p5",0,0,0,0,0,0
"p6",0,0,0,0,0,0
