"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",6.15457890132162e-13,3.34624565251242e-13,1.82136525485586e-13,2.00350178034145e-13,2.20385195837559e-13,2.42423715421315e-13,2.66666086963447e-13,2.93332695659791e-13,3.2266596522577e-13,3.54932561748348e-13,3.90425817923182e-13,4.29468399715501e-13,4.72415239687051e-13,5.19656763655756e-13,5.71622440021331e-13,6.28784684023465e-13,6.91663152425811e-13,7.60829467668392e-13,8.36912414435231e-13,9.20603655878755e-13,1.01266402146663e-12,1.11393042361329e-12,1.22532346597462e-12,1.34785581257209e-12,1.48264139382929e-12,1.63090553321222e-12,1.79399608653345e-12,1.97339569518679e-12,2.17073526470547e-12,2.38780879117602e-12,2.62658967029362e-12,2.88924863732298e-12,3.17817350105528e-12,3.49599085116081e-12,3.84558993627689e-12,4.23014892990458e-12,4.65316382289504e-12,5.11848020518454e-12,5.630328225703e-12,6.1933610482733e-12,6.81269715310062e-12,7.49396686841069e-12,8.24336355525176e-12,9.06769991077693e-12,9.97446990185463e-12,1.09719168920401e-11,1.20691085812441e-11,1.32760194393685e-11,1.46036213833054e-11,1.60639835216359e-11,1.76703818737995e-11,1.94374200611794e-11,2.13811620672974e-11,2.35192782740271e-11,2.58712061014299e-11,2.84583267115728e-11,3.13041593827301e-11,3.44345753210031e-11,3.78780328531034e-11,4.16658361384138e-11,4.58324197522552e-11,5.04156617274807e-11,5.54572279002288e-11,6.10029506902517e-11,6.71032457592769e-11,7.38135703352045e-11,8.1194927368725e-11,8.93144201055975e-11,9.82458621161573e-11,1.08070448327773e-10,1.1887749316055e-10,1.30765242476605e-10,1.43841766724266e-10,1.58225943396692e-10,1.74048537736362e-10,1.91453391509998e-10,2.10598730660998e-10,2.31658603727098e-10,2.54824464099807e-10,2.80306910509788e-10,3.08337601560767e-10,3.39171361716844e-10,3.73088497888528e-10,4.10397347677381e-10,4.51437082445119e-10,4.96580790689631e-10,5.46238869758594e-10,6.00862756734453e-10,6.60949032407899e-10,7.27043935648689e-10,7.99748329213558e-10,8.79723162134914e-10,9.67695478348405e-10,1.06446502618325e-09,1.17091152880157e-09,1.28800268168173e-09,1.4168029498499e-09,1.55848324483489e-09,1.71433156931838e-09,1.88576472625022e-09,2.07434119887524e-09
"24-29",2.12383050853354e-12,1.15472702841253e-12,6.27825292455716e-13,6.90607821701288e-13,7.59668603871417e-13,8.35635464258558e-13,9.19199010684414e-13,1.01111891175286e-12,1.11223080292814e-12,1.22345388322096e-12,1.34579927154305e-12,1.48037919869736e-12,1.62841711856709e-12,1.7912588304238e-12,1.97038471346618e-12,2.1674231848128e-12,2.38416550329408e-12,2.62258205362349e-12,2.88484025898584e-12,3.17332428488442e-12,3.49065671337286e-12,3.83972238471015e-12,4.22369462318117e-12,4.64606408549928e-12,5.11067049404921e-12,5.62173754345413e-12,6.18391129779955e-12,6.8023024275795e-12,7.48253267033745e-12,8.2307859373712e-12,9.05386453110832e-12,9.95925098421915e-12,1.09551760826411e-11,1.20506936909052e-11,1.32557630599957e-11,1.45813393659953e-11,1.60394733025948e-11,1.76434206328543e-11,1.94077626961397e-11,2.13485389657537e-11,2.3483392862329e-11,2.5831732148562e-11,2.84149053634182e-11,3.125639589976e-11,3.4382035489736e-11,3.78202390387096e-11,4.16022629425805e-11,4.57624892368386e-11,5.03387381605225e-11,5.53726119765747e-11,6.09098731742322e-11,6.70008604916554e-11,7.37009465408209e-11,8.1071041194903e-11,8.91781453143934e-11,9.80959598458327e-11,1.07905555830416e-10,1.18696111413458e-10,1.30565722554803e-10,1.43622294810284e-10,1.57984524291312e-10,1.73782976720443e-10,1.91161274392488e-10,2.10277401831736e-10,2.3130514201491e-10,2.54435656216401e-10,2.79879221838041e-10,3.07867144021845e-10,3.3865385842403e-10,3.72519244266433e-10,4.09771168693076e-10,4.50748285562384e-10,4.95823114118622e-10,5.45405425530485e-10,5.99945968083533e-10,6.59940564891887e-10,7.25934621381075e-10,7.98528083519183e-10,8.78380891871101e-10,9.66218981058212e-10,1.06284087916403e-09,1.16912496708044e-09,1.28603746378848e-09,1.41464121016733e-09,1.55610533118406e-09,1.71171586430247e-09,1.88288745073271e-09,2.07117619580599e-09,2.27829381538658e-09,2.50612319692524e-09,2.75673551661777e-09,3.03240906827954e-09,3.3356499751075e-09,3.66921497261825e-09,4.03613646988008e-09,4.43975011686808e-09,4.88372512855489e-09,5.37209764141038e-09,5.90930740555142e-09,6.50023814610656e-09,7.15026196071722e-09
"30-35",1.90026940261627e-12,1.03317681502817e-12,5.61738419637814e-13,6.17912261601596e-13,6.79703487761756e-13,7.47673836537931e-13,8.22441220191724e-13,9.04685342210897e-13,9.95153876431987e-13,1.09466926407519e-12,1.2041361904827e-12,1.32454980953097e-12,1.45700479048407e-12,1.60270526953248e-12,1.76297579648573e-12,1.9392733761343e-12,2.13320071374773e-12,2.3465207851225e-12,2.58117286363475e-12,2.83929014999823e-12,3.12321916499805e-12,3.43554108149786e-12,3.77909518964764e-12,4.15700470861241e-12,4.57270517947365e-12,5.02997569742102e-12,5.53297326716312e-12,6.08627059387943e-12,6.69489765326737e-12,7.36438741859412e-12,8.10082616045353e-12,8.91090877649888e-12,9.80199965414877e-12,1.07821996195636e-11,1.186041958152e-11,1.3046461539672e-11,1.43511076936392e-11,1.57862184630031e-11,1.73648403093035e-11,1.91013243402338e-11,2.10114567742572e-11,2.31126024516829e-11,2.54238626968512e-11,2.79662489665363e-11,3.076287386319e-11,3.3839161249509e-11,3.72230773744598e-11,4.09453851119058e-11,4.50399236230964e-11,4.95439159854061e-11,5.44983075839467e-11,5.99481383423413e-11,6.59429521765755e-11,7.2537247394233e-11,7.97909721336564e-11,8.7770069347022e-11,9.65470762817242e-11,1.06201783909897e-10,1.16821962300886e-10,1.28504158530975e-10,1.41354574384072e-10,1.5549003182248e-10,1.71039035004728e-10,1.881429385052e-10,2.06957232355721e-10,2.27652955591293e-10,2.50418251150422e-10,2.75460076265464e-10,3.03006083892011e-10,3.33306692281212e-10,3.66637361509333e-10,4.03301097660266e-10,4.43631207426293e-10,4.87994328168922e-10,5.36793760985814e-10,5.90473137084396e-10,6.49520450792836e-10,7.14472495872119e-10,7.85919745459331e-10,8.64511720005264e-10,9.50962892005791e-10,1.04605918120637e-09,1.15066509932701e-09,1.26573160925971e-09,1.39230477018568e-09,1.53153524720425e-09,1.68468877192467e-09,1.85315764911714e-09,2.03847341402885e-09,2.24232075543174e-09,2.46655283097491e-09,2.7132081140724e-09,2.98452892547964e-09,3.28298181802761e-09,3.61127999983037e-09,3.97240799981341e-09,4.36964879979475e-09,4.80661367977422e-09,5.28727504775165e-09,5.81600255252681e-09,6.39760280777949e-09
"36-47",1.21509214413641e-05,6.32653557423139e-06,3.43973852641501e-06,1.87018645375137e-06,1.01682071033475e-06,1.11850278136823e-06,1.23035305950505e-06,1.35338836545556e-06,1.48872720200112e-06,1.63759992220123e-06,1.80135991442135e-06,1.98149590586348e-06,2.17964549644983e-06,2.39761004609482e-06,2.6373710507043e-06,2.90110815577473e-06,3.1912189713522e-06,3.51034086848742e-06,3.86137495533617e-06,4.24751245086978e-06,4.67226369595676e-06,5.13949006555244e-06,5.65343907210768e-06,6.21878297931845e-06,6.8406612772503e-06,7.52472740497533e-06,8.27720014547286e-06,9.10492016002015e-06,1.00154121760222e-05,1.10169533936244e-05,1.21186487329868e-05,1.33305136062855e-05,1.46635649669141e-05,1.61299214636055e-05,1.7742913609966e-05,1.95172049709626e-05,2.14689254680589e-05,2.36158180148648e-05,2.59773998163512e-05,2.85751397979864e-05,3.1432653777785e-05,3.45759191555635e-05,3.80335110711199e-05,4.18368621782319e-05,4.6020548396055e-05,5.06226032356606e-05,5.56848635592266e-05,6.12533499151493e-05,6.73786849066642e-05,7.41165533973306e-05,8.15282087370637e-05,8.96810296107701e-05,9.86491325718471e-05,0.000108514045829032,0.000119365450411935,0.000131301995453128,0.000144432194998441,0.000158875414498286,0.000174762955948114,0.000192239251542926,0.000211463176697218,0.00023260949436694,0.000255870443803634,0.000281457488183997,0.000309603237002397,0.000340563560702637,0.000374619916772901,0.000412081908450191,0.00045329009929521,0.000498619109224731,0.000548481020147204,0.000603329122161924,0.000663662034378117,0.000730028237815929,0.000803031061597521,0.000883334167757274,0.000971667584533001,0.0010688343429863,0.00117571777728493,0.00129328955501342,0.00142261851051477,0.00156488036156624,0.00172136839772287,0.00189350523749516,0.00208285576124467,0.00229114133736914,0.00252025547110605,0.00277228101821666,0.00304950912003832,0.00335446003204216,0.00368990603524637,0.00405889663877101,0.00446478630264811,0.00491126493291292,0.00540239142620422,0.00594263056882464,0.0065368936257071,0.00719058298827781,0.0079096412871056,0.00870060541581616,0.00957066595739777
"48-59",0.000137478954420535,7.02029412127827e-05,3.81693517287452e-05,2.07526833808408e-05,1.12832376762922e-05,6.80320228778494e-06,7.48352251656343e-06,8.23187476821977e-06,9.05506224504175e-06,9.96056846954593e-06,1.09566253165005e-05,1.20522878481506e-05,1.32575166329656e-05,1.45832682962622e-05,1.60415951258884e-05,1.76457546384773e-05,1.9410330102325e-05,2.13513631125575e-05,2.34864994238133e-05,2.58351493661946e-05,2.8418664302814e-05,3.12605307330954e-05,3.4386583806405e-05,3.78252421870455e-05,4.160776640575e-05,4.5768543046325e-05,5.03453973509576e-05,5.53799370860533e-05,6.09179307946586e-05,6.70097238741245e-05,7.3710696261537e-05,8.10817658876907e-05,8.91899424764598e-05,9.81089367241058e-05,0.000107919830396516,0.000118711813436168,0.000130582994779785,0.000143641294257763,0.00015800542368354,0.000173805966051894,0.000191186562657083,0.000210305218922791,0.00023133574081507,0.000254469314896577,0.000279916246386235,0.000307907871024859,0.000338698658127345,0.000372568523940079,0.000409825376334087,0.000450807913967496,0.000495888705364246,0.00054547757590067,0.000600025333490737,0.000660027866839811,0.000726030653523792,0.000798633718876171,0.000878497090763789,0.000966346799840167,0.00106298147982418,0.0011692796278066,0.00128620759058726,0.00141482834964599,0.00155631118461059,0.00171194230307165,0.00188313653337881,0.00207145018671669,0.00227859520538836,0.0025064547259272,0.00275710019851992,0.00303281021837191,0.0033360912402091,0.00366970036423002,0.00403667040065302,0.00444033744071832,0.00488437118479015,0.00537280830326917,0.00591008913359609,0.00650109804695569,0.00715120785165126,0.00786632863681639,0.00865296150049803,0.00951825765054783,0.0104700834156026,0.0115170917571629,0.0126688009328792,0.0139356810261671,0.0153292491287838,0.0168621740416622,0.0185483914458284,0.0204032305904112,0.0224435536494524,0.0246879090143976,0.0271566999158374,0.0298723699074211,0.0328596068981632,0.0361455675879795,0.0397601243467775,0.0437361367814553,0.0481097504596008,0.0529207255055609,0.058212798056117
"60-71",0.000788132850648812,0.000411133266489474,0.000223533230729759,0.000121535057639912,6.60786326369253e-05,3.59269644163299e-05,2.31371748588354e-05,2.5450892344719e-05,2.79959815791909e-05,3.079557973711e-05,3.3875137710821e-05,3.72626514819031e-05,4.09889166300934e-05,4.50878082931027e-05,4.9596589122413e-05,5.45562480346543e-05,6.00118728381198e-05,6.60130601219317e-05,7.26143661341249e-05,7.98758027475374e-05,8.78633830222912e-05,9.66497213245203e-05,0.000106314693456972,0.00011694616280267,0.000128640779082937,0.00014150485699123,0.000155655342690353,0.000171220876959389,0.000188342964655327,0.00020717726112086,0.000227894987232946,0.000250684485956241,0.000275752934551865,0.000303328228007052,0.000333661050807757,0.000367027155888532,0.000403729871477386,0.000444102858625124,0.000488513144487637,0.0005373644589364,0.000591100904830041,0.000650210995313045,0.000715232094844349,0.000786755304328784,0.000865430834761663,0.000951973918237829,0.00104717131006161,0.00115188844106777,0.00126707728517455,0.00139378501369201,0.00153316351506121,0.00168647986656733,0.00185512785322406,0.00204064063854647,0.00224470470240111,0.00246917517264122,0.00271609268990535,0.00298770195889588,0.00328647215478547,0.00361511937026402,0.00397663130729042,0.00437429443801946,0.00481172388182141,0.00529289627000355,0.00582218589700391,0.0064044044867043,0.00704484493537473,0.0077493294289122,0.00852426237180342,0.00937668860898376,0.0103143574698821,0.0113457932168704,0.0124803725385574,0.0137284097924131,0.0151012507716545,0.0166113758488199,0.0182725134337019,0.0200997647770721,0.0221097412547793,0.0243207153802572,0.0267527869182829,0.0294280656101112,0.0323708721711224,0.0356079593882346,0.0391687553270581,0.0430856308597639,0.0473941939457403,0.0521336133403143,0.0573469746743457,0.0630816721417803,0.0693898393559584,0.0763288232915542,0.0839617056207096,0.0923578761827806,0.101593663801059,0.111753030181165,0.122928333199281,0.135221166519209,0.14874328317113,0.163617611488243,0.179979372637067
"72-83",0.00226292433980499,0.0011805499648679,0.00064186522763801,0.0003489822393895,0.000189741706148311,0.000103162599664249,5.60895239403369e-05,4.10225285576445e-05,4.5124781413409e-05,4.96372595547499e-05,5.46009855102249e-05,6.00610840612474e-05,6.60671924673721e-05,7.26739117141093e-05,7.99413028855203e-05,8.79354331740723e-05,9.67289764914796e-05,0.000106401874140628,0.00011704206155469,0.000128746267710159,0.000141620894481175,0.000155782983929293,0.000171361282322222,0.000188497410554444,0.000207347151609889,0.000228081866770878,0.000250890053447965,0.000275979058792762,0.000303576964672038,0.000333934661139242,0.000367328127253166,0.000404060939978483,0.000444467033976331,0.000488913737373965,0.000537805111111361,0.000591585622222497,0.000650744184444747,0.000715818602889222,0.000787400463178144,0.000866140509495958,0.000952754560445554,0.00104803001649011,0.00115283301813912,0.00126811631995303,0.00139492795194834,0.00153442074714317,0.00168786282185749,0.00185664910404324,0.00204231401444756,0.00224654541589232,0.00247119995748155,0.0027183199532297,0.00299015194855267,0.00328916714340794,0.00361808385774874,0.00397989224352361,0.00437788146787597,0.00481566961466357,0.00529723657612993,0.00582696023374292,0.00640965625711721,0.00705062188282893,0.00775568407111183,0.00853125247822301,0.00938437772604531,0.0103228154986498,0.0113550970485148,0.0124906067533663,0.0137396674287029,0.0151136341715732,0.0166249975887306,0.0182874973476036,0.020116247082364,0.0221278717906004,0.0243406589696604,0.0267747248666265,0.0294521973532891,0.032397417088618,0.0356371587974798,0.0392008746772278,0.0431209621449506,0.0474330583594457,0.0521763641953903,0.0573940006149293,0.0631334006764222,0.0694467407440645,0.0763914148184709,0.084030556300318,0.0924336119303498,0.101676973123385,0.111844670435723,0.123029137479296,0.135332051227225,0.148865256349948,0.163751781984943,0.180126960183437,0.19813965620178,0.217953621821959,0.239748984004154,0.26372388240457,0.290096270645027
"84-95",0.00343379195660639,0.00175607537030835,0.000954778493800214,0.000519113238324924,0.000282241960783605,0.000153455004699982,8.34335135785358e-05,4.53628162969945e-05,3.79491999827611e-05,4.17441199810372e-05,4.5918531979141e-05,5.0510385177055e-05,5.55614236947606e-05,6.11175660642366e-05,6.72293226706603e-05,7.39522549377263e-05,8.1347480431499e-05,8.94822284746489e-05,9.84304513221138e-05,0.000108273496454325,0.000119100846099758,0.000131010930709733,0.000144112023780707,0.000158523226158778,0.000174375548774655,0.000191813103652121,0.000210994414017333,0.000232093855419066,0.000255303240960973,0.00028083356505707,0.000308916921562777,0.000339808613719055,0.00037378947509096,0.000411168422600057,0.000452285264860062,0.000497513791346069,0.000547265170480675,0.000601991687528743,0.000662190856281617,0.000728409941909779,0.000801250936100757,0.000881376029710833,0.000969513632681916,0.00106646499595011,0.00117311149554512,0.00129042264509963,0.00141946490960959,0.00156141140057055,0.00171755254062761,0.00188930779469037,0.00207823857415941,0.00228606243157535,0.00251466867473288,0.00276613554220617,0.00304274909642679,0.00334702400606947,0.00368172640667642,0.00404989904734406,0.00445488895207846,0.00490037784728631,0.00539041563201494,0.00592945719521644,0.00652240291473808,0.00717464320621189,0.00789210752683308,0.00868131827951639,0.00954945010746803,0.0105043951182148,0.0115548346300363,0.0127103180930399,0.0139813499023439,0.0153794848925783,0.0169174333818362,0.0186091767200198,0.0204700943920218,0.022517103831224,0.0247688142143463,0.027245695635781,0.0299702651993591,0.032967291719295,0.0362640208912245,0.039890422980347,0.0438794652783817,0.0482674118062198,0.0530941529868418,0.058403568285526,0.0642439251140786,0.0706683176254865,0.0777351493880351,0.0855086643268386,0.0940595307595225,0.103465483835475,0.113812032219022,0.125193235440925,0.137712558985017,0.151483814883519,0.166632196371871,0.183295416009058,0.201624957609963,0.22178745337096,0.243966198708056
"96-107",0.00337256891746882,0.00169601654809164,0.000922124501389048,0.000501359256794266,0.000272589117841094,0.000148206752260838,8.05800377860651e-05,4.38113809968388e-05,2.38202557058381e-05,2.06295410844654e-05,2.2692495192912e-05,2.49617447122032e-05,2.74579191834235e-05,3.02037111017659e-05,3.32240822119425e-05,3.65464904331367e-05,4.02011394764504e-05,4.42212534240954e-05,4.8643378766505e-05,5.35077166431555e-05,5.8858488307471e-05,6.47443371382181e-05,7.12187708520399e-05,7.83406479372439e-05,8.61747127309683e-05,9.47921840040652e-05,0.000104271402404472,0.000114698542644919,0.000126168396909411,0.000138785236600352,0.000152663760260387,0.000167930136286426,0.000184723149915068,0.000203195464906575,0.000223515011397233,0.000245866512536956,0.000270453163790652,0.000297498480169717,0.000327248328186689,0.000359973161005358,0.000395970477105893,0.000435567524816483,0.000479124277298131,0.000527036705027944,0.000579740375530739,0.000637714413083813,0.000701485854392194,0.000771634439831413,0.000848797883814555,0.00093367767219601,0.00102704543941561,0.00112974998335717,0.00124272498169289,0.00136699747986218,0.0015036972278484,0.00165406695063324,0.00181947364569656,0.00200142101026622,0.00220156311129284,0.00242171942242212,0.00266389136466434,0.00293028050113077,0.00322330855124385,0.00354563940636823,0.00390020334700505,0.00429022368170556,0.00471924604987612,0.00519117065486373,0.0057102877203501,0.00628131649238511,0.00690944814162362,0.00760039295578599,0.00836043225136459,0.00919647547650105,0.0101161230241512,0.0111277353265663,0.0122405088592229,0.0134645597451452,0.0148110157196597,0.0162921172916257,0.0179213290207882,0.0197134619228671,0.0216848081151538,0.0238532889266692,0.0262386178193361,0.0288624796012697,0.0317487275613967,0.0349236003175363,0.03841596034929,0.042257556384219,0.0464833120226409,0.051131643224905,0.0562448075473955,0.061869288302135,0.0680562171323485,0.0748618388455834,0.0823480227301417,0.0905828250031559,0.0996411075034715,0.109605218253819,0.120565740079201
"108-119",0.00268868237121726,0.00134170403742305,0.00072948472579028,0.000396620976250017,0.000215642895923692,0.000117245081190671,6.37461716720373e-05,3.46588049713782e-05,1.8843998479221e-05,1.02454853529464e-05,9.15126295101407e-06,1.00663892461155e-05,1.1073028170727e-05,1.21803309877997e-05,1.33983640865797e-05,1.47382004952377e-05,1.62120205447614e-05,1.78332225992376e-05,1.96165448591613e-05,2.15781993450775e-05,2.37360192795852e-05,2.61096212075437e-05,2.87205833282981e-05,3.15926416611279e-05,3.47519058272407e-05,3.82270964099648e-05,4.20498060509613e-05,4.62547866560574e-05,5.08802653216632e-05,5.59682918538295e-05,6.15651210392125e-05,6.77216331431337e-05,7.44937964574471e-05,8.19431761031918e-05,9.0137493713511e-05,9.91512430848621e-05,0.000109066367393348,0.000119973004132683,0.000131970304545951,0.000145167335000547,0.000159684068500601,0.000175652475350661,0.000193217722885728,0.0002125394951743,0.00023379344469173,0.000257172789160904,0.000282890068076994,0.000311179074884693,0.000342296982373163,0.000376526680610479,0.000414179348671527,0.00045559728353868,0.000501157011892548,0.000551272713081802,0.000606399984389983,0.000667039982828981,0.000733743981111879,0.000807118379223067,0.000887830217145374,0.000976613238859911,0.0010742745627459,0.00118170201902049,0.00129987222092254,0.0014298594430148,0.00157284538731628,0.0017301299260479,0.00190314291865269,0.00209345721051796,0.00230280293156976,0.00253308322472674,0.00278639154719941,0.00306503070191935,0.00337153377211129,0.00370868714932242,0.00407955586425466,0.00448751145068013,0.00493626259574814,0.00542988885532295,0.00597287774085525,0.00657016551494078,0.00722718206643485,0.00794990027307834,0.00874489030038618,0.00961937933042479,0.0105813172634673,0.011639448989814,0.0128033938887954,0.0140837332776749,0.0154921066054424,0.0170413172659867,0.0187454489925854,0.0206199938918439,0.0226819932810283,0.0249501926091311,0.0274452118700442,0.0301897330570487,0.0332087063627535,0.0365295769990289,0.0401825346989318,0.0442007881688249,0.0486208669857074
