"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",4.42133875406715e-07,2.49474290589318e-07,1.35639216538253e-07,7.37470663596258e-08,4.00962932067457e-08,2.29617297459598e-08,2.52579027205558e-08,2.77836929926114e-08,3.05620622918726e-08,3.36182685210598e-08,3.69800953731658e-08,4.06781049104824e-08,4.47459154015306e-08,4.92205069416837e-08,5.41425576358521e-08,5.95568133994373e-08,6.5512494739381e-08,7.20637442133191e-08,7.92701186346511e-08,8.71971304981162e-08,9.59168435479278e-08,1.05508527902721e-07,1.16059380692993e-07,1.27665318762292e-07,1.40431850638521e-07,1.54475035702373e-07,1.69922539272611e-07,1.86914793199872e-07,2.05606272519859e-07,2.26166899771845e-07,2.48783589749029e-07,2.73661948723932e-07,3.01028143596325e-07,3.31130957955958e-07,3.64244053751554e-07,4.00668459126709e-07,4.4073530503938e-07,4.84808835543318e-07,5.3328971909765e-07,5.86618691007415e-07,6.45280560108157e-07,7.09808616118972e-07,7.8078947773087e-07,8.58868425503957e-07,9.44755268054353e-07,1.03923079485979e-06,1.14315387434577e-06,1.25746926178034e-06,1.38321618795838e-06,1.52153780675422e-06,1.67369158742964e-06,1.8410607461726e-06,2.02516682078986e-06,2.22768350286885e-06,2.45045185315573e-06,2.69549703847131e-06,2.96504674231844e-06,3.26155141655028e-06,3.58770655820531e-06,3.94647721402584e-06,4.34112493542843e-06,4.77523742897127e-06,5.25276117186839e-06,5.77803728905524e-06,6.35584101796076e-06,6.99142511975684e-06,7.69056763173252e-06,8.45962439490577e-06,9.30558683439635e-06,1.0236145517836e-05,1.12597600696196e-05,1.23857360765815e-05,1.36243096842397e-05,1.49867406526637e-05,1.648541471793e-05,1.8133956189723e-05,1.99473518086954e-05,2.19420869895649e-05,2.41362956885214e-05,2.65499252573735e-05,2.92049177831109e-05,3.2125409561422e-05,3.53379505175642e-05,3.88717455693206e-05,4.27589201262527e-05,4.70348121388779e-05,5.17382933527657e-05,5.69121226880423e-05,6.26033349568465e-05,6.88636684525312e-05,7.57500352977843e-05,8.33250388275628e-05,9.1657542710319e-05,0.000100823296981351,0.000110905626679486,0.000121996189347435,0.000134195808282178,0.000147615389110396,0.000162376928021436,0.000178614620823579,0.000196476082905937
"60-71",6.39798708960216e-05,3.45267852193999e-05,1.87722193163918e-05,1.02064590092421e-05,5.54925359391992e-06,3.01713017430907e-06,1.65081412724671e-06,1.81589553997138e-06,1.99748509396852e-06,2.19723360336537e-06,2.41695696370191e-06,2.6586526600721e-06,2.92451792607931e-06,3.21696971868725e-06,3.53866669055597e-06,3.89253335961157e-06,4.28178669557272e-06,4.70996536513e-06,5.180961901643e-06,5.6990580918073e-06,6.26896390098803e-06,6.89586029108683e-06,7.58544632019552e-06,8.34399095221507e-06,9.17839004743658e-06,1.00962290521802e-05,1.11058519573983e-05,1.22164371531381e-05,1.34380808684519e-05,1.47818889552971e-05,1.62600778508268e-05,1.78860856359095e-05,1.96746941995004e-05,2.16421636194505e-05,2.38063799813955e-05,2.61870179795351e-05,2.88057197774886e-05,3.16862917552374e-05,3.48549209307612e-05,3.83404130238373e-05,4.2174454326221e-05,4.63918997588432e-05,5.10310897347275e-05,5.61341987082002e-05,6.17476185790203e-05,6.79223804369223e-05,7.47146184806145e-05,8.2186080328676e-05,9.04046883615436e-05,9.9445157197698e-05,0.000109389672917468,0.000120328640209215,0.000132361504230136,0.00014559765465315,0.000160157420118465,0.000176173162130311,0.000193790478343342,0.000213169526177676,0.000234486478795444,0.000257935126674989,0.000283728639342487,0.000312101503276736,0.00034331165360441,0.000377642818964851,0.000415407100861336,0.00045694781094747,0.000502642592042217,0.000552906851246438,0.000608197536371082,0.00066901729000819,0.00073591901900901,0.00080951092090991,0.000890462013000902,0.000979508214300992,0.00107745903573109,0.0011852049393042,0.00130372543323462,0.00143409797655808,0.00157750777421389,0.00173525855163528,0.00190878440679881,0.00209966284747869,0.00230962913222656,0.00254059204544921,0.00279465124999414,0.00307411637499355,0.00338152801249291,0.0037196808137422,0.00409164889511642,0.00450081378462806,0.00495089516309086,0.00544598467939995,0.00599058314733995,0.00658964146207394,0.00724860560828134,0.00797346616910947,0.00877081278602042,0.00964789406462246,0.0106126834710847,0.0116739518181932,0.0128413470000125
"72-83",0.000464333191854508,0.000245488146447944,0.000133471949253647,7.25687227482719e-05,3.9455627573909e-05,2.14520317885584e-05,1.1663473531001e-05,8.20361209977058e-06,9.02397330974764e-06,9.92637064072241e-06,1.09190077047947e-05,1.20109084752741e-05,1.32119993228015e-05,1.45331992550817e-05,1.59865191805899e-05,1.75851710986488e-05,1.93436882085137e-05,2.12780570293651e-05,2.34058627323016e-05,2.57464490055318e-05,2.8321093906085e-05,3.11532032966935e-05,3.42685236263628e-05,3.76953759889991e-05,4.1464913587899e-05,4.56114049466889e-05,5.01725454413578e-05,5.51897999854936e-05,6.07087799840429e-05,6.67796579824472e-05,7.3457623780692e-05,8.08033861587612e-05,8.88837247746373e-05,9.7772097252101e-05,0.000107549306977311,0.000118304237675042,0.000130134661442546,0.000143148127586801,0.000157462940345481,0.000173209234380029,0.000190530157818032,0.000209583173599836,0.000230541490959819,0.000253595640055801,0.000278955204061381,0.00030685072446752,0.000337535796914271,0.000371289376605699,0.000408418314266269,0.000449260145692895,0.000494186160262185,0.000543604776288404,0.000597965253917244,0.000657761779308968,0.000723537957239865,0.000795891752963852,0.000875480928260237,0.000963029021086261,0.00105933192319489,0.00116526511551438,0.00128179162706581,0.0014099707897724,0.00155096786874963,0.0017060646556246,0.00187667112118706,0.00206433823330576,0.00227077205663634,0.00249784926229998,0.00274763418852997,0.00302239760738297,0.00332463736812127,0.00365710110493339,0.00402281121542673,0.00442509233696941,0.00486760157066635,0.00535436172773298,0.00588979790050628,0.00647877769055691,0.0071266554596126,0.00783932100557387,0.00862325310613125,0.00948557841674438,0.0104341362584188,0.0114775498842607,0.0126253048726868,0.0138878353599555,0.015276618895951,0.0168042807855461,0.0184847088641007,0.0203331797505108,0.0223664977255619,0.024603147498118,0.0270634622479299,0.0297698084727228,0.0327467893199951,0.0360214682519946,0.0396236150771941,0.0435859765849135,0.0479445742434049,0.0527390316677454,0.0580129348345199
"84-95",0.00108033662020749,0.00055393332324823,0.000301173647201616,0.000163748166000976,8.90299072240316e-05,4.84055765258003e-05,2.63181206389334e-05,1.43091669117146e-05,1.21102875520429e-05,1.33213163072472e-05,1.46534479379719e-05,1.61187927317691e-05,1.7730672004946e-05,1.95037392054406e-05,2.14541131259847e-05,2.35995244385832e-05,2.59594768824415e-05,2.85554245706857e-05,3.14109670277542e-05,3.45520637305296e-05,3.80072701035826e-05,4.18079971139409e-05,4.5988796825335e-05,5.05876765078685e-05,5.56464441586553e-05,6.12110885745209e-05,6.7332197431973e-05,7.40654171751703e-05,8.14719588926873e-05,8.9619154781956e-05,9.85810702601516e-05,0.000108439177286167,0.000119283095014784,0.000131211404516262,0.000144332544967888,0.000158765799464677,0.000174642379411145,0.000192106617352259,0.000211317279087485,0.000232449006996234,0.000255693907695857,0.000281263298465443,0.000309389628311987,0.000340328591143186,0.000374361450257504,0.000411797595283255,0.00045297735481158,0.000498275090292738,0.000548102599322012,0.000602912859254213,0.000663204145179635,0.000729524559697598,0.000802477015667358,0.000882724717234094,0.000970997188957504,0.00106809690785325,0.00117490659863858,0.00129239725850244,0.00142163698435268,0.00156380068278795,0.00172018075106674,0.00189219882617342,0.00208141870879076,0.00228956057966984,0.00251851663763682,0.0027703683014005,0.00304740513154055,0.00335214564469461,0.00368736020916407,0.00405609623008048,0.00446170585308853,0.00490787643839738,0.00539866408223712,0.00593853049046083,0.00653238353950691,0.00718562189345761,0.00790418408280337,0.0086946024910837,0.00956406274019208,0.0105204690142113,0.0115725159156324,0.0127297675071957,0.0140027442579152,0.0154030186837067,0.0169433205520774,0.0186376526072852,0.0205014178680137,0.0225515596548151,0.0248067156202966,0.0272873871823262,0.0300161259005588,0.0330177384906147,0.0363195123396762,0.0399514635736438,0.0439466099310082,0.0483412709241091,0.05317539801652,0.058492937818172,0.0643422315999892,0.0707764547599881,0.0778541002359869
"96-107",0.00125537133216698,0.000630884541790496,0.000343012038524749,0.000186495706867351,0.000101397749273,5.51299744660774e-05,2.99741770051267e-05,1.62969654137514e-05,8.86066301842365e-06,7.79371441514784e-06,8.57308585666262e-06,9.43039444232888e-06,1.03734338865618e-05,1.1410777275218e-05,1.25518550027397e-05,1.38070405030137e-05,1.51877445533151e-05,1.67065190086466e-05,1.83771709095113e-05,2.02148880004624e-05,2.22363768005086e-05,2.44600144805595e-05,2.69060159286155e-05,2.9596617521477e-05,3.25562792736247e-05,3.58119072009872e-05,3.93930979210859e-05,4.33324077131945e-05,4.7665648484514e-05,5.24322133329654e-05,5.76754346662619e-05,6.34429781328881e-05,6.97872759461769e-05,7.67660035407946e-05,8.44426038948741e-05,9.28868642843615e-05,0.000102175550712798,0.000112393105784077,0.000123632416362485,0.000135995657998734,0.000149595223798607,0.000164554746178468,0.000181010220796315,0.000199111242875946,0.000219022367163541,0.000240924603879895,0.000265017064267884,0.000291518770694673,0.00032067064776414,0.000352737712540554,0.00038801148379461,0.000426812632174071,0.000469493895391478,0.000516443284930625,0.000568087613423688,0.000624896374766057,0.000687386012242663,0.000756124613466929,0.000831737074813622,0.000914910782294984,0.00100640186052448,0.00110704204657693,0.00121774625123462,0.00133952087635809,0.0014734729639939,0.00162082026039329,0.00178290228643261,0.00196119251507588,0.00215731176658346,0.00237304294324181,0.00261034723756599,0.00287138196132259,0.00315852015745485,0.00347437217320033,0.00382180939052037,0.00420399032957241,0.00462438936252965,0.00508682829878261,0.00559551112866087,0.00615506224152696,0.00677056846567966,0.00744762531224762,0.00819238784347239,0.00901162662781963,0.00991278929060159,0.0109040682196617,0.0119944750416279,0.0131939225457907,0.0145133148003698,0.0159646462804068,0.0175611109084475,0.0193172219992922,0.0212489441992214,0.0233738386191436,0.0257112224810579,0.0282823447291637,0.0311105792020801,0.0342216371222881,0.0376438008345169,0.0414081809179686,0.0455489990097655
"108-119",0.000905658737716395,0.000460479829660218,0.00025036296597632,0.000136122389505556,7.40097675886085e-05,4.02391239120608e-05,2.18780188881367e-05,1.18950827934452e-05,6.46735864825683e-06,3.51630405702018e-06,3.22404332598662e-06,3.54644765858529e-06,3.90109242444381e-06,4.2912016668882e-06,4.72032183357702e-06,5.19235401693472e-06,5.71158941862819e-06,6.28274836049101e-06,6.91102319654011e-06,7.60212551619412e-06,8.36233806781354e-06,9.19857187459489e-06,1.01184290620544e-05,1.11302719682598e-05,1.22432991650858e-05,1.34676290815944e-05,1.48143919897538e-05,1.62958311887292e-05,1.79254143076021e-05,1.97179557383623e-05,2.16897513121986e-05,2.38587264434184e-05,2.62445990877603e-05,2.88690589965363e-05,3.175596489619e-05,3.49315613858089e-05,3.84247175243899e-05,4.22671892768288e-05,4.64939082045117e-05,5.11432990249629e-05,5.62576289274592e-05,6.18833918202051e-05,6.80717310022256e-05,7.48789041024482e-05,8.2366794512693e-05,9.06034739639623e-05,9.96638213603586e-05,0.000109630203496394,0.000120593223846034,0.000132652546230637,0.000145917800853701,0.000160509580939071,0.000176560539032978,0.000194216592936276,0.000213638252229904,0.000235002077452894,0.000258502285198184,0.000284352513718002,0.000312787765089802,0.000344066541598783,0.000378473195758661,0.000416320515334527,0.00045795256686798,0.000503747823554778,0.000554122605910255,0.000609534866501281,0.000670488353151409,0.00073753718846655,0.000811290907313205,0.000892419998044526,0.000981661997848978,0.00107982819763388,0.00118781101739726,0.00130659211913699,0.00143725133105069,0.00158097646415576,0.00173907411057134,0.00191298152162847,0.00210427967379132,0.00231470764117045,0.00254617840528749,0.00280079624581624,0.00308087587039787,0.00338896345743765,0.00372785980318142,0.00410064578349956,0.00451071036184952,0.00496178139803447,0.00545795953783792,0.00600375549162171,0.00660413104078388,0.00726454414486227,0.0079909985593485,0.00879009841528334,0.00966910825681168,0.0106360190824929,0.0116996209907421,0.0128695830898164,0.014156541398798,0.0155721955386778,0.0171294150925456
