"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48-59",0.000105429927008356,5.37653798614601e-05,2.92322466738473e-05,1.58935777595648e-05,8.64134107849218e-06,5.2139596266776e-06,5.73535558934536e-06,6.3088911482799e-06,6.93978026310789e-06,7.63375828941868e-06,8.39713411836054e-06,9.2368475301966e-06,1.01605322832163e-05,1.11765855115379e-05,1.22942440626917e-05,1.35236684689608e-05,1.48760353158569e-05,1.63636388474426e-05,1.80000027321869e-05,1.98000030054056e-05,2.17800033059461e-05,2.39580036365408e-05,2.63538040001948e-05,2.89891844002143e-05,3.18881028402358e-05,3.50769131242593e-05,3.85846044366853e-05,4.24430648803538e-05,4.66873713683892e-05,5.13561085052281e-05,5.64917193557509e-05,6.2140891291326e-05,6.83549804204586e-05,7.51904784625045e-05,8.27095263087549e-05,9.09804789396305e-05,0.000100078526833593,0.000110086379516953,0.000121095017468648,0.000133204519215513,0.000146524971137064,0.000161177468250771,0.000177295215075848,0.000195024736583433,0.000214527210241776,0.000235979931265954,0.000259577924392549,0.000285535716831804,0.000314089288514984,0.000345498217366483,0.000380048039103131,0.000418052843013444,0.000459858127314788,0.000505843940046267,0.000556428334050894,0.000612071167455983,0.000673278284201582,0.00074060611262174,0.000814666723883914,0.000896133396272306,0.000985746735899537,0.00108432140948949,0.00119275355043844,0.00131202890548228,0.00144323179603051,0.00158755497563356,0.00174631047319692,0.00192094152051661,0.00211303567256827,0.0023243392398251,0.00255677316380761,0.00281245048018837,0.00309369552820721,0.00340306508102793,0.00374337158913072,0.0041177087480438,0.00452947962284818,0.004982427585133,0.0054806703436463,0.00602873737801093,0.00663161111581202,0.00729477222739322,0.00802424945013254,0.0088266743951458,0.00970934183466038,0.0106802760181264,0.0117483036199391,0.012923133981933,0.0142154473801263,0.0156369921181389,0.0172006913299528,0.0189207604629481,0.0208128365092429,0.0228941201601672,0.0251835321761839,0.0277018853938023,0.0304720739331825,0.0335192813265008,0.0368712094591508,0.0405583304050659,0.0446141634455725
"60-71",0.000334172060976445,0.000170070876446668,9.24675660273738e-05,5.0274632233744e-05,2.73343265625697e-05,1.48616782546588e-05,1.06501131788238e-05,1.17151244967062e-05,1.28866369463768e-05,1.41753006410145e-05,1.55928307051159e-05,1.71521137756275e-05,1.88673251531903e-05,2.07540576685093e-05,2.28294634353603e-05,2.51124097788963e-05,2.76236507567859e-05,3.03860158324645e-05,3.3424617415711e-05,3.67670791572821e-05,4.04437870730103e-05,4.44881657803113e-05,4.89369823583424e-05,5.38306805941767e-05,5.92137486535943e-05,6.51351235189538e-05,7.16486358708492e-05,7.88134994579341e-05,8.66948494037275e-05,9.53643343441003e-05,0.00010490076777851,0.000115390844556361,0.000126929929011998,0.000139622921913197,0.000153585214104517,0.000168943735514969,0.000185838109066466,0.000204421919973112,0.000224864111970423,0.000247350523167466,0.000272085575484212,0.000299294133032634,0.000329223546335897,0.000362145900969487,0.000398360491066435,0.000438196540173079,0.000482016194190387,0.000530217813609426,0.000583239594970368,0.000641563554467405,0.000705719909914146,0.00077629190090556,0.000853921090996116,0.000939313200095728,0.0010332445201053,0.00113656897211583,0.00125022586932741,0.00137524845626016,0.00151277330188617,0.00166405063207479,0.00183045569528227,0.0020135012648105,0.00221485139129154,0.0024363365304207,0.00267997018346277,0.00294796720180905,0.00324276392198995,0.00356704031418895,0.00392374434560784,0.00431611878016863,0.00474773065818549,0.00522250372400404,0.00574475409640444,0.00631922950604489,0.00695115245664938,0.00764626770231432,0.00841089447254575,0.00925198391980033,0.0101771823117804,0.0111949005429584,0.0123143905972542,0.0135458296569797,0.0149004126226776,0.0163904538849454,0.0180294992734399,0.0198324492007839,0.0218156941208623,0.0239972635329486,0.0263969898862434,0.0290366888748678,0.0319403577623545,0.03513439353859,0.038647832892449,0.0425126161816939,0.0467638777998633,0.0514402655798496,0.0565842921378346,0.0622427213516181,0.0684669934867799,0.0753136928354579,0.0828450621190037
"72-83",0.000558417995938484,0.000285398661339775,0.000155171303358546,8.43666654670265e-05,4.58701711461338e-05,2.49396202792672e-05,1.35596760189211e-05,1.05129720236013e-05,1.15642692259614e-05,1.27206961485575e-05,1.39927657634133e-05,1.53920423397546e-05,1.69312465737301e-05,1.86243712311031e-05,2.04868083542134e-05,2.25354891896347e-05,2.47890381085982e-05,2.7267941919458e-05,2.99947361114038e-05,3.29942097225442e-05,3.62936306947986e-05,3.99229937642785e-05,4.39152931407064e-05,4.8306822454777e-05,5.31375047002547e-05,5.84512551702802e-05,6.42963806873082e-05,7.0726018756039e-05,7.7798620631643e-05,8.55784826948073e-05,9.4136330964288e-05,0.000103549964060717,0.000113904960466788,0.000125295456513467,0.000137825002164814,0.000151607502381296,0.000166768252619425,0.000183445077881368,0.000201789585669504,0.000221968544236455,0.0002441653986601,0.00026858193852611,0.000295440132378721,0.000324984145616594,0.000357482560178253,0.000393230816196078,0.000432553897815686,0.000475809287597255,0.00052339021635698,0.000575729237992678,0.000633302161791947,0.000696632377971141,0.000766295615768255,0.000842925177345081,0.000927217695079589,0.00101993946458755,0.0011219334110463,0.00123412675215093,0.00135753942736603,0.00149329337010263,0.00164262270711289,0.00180688497782418,0.0019875734756066,0.00218633082316726,0.00240496390548399,0.00264546029603239,0.00291000632563562,0.00320100695819919,0.00352110765401911,0.00387321841942102,0.00426054026136312,0.00468659428749943,0.00515525371624937,0.00567077908787431,0.00623785699666175,0.00686164269632792,0.00754780696596071,0.00830258766255678,0.00913284642881246,0.0100461310716937,0.0110507441788631,0.0121558185967494,0.0133714004564243,0.0147085405020668,0.0161793945522734,0.0177973340075008,0.0195770674082509,0.021534774149076,0.0236882515639836,0.0260570767203819,0.0286627843924201,0.0315290628316621,0.0346819691148283,0.0381501660263112,0.0419651826289423,0.0461617008918365,0.0507778709810202,0.0558556580791222,0.0614412238870344,0.0675853462757379,0.0743438809033117
"84-95",0.000613659249551035,0.000312414940033722,0.000169860058929991,9.23529445057451e-05,5.02123124918763e-05,2.73004433077388e-05,1.48432559229301e-05,8.07028090753181e-06,6.61382967935931e-06,7.27521264729525e-06,8.00273391202477e-06,8.80300730322725e-06,9.68330803354997e-06,1.0651638836905e-05,1.17168027205955e-05,1.2888482992655e-05,1.41773312919205e-05,1.55950644211126e-05,1.71545708632238e-05,1.88700279495462e-05,2.07570307445008e-05,2.28327338189509e-05,2.5116007200846e-05,2.76276079209306e-05,3.03903687130237e-05,3.34294055843261e-05,3.67723461427587e-05,4.04495807570345e-05,4.4494538832738e-05,4.89439927160118e-05,5.3838391987613e-05,5.92222311863743e-05,6.51444543050117e-05,7.16588997355129e-05,7.88247897090642e-05,8.67072686799706e-05,9.53779955479677e-05,0.000104915795102764,0.000115407374613041,0.000126948112074345,0.00013964292328178,0.000153607215609958,0.000168967937170953,0.000185864730888049,0.000204451203976854,0.000224896324374539,0.000247385956811993,0.000272124552493192,0.000299337007742511,0.000329270708516763,0.000362197779368439,0.000398417557305283,0.000438259313035811,0.000482085244339392,0.000530293768773331,0.000583323145650665,0.000641655460215731,0.000705821006237304,0.000776403106861035,0.000854043417547138,0.000939447759301852,0.00103339253523204,0.00113673178875524,0.00125040496763077,0.00137544546439384,0.00151299001083323,0.00166428901191655,0.0018307179131082,0.00201378970441903,0.00221516867486093,0.00243668554234702,0.00268035409658172,0.0029483895062399,0.00324322845686389,0.00356755130255027,0.0039243064328053,0.00431673707608583,0.00474841078369442,0.00522325186206386,0.00574557704827024,0.00632013475309727,0.006952148228407,0.0076473630512477,0.00841209935637247,0.00925330929200971,0.0101786402212107,0.0111965042433318,0.0123161546676649,0.0135477701344314,0.0149025471478746,0.016392801862662,0.0180320820489282,0.0198352902538211,0.0218188192792032,0.0240007012071235,0.0264007713278358,0.0290408484606194,0.0319449333066814,0.0351394266373495,0.0386533693010845,0.0425187062311929
"96-107",0.000710944825676763,0.000357866416755245,0.000194572034975502,0.000105788850313943,5.7517416889611e-05,3.12722298790052e-05,1.70027169940935e-05,9.24438027923676e-06,5.0261712158609e-06,4.25597991218955e-06,4.6815779034085e-06,5.14973569374935e-06,5.66470926312429e-06,6.23118018943671e-06,6.85429820838039e-06,7.53972802921843e-06,8.29370083214027e-06,9.12307091535429e-06,1.00353780068897e-05,1.10389158075787e-05,1.21428073883366e-05,1.33570881271702e-05,1.46927969398873e-05,1.6162076633876e-05,1.77782842972636e-05,1.95561127269899e-05,2.15117239996889e-05,2.36628963996578e-05,2.60291860396236e-05,2.8632104643586e-05,3.14953151079446e-05,3.4644846618739e-05,3.8109331280613e-05,4.19202644086743e-05,4.61122908495417e-05,5.07235199344959e-05,5.57958719279454e-05,6.137545912074e-05,6.7513005032814e-05,7.42643055360954e-05,8.16907360897049e-05,8.98598096986754e-05,9.8845790668543e-05,0.000108730369735397,0.000119603406708937,0.000131563747379831,0.000144720122117814,0.000159192134329595,0.000175111347762555,0.00019262248253881,0.000211884730792691,0.00023307320387196,0.000256380524259156,0.000282018576685072,0.00031022043435358,0.000341242477788937,0.000375366725567831,0.000412903398124614,0.000454193737937076,0.000499613111730783,0.000549574422903862,0.000604531865194248,0.000664985051713673,0.00073148355688504,0.000804631912573544,0.000885095103830899,0.000973604614213989,0.00107096507563539,0.00117806158319893,0.00129586774151882,0.0014254545156707,0.00156799996723777,0.00172479996396155,0.0018972799603577,0.00208700795639347,0.00229570875203282,0.0025252796272361,0.00277780758995972,0.00305558834895569,0.00336114718385126,0.00369726190223638,0.00406698809246002,0.00447368690170602,0.00492105559187663,0.00541316115106429,0.00595447726617072,0.00654992499278779,0.00720491749206657,0.00792540924127323,0.00871795016540055,0.00958974518194061,0.0105487197001347,0.0116035916701481,0.0127639508371629,0.0140403459208792,0.0154443805129672,0.0169888185642639,0.0186877004206903,0.0205564704627593,0.0226121175090352,0.0248733292599388
"108-119",0.000744462763168609,0.00036422893315949,0.000198031336285648,0.000107669673056718,5.85400205521956e-05,3.18282196737631e-05,1.73050087452237e-05,9.40873635854427e-06,5.11553164565873e-06,2.78131547324861e-06,2.4133403939002e-06,2.65467443329022e-06,2.92014187661924e-06,3.21215606428117e-06,3.53337167070929e-06,3.88670883778021e-06,4.27537972155824e-06,4.70291769371406e-06,5.17320946308547e-06,5.69053040939401e-06,6.25958345033342e-06,6.88554179536676e-06,7.57409597490343e-06,8.33150557239378e-06,9.16465612963316e-06,1.00811217425965e-05,1.10892339168561e-05,1.21981573085417e-05,1.34179730393959e-05,1.47597703433355e-05,1.62357473776691e-05,1.7859322115436e-05,1.96452543269796e-05,2.16097797596775e-05,2.37707577356453e-05,2.61478335092098e-05,2.87626168601308e-05,3.16388785461439e-05,3.48027664007582e-05,3.82830430408341e-05,4.21113473449175e-05,4.63224820794092e-05,5.09547302873502e-05,5.60502033160852e-05,6.16552236476937e-05,6.78207460124631e-05,7.46028206137094e-05,8.20631026750804e-05,9.02694129425884e-05,9.92963542368472e-05,0.000109225989660532,0.000120148588626585,0.000132163447489244,0.000145379792238168,0.000159917771461985,0.000175909548608183,0.000193500503469002,0.000212850553815902,0.000234135609197492,0.000257549170117241,0.000283304087128966,0.000311634495841862,0.000342797945426048,0.000377077739968653,0.000414785513965519,0.000456264065362071,0.000501890471898278,0.000552079519088106,0.000607287470996916,0.000668016218096608,0.000734817839906268,0.000808299623896895,0.000889129586286585,0.000978042544915244,0.00107584679940677,0.00118343147934744,0.00130177462728219,0.00143195209001041,0.00157514729901145,0.0017326620289126,0.00190592823180385,0.00209652105498424,0.00230617316048267,0.00253679047653093,0.00279046952418402,0.00306951647660243,0.00337646812426267,0.00371411493668894,0.00408552643035783,0.00449407907339361,0.00494348698073298,0.00543783567880627,0.0059816192466869,0.00657978117135559,0.00723775928849115,0.00796153521734027,0.0087576887390743,0.00963345761298173,0.0105968033742799,0.0116564837117079,0.0128221320828787
