"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",8.9712139456837e-08,4.29233255555627e-08,2.33374198031377e-08,1.26885593326844e-08,6.89877198495634e-09,7.58864918345198e-09,8.34751410179717e-09,9.18226551197689e-09,1.01004920631746e-08,1.1110541269492e-08,1.22215953964412e-08,1.34437549360854e-08,1.47881304296939e-08,1.62669434726633e-08,1.78936378199296e-08,1.96830016019226e-08,2.16513017621149e-08,2.38164319383263e-08,2.6198075132159e-08,2.88178826453749e-08,3.16996709099124e-08,3.48696380009036e-08,3.8356601800994e-08,4.21922619810934e-08,4.64114881792027e-08,5.1052636997123e-08,5.61579006968353e-08,6.17736907665188e-08,6.79510598431707e-08,7.47461658274878e-08,8.22207824102366e-08,9.04428606512603e-08,9.94871467163863e-08,1.09435861388025e-07,1.20379447526827e-07,1.3241739227951e-07,1.45659131507461e-07,1.60225044658207e-07,1.76247549124028e-07,1.93872304036431e-07,2.13259534440074e-07,2.34585487884081e-07,2.5804403667249e-07,2.83848440339739e-07,3.12233284373712e-07,3.43456612811084e-07,3.77802274092192e-07,4.15582501501412e-07,4.57140751651553e-07,5.02854826816708e-07,5.53140309498379e-07,6.08454340448217e-07,6.69299774493038e-07,7.36229751942342e-07,8.09852727136577e-07,8.90837999850234e-07,9.79921799835258e-07,1.07791397981878e-06,1.18570537780066e-06,1.30427591558073e-06,1.4347035071388e-06,1.57817385785268e-06,1.73599124363795e-06,1.90959036800175e-06,2.10054940480192e-06,2.31060434528211e-06,2.54166477981032e-06,2.79583125779136e-06,3.07541438357049e-06,3.38295582192754e-06,3.7212514041203e-06,4.09337654453233e-06,4.50271419898556e-06,4.95298561888412e-06,5.44828418077253e-06,5.99311259884978e-06,6.59242385873476e-06,7.25166624460824e-06,7.97683286906906e-06,8.77451615597597e-06,9.65196777157356e-06,1.06171645487309e-05,1.1678881003604e-05,1.28467691039644e-05,1.41314460143609e-05,1.5544590615797e-05,1.70990496773766e-05,1.88089546451143e-05,2.06898501096257e-05,2.27588351205883e-05,2.50347186326471e-05,2.75381904959119e-05,3.02920095455031e-05,3.33212105000534e-05,3.66533315500587e-05,4.03186647050646e-05,4.4350531175571e-05,4.87855842931282e-05,5.3664142722441e-05,5.90305569946851e-05,6.49336126941536e-05
"48-59",1.72669383125379e-06,9.74287976058684e-07,5.29720547328007e-07,2.88009156591071e-07,1.56590630094886e-07,8.96739184953739e-08,9.86413103449113e-08,1.08505441379402e-07,1.19355985517343e-07,1.31291584069077e-07,1.44420742475985e-07,1.58862816723583e-07,1.74749098395942e-07,1.92224008235536e-07,2.11446409059089e-07,2.32591049964998e-07,2.55850154961498e-07,2.81435170457648e-07,3.09578687503413e-07,3.40536556253754e-07,3.7459021187913e-07,4.12049233067042e-07,4.53254156373747e-07,4.98579572011121e-07,5.48437529212234e-07,6.03281282133457e-07,6.63609410346803e-07,7.29970351381483e-07,8.02967386519632e-07,8.83264125171595e-07,9.71590537688754e-07,1.06874959145763e-06,1.17562455060339e-06,1.29318700566373e-06,1.42250570623011e-06,1.56475627685312e-06,1.72123190453843e-06,1.89335509499227e-06,2.0826906044915e-06,2.29095966494065e-06,2.52005563143471e-06,2.77206119457819e-06,3.049267314036e-06,3.3541940454396e-06,3.68961344998357e-06,4.05857479498192e-06,4.46443227448012e-06,4.91087550192813e-06,5.40196305212094e-06,5.94215935733304e-06,6.53637529306634e-06,7.19001282237297e-06,7.90901410461027e-06,8.6999155150713e-06,9.56990706657843e-06,1.05268977732363e-05,1.15795875505599e-05,1.27375463056159e-05,1.40113009361775e-05,1.54124310297952e-05,1.69536741327748e-05,1.86490415460522e-05,2.05139457006575e-05,2.25653402707232e-05,2.48218742977955e-05,2.73040617275751e-05,3.00344679003326e-05,3.30379146903659e-05,3.63417061594024e-05,3.99758767753427e-05,4.3973464452877e-05,4.83708108981647e-05,5.32078919879811e-05,5.85286811867793e-05,6.43815493054572e-05,7.08197042360029e-05,7.79016746596032e-05,8.56918421255635e-05,9.42610263381199e-05,0.000103687128971932,0.000114055841869125,0.000125461426056038,0.000138007568661641,0.000151808325527806,0.000166989158080586,0.000183688073888645,0.000202056881277509,0.00022226256940526,0.000244488826345786,0.000268937708980365,0.000295831479878401,0.000325414627866242,0.000357956090652866,0.000393751699718152,0.000433126869689968,0.000476439556658964,0.000524083512324861,0.000576491863557347,0.000634141049913082,0.00069755515490439,0.000767310670394829
"60-71",0.000326419852982023,0.000176152717994297,9.57742643676376e-05,5.20724847144233e-05,2.83118192787716e-05,1.53931412197775e-05,8.42231309894727e-06,9.264544408842e-06,1.01909988497262e-05,1.12100987346988e-05,1.23311086081687e-05,1.35642194689856e-05,1.49206414158841e-05,1.64127055574725e-05,1.80539761132198e-05,1.98593737245418e-05,2.1845311096996e-05,2.40298422066956e-05,2.64328264273651e-05,2.90761090701016e-05,3.19837199771118e-05,3.5182091974823e-05,3.87003011723053e-05,4.25703312895358e-05,4.68273644184894e-05,5.15101008603383e-05,5.66611109463722e-05,6.23272220410094e-05,6.85599442451103e-05,7.54159386696214e-05,8.29575325365835e-05,9.12532857902419e-05,0.000100378614369266,0.000110416475806193,0.000121458123386812,0.000133603935725493,0.000146964329298043,0.000161660762227847,0.000177826838450631,0.000195609522295695,0.000215170474525264,0.000236687521977791,0.00026035627417557,0.000286391901593127,0.000315031091752439,0.000346534200927683,0.000381187621020452,0.000419306383122497,0.000461237021434747,0.000507360723578221,0.000558096795936044,0.000613906475529648,0.000675297123082613,0.000742826835390874,0.000817109518929962,0.000898820470822957,0.000988702517905254,0.00108757276969578,0.00119633004666536,0.00131596305133189,0.00144755935646508,0.00159231529211159,0.00175154682132275,0.00192670150345502,0.00211937165380053,0.00233130881918058,0.00256443970109864,0.0028208836712085,0.00310297203832935,0.00341326924216229,0.00375459616637852,0.00413005578301637,0.00454306136131801,0.00499736749744981,0.00549710424719479,0.00604681467191427,0.0066514961391057,0.00731664575301627,0.00804831032831789,0.00885314136114969,0.00973845549726465,0.0107123010469911,0.0117835311516902,0.0129618842668593,0.0142580726935452,0.0156838799628997,0.0172522679591897,0.0189774947551087,0.0208752442306195,0.0229627686536815,0.0252590455190496,0.0277849500709546,0.03056344507805,0.033619789585855,0.0369817685444406,0.0406799453988846,0.0447479399387731,0.0492227339326504,0.0541450073259154,0.059559508058507,0.0655154588643577
"72-83",0.00136350006525096,0.000720868353957754,0.00039193625333927,0.000213095811236883,0.000115860230789617,6.29932282606023e-05,3.42494295035357e-05,2.40896533557214e-05,2.64986186912935e-05,2.91484805604229e-05,3.20633286164652e-05,3.52696614781117e-05,3.87966276259229e-05,4.26762903885151e-05,4.69439194273667e-05,5.16383113701033e-05,5.68021425071137e-05,6.2482356757825e-05,6.87305924336075e-05,7.56036516769683e-05,8.31640168446651e-05,9.14804185291317e-05,0.000100628460382045,0.000110691306420249,0.000121760437062274,0.000133936480768502,0.000147330128845352,0.000162063141729887,0.000178269455902876,0.000196096401493163,0.00021570604164248,0.000237276645806728,0.000261004310387401,0.000287104741426141,0.000315815215568755,0.00034739673712563,0.000382136410838193,0.000420350051922013,0.000462385057114214,0.000508623562825635,0.000559485919108199,0.000615434511019019,0.000676977962120921,0.000744675758333013,0.000819143334166314,0.000901057667582946,0.000991163434341241,0.00109027977777536,0.0011993077555529,0.00131923853110819,0.00145116238421901,0.00159627862264091,0.001755906484905,0.0019314971333955,0.00212464684673505,0.00233711153140856,0.00257082268454942,0.00282790495300436,0.00311069544830479,0.00342176499313527,0.0037639414924488,0.00414033564169368,0.00455436920586305,0.00500980612644936,0.00551078673909429,0.00606186541300372,0.00666805195430409,0.0073348571497345,0.00806834286470796,0.00887517715117875,0.00976269486629663,0.0107389643529263,0.0118128607882189,0.0129941468670408,0.0142935615537449,0.0157229177091194,0.0172952094800313,0.0190247304280345,0.0209272034708379,0.0230199238179217,0.0253219161997139,0.0278541078196853,0.0306395186016538,0.0337034704618192,0.0370738175080011,0.0407811992588012,0.0448593191846813,0.0493452511031495,0.0542797762134644,0.0597077538348109,0.065678529218292,0.0722463821401212,0.0794710203541333,0.0874181223895466,0.0961599346285013,0.105775928091351,0.116353520900487,0.127988872990535,0.140787760289589,0.154866536318548,0.170353189950402
"84-95",0.00217767366528026,0.00111658346833339,0.000607086631999391,0.000330073110703014,0.000179460809489993,9.75728743071756e-05,5.30503892611425e-05,2.88435061562164e-05,2.4411145366886e-05,2.68522599035746e-05,2.95374858939321e-05,3.24912344833253e-05,3.57403579316578e-05,3.93143937248236e-05,4.3245833097306e-05,4.75704164070366e-05,5.23274580477402e-05,5.75602038525143e-05,6.33162242377657e-05,6.96478466615422e-05,7.66126313276965e-05,8.42738944604661e-05,9.27012839065128e-05,0.000101971412297164,0.00011216855352688,0.000123385408879569,0.000135723949767525,0.000149296344744278,0.000164225979218706,0.000180648577140576,0.000198713434854634,0.000218584778340097,0.000240443256174107,0.000264487581791518,0.00029093633997067,0.000320029973967737,0.00035203297136451,0.000387236268500961,0.000425959895351058,0.000468555884886163,0.00051541147337478,0.000566952620712258,0.000623647882783484,0.000686012671061832,0.000754613938168015,0.000830075331984817,0.000913082865183299,0.00100439115170163,0.00110483026687179,0.00121531329355897,0.00133684462291487,0.00147052908520635,0.00161758199372699,0.00177934019309969,0.00195727421240966,0.00215300163365062,0.00236830179701569,0.00260513197671726,0.00286564517438898,0.00315220969182788,0.00346743066101067,0.00381417372711174,0.00419559109982291,0.0046151502098052,0.00507666523078572,0.0055843317538643,0.00614276492925073,0.0067570414221758,0.00743274556439338,0.00817602012083272,0.00899362213291599,0.00989298434620759,0.0108822827808283,0.0119705110589112,0.0131675621648023,0.0144843183812825,0.0159327502194108,0.0175260252413519,0.0192786277654871,0.0212064905420358,0.0233271395962393,0.0256598535558633,0.0282258389114496,0.0310484228025946,0.034153265082854,0.0375685915911394,0.0413254507502534,0.0454579958252787,0.0500037954078066,0.0550041749485873,0.060504592443446,0.0665550516877906,0.0732105568565697,0.0805316125422267,0.0885847737964493,0.0974432511760943,0.107187576293704,0.117906333923074,0.129696967315382,0.14266666404692,0.156933330451612
"96-107",0.00198308117332404,0.000996593776923596,0.000541848215258951,0.000294602971820301,0.000160175688617662,8.70875506299767e-05,4.73495168972383e-05,2.5743940829473e-05,1.39969852463281e-05,1.23115511171224e-05,1.35427062288347e-05,1.48969768517181e-05,1.638667453689e-05,1.8025341990579e-05,1.98278761896369e-05,2.18106638086005e-05,2.39917301894606e-05,2.63909032084067e-05,2.90299935292473e-05,3.19329928821721e-05,3.51262921703893e-05,3.86389213874282e-05,4.2502813526171e-05,4.67530948787881e-05,5.1428404366667e-05,5.65712448033336e-05,6.2228369283667e-05,6.84512062120337e-05,7.52963268332371e-05,8.28259595165608e-05,9.11085554682169e-05,0.000100219411015039,0.000110241352116542,0.000121265487328197,0.000133392036061016,0.000146731239667118,0.00016140436363383,0.000177544799997213,0.000195299279996934,0.000214829207996628,0.00023631212879629,0.000259943341675919,0.000285937675843511,0.000314531443427863,0.000345984587770649,0.000380583046547714,0.000418641351202485,0.000460505486322734,0.000506556034955007,0.000557211638450508,0.000612932802295559,0.000674226082525115,0.000741648690777626,0.000815813559855389,0.000897394915840928,0.000987134407425021,0.00108584784816752,0.00119443263298428,0.0013138758962827,0.00144526348591097,0.00158978983450207,0.00174876881795228,0.00192364569974751,0.00211601026972226,0.00232761129669448,0.00256037242636393,0.00281640966900032,0.00309805063590036,0.00340785569949039,0.00374864126943943,0.00412350539638338,0.00453585593602172,0.00498944152962389,0.00548838568258628,0.0060372242508449,0.00664094667592939,0.00730504134352233,0.00803554547787457,0.00883910002566203,0.00972301002822823,0.0106953110310511,0.0117648421341562,0.0129413263475718,0.014235458982329,0.0156590048805618,0.017224905368618,0.0189473959054798,0.0208421354960278,0.0229263490456306,0.0252189839501937,0.0277408823452131,0.0305149705797344,0.0335664676377078,0.0369231144014786,0.0406154258416264,0.0446769684257891,0.049144665268368,0.0540591317952048,0.0594650449747253,0.0654115494721978,0.0719527044194176
"108-119",0.00136816730584648,0.000695641108185449,0.000378220195288197,0.000205638388014451,0.000111805628446042,6.07887402391816e-05,3.30508489708999e-05,1.79697525133635e-05,9.77015766450804e-06,5.3120364745345e-06,4.87052185061429e-06,5.35757403567571e-06,5.89333143924329e-06,6.48266458316762e-06,7.13093104148438e-06,7.84402414563282e-06,8.6284265601961e-06,9.49126921621571e-06,1.04403961378373e-05,1.1484435751621e-05,1.26328793267831e-05,1.38961672594614e-05,1.52857839854076e-05,1.68143623839483e-05,1.84957986223432e-05,2.03453784845775e-05,2.23799163330352e-05,2.46179079663388e-05,2.70796987629726e-05,2.97876686392699e-05,3.27664355031969e-05,3.60430790535166e-05,3.96473869588682e-05,4.36121256547551e-05,4.79733382202306e-05,5.27706720422536e-05,5.8047739246479e-05,6.38525131711269e-05,7.02377644882396e-05,7.72615409370636e-05,8.498769503077e-05,9.34864645338469e-05,0.000102835110987232,0.000113118622085955,0.00012443048429455,0.000136873532724005,0.000150560885996406,0.000165616974596047,0.000182178672055651,0.000200396539261216,0.000220436193187338,0.000242479812506072,0.000266727793756679,0.000293400573132347,0.000322740630445582,0.00035501469349014,0.000390516162839154,0.000429567779123069,0.000472524557035376,0.000519777012738914,0.000571754714012805,0.000628930185414086,0.000691823203955495,0.000761005524351044,0.000837106076786149,0.000920816684464763,0.00101289835291124,0.00111418818820236,0.0012256070070226,0.00134816770772486,0.00148298447849735,0.00163128292634708,0.00179441121898179,0.00197385234087997,0.00217123757496797,0.00238836133246476,0.00262719746571124,0.00288991721228236,0.0031789089335106,0.00349679982686166,0.00384647980954783,0.00423112779050261,0.00465424056955287,0.00511966462650816,0.00563163108915898,0.00619479419807487,0.00681427361788236,0.0074957009796706,0.00824527107763766,0.00906979818540143,0.00997677800394157,0.0109744558043357,0.0120719013847693,0.0132790915232462,0.0146070006755709,0.0160677007431279,0.0176744708174407,0.0194419178991848,0.0213861096891033,0.0235247206580136,0.025877192723815
