"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",1.23036284669974e-08,6.68948500424247e-09,3.63996145362268e-09,4.00395759898495e-09,4.40435335888344e-09,4.84478869477179e-09,5.32926756424896e-09,5.86219432067386e-09,6.44841375274125e-09,7.09325512801537e-09,7.80258064081691e-09,8.5828387048986e-09,9.44112257538847e-09,1.03852348329273e-08,1.142375831622e-08,1.2566134147842e-08,1.38227475626263e-08,1.52050223188889e-08,1.67255245507778e-08,1.83980770058556e-08,2.02378847064411e-08,2.22616731770852e-08,2.44878404947937e-08,2.69366245442731e-08,2.96302869987004e-08,3.25933156985705e-08,3.58526472684275e-08,3.94379119952703e-08,4.33817031947973e-08,4.77198735142771e-08,5.24918608657048e-08,5.77410469522752e-08,6.35151516475028e-08,6.98666668122531e-08,7.68533334934783e-08,8.45386668428262e-08,9.29925335271088e-08,1.0229178687982e-07,1.12520965567802e-07,1.23773062124582e-07,1.3615036833704e-07,1.49765405170744e-07,1.64741945687819e-07,1.812161402566e-07,1.9933775428226e-07,2.19271529710487e-07,2.41198682681535e-07,2.65318550949689e-07,2.91850406044658e-07,3.21035446649123e-07,3.53138991314036e-07,3.88452890445439e-07,4.27298179489983e-07,4.70027997438982e-07,5.1703079718288e-07,5.68733876901168e-07,6.25607264591285e-07,6.88167991050414e-07,7.56984790155455e-07,8.32683269171e-07,9.159515960881e-07,1.00754675569691e-06,1.1083014312666e-06,1.21913157439326e-06,1.34104473183259e-06,1.47514920501585e-06,1.62266412551743e-06,1.78493053806918e-06,1.96342359187609e-06,2.1597659510637e-06,2.37574254617007e-06,2.61331680078708e-06,2.87464848086579e-06,3.16211332895237e-06,3.47832466184761e-06,3.82615712803237e-06,4.2087728408356e-06,4.62965012491916e-06,5.09261513741108e-06,5.60187665115219e-06,6.16206431626741e-06,6.77827074789415e-06,7.45609782268357e-06,8.20170760495192e-06,9.02187836544711e-06,9.92406620199183e-06,1.0916472822191e-05,1.20081201044101e-05,1.32089321148511e-05,1.45298253263362e-05,1.59828078589699e-05,1.75810886448669e-05,1.93391975093535e-05,2.12731172602889e-05,2.34004289863178e-05,2.57404718849496e-05,2.83145190734445e-05,3.1145970980789e-05,3.42605680788679e-05,3.76866248867547e-05,4.14552873754302e-05
"24-29",5.93613593174333e-07,3.22747817077353e-07,1.75478046031882e-07,1.02391616796153e-07,1.12630778475769e-07,1.23893856323346e-07,1.3628324195568e-07,1.49911566151248e-07,1.64902722766373e-07,1.8139299504301e-07,1.99532294547311e-07,2.19485524002042e-07,2.41434076402247e-07,2.65577484042472e-07,2.92135232446719e-07,3.21348755691391e-07,3.5348363126053e-07,3.88831994386583e-07,4.27715193825241e-07,4.70486713207765e-07,5.17535384528542e-07,5.69288922981396e-07,6.26217815279535e-07,6.88839596807489e-07,7.57723556488238e-07,8.33495912137062e-07,9.16845503350768e-07,1.00853005368584e-06,1.10938305905443e-06,1.22032136495987e-06,1.34235350145586e-06,1.47658885160145e-06,1.62424773676159e-06,1.78667251043775e-06,1.96533976148153e-06,2.16187373762968e-06,2.37806111139265e-06,2.61586722253191e-06,2.8774539447851e-06,3.16519933926361e-06,3.48171927318997e-06,3.82989120050897e-06,4.21288032055987e-06,4.63416835261586e-06,5.09758518787744e-06,5.60734370666519e-06,6.16807807733171e-06,6.78488588506488e-06,7.46337447357137e-06,8.20971192092851e-06,9.03068311302136e-06,9.93375142432349e-06,1.09271265667558e-05,1.20198392234314e-05,1.32218231457746e-05,1.4544005460352e-05,1.59984060063872e-05,1.7598246607026e-05,1.93580712677286e-05,2.12938783945014e-05,2.34232662339516e-05,2.57655928573467e-05,2.83421521430814e-05,3.11763673573895e-05,3.42940040931285e-05,3.77234045024413e-05,4.14957449526855e-05,4.5645319447954e-05,5.02098513927494e-05,5.52308365320244e-05,6.07539201852268e-05,6.68293122037495e-05,7.35122434241245e-05,8.08634677665369e-05,8.89498145431906e-05,9.78447959975097e-05,0.000107629275597261,0.000118392203156987,0.000130231423472685,0.000143254565819954,0.000157580022401949,0.000173338024642144,0.000190671827106359,0.000209739009816995,0.000230712910798694,0.000253784201878564,0.00027916262206642,0.000307078884273062,0.000337786772700368,0.000371565449970405,0.000408721994967446,0.00044959419446419,0.000494553613910609,0.00054400897530167,0.000598409872831837,0.000658250860115021,0.000724075946126523,0.000796483540739176,0.000876131894813093,0.000963745084294403,0.00106011959272384
"30-35",8.09600268254646e-07,4.40179811057137e-07,2.39325842220885e-07,1.36370499068489e-07,1.50007548975338e-07,1.65008303872872e-07,1.81509134260159e-07,1.99660047686175e-07,2.19626052454793e-07,2.41588657700272e-07,2.657475234703e-07,2.9232227581733e-07,3.21554503399063e-07,3.53709953738969e-07,3.89080949112866e-07,4.27989044024152e-07,4.70787948426568e-07,5.17866743269224e-07,5.69653417596147e-07,6.26618759355762e-07,6.89280635291338e-07,7.58208698820472e-07,8.34029568702519e-07,9.17432525572771e-07,1.00917577813005e-06,1.11009335594305e-06,1.22110269153736e-06,1.34321296069109e-06,1.4775342567602e-06,1.62528768243622e-06,1.78781645067985e-06,1.96659809574783e-06,2.16325790532262e-06,2.37958369585488e-06,2.61754206544037e-06,2.8792962719844e-06,3.16722589918284e-06,3.48394848910113e-06,3.83234333801124e-06,4.21557767181236e-06,4.6371354389936e-06,5.10084898289296e-06,5.61093388118226e-06,6.17202726930048e-06,6.78922999623053e-06,7.46815299585359e-06,8.21496829543895e-06,9.03646512498284e-06,9.94011163748113e-06,1.09341228012292e-05,1.20275350813522e-05,1.32302885894874e-05,1.45533174484361e-05,1.60086491932797e-05,1.76095141126077e-05,1.93704655238685e-05,2.13075120762553e-05,2.34382632838809e-05,2.5782089612269e-05,2.83602985734959e-05,3.11963284308454e-05,3.431596127393e-05,3.7747557401323e-05,4.15223131414553e-05,4.56745444556008e-05,5.02419989011609e-05,5.5266198791277e-05,6.07928186704047e-05,6.68721005374452e-05,7.35593105911897e-05,8.09152416503087e-05,8.90067658153396e-05,9.79074423968735e-05,0.000107698186636561,0.000118468005300217,0.000130314805830239,0.000143346286413263,0.000157680915054589,0.000173449006560048,0.000190793907216053,0.000209873297937658,0.000230860627731424,0.000253946690504566,0.000279341359555023,0.000307275495510525,0.000338003045061577,0.000371803349567735,0.000408983684524509,0.00044988205297696,0.000494870258274656,0.000544357284102121,0.000598793012512334,0.000658672313763567,0.000724539545139924,0.000796993499653916,0.000876692849619308,0.000964362134581239,0.00106079834803936,0.0011668781828433,0.00128356600112763,0.00141192260124039
"36-47",2.47953919667116e-05,1.34812590595163e-05,7.32976296861072e-06,3.98519344067442e-06,2.29487279636967e-06,2.52436007600663e-06,2.7767960836073e-06,3.05447569196803e-06,3.35992326116483e-06,3.69591558728131e-06,4.06550714600944e-06,4.47205786061039e-06,4.91926364667143e-06,5.41119001133857e-06,5.95230901247243e-06,6.54753991371967e-06,7.20229390509164e-06,7.92252329560081e-06,8.71477562516089e-06,9.58625318767698e-06,1.05448785064447e-05,1.15993663570891e-05,1.27593029927981e-05,1.40352332920779e-05,1.54387566212857e-05,1.69826322834142e-05,1.86808955117556e-05,2.05489850629312e-05,2.26038835692243e-05,2.48642719261468e-05,2.73506991187614e-05,3.00857690306376e-05,3.30943459337014e-05,3.64037805270715e-05,4.00441585797787e-05,4.40485744377565e-05,4.84534318815322e-05,5.32987750696854e-05,5.86286525766539e-05,6.44915178343193e-05,7.09406696177513e-05,7.80347365795264e-05,8.58382102374791e-05,9.4422031261227e-05,0.00010386423438735,0.000114250657826085,0.000125675723608693,0.000138243295969562,0.000152067625566519,0.000167274388123171,0.000184001826935488,0.000202402009629036,0.00022264221059194,0.000244906431651134,0.000269397074816248,0.000296336782297872,0.00032597046052766,0.000358567506580426,0.000394424257238468,0.000433866682962315,0.000477253351258547,0.000524978686384401,0.000577476555022842,0.000635224210525126,0.000698746631577638,0.000768621294735402,0.000845483424208943,0.000930031766629837,0.00102303494329282,0.0011253384376221,0.00123787228138431,0.00136165950952274,0.00149782546047502,0.00164760800652252,0.00181236880717477,0.00199360568789225,0.00219296625668148,0.00241226288234962,0.00265348917058459,0.00291883808764305,0.00321072189640735,0.00353179408604809,0.0038849734946529,0.00427347084411818,0.00470081792853,0.00517089972138301,0.0056879896935213,0.00625678866287344,0.00688246752916078,0.00757071428207686,0.00832778571028455,0.009160564281313,0.0100766207094443,0.0110842827803887,0.0121927110584276,0.0134119821642704,0.0147531803806974,0.0162284984187672,0.0178513482606439,0.0196364830867082,0.0216001313953791
"48-59",0.000150335490272613,8.17374330248699e-05,4.44406569957633e-05,2.41623931793181e-05,1.3137097505278e-05,8.48483634366634e-06,9.33331997803298e-06,1.02666519758363e-05,1.12933171734199e-05,1.24226488907619e-05,1.36649137798381e-05,1.50314051578219e-05,1.65345456736041e-05,1.81880002409645e-05,2.0006800265061e-05,2.20074802915671e-05,2.42082283207238e-05,2.66290511527961e-05,2.92919562680758e-05,3.22211518948833e-05,3.54432670843717e-05,3.89875937928088e-05,4.28863531720897e-05,4.71749884892987e-05,5.18924873382286e-05,5.70817360720514e-05,6.27899096792566e-05,6.90689006471823e-05,7.59757907119005e-05,8.35733697830905e-05,9.19307067613996e-05,0.00010112377743754,0.000111236155181294,0.000122359770699423,0.000134595747769365,0.000148055322546302,0.000162860854800932,0.000179146940281025,0.000197061634309128,0.00021676779774004,0.000238444577514044,0.000262289035265449,0.000288517938791994,0.000317369732671193,0.000349106705938313,0.000384017376532144,0.000422419114185358,0.000464661025603894,0.000511127128164284,0.000562239840980712,0.000618463825078783,0.000680310207586662,0.000748341228345328,0.000823175351179861,0.000905492886297847,0.000996042174927632,0.00109564639242039,0.00120521103166243,0.00132573213482868,0.00145830534831155,0.0016041358831427,0.00176454947145697,0.00194100441860267,0.00213510486046294,0.00234861534650923,0.00258347688116015,0.00284182456927617,0.00312600702620378,0.00343860772882416,0.00378246850170658,0.00416071535187724,0.00457678688706496,0.00503446557577146,0.00553791213334861,0.00609170334668347,0.00670087368135181,0.00737096104948699,0.0081080571544357,0.00891886286987927,0.00981074915686719,0.0107918240725539,0.0118710064798093,0.0130581071277902,0.0143639178405693,0.0158003096246262,0.0173803405870888,0.0191183746457977,0.0210302121103775,0.0231332333214152,0.0254465566535567,0.0279912123189124,0.0307903335508037,0.033869366905884,0.0372563035964724,0.0409819339561197,0.0450801273517316,0.0495881400869048,0.0545469540955953,0.0600016495051548,0.0660018144556703,0.0726019959012374
"60-71",0.000466376765319989,0.000253569130952191,0.000137865581977983,7.49575416485204e-05,4.07544288384244e-05,2.21581902690239e-05,1.58808750208637e-05,1.74689625229501e-05,1.92158587752451e-05,2.11374446527696e-05,2.32511891180466e-05,2.55763080298513e-05,2.81339388328364e-05,3.094733271612e-05,3.40420659877321e-05,3.74462725865053e-05,4.11908998451558e-05,4.53099898296714e-05,4.98409888126385e-05,5.48250876939024e-05,6.03075964632926e-05,6.63383561096219e-05,7.29721917205841e-05,8.02694108926425e-05,8.82963519819068e-05,9.71259871800974e-05,0.000106838585898107,0.000117522444487918,0.00012927468893671,0.000142202157830381,0.000156422373613419,0.000172064610974761,0.000189271072072237,0.000208198179279461,0.000229017997207407,0.000251919796928147,0.000277111776620962,0.000304822954283058,0.000335305249711364,0.0003688357746825,0.000405719352150751,0.000446291287365826,0.000490920416102408,0.000540012457712649,0.000594013703483914,0.000653415073832306,0.000718756581215536,0.00079063223933709,0.000869695463270799,0.000956665009597879,0.00105233151055767,0.00115756466161343,0.00127332112777478,0.00140065324055225,0.00154071856460748,0.00169479042106823,0.00186426946317505,0.00205069640949256,0.00225576605044181,0.00248134265548599,0.00272947692103459,0.00300242461313805,0.00330266707445186,0.00363293378189705,0.00399622716008675,0.00439584987609543,0.00483543486370497,0.00531897835007547,0.00585087618508301,0.00643596380359131,0.00707956018395045,0.00778751620234549,0.00856626782258004,0.00942289460483805,0.0103651840653219,0.011401702471854,0.0125418727190394,0.0137960599909434,0.0151756659900377,0.0166932325890415,0.0183625558479457,0.0201988114327402,0.0222186925760142,0.0244405618336157,0.0268846180169772,0.029573079818675,0.0325303878005425,0.0357834265805967,0.0393617692386564,0.043297946162522,0.0476277407787742,0.0523905148566517,0.0576295663423168,0.0633925229765485,0.0697317752742034,0.0767049528016237,0.0843754480817861,0.0928129928899648,0.102094292178961,0.112303721396857,0.123534093536543
"72-83",0.000908509368236394,0.000493956706457205,0.000268564349895138,0.000146018485206754,7.93902765962794e-05,4.31645076245608e-05,2.34685505373096e-05,1.82171589775597e-05,2.00388748753157e-05,2.20427623628473e-05,2.4247038599132e-05,2.66717424590452e-05,2.93389167049497e-05,3.22728083754447e-05,3.55000892129892e-05,3.90500981342881e-05,4.29551079477169e-05,4.72506187424886e-05,5.19756806167375e-05,5.71732486784113e-05,6.28905735462524e-05,6.91796309008776e-05,7.60975939909654e-05,8.37073533900619e-05,9.20780887290681e-05,0.000101285897601975,0.000111414487362172,0.00012255593609839,0.000134811529708229,0.000148292682679052,0.000163121950946957,0.000179434146041652,0.000197377560645818,0.000217115316710399,0.000238826848381439,0.000262709533219583,0.000288980486541542,0.000317878535195696,0.000349666388715266,0.000384633027586792,0.000423096330345471,0.000465405963380019,0.000511946559718021,0.000563141215689823,0.000619455337258805,0.000681400870984686,0.000749540958083154,0.00082449505389147,0.000906944559280617,0.000997639015208678,0.00109740291672955,0.0012071432084025,0.00132785752924275,0.00146064328216703,0.00160670761038373,0.0017673783714221,0.00194411620856431,0.00213852782942074,0.00235238061236282,0.0025876186735991,0.00284638054095901,0.00313101859505491,0.0034441204545604,0.00378853250001644,0.00416738575001809,0.0045841243250199,0.00504253675752189,0.00554679043327408,0.00610146947660149,0.00671161642426164,0.0073827780666878,0.00812105587335658,0.00893316146069224,0.00982647760676146,0.0108091253674376,0.0118900379041814,0.0130790416945995,0.0143869458640595,0.0158256404504654,0.017408204495512,0.0191490249450632,0.0210639274395695,0.0231703201835264,0.0254873522018791,0.028036087422067,0.0308396961642737,0.033923665780701,0.0373160323587712,0.0410476355946483,0.0451523991541131,0.0496676390695244,0.0546344029764768,0.0600978432741246,0.066107627601537,0.0727183903616907,0.0799902293978598,0.0879892523376458,0.0967881775714103,0.106466995328551,0.117113694861407,0.128825064347547
"84-95",0.00126880635487488,0.000689850242714162,0.000375071700692828,0.000203926550938245,0.000110874902320681,6.02827042778906e-05,3.27757171279852e-05,1.78201632810241e-05,1.45711154881632e-05,1.60282270369795e-05,1.76310497406775e-05,1.93941547147452e-05,2.13335701862198e-05,2.34669272048418e-05,2.58136199253259e-05,2.83949819178585e-05,3.12344801096444e-05,3.43579281206088e-05,3.77937209326697e-05,4.15730930259367e-05,4.57304023285304e-05,5.03034425613834e-05,5.53337868175217e-05,6.08671654992739e-05,6.69538820492013e-05,7.36492702541214e-05,8.10141972795336e-05,8.9115617007487e-05,9.80271787082357e-05,0.000107829896579059,0.000118612886236965,0.000130474174860662,0.000143521592346728,0.000157873751581401,0.000173661126739541,0.000191027239413495,0.000210129963354844,0.000231142959690329,0.000254257255659362,0.000279682981225298,0.000307651279347828,0.000338416407282611,0.000372258048010872,0.000409483852811959,0.000450432238093155,0.00049547546190247,0.000545023008092717,0.000599525308901989,0.000659477839792188,0.000725425623771407,0.000797968186148548,0.000877765004763403,0.000965541505239743,0.00106209565576372,0.00116830522134009,0.0012851357434741,0.00141364931782151,0.00155501424960366,0.00171051567456402,0.00188156724202043,0.00206972396622247,0.00227669636284472,0.00250436599912919,0.00275480259904211,0.00303028285894632,0.00333331114484095,0.00366664225932505,0.00403330648525755,0.00443663713378331,0.00488030084716164,0.0053683309318778,0.00590516402506559,0.00649568042757214,0.00714524847032936,0.0078597733173623,0.00864575064909853,0.00951032571400838,0.0104613582854092,0.0115074941139501,0.0126582435253452,0.0139240678778797,0.0153164746656676,0.0168481221322344,0.0185329343454579,0.0203862277800036,0.022424850558004,0.0246673356138044,0.0271340691751848,0.0298474760927033,0.0328322237019737,0.036115446072171,0.0397269906793881,0.043699689747327,0.0480696587220597,0.0528766245942656,0.0581642870536922,0.0639807157590614,0.0703787873349676,0.0774166660684643,0.0851583326753108,0.0936741659428419
"96-107",0.00140352297388361,0.000763095692631517,0.000414895264949944,0.000225578629967455,0.000122647141572303,6.66832728704258e-05,3.62557074197303e-05,1.97122346268048e-05,1.07175455021116e-05,9.05986560191698e-06,9.96585216210868e-06,1.09624373783196e-05,1.20586811161515e-05,1.32645492277667e-05,1.45910041505433e-05,1.60501045655977e-05,1.76551150221574e-05,1.94206265243732e-05,2.13626891768105e-05,2.34989580944915e-05,2.58488539039407e-05,2.84337392943348e-05,3.12771132237683e-05,3.44048245461451e-05,3.78453070007596e-05,4.16298377008355e-05,4.57928214709191e-05,5.0372103618011e-05,5.54093139798121e-05,6.09502453777933e-05,6.70452699155727e-05,7.374979690713e-05,8.1124776597843e-05,8.92372542576273e-05,9.816097968339e-05,0.000107977077651729,0.000118774785416902,0.000130652263958592,0.000143717490354451,0.000158089239389897,0.000173898163328886,0.000191287979661775,0.000210416777627952,0.000231458455390748,0.000254604300929822,0.000280064731022805,0.000308071204125085,0.000338878324537594,0.000372766156991353,0.000410042772690488,0.000451047049959537,0.000496151754955491,0.00054576693045104,0.000600343623496144,0.000660377985845759,0.000726415784430334,0.000799057362873368,0.000878963099160705,0.000966859409076775,0.00106354534998445,0.0011698998849829,0.00128688987348119,0.00141557886082931,0.00155713674691224,0.00171285042160346,0.00188413546376381,0.00207254901014019,0.00227980391115421,0.00250778430226963,0.00275856273249659,0.00303441900574625,0.00333786090632088,0.00367164699695297,0.00403881169664826,0.00444269286631309,0.0048869621529444,0.00537565836823884,0.00591322420506272,0.006504546625569,0.0071550012881259,0.00787050141693849,0.00865755155863234,0.00952330671449557,0.0104756373859451,0.0115232011245396,0.0126755212369936,0.013943073360693,0.0153373806967623,0.0168711187664385,0.0185582306430823,0.0204140537073906,0.0224554590781296,0.0247010049859426,0.0271711054845369,0.0298882160329906,0.0328770376362896,0.0361647413999186,0.0397812155399105,0.0437593370939015,0.0481352708032916,0.0529487978836208
"108-119",0.00133385360138462,0.000725216442308157,0.000394300309755242,0.000214381149134257,0.000116559069234952,6.33731868486724e-05,3.44560130560174e-05,1.87337404784673e-05,1.01855380581612e-05,5.53787886906488e-06,4.76475682789796e-06,5.24123251068775e-06,5.76535576175653e-06,6.34189133793218e-06,6.9760804717254e-06,7.67368851889794e-06,8.44105737078774e-06,9.28516310786651e-06,1.02136794186532e-05,1.12350473605185e-05,1.23585520965703e-05,1.35944073062274e-05,1.49538480368501e-05,1.64492328405351e-05,1.80941561245886e-05,1.99035717370475e-05,2.18939289107522e-05,2.40833218018275e-05,2.64916539820102e-05,2.91408193802112e-05,3.20549013182324e-05,3.52603914500556e-05,3.87864305950612e-05,4.26650736545673e-05,4.6931581020024e-05,5.16247391220264e-05,5.67872130342291e-05,6.2465934337652e-05,6.87125277714172e-05,7.55837805485589e-05,8.31421586034148e-05,9.14563744637563e-05,0.000100602011910132,0.000110662213101145,0.00012172843441126,0.000133901277852386,0.000147291405637624,0.000162020546201387,0.000178222600821525,0.000196044860903678,0.000215649346994046,0.00023721428169345,0.000260935709862795,0.000287029280849075,0.000315732208933982,0.000347305429827381,0.000382035972810119,0.000420239570091131,0.000462263527100244,0.000508489879810268,0.000559338867791295,0.000615272754570425,0.000676800030027467,0.000744480033030214,0.000818928036333236,0.000900820839966559,0.000990902923963215,0.00108999321635954,0.00119899253799549,0.00131889179179504,0.00145078097097454,0.001595859068072,0.0017554449748792,0.00193098947236712,0.00212408841960383,0.00233649726156421,0.00257014698772064,0.0028271616864927,0.00310987785514197,0.00342086564065617,0.00376295220472178,0.00413924742519396,0.00455317216771336,0.00500848938448469,0.00550933832293316,0.00606027215522648,0.00666629937074913,0.00733292930782404,0.00806622223860645,0.00887284446246709,0.0097601289087138,0.0107361417995852,0.0118097559795437,0.0129907315774981,0.0142898047352479,0.0157187852087727,0.0172906637296499,0.0190197301026149,0.0209217031128764,0.0230138734241641,0.0253152607665805
