"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0.0363051769731106,0.023564662020218,0.0240827132212859,0.0264909845434145,0.029140082997756,0.0320540912975316,0.0352595004272847,0.0387854504700132,0.0426639955170145,0.046930395068716,0.0516234345755876,0.0567857780331463,0.062464355836461,0.0687107914201071,0.0755818705621178,0.0831400576183296,0.0914540633801626,0.100599469718179,0.110659416689997,0.121725358358996,0.133897894194896,0.147287683614386,0.162016451975824,0.178218097173407,0.196039906890747,0.215643897579822,0.237208287337804,0.260929116071585,0.287022027678743,0.315724230446618,0.347296653491279,0.382026318840407,0.420228950724448,0.462251845796893,0.508477030376582,0.559324733414241,0.615257206755665,0.676782927431231,0.744461220174355,0.81890734219179,0.900798076410969,0.990877884052066,1.08996567245727,1.198962239703,1.3188584636733,1.45074431004063,1.59581874104469,1.75540061514916,1.93094067666408,2.12403474433049,2.33643821876354,2.57008204063989,2.82709024470388,3.10979926917427,3.4207791960917,3.76285711570087,4.13914282727095,4.55305710999805,5.00836282099785,5.50919910309764,6.0601190134074,6.66613091474814,7.33274400622296,8.06601840684526,8.87262024752978,9.75988227228276,10.735870499511,11.8094575494621,12.9904033044084,14.2894436348492,15.7183879983341,17.2902267981675,19.0192494779843,20.9211744257827,23.013291868361,25.3146210551971,27.8460831607168,30.6306914767885,33.6937606244673,37.0631366869141,40.7694503556055,44.846395391166,49.3310349302826,54.2641384233109,59.690552265642,65.6596074922062,72.2255682414268,79.4481250655695,87.3929375721265,96.1322313293391,105.745454462273,116.3199999085,127.95199989935,140.747199889285,154.821919878214,170.304111866035,187.334523052639,206.067975357903,226.674772893693,249.342250183063,274.276475201369
"24-29",0.0253707380174738,0.0137940748105078,0.00749984094853032,0.00753064389841089,0.00828370828825198,0.00911207911707718,0.0100232870287849,0.0110256157316634,0.0121281773048297,0.0133409950353127,0.014675094538844,0.0161426039927284,0.0177568643920012,0.0195325508312013,0.0214858059143215,0.0236343865057536,0.025997825156329,0.0285976076719619,0.0314573684391581,0.0346031052830739,0.0380634158113813,0.0418697573925194,0.0460567331317713,0.0506624064449485,0.0557286470894433,0.0613015117983877,0.0674316629782264,0.0741748292760491,0.081592312203654,0.0897515434240194,0.0987266977664214,0.108599367543064,0.11945930429737,0.131405234727107,0.144545758199818,0.159000334019799,0.174900367421779,0.192390404163957,0.211629444580353,0.232792389038388,0.256071627942227,0.28167879073645,0.309846669810095,0.340831336791104,0.374914470470215,0.412405917517236,0.45364650926896,0.499011160195856,0.548912276215442,0.603803503836986,0.664183854220685,0.730602239642753,0.803662463607029,0.884028709967732,0.972431580964505,1.06967473906096,1.17664221296705,1.29430643426376,1.42373707769013,1.56611078545915,1.72272186400506,1.89499405040557,2.08449345544612,2.29294280099074,2.52223708108981,2.77446078919879,3.05190686811867,3.35709755493054,3.69280731042359,4.06208804146595,4.46829684561255,4.9151265301738,5.40663918319118,5.9473031015103,6.54203341166133,7.19623675282746,7.91586042811021,8.70744647092123,9.57819111801336,10.5360102298147,11.5896112527962,12.7485723780758,14.0234296158834,15.4257725774717,16.9683498352189,18.6651848187408,20.5317033006148,22.5848736306763,24.843360993744,27.3276970931183,30.0604668024302,33.0665134826732,36.3731648309405,40.0104813140346,44.0115294454381,48.4126823899819,53.2539506289801,58.5793456918781,64.4372802610659,70.8810082871724,77.9691091158897
"30-35",0.0166065381591942,0.00902897777564479,0.0049090568360241,0.00472872678431888,0.00520159946275077,0.00572175940902585,0.00629393534992843,0.00692332888492127,0.0076156617734134,0.00837722795075474,0.00921495074583022,0.0101364458204132,0.0111500904024546,0.0122650994427,0.01349160938697,0.014840770325667,0.0163248473582337,0.0179573320940571,0.0197530653034628,0.0217283718338091,0.02390120901719,0.026291329918909,0.0289204629107999,0.0318125092018799,0.0349937601220679,0.0384931361342747,0.0423424497477022,0.0465766947224724,0.0512343641947196,0.0563578006141916,0.0619935806756108,0.0681929387431719,0.0750122326174891,0.082513455879238,0.0907648014671618,0.099841281613878,0.109825409775266,0.120807950752792,0.132888745828072,0.146177620410879,0.160795382451967,0.176874920697163,0.19456241276688,0.214018654043568,0.235420519447925,0.258962571392717,0.284858828531989,0.313344711385188,0.344679182523706,0.379147100776077,0.417061810853685,0.458767991939053,0.504644791132959,0.555109270246255,0.61062019727088,0.671682216997968,0.738850438697765,0.812735482567542,0.894009030824296,0.983409933906725,1.0817509272974,1.18992602002714,1.30891862202985,1.43981048423284,1.58379153265612,1.74217068592173,1.91638775451391,2.1080265299653,2.31882918296183,2.55071210125801,2.80578331138381,3.08636164252219,3.39499780677441,3.73449758745185,4.10794734619704,4.51874208081674,4.97061628889842,5.46767791778826,6.01444570956709,6.6158902805238,7.27747930857618,8.0052272394338,8.80574996337718,9.6863249597149,10.6549574556864,11.720453201255,12.8924985213805,14.1817483735186,15.5999232108704,17.1599155319575,18.8759070851532,20.7634977936686,22.8398475730354,25.123832330339,27.6362155633729,30.3998371197102,33.4398208316812,36.7838029148493,40.4621832063342,44.5084015269676,48.9592416796644
"36-47",0.0189997808871296,0.0103301842760669,0.00561652304368349,0.00305370458621074,0.00249090504682381,0.00273999555150619,0.00301399510665681,0.00331539461732249,0.00364693407905474,0.00401162748696021,0.00441279023565624,0.00485406925922186,0.00533947618514405,0.00587342380365845,0.0064607661840243,0.00710684280242673,0.0078175270826694,0.00859927979093634,0.00945920777002998,0.010405128547033,0.0114456414017363,0.0125902055419099,0.0138492260961009,0.015234148705711,0.0167575635762821,0.0184333199339103,0.0202766519273013,0.0223043171200315,0.0245347488320346,0.0269882237152381,0.0296870460867619,0.0326557506954381,0.0359213257649819,0.0395134583414801,0.0434648041756281,0.0478112845931909,0.05259241305251,0.057851654357761,0.0636368197935371,0.0700005017728908,0.0770005519501799,0.0847006071451979,0.0931706678597177,0.102487734645689,0.112736508110258,0.124010158921284,0.136411174813413,0.150052292294754,0.165057521524229,0.181563273676652,0.199719601044318,0.219691561148749,0.241660717263624,0.265826788989987,0.292409467888986,0.321650414677884,0.353815456145673,0.38919700176024,0.428116701936264,0.47092837212989,0.518021209342879,0.569823330277167,0.626805663304884,0.689486229635372,0.75843485259891,0.834278337858801,0.917706171644681,1.00947678880915,1.11042446769006,1.22146691445907,1.34361360590498,1.47797496649548,1.62577246314502,1.78834970945953,1.96718468040548,2.16390314844603,2.38029346329063,2.61832280961969,2.88015509058166,3.16817059963983,3.48498765960381,3.83348642556419,4.21683506812061,4.63851857493267,5.10237043242594,5.61260747566854,6.17386822323539,6.79125504555893,7.47038055011482,8.21741860512631,9.03916046563894,9.94307651220283,10.9373841634231,12.0311225797654,13.234234837742,14.5576583215162,16.0134241536678,17.6147665690346,19.376243225938,21.3138675485318,23.445254303385
"48-59",0.0251132049977231,0.0136540540614791,0.00742371164216979,0.0040362733513388,0.00219452254505485,0.00170112330244667,0.00187123563269133,0.00205835919596047,0.00226419511555651,0.00249061462711216,0.00273967608982338,0.00301364369880572,0.00331500806868629,0.00364650887555492,0.00401115976311041,0.00441227573942146,0.0048535033133636,0.00533885364469996,0.00587273900916996,0.00646001291008696,0.00710601420109565,0.00781661562120522,0.00859827718332574,0.00945810490165832,0.0104039153918241,0.0114443069310066,0.0125887376241072,0.0138476113865179,0.0152323725251697,0.0167556097776867,0.0184311707554554,0.0202742878310009,0.022301716614101,0.0245318882755111,0.0269850771030622,0.0296835848133685,0.0326519432947053,0.0359171376241759,0.0395088513865934,0.0434597365252528,0.0478057101777781,0.0525862811955559,0.0578449093151115,0.0636294002466226,0.0699923402712849,0.0769915742984134,0.0846907317282547,0.0931598049010802,0.102475785391188,0.112723363930307,0.123995700323338,0.136395270355672,0.150034797391239,0.165038277130363,0.181542104843399,0.199696315327739,0.219665946860513,0.241632541546564,0.265795795701221,0.292375375271343,0.321612912798477,0.353774204078324,0.389151624486157,0.428066786934773,0.47087346562825,0.517960812191075,0.569756893410183,0.626732582751201,0.689405841026321,0.758346425128953,0.834181067641849,0.917599174406033,1.00935909184664,1.1102950010313,1.22132450113443,1.34345695124787,1.47780264637266,1.62558291100993,1.78814120211092,1.96695532232201,2.16365085455421,2.38001594000964,2.6180175340106,2.87981928741166,3.16780121615283,3.48458133776811,3.83303947154492,4.21634341869941,4.63797776056936,5.10177553662629,5.61195309028892,6.17314839931781,6.7904632392496,7.46950956317456,8.21646051949201,9.03810657144121,9.94191722858534,10.9361089514439,12.0297198465883,13.2326918312471,14.5559610143718
"60-71",0.0415711277502635,0.0226022296138711,0.0122888362949189,0.00668144249763034,0.00363270148432189,0.00197510044857451,0.0015688834447684,0.00172577178924524,0.00189834896816977,0.00208818386498675,0.00229700225148542,0.00252670247663396,0.00277937272429736,0.0030573099967271,0.00336304099639981,0.00369934509603979,0.00406927960564377,0.00447620756620814,0.00492382832282896,0.00541621115511185,0.00595783227062304,0.00655361549768534,0.00720897704745388,0.00792987475219927,0.00872286222741919,0.00959514845016111,0.0105546632951772,0.011610129624695,0.0127711425871644,0.0140482568458809,0.015453082530469,0.0169983907835159,0.0186982298618675,0.0205680528480542,0.0226248581328596,0.0248873439461456,0.0273760783407602,0.0301136861748362,0.0331250547923198,0.0364375602715518,0.040081316298707,0.0440894479285777,0.0484983927214355,0.053348231993579,0.0586830551929369,0.0645513607122306,0.0710064967834537,0.0781071464617991,0.085917861107979,0.0945096472187769,0.103960611940655,0.11435667313472,0.125792340448192,0.138371574493011,0.152208731942312,0.167429605136544,0.184172565650198,0.202589822215218,0.22284880443674,0.245133684880414,0.269647053368455,0.296611758705301,0.326272934575831,0.358900228033414,0.394790250836755,0.434269275920431,0.477696203512474,0.525465823863721,0.578012406250094,0.635813646875103,0.699395011562613,0.769334512718875,0.846267963990762,0.930894760389838,1.02398423642882,1.1263826600717,1.23902092607888,1.36292301868676,1.49921532055544,1.64913685261098,1.81405053787208,1.99545559165929,2.19500115082522,2.41450126590774,2.65595139249852,2.92154653174837,3.21370118492321,3.53507130341553,3.88857843375708,4.27743627713279,4.70517990484606,5.17569789533067,5.69326768486374,6.26259445335011,6.88885389868513,7.57773928855364,8.335513217409,9.16906453914991,10.0859709930649,11.0945680923714,12.2040249016085
"72-83",0.0447934423264853,0.024354202626906,0.0132413843363338,0.00719934303859329,0.00391428410133229,0.00212819696794674,0.00115710107317864,0.000947303095305531,0.00104203340483608,0.00114623674531969,0.00126086041985166,0.00138694646183683,0.00152564110802051,0.00167820521882256,0.00184602574070482,0.0020306283147753,0.00223369114625283,0.00245706026087812,0.00270276628696593,0.00297304291566252,0.00327034720722877,0.00359738192795165,0.00395712012074682,0.0043528321328215,0.00478811534610365,0.00526692688071401,0.00579361956878542,0.00637298152566396,0.00701027967823035,0.00771130764605339,0.00848243841065873,0.0093306822517246,0.0102637504768971,0.0112901255245868,0.0124191380770454,0.01366105188475,0.015027157073225,0.0165298727805475,0.0181828600586022,0.0200011460644625,0.0220012606709087,0.0242013867379996,0.0266215254117996,0.0292836779529795,0.0322120457482775,0.0354332503231052,0.0389765753554158,0.0428742328909573,0.0471616561800531,0.0518778217980584,0.0570656039778642,0.0627721643756506,0.0690493808132157,0.0759543188945373,0.083549750783991,0.0919047258623901,0.101095198448629,0.111204718293492,0.122325190122841,0.134557709135125,0.148013480048638,0.162814828053502,0.179096310858852,0.197005941944737,0.216706536139211,0.238377189753132,0.262214908728445,0.28843639960129,0.317280039561419,0.349008043517561,0.383908847869317,0.422299732656249,0.464529705921874,0.510982676514061,0.562080944165467,0.618289038582014,0.680117942440215,0.748129736684237,0.82294271035266,0.905236981387927,0.99576067952672,1.09533674747939,1.20487042222733,1.32535746445006,1.45789321089507,1.60368253198458,1.76405078518304,1.94045586370134,2.13450145007147,2.34795159507862,2.58274675458648,2.84102143004513,3.12512357304964,3.43763593035461,3.78139952339007,4.15953947572908,4.57549342330199,5.03304276563219,5.53634704219541,6.08998174641495,6.69897992105644
"84-95",0.0393742127965555,0.021407766559509,0.0116394065180275,0.00632834741145501,0.00344072362263846,0.00187072205074474,0.00101711191451611,0.000553003930348065,0.000460489404861011,0.000506538345347112,0.000557192179881823,0.000612911397870006,0.000674202537657006,0.000741622791422707,0.000815785070564978,0.000897363577621476,0.000987099935383623,0.00108580992892199,0.00119439092181418,0.0013138300139956,0.00144521301539516,0.00158973431693468,0.00174870774862815,0.00192357852349096,0.00211593637584006,0.00232753001342407,0.00256028301476647,0.00281631131624312,0.00309794244786743,0.00340773669265418,0.00374851036191959,0.00412336139811155,0.00453569753792271,0.00498926729171498,0.00548819402088648,0.00603701342297513,0.00664071476527264,0.00730478624179991,0.0080352648659799,0.00883879135257789,0.00972267048783568,0.0106949375366192,0.0117644312902812,0.0129408744193093,0.0142349618612402,0.0156584580473642,0.0172243038521007,0.0189467342373107,0.0208414076610418,0.022925548427146,0.0252181032698606,0.0277399135968467,0.0305139049565313,0.0335652954521845,0.0369218249974029,0.0406140074971432,0.0446754082468575,0.0491429490715433,0.0540572439786976,0.0594629683765674,0.0654092652142241,0.0719501917356465,0.0791452109092112,0.0870597320001323,0.0957657052001456,0.10534227572016,0.115876503292176,0.127464153621394,0.140210568983533,0.154231625881887,0.169654788470075,0.186620267317083,0.205282294048791,0.22581052345367,0.248391575799037,0.273230733378941,0.300553806716835,0.330609187388518,0.36367010612737,0.400037116740107,0.440040828414118,0.48404491125553,0.532449402381083,0.585694342619192,0.644263776881111,0.708690154569222,0.779559170026144,0.857515087028759,0.943266595731635,1.0375932553048,1.14135258083528,1.25548783891881,1.38103662281069,1.51914028509176,1.67105431360093,1.83815974496102,2.02197571945713,2.22417329140284,2.44659062054312,2.69124968259744,2.96037465085718
"96-107",0.0297948156240979,0.0161994465987165,0.00880764202119851,0.00478871654663364,0.00260362604529224,0.0014155919478027,0.000769657595915973,0.000418462972942623,0.000227518393442967,0.000192868789412987,0.000212155668354286,0.000233371235189715,0.000256708358708686,0.000282379194579555,0.00031061711403751,0.000341678825441261,0.000375846707985387,0.000413431378783926,0.000454774516662319,0.00050025196832855,0.000550277165161406,0.000605304881677546,0.000665835369845301,0.000732418906829831,0.000805660797512814,0.000886226877264096,0.000974849564990505,0.00107233452148956,0.00117956797363851,0.00129752477100236,0.0014272772481026,0.00157000497291286,0.00172700547020415,0.00189970601722456,0.00208967661894702,0.00229864428084172,0.00252850870892589,0.00278135957981848,0.00305949553780033,0.00336544509158036,0.0037019896007384,0.00407218856081224,0.00447940741689346,0.00492734815858281,0.00542008297444109,0.0059620912718852,0.00655830039907372,0.00721413043898109,0.0079355434828792,0.00872909783116712,0.00960200761428383,0.0105622083757122,0.0116184292132834,0.0127802721346118,0.014058299348073,0.0154641292828803,0.0170105422111683,0.0187115964322851,0.0205827560755136,0.022641031683065,0.0249051348513715,0.0273956483365087,0.0301352131701595,0.0331487344871755,0.036463607935893,0.0401099687294823,0.0441209656024306,0.0485330621626736,0.053386368378941,0.0587250052168351,0.0645975057385186,0.0710572563123705,0.0781629819436075,0.0859792801379683,0.0945772081517651,0.104034928966942,0.114438421863636,0.125882264049999,0.138470490454999,0.152317539500499,0.167549293450549,0.184304222795604,0.202734645075165,0.223008109582681,0.245308920540949,0.269839812595044,0.296823793854549,0.326506173240004,0.359156790564004,0.395072469620404,0.434579716582445,0.478037688240689,0.525841457064758,0.578425602771234,0.636268163048358,0.699894979353194,0.769884477288513,0.846872925017364,0.931560217519101,1.02471623927101,1.12718786319811
"108-119",0.0252614760168513,0.0137346690411725,0.00746754202108793,0.00406010393621786,0.00220747923832776,0.0012002068578046,0.000652552683853284,0.000354793011250609,0.000192901023851396,0.00010488032126606,9.10012900979409e-05,0.000100101419107735,0.000110111561018508,0.000121122717120359,0.000133234988832395,0.000146558487715635,0.000161214336487198,0.000177335770135918,0.00019506934714951,0.000214576281864461,0.000236033910050907,0.000259637301055998,0.000285601031161598,0.000314161134277757,0.000345577247705533,0.000380134972476087,0.000418148469723695,0.000459963316696065,0.000505959648365671,0.000556555613202238,0.000612211174522462,0.000673432291974709,0.000740775521172179,0.000814853073289398,0.000896338380618338,0.000985972218680171,0.00108456944054819,0.00119302638460301,0.00131232902306331,0.00144356192536964,0.0015879181179066,0.00174670992969726,0.00192138092266699,0.00211351901493369,0.00232487091642706,0.00255735800806976,0.00281309380887674,0.00309440318976442,0.00340384350874086,0.00374422785961494,0.00411865064557644,0.00453051571013408,0.00498356728114749,0.00548192400926224,0.00603011641018847,0.00663312805120731,0.00729644085632804,0.00802608494196085,0.00882869343615694,0.00971156277977263,0.0106827190577499,0.0117509909635249,0.0129260900598774,0.0142186990658651,0.0156405689724516,0.0172046258696968,0.0189250884566665,0.0208175973023331,0.0228993570325664,0.0251892927358231,0.0277082220094054,0.0304790442103459,0.0335269486313805,0.0368796434945186,0.0405676078439704,0.0446243686283675,0.0490868054912042,0.0539954860403247,0.0593950346443571,0.0653345381087928,0.0718679919196721,0.0790547911116394,0.0869602702228033,0.0956562972450836,0.105221926969592,0.115744119666551,0.127318531633206,0.140050384796527,0.15405542327618,0.169460965603798,0.186407062164178,0.205047768380595,0.225552545218655,0.24810779974052,0.272918579714572,0.30021043768603,0.330231481454633,0.363254629600096,0.399580092560106,0.439538101816116,0.483491911997728
