"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0.00830326907959711,0.00451448888782239,0.00245452841801205,0.00236436339215944,0.00260079973137538,0.00286087970451292,0.00314696767496422,0.00346166444246064,0.0038078308867067,0.00418861397537737,0.00460747537291511,0.00506822291020662,0.00557504520122728,0.00613254972135001,0.00674580469348501,0.00742038516283352,0.00816242367911687,0.00897866604702856,0.00987653265173141,0.0108641859169046,0.011950604508595,0.0131456649594545,0.0144602314554,0.01590625460094,0.017496880061034,0.0192465680671374,0.0211712248738511,0.0232883473612362,0.0256171820973598,0.0281789003070958,0.0309967903378054,0.0340964693715859,0.0375061163087445,0.041256727939619,0.0453824007335809,0.049920640806939,0.0549127048876329,0.0604039753763962,0.0664443729140358,0.0730888102054394,0.0803976912259834,0.0884374603485817,0.0972812063834399,0.107009327021784,0.117710259723962,0.129481285696359,0.142429414265994,0.156672355692594,0.172339591261853,0.189573550388039,0.208530905426842,0.229383995969527,0.252322395566479,0.277554635123127,0.30531009863544,0.335841108498984,0.369425219348883,0.406367741283771,0.447004515412148,0.491704966953363,0.540875463648699,0.594963010013569,0.654459311014926,0.719905242116419,0.791895766328061,0.871085342960867,0.958193877256954,1.05401326498265,1.15941459148091,1.27535605062901,1.40289165569191,1.5431808212611,1.69749890338721,1.86724879372593,2.05397367309852,2.25937104040837,2.48530814444921,2.73383895889413,3.00722285478354,3.3079451402619,3.63873965428809,4.0026136197169,4.40287498168859,4.84316247985745,5.32747872784319,5.86022660062751,6.44624926069026,7.09087418675929,7.79996160543522,8.57995776597875,9.43795354257662,10.3817488968343,11.4199237865177,12.5619161651695,13.8181077816864,15.1999185598551,16.7199104158406,18.3919014574247,20.2310916031671,22.2542007634838,24.4796208398322
"36-47",0.00425568281069784,0.00231381550746087,0.00125802190640437,0.000683986736146489,0.00055792758105065,0.000613720339155715,0.000675092373071287,0.000742601610378415,0.000816861771416257,0.000898547948557883,0.000988402743413671,0.00108724301775504,0.00119596731953054,0.0013155640514836,0.00144712045663196,0.00159183250229515,0.00175101575252467,0.00192611732777713,0.00211872906055485,0.00233060196661033,0.00256366216327137,0.0028200283795985,0.00310203121755835,0.00341223433931419,0.00375345777324561,0.00412880355057017,0.00454168390562719,0.00499585229618991,0.0054954375258089,0.00604498127838979,0.00664947940622877,0.00731442734685164,0.00804587008153681,0.00885045708969049,0.00973550279865954,0.0107090530785255,0.011779958386378,0.0129579542250159,0.0142537496475174,0.0156791246122692,0.0172470370734961,0.0189717407808457,0.0208689148589303,0.0229558063448233,0.0252513869793057,0.0277765256772362,0.0305541782449598,0.0336095960694558,0.0369705556764014,0.0406676112440416,0.0447343723684457,0.0492078096052903,0.0541285905658193,0.0595414496224013,0.0654955945846414,0.0720451540431055,0.0792496694474161,0.0871746363921577,0.0958921000313735,0.105481310034511,0.116029441037962,0.127632385141758,0.140395623655934,0.154435186021527,0.16987870462368,0.186866575086048,0.205553232594653,0.226108555854118,0.24871941143953,0.273591352583483,0.300950487841832,0.331045536626015,0.364150090288616,0.400565099317478,0.440621609249226,0.484683770174148,0.533152147191563,0.58646736191072,0.645114098101792,0.709625507911971,0.780588058703168,0.858646864573485,0.944511551030833,1.03896270613392,1.14285897674731,1.25714487442204,1.38285936186424,1.52114529805067,1.67325982785573,1.84058581064131,2.02464439170544,2.22710883087598,2.44981971396358,2.69480168535994,2.96428185389594,3.26071003928553,3.58678104321408,3.94545914753549,4.34000506228904,4.77400556851794,5.25140612536974
"48-59",0.00864329504552675,0.00469935198046098,0.00255503851463605,0.00138917489867044,0.000755294641564693,0.000585488235962417,0.000644037059558658,0.000708440765514524,0.000779284842065977,0.000857213326272574,0.000942934658899832,0.00103722812478982,0.0011409509372688,0.00125504603099568,0.00138055063409524,0.00151860569750477,0.00167046626725525,0.00183751289398077,0.00202126418337885,0.00222339060171673,0.00244572966188841,0.00269030262807725,0.00295933289088497,0.00325526617997347,0.00358079279797082,0.0039388720777679,0.00433275928554469,0.00476603521409916,0.00524263873550908,0.00576690260905998,0.00634359286996598,0.00697795215696258,0.00767574737265884,0.00844332210992473,0.0092876543209172,0.0102164197530089,0.0112380617283098,0.0123618679011408,0.0135980546912549,0.0149578601603804,0.0164536461764184,0.0180990107940602,0.0199089118734663,0.0218998030608129,0.0240897833668942,0.0264987617035836,0.029148637873942,0.0320635016613362,0.0352698518274698,0.0387968370102168,0.0426765207112385,0.0469441727823623,0.0516385900605985,0.0568024490666584,0.0624826939733242,0.0687309633706567,0.0756040597077224,0.0831644656784946,0.0914809122463441,0.100629003470978,0.110691903818076,0.121761094199884,0.133937203619872,0.14733092398186,0.162064016380046,0.17827041801805,0.196097459819855,0.215707205801841,0.237277926382025,0.261005719020227,0.28710629092225,0.315816920014475,0.347398612015923,0.382138473217515,0.420352320539266,0.462387552593193,0.508626307852513,0.559488938637764,0.61543783250154,0.676981615751694,0.744679777326864,0.81914775505955,0.901062530565505,0.991168783622056,1.09028566198426,1.19931422818269,1.31924565100096,1.45117021610105,1.59628723771116,1.75591596148227,1.9315075576305,2.12465831339355,2.33712414473291,2.5708365592062,2.82792021512682,3.1107122366395,3.42178346030345,3.7639618063338,4.14035798696718,4.55439378566389,5.00983316423028
"60-71",0.0100705863843032,0.00547563870543296,0.0029771057462354,0.00161865292819151,0.000880061887373682,0.000478489806009908,0.000380825055019455,0.000418907560521401,0.000460798316573541,0.000506878148230895,0.000557565963053984,0.000613322559359383,0.000674654815295321,0.000742120296824854,0.000816332326507339,0.000897965559158073,0.00098776211507388,0.00108653832658127,0.0011951921592394,0.00131471137516334,0.00144618251267967,0.00159080076394764,0.0017498808403424,0.00192486892437664,0.0021173558168143,0.00232909139849573,0.00256200053834531,0.00281820059217984,0.00310002065139782,0.00341002271653761,0.00375102498819137,0.0041261274870105,0.00453874023571155,0.00499261425928271,0.00549187568521098,0.00604106325373208,0.00664516957910529,0.00730968653701582,0.0080406551907174,0.00884472070978914,0.00972919278076805,0.0107021120588449,0.0117723232647293,0.0129495555912023,0.0142445111503225,0.0156689622653548,0.0172358584918902,0.0189594443410793,0.0208553887751872,0.0229409276527059,0.0252350204179765,0.0277585224597742,0.0305343747057516,0.0335878121763268,0.0369465933939594,0.0406412527333554,0.0447053780066909,0.04917591580736,0.054093507388096,0.0595028581269056,0.0654531439395962,0.0719984583335558,0.0791983041669114,0.0871181345836025,0.0958299480419628,0.105412942846159,0.115954237130775,0.127549660843853,0.140304626928238,0.154335089621062,0.169768598583168,0.186745458441485,0.205420004285633,0.225962004714196,0.248558205185616,0.273414025704178,0.300755428274595,0.330830971102055,0.363914068212261,0.400305475033487,0.440336022536835,0.484369624790519,0.532806587269571,0.586087245996528,0.644695970596181,0.709165567655799,0.780082124421379,0.858090336863517,0.943899370549869,1.03828930760486,1.14211823836534,1.25633006220188,1.38196306842206,1.52015937526427,1.6721753127907,1.83939284406977,2.02333212847674,2.22566534132442,2.44823187545686,2.69305506300255,2.9623605693028
"72-83",0.0226671707202532,0.0123311146793511,0.00670442926282898,0.00364519939268322,0.00198189556359214,0.00107755697339094,0.000585867919699522,0.000480987307751801,0.000529086038526981,0.000581994642379679,0.000640194106617647,0.000704213517279412,0.000774634869007353,0.000852098355908089,0.000937308191498898,0.00103103901064879,0.00113414291171367,0.00124755720288503,0.00137231292317354,0.00150954421549089,0.00166049863703998,0.00182654850074398,0.00200920335081838,0.00221012368590021,0.00243113605449024,0.00267424965993926,0.00294167462593318,0.0032358420885265,0.00355942629737915,0.00391536892711707,0.00430690581982878,0.00473759640181166,0.00521135604199282,0.0057324916461921,0.00630574081081131,0.00693631489189245,0.00762994638108169,0.00839294101918986,0.00923223512110885,0.0101554586332197,0.0111710044965417,0.0122881049461959,0.0135169154408155,0.014868606984897,0.0163554676833867,0.0179910144517254,0.0197901158968979,0.0217691274865877,0.0239460402352465,0.0263406442587712,0.0289747086846483,0.0318721795531131,0.0350593975084244,0.0385653372592669,0.0424218709851936,0.0466640580837129,0.0513304638920842,0.0564635102812926,0.0621098613094219,0.0683208474403641,0.0751529321844005,0.0826682254028406,0.0909350479431247,0.100028552737437,0.110031408011181,0.121034548812299,0.133138003693529,0.146451804062882,0.16109698446917,0.177206682916087,0.194927351207696,0.214420086328465,0.235862094961312,0.259448304457443,0.285393134903187,0.313932448393506,0.345325693232857,0.379858262556142,0.417844088811756,0.459628497692932,0.505591347462226,0.556150482208448,0.611765530429293,0.672942083472222,0.740236291819445,0.814259921001389,0.895685913101528,0.985254504411681,1.08377995485285,1.19215795033813,1.31137374537195,1.44251111990914,1.58676223190006,1.74543845509006,1.91998230059907,2.11198053065898,2.32317858372487,2.55549644209736,2.8110460863071,3.09215069493781,3.40136576443159
"84-95",0.0376838736713897,0.020522174764907,0.0111579101004658,0.00606655772286717,0.00329838852199956,0.00179333443099865,0.000975036251780187,0.000530127384971997,0.0004412450142877,0.00048536951571647,0.000533906467288117,0.000587297114016929,0.000646026825418622,0.000710629507960484,0.000781692458756533,0.000859861704632186,0.000945847875095405,0.00104043266260495,0.00114447592886544,0.00125892352175198,0.00138481587392718,0.0015232974613199,0.00167562720745189,0.00184318992819708,0.00202750892101679,0.00223025981311847,0.00245328579443032,0.00269861437387335,0.00296847581126068,0.00326532339238675,0.00359185573162543,0.00395104130478797,0.00434614543526677,0.00478075997879344,0.00525883597667279,0.00578471957434007,0.00636319153177407,0.00699951068495148,0.00769946175344663,0.00846940792879129,0.00931634872167043,0.0102479835938375,0.0112727819532212,0.0124000601485433,0.0136400661633977,0.0150040727797374,0.0165044800577112,0.0181549280634823,0.0199704208698305,0.0219674629568136,0.024164209252495,0.0265806301777445,0.0292386931955189,0.0321625625150708,0.0353788187665779,0.0389167006432357,0.0428083707075592,0.0470892077783152,0.0517981285561467,0.0569779414117614,0.0626757355529375,0.0689433091082313,0.0758376400190544,0.0834214040209598,0.0917635444230558,0.100939898865361,0.111033888751898,0.122137277627087,0.134351005389796,0.147786105928776,0.162564716521653,0.178821188173819,0.196703306991201,0.216373637690321,0.238011001459353,0.261812101605288,0.287993311765817,0.316792642942398,0.348471907236638,0.383319097960302,0.421651007756333,0.463816108531966,0.510197719385162,0.561217491323678,0.617339240456046,0.679073164501651,0.746980480951816,0.821678529046998,0.903846381951698,0.994231020146868,1.09365412216155,1.20301953437771,1.32332148781548,1.45565363659703,1.60121900025673,1.76134090028241,1.93747499031065,2.13122248934171,2.34434473827588,2.57877921210347,2.83665713331382
"96-107",0.0501436276455322,0.0273147604211301,0.0148510401400488,0.00807451318777541,0.00439011426841007,0.00238690591513017,0.00129776117416341,0.000705592983154576,0.000383631031493845,0.00032492399174345,0.000357416390917795,0.000393158030009574,0.000432473833010532,0.000475721216311585,0.000523293337942744,0.000575622671737018,0.00063318493891072,0.000696503432801792,0.000766153776081971,0.000842769153690168,0.000927046069059185,0.0010197506759651,0.00112172574356161,0.00123389831791778,0.00135728814970955,0.00149301696468051,0.00164231866114856,0.00180655052726342,0.00198720557998976,0.00218592613798873,0.00240451875178761,0.00264497062696637,0.00290946768966301,0.00320041445862931,0.00352045590449224,0.00387250149494146,0.00425975164443561,0.00468572680887917,0.00515429948976709,0.0056697294387438,0.00623670238261818,0.00686037262087999,0.007546409882968,0.0083010508712648,0.00913115595839128,0.0100442715542304,0.0110486987096534,0.0121535685806188,0.0133689254386807,0.0147058179825487,0.0161763997808036,0.017794039758884,0.0195734437347724,0.0215307881082496,0.0236838669190746,0.026052253610982,0.0286574789720802,0.0315232268692883,0.0346755495562171,0.0381431045118388,0.0419574149630227,0.046153156459325,0.0507684721052575,0.0558453193157832,0.0614298512473616,0.0675728363720977,0.0743301200093075,0.0817631320102383,0.0899394452112621,0.0989333897323883,0.108826728705627,0.11970940157619,0.131680341733809,0.14484837590719,0.159333213497909,0.1752665348477,0.19279318833247,0.212072507165717,0.233279757882288,0.256607733670517,0.282268507037569,0.310495357741326,0.341544893515458,0.375699382867004,0.413269321153705,0.454596253269075,0.500055878595983,0.550061466455581,0.605067613101139,0.665574374411253,0.732131811852378,0.805344993037617,0.885879492341378,0.974467441575516,1.07191418573307,1.17910560430637,1.29701616473701,1.42671778121071,1.56938955933178,1.72632851526496,1.89896136679146
"108-119",0.0485599686230283,0.0264339906383595,0.0143721654511846,0.00781414893355065,0.00424855417669004,0.00230993966787227,0.00125591461172489,0.000682840999651297,0.000371260773982396,0.000201854549402269,0.000174969657720182,0.0001924666234922,0.00021171328584142,0.000232884614425562,0.000256173075868119,0.000281790383454931,0.000309969421800424,0.000340966363980466,0.000375063000378513,0.000412569300416364,0.000453826230458001,0.000499208853503801,0.000549129738854181,0.000604042712739599,0.000664446984013559,0.000730891682414915,0.000803980850656406,0.000884378935722047,0.000972816829294252,0.00107009851222368,0.00117710836344605,0.00129481919979065,0.00142430111976971,0.00156673123174669,0.00172340435492135,0.00189574479041349,0.00208531926945484,0.00229385119640032,0.00252323631604036,0.00277555994764439,0.00305311594240883,0.00335842753664971,0.00369427029031469,0.00406369731934616,0.00447006705128077,0.00491707375640885,0.00540878113204973,0.00594965924525471,0.00654462516978018,0.0071990876867582,0.00791899645543402,0.00871089610097742,0.00958198571107516,0.0105401842821827,0.0115942027104009,0.012753622981441,0.0140289852795852,0.0154318838075437,0.016975072188298,0.0186725794071278,0.0205398373478406,0.0225938210826247,0.0248532031908872,0.0273385235099759,0.0300723758609735,0.0330796134470708,0.0363875747917779,0.0400263322709557,0.0440289654980513,0.0484318620478564,0.0532750482526421,0.0586025530779063,0.0644628083856969,0.0709090892242666,0.0779999981466933,0.0857999979613626,0.0943799977574989,0.103817997533249,0.114199797286574,0.125619777015231,0.138181754716754,0.15199993018843,0.167199923207273,0.183919915528,0.2023119070808,0.22254309778888,0.244797407567768,0.269277148324545,0.296204863156999,0.325825349472699,0.358407884419969,0.394248672861966,0.433673540148162,0.477040894162979,0.524744983579277,0.577219481937204,0.634941430130925,0.698435573144017,0.768279130458419,0.845107043504261,0.929617747854687
