"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",6.15457890132162e-13,3.34624565251242e-13,1.82136525485586e-13,2.00350178034145e-13,2.20385195837559e-13,2.42423715421315e-13,2.66666086963447e-13,2.93332695659791e-13,3.2266596522577e-13,3.54932561748348e-13,3.90425817923182e-13,4.29468399715501e-13,4.72415239687051e-13,5.19656763655756e-13,5.71622440021331e-13,6.28784684023465e-13,6.91663152425811e-13,7.60829467668392e-13,8.36912414435231e-13,9.20603655878755e-13,1.01266402146663e-12,1.11393042361329e-12,1.22532346597462e-12,1.34785581257209e-12,1.48264139382929e-12,1.63090553321222e-12,1.79399608653345e-12,1.97339569518679e-12,2.17073526470547e-12,2.38780879117602e-12,2.62658967029362e-12,2.88924863732298e-12,3.17817350105528e-12,3.49599085116081e-12,3.84558993627689e-12,4.23014892990458e-12,4.65316382289504e-12,5.11848020518454e-12,5.630328225703e-12,6.1933610482733e-12,6.81269715310062e-12,7.49396686841069e-12,8.24336355525176e-12,9.06769991077693e-12,9.97446990185463e-12,1.09719168920401e-11,1.20691085812441e-11,1.32760194393685e-11,1.46036213833054e-11,1.60639835216359e-11,1.76703818737995e-11,1.94374200611794e-11,2.13811620672974e-11,2.35192782740271e-11,2.58712061014299e-11,2.84583267115728e-11,3.13041593827301e-11,3.44345753210031e-11,3.78780328531034e-11,4.16658361384138e-11,4.58324197522552e-11,5.04156617274807e-11,5.54572279002288e-11,6.10029506902517e-11,6.71032457592769e-11,7.38135703352045e-11,8.1194927368725e-11,8.93144201055975e-11,9.82458621161573e-11,1.08070448327773e-10,1.1887749316055e-10,1.30765242476605e-10,1.43841766724266e-10,1.58225943396692e-10,1.74048537736362e-10,1.91453391509998e-10,2.10598730660998e-10,2.31658603727098e-10,2.54824464099807e-10,2.80306910509788e-10,3.08337601560767e-10,3.39171361716844e-10,3.73088497888528e-10,4.10397347677381e-10,4.51437082445119e-10,4.96580790689631e-10,5.46238869758594e-10,6.00862756734453e-10,6.60949032407899e-10,7.27043935648689e-10,7.99748329213558e-10,8.79723162134914e-10,9.67695478348405e-10,1.06446502618325e-09,1.17091152880157e-09,1.28800268168173e-09,1.4168029498499e-09,1.55848324483489e-09,1.71433156931838e-09,1.88576472625022e-09,2.07434119887524e-09
"24-29",2.12383050853354e-12,1.15472702841253e-12,6.27825292455716e-13,6.90607821701288e-13,7.59668603871417e-13,8.35635464258558e-13,9.19199010684414e-13,1.01111891175286e-12,1.11223080292814e-12,1.22345388322096e-12,1.34579927154305e-12,1.48037919869736e-12,1.62841711856709e-12,1.7912588304238e-12,1.97038471346618e-12,2.1674231848128e-12,2.38416550329408e-12,2.62258205362349e-12,2.88484025898584e-12,3.17332428488442e-12,3.49065671337286e-12,3.83972238471015e-12,4.22369462318117e-12,4.64606408549928e-12,5.11067049404921e-12,5.62173754345413e-12,6.18391129779955e-12,6.8023024275795e-12,7.48253267033745e-12,8.2307859373712e-12,9.05386453110832e-12,9.95925098421915e-12,1.09551760826411e-11,1.20506936909052e-11,1.32557630599957e-11,1.45813393659953e-11,1.60394733025948e-11,1.76434206328543e-11,1.94077626961397e-11,2.13485389657537e-11,2.3483392862329e-11,2.5831732148562e-11,2.84149053634182e-11,3.125639589976e-11,3.4382035489736e-11,3.78202390387096e-11,4.16022629425805e-11,4.57624892368386e-11,5.03387381605225e-11,5.53726119765747e-11,6.09098731742322e-11,6.70008604916554e-11,7.37009465408209e-11,8.1071041194903e-11,8.91781453143934e-11,9.80959598458327e-11,1.07905555830416e-10,1.18696111413458e-10,1.30565722554803e-10,1.43622294810284e-10,1.57984524291312e-10,1.73782976720443e-10,1.91161274392488e-10,2.10277401831736e-10,2.3130514201491e-10,2.54435656216401e-10,2.79879221838041e-10,3.07867144021845e-10,3.3865385842403e-10,3.72519244266433e-10,4.09771168693076e-10,4.50748285562384e-10,4.95823114118622e-10,5.45405425530485e-10,5.99945968083533e-10,6.59940564891887e-10,7.25934621381075e-10,7.98528083519183e-10,8.78380891871101e-10,9.66218981058212e-10,1.06284087916403e-09,1.16912496708044e-09,1.28603746378848e-09,1.41464121016733e-09,1.55610533118406e-09,1.71171586430247e-09,1.88288745073271e-09,2.07117619580599e-09,2.27829381538658e-09,2.50612319692524e-09,2.75673551661777e-09,3.03240906827954e-09,3.3356499751075e-09,3.66921497261825e-09,4.03613646988008e-09,4.43975011686808e-09,4.88372512855489e-09,5.37209764141038e-09,5.90930740555142e-09,6.50023814610656e-09,7.15026196071722e-09
"30-35",1.90026940261627e-12,1.03317681502817e-12,5.61738419637814e-13,6.17912261601596e-13,6.79703487761756e-13,7.47673836537931e-13,8.22441220191724e-13,9.04685342210897e-13,9.95153876431987e-13,1.09466926407519e-12,1.2041361904827e-12,1.32454980953097e-12,1.45700479048407e-12,1.60270526953248e-12,1.76297579648573e-12,1.9392733761343e-12,2.13320071374773e-12,2.3465207851225e-12,2.58117286363475e-12,2.83929014999823e-12,3.12321916499805e-12,3.43554108149786e-12,3.77909518964764e-12,4.15700470861241e-12,4.57270517947365e-12,5.02997569742102e-12,5.53297326716312e-12,6.08627059387943e-12,6.69489765326737e-12,7.36438741859412e-12,8.10082616045353e-12,8.91090877649888e-12,9.80199965414877e-12,1.07821996195636e-11,1.186041958152e-11,1.3046461539672e-11,1.43511076936392e-11,1.57862184630031e-11,1.73648403093035e-11,1.91013243402338e-11,2.10114567742572e-11,2.31126024516829e-11,2.54238626968512e-11,2.79662489665363e-11,3.076287386319e-11,3.3839161249509e-11,3.72230773744598e-11,4.09453851119058e-11,4.50399236230964e-11,4.95439159854061e-11,5.44983075839467e-11,5.99481383423413e-11,6.59429521765755e-11,7.2537247394233e-11,7.97909721336564e-11,8.7770069347022e-11,9.65470762817242e-11,1.06201783909897e-10,1.16821962300886e-10,1.28504158530975e-10,1.41354574384072e-10,1.5549003182248e-10,1.71039035004728e-10,1.881429385052e-10,2.06957232355721e-10,2.27652955591293e-10,2.50418251150422e-10,2.75460076265464e-10,3.03006083892011e-10,3.33306692281212e-10,3.66637361509333e-10,4.03301097660266e-10,4.43631207426293e-10,4.87994328168922e-10,5.36793760985814e-10,5.90473137084396e-10,6.49520450792836e-10,7.14472495872119e-10,7.85919745459331e-10,8.64511720005264e-10,9.50962892005791e-10,1.04605918120637e-09,1.15066509932701e-09,1.26573160925971e-09,1.39230477018568e-09,1.53153524720425e-09,1.68468877192467e-09,1.85315764911714e-09,2.03847341402885e-09,2.24232075543174e-09,2.46655283097491e-09,2.7132081140724e-09,2.98452892547964e-09,3.28298181802761e-09,3.61127999983037e-09,3.97240799981341e-09,4.36964879979475e-09,4.80661367977422e-09,5.28727504775165e-09,5.81600255252681e-09,6.39760280777949e-09
"36-47",1.21509214413641e-05,6.32653557423139e-06,3.43973852641501e-06,1.87018645375137e-06,1.01682071033475e-06,1.11850278136823e-06,1.23035305950505e-06,1.35338836545556e-06,1.48872720200112e-06,1.63759992220123e-06,1.80135991442135e-06,1.98149590586348e-06,2.17964549644983e-06,2.39761004609482e-06,2.6373710507043e-06,2.90110815577473e-06,3.1912189713522e-06,3.51034086848742e-06,3.86137495533617e-06,4.24751245086978e-06,4.67226369595676e-06,5.13949006555244e-06,5.65343907210768e-06,6.21878297931845e-06,6.8406612772503e-06,7.52472740497533e-06,8.27720014547286e-06,9.10492016002015e-06,1.00154121760222e-05,1.10169533936244e-05,1.21186487329868e-05,1.33305136062855e-05,1.46635649669141e-05,1.61299214636055e-05,1.7742913609966e-05,1.95172049709626e-05,2.14689254680589e-05,2.36158180148648e-05,2.59773998163512e-05,2.85751397979864e-05,3.1432653777785e-05,3.45759191555635e-05,3.80335110711199e-05,4.18368621782319e-05,4.6020548396055e-05,5.06226032356606e-05,5.56848635592266e-05,6.12533499151493e-05,6.73786849066642e-05,7.41165533973306e-05,8.15282087370637e-05,8.96810296107701e-05,9.86491325718471e-05,0.000108514045829032,0.000119365450411935,0.000131301995453128,0.000144432194998441,0.000158875414498286,0.000174762955948114,0.000192239251542926,0.000211463176697218,0.00023260949436694,0.000255870443803634,0.000281457488183997,0.000309603237002397,0.000340563560702637,0.000374619916772901,0.000412081908450191,0.00045329009929521,0.000498619109224731,0.000548481020147204,0.000603329122161924,0.000663662034378117,0.000730028237815929,0.000803031061597521,0.000883334167757274,0.000971667584533001,0.0010688343429863,0.00117571777728493,0.00129328955501342,0.00142261851051477,0.00156488036156624,0.00172136839772287,0.00189350523749516,0.00208285576124467,0.00229114133736914,0.00252025547110605,0.00277228101821666,0.00304950912003832,0.00335446003204216,0.00368990603524637,0.00405889663877101,0.00446478630264811,0.00491126493291292,0.00540239142620422,0.00594263056882464,0.0065368936257071,0.00719058298827781,0.0079096412871056,0.00870060541581616,0.00957066595739777
"48-59",0.000137478954420535,7.02029412127827e-05,3.81693517287452e-05,2.07526833808408e-05,1.12832376762922e-05,6.80320228778494e-06,7.48352251656343e-06,8.23187476821977e-06,9.05506224504175e-06,9.96056846954593e-06,1.09566253165005e-05,1.20522878481506e-05,1.32575166329656e-05,1.45832682962622e-05,1.60415951258884e-05,1.76457546384773e-05,1.9410330102325e-05,2.13513631125575e-05,2.34864994238133e-05,2.58351493661946e-05,2.8418664302814e-05,3.12605307330954e-05,3.4386583806405e-05,3.78252421870455e-05,4.160776640575e-05,4.5768543046325e-05,5.03453973509576e-05,5.53799370860533e-05,6.09179307946586e-05,6.70097238741245e-05,7.3710696261537e-05,8.10817658876907e-05,8.91899424764598e-05,9.81089367241058e-05,0.000107919830396516,0.000118711813436168,0.000130582994779785,0.000143641294257763,0.00015800542368354,0.000173805966051894,0.000191186562657083,0.000210305218922791,0.00023133574081507,0.000254469314896577,0.000279916246386235,0.000307907871024859,0.000338698658127345,0.000372568523940079,0.000409825376334087,0.000450807913967496,0.000495888705364246,0.00054547757590067,0.000600025333490737,0.000660027866839811,0.000726030653523792,0.000798633718876171,0.000878497090763789,0.000966346799840167,0.00106298147982418,0.0011692796278066,0.00128620759058726,0.00141482834964599,0.00155631118461059,0.00171194230307165,0.00188313653337881,0.00207145018671669,0.00227859520538836,0.0025064547259272,0.00275710019851992,0.00303281021837191,0.0033360912402091,0.00366970036423002,0.00403667040065302,0.00444033744071832,0.00488437118479015,0.00537280830326917,0.00591008913359609,0.00650109804695569,0.00715120785165126,0.00786632863681639,0.00865296150049803,0.00951825765054783,0.0104700834156026,0.0115170917571629,0.0126688009328792,0.0139356810261671,0.0153292491287838,0.0168621740416622,0.0185483914458284,0.0204032305904112,0.0224435536494524,0.0246879090143976,0.0271566999158374,0.0298723699074211,0.0328596068981632,0.0361455675879795,0.0397601243467775,0.0437361367814553,0.0481097504596008,0.0529207255055609,0.058212798056117
"60-71",0.00046786809560589,0.000238734314225102,0.000129799889462744,7.05722231813501e-05,3.83701304012884e-05,2.08618467811136e-05,1.49462676985413e-05,1.64408944683954e-05,1.80849839152349e-05,1.98934823067584e-05,2.18828305374342e-05,2.40711135911777e-05,2.64782249502954e-05,2.9126047445325e-05,3.20386521898575e-05,3.52425174088433e-05,3.87667691497276e-05,4.26434460647003e-05,4.69077906711704e-05,5.15985697382874e-05,5.67584267121162e-05,6.24342693833278e-05,6.86776963216606e-05,7.55454659538266e-05,8.31000125492093e-05,9.14100138041303e-05,0.000100551015184543,0.000110606116702998,0.000121666728373297,0.000133833401210627,0.00014721674133169,0.000161938415464859,0.000178132257011345,0.000195945482712479,0.000215540030983727,0.0002370940340821,0.00026080343749031,0.000286883781239341,0.000315572159363275,0.000347129375299603,0.000381842312829563,0.000420026544112519,0.000462029198523771,0.000508232118376148,0.000559055330213763,0.00061496086323514,0.000676456949558653,0.000744102644514519,0.000818512908965971,0.000900364199862568,0.000990400619848825,0.00108944068183371,0.00119838475001708,0.00131822322501879,0.00145004554752067,0.00159505010227273,0.00175455511250001,0.00193001062375001,0.00212301168612501,0.00233531285473751,0.00256884414021126,0.00282572855423238,0.00310830140965562,0.00341913155062119,0.00376104470568331,0.00413714917625164,0.0045508640938768,0.00500595050326448,0.00550654555359093,0.00605720010895002,0.00666292011984502,0.00732921213182953,0.00806213334501248,0.00886834667951373,0.0097551813474651,0.0107306994822116,0.0118037694304328,0.0129841463734761,0.0142825610108237,0.015710817111906,0.0172818988230966,0.0190100887054063,0.0209110975759469,0.0230022073335416,0.0253024280668958,0.0278326708735854,0.0306159379609439,0.0336775317570383,0.0370452849327421,0.0407498134260163,0.044824794768618,0.0493072742454798,0.0542380016700278,0.0596618018370306,0.0656279820207336,0.072190780222807,0.0794098582450877,0.0873508440695965,0.0960859284765561,0.105694521324212,0.116263973456633
"72-83",0.000909274506303055,0.000465667845088529,0.000253183690895197,0.000137656018149864,7.48436017575855e-05,4.06924796992872e-05,2.2124508510964e-05,1.71706706246783e-05,1.88877376871462e-05,2.07765114558608e-05,2.28541626014469e-05,2.51395788615915e-05,2.76535367477507e-05,3.04188904225258e-05,3.34607794647784e-05,3.68068574112562e-05,4.04875431523818e-05,4.453629746762e-05,4.8989927214382e-05,5.38889199358202e-05,5.92778119294022e-05,6.52055931223425e-05,7.17261524345767e-05,7.88987676780344e-05,8.67886444458378e-05,9.54675088904216e-05,0.000105014259779464,0.00011551568575741,0.000127067254333151,0.000139773979766466,0.000153751377743113,0.000169126515517424,0.000186039167069167,0.000204643083776083,0.000225107392153692,0.000247618131369061,0.000272379944505967,0.000299617938956564,0.00032957973285222,0.000362537706137442,0.000398791476751187,0.000438670624426305,0.000482537686868936,0.00053079145555583,0.000583870601111413,0.000642257661222554,0.000706483427344809,0.00077713177007929,0.000854844947087219,0.000940329441795941,0.00103436238597554,0.00113779862457309,0.0012515784870304,0.00137673633573344,0.00151440996930678,0.00166585096623746,0.00183243606286121,0.00201567966914733,0.00221724763606206,0.00243897239966827,0.00268286963963509,0.0029511566035986,0.00324627226395846,0.00357089949035431,0.00392798943938974,0.00432078838332872,0.00475286722166159,0.00522815394382775,0.00575096933821052,0.00632606627203158,0.00695867289923473,0.00765454018915821,0.00841999420807403,0.00926199362888143,0.0101881929917696,0.0112070122909465,0.0123277135200412,0.0135604848720453,0.0149165333592498,0.0164081866951748,0.0180490053646923,0.0198539059011615,0.0218392964912777,0.0240232261404055,0.026425548754446,0.0290681036298906,0.0319749139928797,0.0351724053921677,0.0386896459313844,0.0425586105245229,0.0468144715769752,0.0514959187346727,0.05664551060814,0.062310061668954,0.0685410678358494,0.0753951746194343,0.0829346920813778,0.0912281612895155,0.100350977418467,0.110386075160314,0.121424682676345
"84-95",0.00126641942411754,0.000645128695677606,0.000350756587547952,0.000190706419560302,0.000103687114519376,5.63747027611447e-05,3.06509360024049e-05,1.66649194019527e-05,1.36654525952461e-05,1.50319978547707e-05,1.65351976402477e-05,1.81887174042725e-05,2.00075891446998e-05,2.20083480591697e-05,2.42091828650867e-05,2.66301011515954e-05,2.92931112667549e-05,3.22224223934304e-05,3.54446646327735e-05,3.89891310960508e-05,4.28880442056559e-05,4.71768486262215e-05,5.18945334888437e-05,5.7083986837728e-05,6.27923855215008e-05,6.9071624073651e-05,7.59787864810161e-05,8.35766651291177e-05,9.19343316420294e-05,0.000101127764806232,0.000111240541286856,0.000122364595415541,0.000134601054957095,0.000148061160452805,0.000162867276498085,0.000179154004147894,0.000197069404562683,0.000216776345018952,0.000238453979520847,0.000262299377472932,0.000288529315220225,0.000317382246742247,0.000349120471416472,0.000384032518558119,0.000422435770413931,0.000464679347455324,0.000511147282200857,0.000562262010420943,0.000618488211463037,0.000680337032609341,0.000748370735870275,0.000823207809457302,0.000905528590403033,0.000996081449443336,0.00109568959438767,0.00120525855382644,0.00132578440920908,0.00145836285012999,0.00160419913514299,0.00176461904865729,0.00194108095352302,0.00213518904887532,0.00234870795376285,0.00258357874913913,0.00284193662405305,0.00312613028645835,0.00343874331510419,0.00378261764661461,0.00416087941127607,0.00457696735240368,0.00503466408764404,0.00553813049640845,0.00609194354604929,0.00670113790065422,0.00737125169071965,0.00810837685979161,0.00891921454577077,0.00981113600034785,0.0107922496003826,0.0118714745604209,0.013058622016463,0.0143644842181093,0.0158009326399202,0.0173810259039122,0.0191191284943035,0.0210310413437338,0.0231341454781072,0.0254475600259179,0.0279923160285097,0.0307915476313607,0.0338707023944968,0.0372577726339465,0.0409835498973411,0.0450819048870752,0.0495900953757827,0.054549104913361,0.0600040154046971,0.0660044169451669,0.0726048586396835,0.0798653445036519,0.0878518789540171
"96-107",0.00139841517792017,0.000704116557975305,0.000382828298859069,0.000208143814752427,0.000113167829412845,6.15293691491517e-05,3.34535290420873e-05,1.81886897402914e-05,9.88919387405654e-06,8.37489047779498e-06,9.21237952557448e-06,1.01336174781319e-05,1.11469792259451e-05,1.22616771485396e-05,1.34878448633936e-05,1.4836629349733e-05,1.63202922847063e-05,1.79523215131769e-05,1.97475536644946e-05,2.1722309030944e-05,2.38945399340384e-05,2.62839939274423e-05,2.89123933201865e-05,3.18036326522052e-05,3.49839959174257e-05,3.84823955091683e-05,4.23306350600851e-05,4.65636985660936e-05,5.1220068422703e-05,5.63420752649733e-05,6.19762827914706e-05,6.81739110706177e-05,7.49913021776794e-05,8.24904323954474e-05,9.07394756349921e-05,9.98134231984914e-05,0.000109794765518341,0.000120774242070175,0.000132851666277192,0.000146136832904911,0.000160750516195402,0.000176825567814943,0.000194508124596437,0.000213958937056081,0.000235354830761689,0.000258890313837858,0.000284779345221643,0.000313257279743808,0.000344583007718188,0.000379041308490007,0.000416945439339008,0.000458639983272909,0.0005045039816002,0.00055495437976022,0.000610449817736242,0.000671494799509866,0.000738644279460853,0.000812508707406938,0.000893759578147632,0.000983135535962396,0.00108144908955863,0.0011895939985145,0.00130855339836595,0.00143940873820254,0.0015833496120228,0.00174168457322508,0.00191585303054759,0.00210743833360235,0.00231818216696258,0.00255000038365884,0.00280500042202472,0.00308550046422719,0.00339405051064991,0.00373345556171491,0.0041068011178864,0.00451748122967504,0.00496922935264254,0.0054661522879068,0.00601276751669747,0.00661404426836722,0.00727544869520395,0.00800299356472434,0.00880329292119678,0.00968362221331646,0.0106519844346481,0.0117171828781129,0.0128889011659242,0.0141777912825166,0.0155955704107683,0.0171551274518451,0.0188706401970296,0.0207577042167326,0.0228334746384059,0.0251168221022464,0.0276285043124711,0.0303913547437182,0.03343049021809,0.036773539239899,0.040450893163889,0.0444959824802778,0.0489455807283056
"108-119",0.00132672623304277,0.000649648230605277,0.000353213859498735,0.000192042438760671,0.00010441350839824,5.67696432433666e-05,3.08656652134241e-05,1.6781667712497e-05,9.12419574518612e-06,4.96082686314169e-06,4.30566016593725e-06,4.73622618253097e-06,5.20984880078407e-06,5.73083368086248e-06,6.30391704894873e-06,6.9343087538436e-06,7.62773962922796e-06,8.39051359215076e-06,9.22956495136583e-06,1.01525214465024e-05,1.11677735911527e-05,1.22845509502679e-05,1.35130060452947e-05,1.48643066498242e-05,1.63507373148066e-05,1.79858110462873e-05,1.9784392150916e-05,2.17628313660076e-05,2.39391145026084e-05,2.63330259528692e-05,2.89663285481561e-05,3.18629614029717e-05,3.50492575432689e-05,3.85541832975958e-05,4.24096016273554e-05,4.66505617900909e-05,5.13156179691001e-05,5.64471797660101e-05,6.20918977426111e-05,6.83010875168722e-05,7.51311962685594e-05,8.26443158954154e-05,9.09087474849569e-05,9.99996222334526e-05,0.000109999584456798,0.000120999542902478,0.000133099497192725,0.000146409446911998,0.000161050391603198,0.000177155430763518,0.000194870973839869,0.000214358071223856,0.000235793878346242,0.000259373266180866,0.000285310592798953,0.000313841652078848,0.000345225817286733,0.000379748399015406,0.000417723238916947,0.000459495562808642,0.000505445119089506,0.000555989630998457,0.000611588594098302,0.000672747453508133,0.000740022198858946,0.000814024418744841,0.000895426860619324,0.000984969546681257,0.00108346650134938,0.00119181315148432,0.00131099446663275,0.00144209391329603,0.00158630330462563,0.0017449336350882,0.00191942699859701,0.00211136969845672,0.00232250666830239,0.00255475733513263,0.00281023306864589,0.00309125637551048,0.00340038201306153,0.00374042021436768,0.00411446223580445,0.0045259084593849,0.00497849930532339,0.00547634923585572,0.0060239841594413,0.00662638257538543,0.00728902083292397,0.00801792291621637,0.00881971520783801,0.00970168672862181,0.010671855401484,0.0117390409416324,0.0129129450357956,0.0142042395393752,0.0156246634933127,0.017187129842644,0.0189058428269084,0.0207964271095992,0.0228760698205592
