"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",1.71791701112229e-06,8.94995195182428e-07,4.86609048143909e-07,2.64569426752349e-07,1.43846444777504e-07,1.58231089255254e-07,1.7405419818078e-07,1.91459617998858e-07,2.10605579798743e-07,2.31666137778618e-07,2.5483275155648e-07,2.80316026712127e-07,3.0834762938334e-07,3.39182392321674e-07,3.73100631553842e-07,4.10410694709226e-07,4.51451764180149e-07,4.96596940598164e-07,5.4625663465798e-07,6.00882298123778e-07,6.60970527936156e-07,7.27067580729771e-07,7.99774338802749e-07,8.79751772683024e-07,9.67726949951326e-07,1.06449964494646e-06,1.1709496094411e-06,1.28804457038522e-06,1.41684902742374e-06,1.55853393016611e-06,1.71438732318272e-06,1.88582605550099e-06,2.07440866105109e-06,2.2818495271562e-06,2.51003447987182e-06,2.76103792785901e-06,3.03714172064491e-06,3.3408558927094e-06,3.67494148198034e-06,4.04243563017837e-06,4.44667919319621e-06,4.89134711251583e-06,5.38048182376741e-06,5.91853000614416e-06,6.51038300675857e-06,7.16142130743443e-06,7.87756343817787e-06,8.66531978199566e-06,9.53185176019523e-06,1.04850369362148e-05,1.15335406298362e-05,1.26868946928199e-05,1.39555841621018e-05,1.5351142578312e-05,1.68862568361432e-05,1.85748825197576e-05,2.04323707717333e-05,2.24756078489066e-05,2.47231686337973e-05,2.7195485497177e-05,2.99150340468947e-05,3.29065374515842e-05,3.61971911967427e-05,3.98169103164169e-05,4.37986013480586e-05,4.81784614828645e-05,5.29963076311509e-05,5.8295938394266e-05,6.41255322336927e-05,7.05380854570619e-05,7.75918940027681e-05,8.53510834030449e-05,9.38861917433494e-05,0.000103274810917684,0.000113602292009453,0.000124962521210398,0.000137458773331438,0.000151204650664582,0.00016632511573104,0.000182957627304144,0.000201253390034558,0.000221378729038014,0.000243516601941816,0.000267868262135997,0.000294655088349597,0.000324120597184557,0.000356532656903012,0.000392185922593314,0.000431404514852645,0.00047454496633791,0.000521999462971701,0.000574199409268871,0.000631619350195758,0.000694781285215334,0.000764259413736867,0.000840685355110554,0.00092475389062161,0.00101722927968377,0.00111895220765215,0.00123084742841736,0.0013539321712591
"48-59",3.03223335809248e-05,1.54632733752639e-05,8.40738450756985e-06,4.57109646468496e-06,2.48530596770517e-06,1.49956874261196e-06,1.64952561687316e-06,1.81447817856048e-06,1.99592599641652e-06,2.19551859605818e-06,2.415070455664e-06,2.6565775012304e-06,2.92223525135343e-06,3.21445877648878e-06,3.53590465413766e-06,3.88949511955142e-06,4.27844463150656e-06,4.70628909465722e-06,5.17691800412295e-06,5.69460980453524e-06,6.26407078498876e-06,6.89047786348764e-06,7.57952564983641e-06,8.33747821482005e-06,9.17122603630205e-06,1.00883486399323e-05,1.10971835039255e-05,1.2206901854318e-05,1.34275920397498e-05,1.47703512437248e-05,1.62473863680973e-05,1.7872125004907e-05,1.96593375053978e-05,2.16252712559375e-05,2.37877983815313e-05,2.61665782196844e-05,2.87832360416528e-05,3.16615596458181e-05,3.48277156103999e-05,3.831048717144e-05,4.2141535888584e-05,4.63556894774423e-05,5.09912584251866e-05,5.60903842677052e-05,6.16994226944758e-05,6.78693649639234e-05,7.46563014603157e-05,8.21219316063473e-05,9.0334124766982e-05,9.93675372436802e-05,0.000109304290968048,0.000120234720064853,0.000132258192071338,0.000145484011278472,0.00016003241240632,0.000176035653646951,0.000193639219011647,0.000213003140912811,0.000234303455004092,0.000257733800504502,0.000283507180554952,0.000311857898610447,0.000343043688471492,0.000377348057318641,0.000415082863050505,0.000456591149355556,0.000502250264291111,0.000552475290720223,0.000607722819792245,0.00066849510177147,0.000735344611948616,0.000808879073143478,0.000889766980457826,0.000978743678503609,0.00107661804635397,0.00118427985098937,0.0013027078360883,0.00143297861969713,0.00157627648166685,0.00173390412983353,0.00190729454281689,0.00209802399709857,0.00230782639680843,0.00253860903648928,0.0027924699401382,0.00307171693415202,0.00337888862756723,0.00371677749032395,0.00408845523935635,0.00449730076329198,0.00494703083962118,0.0054417339235833,0.00598590731594163,0.00658449804753579,0.00724294785228937,0.00796724263751831,0.00876396690127014,0.00964036359139716,0.0106043999505369,0.0116648399455906,0.0128313239401496
"60-71",0.000127540936690344,6.49096720485099e-05,3.52914003347477e-05,1.91879406917451e-05,1.04324867955841e-05,5.67214494189358e-06,4.06474858106437e-06,4.4712234391708e-06,4.91834578308789e-06,5.41018036139667e-06,5.95119839753634e-06,6.54631823728998e-06,7.20095006101898e-06,7.92104506712087e-06,8.71314957383296e-06,9.58446453121626e-06,1.05429109843379e-05,1.15972020827717e-05,1.27569222910488e-05,1.40326145201537e-05,1.54358759721691e-05,1.6979463569386e-05,1.86774099263246e-05,2.05451509189571e-05,2.25996660108528e-05,2.48596326119381e-05,2.73455958731319e-05,3.00801554604451e-05,3.30881710064896e-05,3.63969881071385e-05,4.00366869178524e-05,4.40403556096376e-05,4.84443911706014e-05,5.32888302876616e-05,5.86177133164277e-05,6.44794846480705e-05,7.09274331128775e-05,7.80201764241653e-05,8.58221940665818e-05,9.440441347324e-05,0.000103844854820564,0.00011422934030262,0.000125652274332883,0.000138217501766171,0.000152039251942788,0.000167243177137067,0.000183967494850773,0.000202364244335851,0.000222600668769436,0.000244860735646379,0.000269346809211017,0.000296281490132119,0.000325909639145331,0.000358500603059864,0.000394350663365851,0.000433785729702436,0.000477164302672679,0.000524880732939947,0.000577368806233942,0.000635105686857336,0.00069861625554307,0.000768477881097377,0.000845325669207115,0.000929858236127826,0.00102284405974061,0.00112512846571467,0.00123764131228614,0.00136140544351475,0.00149754598786623,0.00164730058665285,0.00181203064531813,0.00199323370984995,0.00219255708083494,0.00241181278891844,0.00265299406781028,0.00291829347459131,0.00321012282205044,0.00353113510425549,0.00388424861468103,0.00427267347614914,0.00469994082376405,0.00516993490614046,0.0056869283967545,0.00625562123642995,0.00688118336007295,0.00756930169608025,0.00832623186568827,0.0091588550522571,0.0100747405574828,0.0110822146132311,0.0121904360745542,0.0134094796820096,0.0147504276502106,0.0162254704152316,0.0178480174567548,0.0196328192024303,0.0215961011226733,0.0237557112349407,0.0261312823584347,0.0287444105942782,0.031618851653706
"72-83",0.000341006278615546,0.000174282949570372,9.47576709401947e-05,5.15197626855899e-05,2.80113042125606e-05,1.52297511243792e-05,8.28041841788015e-06,6.41990317832189e-06,7.06189349615408e-06,7.76808284576949e-06,8.54489113034644e-06,9.39938024338109e-06,1.03393182677192e-05,1.13732500944911e-05,1.25105751039402e-05,1.37616326143343e-05,1.51377958757677e-05,1.66515754633445e-05,1.83167330096789e-05,2.01484063106468e-05,2.21632469417115e-05,2.43795716358826e-05,2.68175287994709e-05,2.9499281679418e-05,3.24492098473598e-05,3.56941308320957e-05,3.92635439153053e-05,4.31898983068359e-05,4.75088881375195e-05,5.22597769512714e-05,5.74857546463985e-05,6.32343301110384e-05,6.95577631221423e-05,7.65135394343565e-05,8.41648933777921e-05,9.25813827155714e-05,0.000101839520987129,0.000112023473085841,0.000123225820394425,0.000135548402433868,0.000149103242677255,0.00016401356694498,0.000180414923639478,0.000198456416003426,0.000218302057603769,0.000240132263364146,0.000264145489700561,0.000290560038670617,0.000319616042537678,0.000351577646791446,0.000386735411470591,0.00042540895261765,0.000467949847879415,0.000514744832667356,0.000566219315934092,0.000622841247527501,0.000685125372280252,0.000753637909508277,0.000829001700459104,0.000911901870505015,0.00100309205755552,0.00110340126331107,0.00121374138964218,0.00133511552860639,0.00146862708146703,0.00161548978961374,0.00177703876857511,0.00195474264543262,0.00215021690997588,0.00236523860097347,0.00260176246107082,0.0028619387071779,0.00314813257789569,0.00346294583568526,0.00380924041925379,0.00419016446117916,0.00460918090729708,0.00507009899802679,0.00557710889782947,0.00613481978761242,0.00674830176637366,0.00742313194301103,0.00816544513731213,0.00898198965104334,0.00988018861614768,0.0108682074777624,0.0119550282255387,0.0131505310480926,0.0144655841529018,0.015912142568192,0.0175033568250112,0.0192536925075123,0.0211790617582636,0.0232969679340899,0.0256266647274989,0.0281893312002488,0.0310082643202737,0.0341090907523011,0.0375199998275312,0.0412719998102843,0.0453991997913127
"84-95",0.000642459041775091,0.00032707696194123,0.000177831802870832,9.66871831161648e-05,5.25688388017355e-05,2.85816870850676e-05,1.55398683944632e-05,8.44902923324634e-06,6.92422493651579e-06,7.61664743016737e-06,8.37831217318411e-06,9.21614339050252e-06,1.01377577295528e-05,1.11515335025081e-05,1.22666868527589e-05,1.34933555380347e-05,1.48426910918382e-05,1.63269602010221e-05,1.79596562211243e-05,1.97556218432367e-05,2.17311840275604e-05,2.39043024303164e-05,2.6294732673348e-05,2.89242059406828e-05,3.18166265347511e-05,3.49982891882262e-05,3.84981181070489e-05,4.23479299177538e-05,4.65827229095291e-05,5.1240995200482e-05,5.63650947205303e-05,6.20016041925833e-05,6.82017646118416e-05,7.50219410730258e-05,8.25241351803284e-05,9.07765486983612e-05,9.98542035681974e-05,0.000109839623925017,0.000120823586317519,0.000132905944949271,0.000146196539444198,0.000160816193388618,0.000176897812727479,0.000194587594000227,0.00021404635340025,0.000235450988740275,0.000258996087614303,0.000284895696375733,0.000313385266013306,0.000344723792614637,0.000379196171876101,0.000417115789063711,0.000458827367970082,0.00050471010476709,0.000555181115243799,0.000610699226768179,0.000671769149444997,0.000738946064389497,0.000812840670828446,0.000894124737911291,0.00098353721170242,0.00108189093287266,0.00119008002615993,0.00130908802877592,0.00143999683165351,0.00158399651481887,0.00174239616630075,0.00191663578293083,0.00210829936122391,0.0023191292973463,0.00255104222708093,0.00280614644978903,0.00308676109476793,0.00339543720424472,0.00373498092466919,0.00410847901713611,0.00451932691884972,0.0049712596107347,0.00546838557180817,0.00601522412898899,0.00661674654188789,0.00727842119607667,0.00800626331568434,0.00880688964725278,0.00968757861197805,0.0106563364731759,0.0117219701204934,0.0128941671325428,0.0141835838457971,0.0156019422303768,0.0171621364534145,0.0188783500987559,0.0207661851086315,0.0228428036194947,0.0251270839814441,0.0276397923795885,0.0304037716175474,0.0334441487793021,0.0367885636572324,0.0404674200229556,0.0445141620252512
"96-107",0.000678542918468015,0.000341556354412795,0.000185704251154595,0.000100967434660022,5.48960123338215e-05,2.98469717518565e-05,1.62278038947333e-05,8.82305988812895e-06,4.79709924364902e-06,4.06201005515347e-06,4.46821106066881e-06,4.9150321667357e-06,5.40653538340927e-06,5.94718892175019e-06,6.54190781392521e-06,7.19609859531774e-06,7.91570845484951e-06,8.70727930033446e-06,9.57800723036791e-06,1.05358079534047e-05,1.15893887487452e-05,1.27483276236197e-05,1.40231603859817e-05,1.54254764245798e-05,1.69680240670378e-05,1.86648264737416e-05,2.05313091211158e-05,2.25844400332273e-05,2.48428840365501e-05,2.73271724402051e-05,3.00598896842256e-05,3.30658786526481e-05,3.6372466517913e-05,4.00097131697043e-05,4.40106844866747e-05,4.84117529353422e-05,5.32529282288764e-05,5.8578221051764e-05,6.44360431569404e-05,7.08796474726345e-05,7.79676122198979e-05,8.57643734418877e-05,9.43408107860765e-05,0.000103774891864684,0.000114152381051153,0.000125567619156268,0.000138124381071895,0.000151936819179084,0.000167130501096993,0.000183843551206692,0.000202227906327361,0.000222450696960097,0.000244695766656107,0.000269165343321718,0.000296081877653889,0.000325690065419278,0.000358259071961206,0.000394084979157327,0.00043349347707306,0.000476842824780366,0.000524527107258402,0.000576979817984243,0.000634677799782667,0.000698145579760934,0.000767960137737027,0.00084475615151073,0.000929231766661803,0.00102215494332798,0.00112437043766078,0.00123680748142686,0.00136048822956955,0.0014965370525265,0.00164619075777915,0.00181080983355707,0.00199189081691277,0.00219107989860405,0.00241018788846446,0.0026512066773109,0.00291632734504199,0.00320796007954619,0.00352875608750081,0.00388163169625089,0.00426979486587598,0.00469677435246358,0.00516645178770994,0.00568309696648093,0.00625140666312902,0.00687654732944193,0.00756420206238612,0.00832062226862474,0.00915268449548721,0.0100679529450359,0.0110747482395395,0.0121822230634935,0.0134004453698428,0.0147404899068271,0.0162145388975098,0.0178359927872608,0.0196195920659869,0.0215815512725856,0.0237397063998442
"108-119",0.000576052302202164,0.000281833996078112,0.000153233194216434,8.33129151788477e-05,4.5297246925454e-05,2.46281212777259e-05,1.33903139559137e-05,7.28031609947038e-06,3.95830916905421e-06,2.15213340516333e-06,1.86740070649958e-06,2.05414077714953e-06,2.25955485486449e-06,2.48551034035094e-06,2.73406137438603e-06,3.00746751182463e-06,3.3082142630071e-06,3.63903568930781e-06,4.00293925823859e-06,4.40323318406245e-06,4.84355650246869e-06,5.32791215271556e-06,5.86070336798712e-06,6.44677370478583e-06,7.09145107526442e-06,7.80059618279086e-06,8.58065580106995e-06,9.43872138117694e-06,1.03825935192946e-05,1.14208528712241e-05,1.25629381583465e-05,1.38192319741812e-05,1.52011551715993e-05,1.67212706887592e-05,1.83933977576351e-05,2.02327375333986e-05,2.22560112867385e-05,2.44816124154124e-05,2.69297736569536e-05,2.9622751022649e-05,3.25850261249139e-05,3.58435287374053e-05,3.94278816111458e-05,4.33706697722604e-05,4.77077367494864e-05,5.24785104244351e-05,5.77263614668786e-05,6.34989976135664e-05,6.98488973749231e-05,7.68337871124154e-05,8.4517165823657e-05,9.29688824060226e-05,0.000102265770646625,0.000112492347711287,0.000123741582482416,0.000136115740730658,0.000149727314803724,0.000164700046284096,0.000181170050912506,0.000199287056003756,0.000219215761604132,0.000241137337764545,0.000265251071541,0.000291776178695099,0.000320953796564609,0.00035304917622107,0.000388354093843177,0.000427189503227495,0.000469908453550245,0.000516899298905269,0.000568589228795796,0.000625448151675376,0.000687992966842914,0.000756792263527205,0.000832471489879926,0.000915718638867918,0.00100729050275471,0.00110801955303018,0.0012188215083332,0.00134070365916652,0.00147477402508317,0.00162225142759149,0.00178447657035064,0.0019629242273857,0.00215921665012427,0.0023751383151367,0.00261265214665037,0.00287391736131541,0.00316130909744695,0.00347744000719164,0.00382518400791081,0.00420770240870189,0.00462847264957208,0.00509131991452929,0.00560045190598222,0.00616049709658044,0.00677654680623848,0.00745420148686233,0.00819962163554857,0.00901958379910342,0.00992154217901376
