"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",6.15457890132162e-13,3.34624565251242e-13,1.82136525485586e-13,2.00350178034145e-13,2.20385195837559e-13,2.42423715421315e-13,2.66666086963447e-13,2.93332695659791e-13,3.2266596522577e-13,3.54932561748348e-13,3.90425817923182e-13,4.29468399715501e-13,4.72415239687051e-13,5.19656763655756e-13,5.71622440021331e-13,6.28784684023465e-13,6.91663152425811e-13,7.60829467668392e-13,8.36912414435231e-13,9.20603655878755e-13,1.01266402146663e-12,1.11393042361329e-12,1.22532346597462e-12,1.34785581257209e-12,1.48264139382929e-12,1.63090553321222e-12,1.79399608653345e-12,1.97339569518679e-12,2.17073526470547e-12,2.38780879117602e-12,2.62658967029362e-12,2.88924863732298e-12,3.17817350105528e-12,3.49599085116081e-12,3.84558993627689e-12,4.23014892990458e-12,4.65316382289504e-12,5.11848020518454e-12,5.630328225703e-12,6.1933610482733e-12,6.81269715310062e-12,7.49396686841069e-12,8.24336355525176e-12,9.06769991077693e-12,9.97446990185463e-12,1.09719168920401e-11,1.20691085812441e-11,1.32760194393685e-11,1.46036213833054e-11,1.60639835216359e-11,1.76703818737995e-11,1.94374200611794e-11,2.13811620672974e-11,2.35192782740271e-11,2.58712061014299e-11,2.84583267115728e-11,3.13041593827301e-11,3.44345753210031e-11,3.78780328531034e-11,4.16658361384138e-11,4.58324197522552e-11,5.04156617274807e-11,5.54572279002288e-11,6.10029506902517e-11,6.71032457592769e-11,7.38135703352045e-11,8.1194927368725e-11,8.93144201055975e-11,9.82458621161573e-11,1.08070448327773e-10,1.1887749316055e-10,1.30765242476605e-10,1.43841766724266e-10,1.58225943396692e-10,1.74048537736362e-10,1.91453391509998e-10,2.10598730660998e-10,2.31658603727098e-10,2.54824464099807e-10,2.80306910509788e-10,3.08337601560767e-10,3.39171361716844e-10,3.73088497888528e-10,4.10397347677381e-10,4.51437082445119e-10,4.96580790689631e-10,5.46238869758594e-10,6.00862756734453e-10,6.60949032407899e-10,7.27043935648689e-10,7.99748329213558e-10,8.79723162134914e-10,9.67695478348405e-10,1.06446502618325e-09,1.17091152880157e-09,1.28800268168173e-09,1.4168029498499e-09,1.55848324483489e-09,1.71433156931838e-09,1.88576472625022e-09,2.07434119887524e-09
"24-29",2.12383050853354e-12,1.15472702841253e-12,6.27825292455716e-13,6.90607821701288e-13,7.59668603871417e-13,8.35635464258558e-13,9.19199010684414e-13,1.01111891175286e-12,1.11223080292814e-12,1.22345388322096e-12,1.34579927154305e-12,1.48037919869736e-12,1.62841711856709e-12,1.7912588304238e-12,1.97038471346618e-12,2.1674231848128e-12,2.38416550329408e-12,2.62258205362349e-12,2.88484025898584e-12,3.17332428488442e-12,3.49065671337286e-12,3.83972238471015e-12,4.22369462318117e-12,4.64606408549928e-12,5.11067049404921e-12,5.62173754345413e-12,6.18391129779955e-12,6.8023024275795e-12,7.48253267033745e-12,8.2307859373712e-12,9.05386453110832e-12,9.95925098421915e-12,1.09551760826411e-11,1.20506936909052e-11,1.32557630599957e-11,1.45813393659953e-11,1.60394733025948e-11,1.76434206328543e-11,1.94077626961397e-11,2.13485389657537e-11,2.3483392862329e-11,2.5831732148562e-11,2.84149053634182e-11,3.125639589976e-11,3.4382035489736e-11,3.78202390387096e-11,4.16022629425805e-11,4.57624892368386e-11,5.03387381605225e-11,5.53726119765747e-11,6.09098731742322e-11,6.70008604916554e-11,7.37009465408209e-11,8.1071041194903e-11,8.91781453143934e-11,9.80959598458327e-11,1.07905555830416e-10,1.18696111413458e-10,1.30565722554803e-10,1.43622294810284e-10,1.57984524291312e-10,1.73782976720443e-10,1.91161274392488e-10,2.10277401831736e-10,2.3130514201491e-10,2.54435656216401e-10,2.79879221838041e-10,3.07867144021845e-10,3.3865385842403e-10,3.72519244266433e-10,4.09771168693076e-10,4.50748285562384e-10,4.95823114118622e-10,5.45405425530485e-10,5.99945968083533e-10,6.59940564891887e-10,7.25934621381075e-10,7.98528083519183e-10,8.78380891871101e-10,9.66218981058212e-10,1.06284087916403e-09,1.16912496708044e-09,1.28603746378848e-09,1.41464121016733e-09,1.55610533118406e-09,1.71171586430247e-09,1.88288745073271e-09,2.07117619580599e-09,2.27829381538658e-09,2.50612319692524e-09,2.75673551661777e-09,3.03240906827954e-09,3.3356499751075e-09,3.66921497261825e-09,4.03613646988008e-09,4.43975011686808e-09,4.88372512855489e-09,5.37209764141038e-09,5.90930740555142e-09,6.50023814610656e-09,7.15026196071722e-09
"30-35",1.90026940261627e-12,1.03317681502817e-12,5.61738419637814e-13,6.17912261601596e-13,6.79703487761756e-13,7.47673836537931e-13,8.22441220191724e-13,9.04685342210897e-13,9.95153876431987e-13,1.09466926407519e-12,1.2041361904827e-12,1.32454980953097e-12,1.45700479048407e-12,1.60270526953248e-12,1.76297579648573e-12,1.9392733761343e-12,2.13320071374773e-12,2.3465207851225e-12,2.58117286363475e-12,2.83929014999823e-12,3.12321916499805e-12,3.43554108149786e-12,3.77909518964764e-12,4.15700470861241e-12,4.57270517947365e-12,5.02997569742102e-12,5.53297326716312e-12,6.08627059387943e-12,6.69489765326737e-12,7.36438741859412e-12,8.10082616045353e-12,8.91090877649888e-12,9.80199965414877e-12,1.07821996195636e-11,1.186041958152e-11,1.3046461539672e-11,1.43511076936392e-11,1.57862184630031e-11,1.73648403093035e-11,1.91013243402338e-11,2.10114567742572e-11,2.31126024516829e-11,2.54238626968512e-11,2.79662489665363e-11,3.076287386319e-11,3.3839161249509e-11,3.72230773744598e-11,4.09453851119058e-11,4.50399236230964e-11,4.95439159854061e-11,5.44983075839467e-11,5.99481383423413e-11,6.59429521765755e-11,7.2537247394233e-11,7.97909721336564e-11,8.7770069347022e-11,9.65470762817242e-11,1.06201783909897e-10,1.16821962300886e-10,1.28504158530975e-10,1.41354574384072e-10,1.5549003182248e-10,1.71039035004728e-10,1.881429385052e-10,2.06957232355721e-10,2.27652955591293e-10,2.50418251150422e-10,2.75460076265464e-10,3.03006083892011e-10,3.33306692281212e-10,3.66637361509333e-10,4.03301097660266e-10,4.43631207426293e-10,4.87994328168922e-10,5.36793760985814e-10,5.90473137084396e-10,6.49520450792836e-10,7.14472495872119e-10,7.85919745459331e-10,8.64511720005264e-10,9.50962892005791e-10,1.04605918120637e-09,1.15066509932701e-09,1.26573160925971e-09,1.39230477018568e-09,1.53153524720425e-09,1.68468877192467e-09,1.85315764911714e-09,2.03847341402885e-09,2.24232075543174e-09,2.46655283097491e-09,2.7132081140724e-09,2.98452892547964e-09,3.28298181802761e-09,3.61127999983037e-09,3.97240799981341e-09,4.36964879979475e-09,4.80661367977422e-09,5.28727504775165e-09,5.81600255252681e-09,6.39760280777949e-09
"36-47",1.20612093019072e-05,6.28361224867583e-06,3.41640110661187e-06,1.85749789441869e-06,1.0099219383498e-06,1.11091413218478e-06,1.22200554540326e-06,1.34420609994358e-06,1.47862670993794e-06,1.62648938093174e-06,1.78913831902491e-06,1.9680521509274e-06,2.16485736602014e-06,2.38134310262215e-06,2.61947741288437e-06,2.88142515417281e-06,3.16956766959009e-06,3.4865244365491e-06,3.83517688020401e-06,4.21869456822441e-06,4.64056402504685e-06,5.10462042755153e-06,5.61508247030669e-06,6.17659071733736e-06,6.79424978907109e-06,7.4736747679782e-06,8.22104224477602e-06,9.04314646925363e-06,9.94746111617899e-06,1.09422072277969e-05,1.20364279505766e-05,1.32400707456342e-05,1.45640778201977e-05,1.60204856022174e-05,1.76225341624392e-05,1.93847875786831e-05,2.13232663365514e-05,2.34555929702066e-05,2.58011522672272e-05,2.83812674939499e-05,3.12193942433449e-05,3.43413336676794e-05,3.77754670344474e-05,4.15530137378921e-05,4.57083151116813e-05,5.02791466228495e-05,5.53070612851344e-05,6.08377674136479e-05,6.69215441550127e-05,7.36136985705139e-05,8.09750684275653e-05,8.90725752703219e-05,9.79798327973541e-05,0.000107777816077089,0.000118555597684798,0.000130411157453278,0.000143452273198606,0.000157797500518467,0.000173577250570313,0.000190934975627345,0.000210028473190079,0.000231031320509087,0.000254134452559996,0.000279547897815996,0.000307502687597595,0.000338252956357355,0.00037207825199309,0.000409286077192399,0.000450214684911639,0.000495236153402803,0.000544759768743084,0.000599235745617392,0.000659159320179131,0.000725075252197044,0.000797582777416749,0.000877341055158424,0.000965075160674266,0.00106158267674169,0.00116774094441586,0.00128451503885745,0.00141296654274319,0.00155426319701751,0.00170968951671926,0.00188065846839119,0.00206872431523031,0.00227559674675334,0.00250315642142868,0.00275347206357154,0.0030288192699287,0.00333170119692157,0.00366487131661373,0.0040313584482751,0.00443449429310261,0.00487794372241287,0.00536573809465416,0.00590231190411957,0.00649254309453153,0.00714179740398469,0.00785597714438316,0.00864157485882147,0.00950573234470362
"48-59",0.000135752260589281,6.9228653236724e-05,3.76396311814171e-05,2.04646742242498e-05,1.11266470461973e-05,6.71352836928956e-06,7.38488120621852e-06,8.12336932684037e-06,8.93570625952441e-06,9.82927688547685e-06,1.08122045740245e-05,1.1893425031427e-05,1.30827675345697e-05,1.43910442880267e-05,1.58301487168293e-05,1.74131635885123e-05,1.91544799473635e-05,2.10699279420998e-05,2.31769207363098e-05,2.54946128099408e-05,2.80440740909349e-05,3.08484815000284e-05,3.39333296500312e-05,3.73266626150344e-05,4.10593288765378e-05,4.51652617641916e-05,4.96817879406107e-05,5.46499667346718e-05,6.0114963408139e-05,6.61264597489529e-05,7.27391057238482e-05,8.00130162962331e-05,8.80143179258564e-05,9.6815749718442e-05,0.000106497324690286,0.000117147057159315,0.000128861762875246,0.000141747939162771,0.000155922733079048,0.000171515006386953,0.000188666507025648,0.000207533157728213,0.000228286473501034,0.000251115120851138,0.000276226632936252,0.000303849296229877,0.000334234225852865,0.000367657648438151,0.000404423413281966,0.000444865754610163,0.000489352330071179,0.000538287563078297,0.000592116319386127,0.00065132795132474,0.000716460746457214,0.000788106821102935,0.000866917503213229,0.000953609253534552,0.00104897017888801,0.00115386719677681,0.00126925391645449,0.00139617930809994,0.00153579723890993,0.00168937696280092,0.00185831465908102,0.00204414612498912,0.00224856073748803,0.00247341681123683,0.00272075849236052,0.00299283434159657,0.00329211777575623,0.00362132955333185,0.00398346250866504,0.00438180875953154,0.00481998963548469,0.00530198859903316,0.00583218745893648,0.00641540620483013,0.00705694682531314,0.00776264150784446,0.0085389056586289,0.0093927962244918,0.010332075846941,0.0113652834316351,0.0125018117747986,0.0137519929522784,0.0151271922475063,0.0166399114722569,0.0183039026194826,0.0201342928814309,0.022147722169574,0.0243624943865314,0.0267987438251845,0.029478618207703,0.0324264800284733,0.0356691280313206,0.0392360408344526,0.0431596449178979,0.0474756094096877,0.0522231703506565,0.0574454873857221
"60-71",0.000461712997666789,0.000234980548495178,0.000127758966362122,6.94625729254891e-05,3.77668133581538e-05,2.05338231965524e-05,1.47148617598882e-05,1.6186347935877e-05,1.78049827294647e-05,1.95854810024112e-05,2.15440291026523e-05,2.36984320129175e-05,2.60682752142093e-05,2.86751027356302e-05,3.15426130091932e-05,3.46968743101125e-05,3.81665617411238e-05,4.19832179152362e-05,4.61815397067598e-05,5.07996936774358e-05,5.58796630451794e-05,6.14676293496973e-05,6.7614392284667e-05,7.43758315131338e-05,8.18134146644471e-05,8.99947561308919e-05,9.8994231743981e-05,0.000108893654918379,0.000119783020410217,0.000131761322451239,0.000144937454696363,0.000159431200165999,0.000175374320182599,0.000192911752200859,0.000212202927420945,0.000233423220163039,0.000256765542179343,0.000282442096397277,0.000310686306037005,0.000341754936640706,0.000375930430304776,0.000413523473335254,0.00045487582066878,0.000500363402735658,0.000550399743009223,0.000605439717310146,0.00066598368904116,0.000732582057945276,0.000805840263739804,0.000886424290113785,0.000975066719125163,0.00107257339103768,0.00117983073014145,0.00129781380315559,0.00142759518347115,0.00157035470181827,0.00172739017200009,0.0019001291892001,0.00209014210812011,0.00229915631893213,0.00252907195082534,0.00278197914590787,0.00306017706049866,0.00336619476654853,0.00370281424320338,0.00407309566752372,0.00448040523427609,0.0049284457577037,0.00542129033347407,0.00596341936682148,0.00655976130350362,0.00721573743385399,0.00793731117723939,0.00873104229496333,0.00960414652445966,0.0105645611769056,0.0116210172945962,0.0127831190240558,0.0140614309264614,0.0154675740191075,0.0170143314210183,0.0187157645631201,0.0205873410194321,0.0226460751213753,0.0249106826335129,0.0274017508968642,0.0301419259865506,0.0331561185852057,0.0364717304437262,0.0401189034880989,0.0441307938369087,0.0485438732205996,0.0533982605426596,0.0587380865969255,0.0646118952566181,0.0710730847822799,0.0781803932605079,0.0859984325865587,0.0945982758452146,0.104058103429736,0.11446391377271
"72-83",0.00089942427455403,0.000459681610910147,0.000249928974298741,0.000135886428152616,7.38814753586944e-05,4.01693714036464e-05,2.18400944368012e-05,1.69328752019232e-05,1.86261627221155e-05,2.0488778994327e-05,2.25376568937597e-05,2.47914225831357e-05,2.72705648414493e-05,2.99976213255942e-05,3.29973834581536e-05,3.6297121803969e-05,3.99268339843659e-05,4.39195173828025e-05,4.83114691210827e-05,5.3142616033191e-05,5.84568776365101e-05,6.43025654001611e-05,7.07328219401772e-05,7.7806104134195e-05,8.55867145476145e-05,9.4145386002376e-05,0.000103559924602614,0.000113915917062875,0.000125307508769162,0.000137838259646079,0.000151622085610687,0.000166784294171755,0.000183462723588931,0.000201808995947824,0.000221989895542606,0.000244188885096867,0.000268607773606554,0.000295468550967209,0.00032501540606393,0.000357516946670323,0.000393268641337355,0.000432595505471091,0.0004758550560182,0.00052344056162002,0.000575784617782022,0.000633363079560224,0.000696699387516247,0.000766369326267871,0.000843006258894659,0.000927306884784125,0.00102003757326254,0.00112204133058879,0.00123424546364767,0.00135767001001244,0.00149343701101368,0.00164278071211505,0.00180705878332655,0.00198776466165921,0.00218654112782513,0.00240519524060764,0.00264571476466841,0.00291028624113525,0.00320131486524878,0.00352144635177365,0.00387359098695102,0.00426095008564612,0.00468704509421073,0.00515574960363181,0.00567132456399499,0.00623845702039449,0.00686230272243394,0.00754853299467733,0.00830338629414507,0.00913372492355958,0.0100470974159155,0.0110518071575071,0.0121569878732578,0.0133726866605836,0.0147099553266419,0.0161809508593061,0.0177990459452367,0.0195789505397604,0.0215368455937365,0.0236905301531101,0.0260595831684211,0.0286655414852632,0.0315320956337896,0.0346853051971685,0.0381538357168854,0.0419692192885739,0.0461661412174313,0.0507827553391745,0.0558610308730919,0.0614471339604011,0.0675918473564412,0.0743510320920854,0.0817861353012939,0.0899647488314233,0.0989612237145656,0.108857346086022,0.119743080694624
"84-95",0.00125611829132613,0.000639491901974953,0.000347691861800823,0.00018904012762191,0.000102781151293612,5.58821303928064e-05,3.03831243173932e-05,1.65193101407781e-05,1.35380546158751e-05,1.48918600774626e-05,1.63810460852089e-05,1.80191506937298e-05,1.98210657631027e-05,2.1803172339413e-05,2.39834895733543e-05,2.63818385306898e-05,2.90200223837587e-05,3.19220246221346e-05,3.51142270843481e-05,3.86256497927829e-05,4.24882147720612e-05,4.67370362492673e-05,5.14107398741941e-05,5.65518138616135e-05,6.22069952477748e-05,6.84276947725523e-05,7.52704642498075e-05,8.27975106747883e-05,9.10772617422671e-05,0.000100184987916494,0.000110203486708143,0.000121223835378958,0.000133346218916853,0.000146680840808539,0.000161348924889393,0.000177483817378332,0.000195232199116165,0.000214755419027782,0.00023623096093056,0.000259854057023616,0.000285839462725977,0.000314423408998575,0.000345865749898433,0.000380452324888276,0.000418497557377104,0.000460347313114814,0.000506382044426295,0.000557020248868925,0.000612722273755818,0.000673994501131399,0.000741393951244539,0.000815533346368994,0.000897086681005893,0.000986795349106482,0.00108547488401713,0.00119402237241884,0.00131342460966073,0.0014447670706268,0.00158924377768948,0.00174816815545843,0.00192298497100427,0.0021152834681047,0.00232681181491517,0.00255949299640669,0.00281544229604736,0.00309698652565209,0.0034066851782173,0.00374735369603903,0.00412208906564294,0.00453429797220723,0.00498772776942795,0.00548650054637075,0.00603515060100782,0.00663866566110861,0.00730253222721947,0.00803278544994141,0.00883606399493556,0.00971967039442912,0.010691637433872,0.0117608011772592,0.0129368812949852,0.0142305694244837,0.015653626366932,0.0172189890036252,0.0189408879039878,0.0208349766943865,0.0229184743638252,0.0252103218002077,0.0277313539802285,0.0305044893782514,0.0335549383160765,0.0369104321476841,0.0406014753624526,0.0446616228986978,0.0491277851885676,0.0540405637074244,0.0594446200781668,0.0653890820859835,0.0719279902945819,0.0791207893240401,0.0870328682564441
"96-107",0.00138948774414478,0.00069942277116804,0.000380276286130097,0.000206756284973965,0.000112413429223432,6.11192016308617e-05,3.32305208888268e-05,1.80674401673657e-05,9.82327045950992e-06,8.31798996734301e-06,9.14978896407731e-06,1.0064767860485e-05,1.10712446465336e-05,1.21783691111869e-05,1.33962060223056e-05,1.47358266245362e-05,1.62094092869898e-05,1.78303502156888e-05,1.96133852372576e-05,2.15747237609834e-05,2.37321961370817e-05,2.61054157507899e-05,2.87159573258689e-05,3.15875530584558e-05,3.47463083643014e-05,3.82209392007315e-05,4.20430331208047e-05,4.62473364328852e-05,5.08720700761737e-05,5.59592770837911e-05,6.15552047921702e-05,6.77107252713872e-05,7.44817977985259e-05,8.19299775783785e-05,9.01229753362164e-05,9.9135272869838e-05,0.000109048800156822,0.000119953680172504,0.000131949048189754,0.00014514395300873,0.000159658348309603,0.000175624183140563,0.00019318660145462,0.000212505261600081,0.00023375578776009,0.000257131366536099,0.000282844503189709,0.000311128953508679,0.000342241848859547,0.000376466033745502,0.000414112637120052,0.000455523900832058,0.000501076290915263,0.00055118392000679,0.000606302312007469,0.000666932543208216,0.000733625797529038,0.000806988377281941,0.000887687215010135,0.000976455936511149,0.00107410153016226,0.00118151168317849,0.00129966285149634,0.00142962913664597,0.00157259205031057,0.00172985125534163,0.00190283638087579,0.00209312001896337,0.00230243202085971,0.00253267522294568,0.00278594274524025,0.00306453701976427,0.0033709907217407,0.00370808979391477,0.00407889877330625,0.00448678865063687,0.00493546751570056,0.00542901426727062,0.00597191569399768,0.00656910726339745,0.00722601798973719,0.00794861978871091,0.00874348176758201,0.00961782994434021,0.0105796129387742,0.0116375742326516,0.0128013316559168,0.0140814648215085,0.0154896113036594,0.0170385724340253,0.0187424296774278,0.0206166726451706,0.0226783399096877,0.0249461739006564,0.0274407912907221,0.0301848704197943,0.0332033574617737,0.0365236932079511,0.0401760625287462,0.0441936687816208,0.0486130356597829
"108-119",0.00132051506537077,0.000646062929237602,0.000351264530502083,0.000190982588235566,0.00010383726747765,5.64563409514889e-05,3.06953227011374e-05,1.66890524580146e-05,9.07384081471294e-06,4.93344887841193e-06,4.28074110039978e-06,4.70881521043976e-06,5.17969673148373e-06,5.69766640463211e-06,6.26743304509532e-06,6.89417634960485e-06,7.58359398456534e-06,8.34195338302187e-06,9.17614872132406e-06,1.00937635934565e-05,1.11031399528021e-05,1.22134539480823e-05,1.34347993428906e-05,1.47782792771796e-05,1.62561072048976e-05,1.78817179253873e-05,1.96698897179261e-05,2.16368786897187e-05,2.38005665586905e-05,2.61806232145596e-05,2.87986855360156e-05,3.16785540896171e-05,3.48464094985788e-05,3.83310504484367e-05,4.21641554932804e-05,4.63805710426084e-05,5.10186281468693e-05,5.61204909615562e-05,6.17325400577119e-05,6.79057940634831e-05,7.46963734698314e-05,8.21660108168145e-05,9.03826118984959e-05,9.94208730883456e-05,0.00010936296039718,0.000120299256436898,0.000132329182080588,0.000145562100288647,0.000160118310317511,0.000176130141349263,0.000193743155484189,0.000213117471032608,0.000234429218135869,0.000257872139949456,0.000283659353944401,0.000312025289338841,0.000343227818272725,0.000377550600099998,0.000415305660109998,0.000456836226120998,0.000502519848733097,0.000552771833606407,0.000608049016967048,0.000668853918663753,0.000735739310530128,0.000809313241583141,0.000890244565741455,0.000979269022315601,0.00107719592454716,0.00118491551700188,0.00130340706870206,0.00143374777557227,0.0015771225531295,0.00173483480844245,0.00190831828928669,0.00209915011821536,0.0023090651300369,0.00253997164304059,0.00279396880734465,0.00307336568807911,0.00338070225688703,0.00371877248257573,0.0040906497308333,0.00449971470391663,0.0049496861743083,0.00544465479173913,0.00598912027091304,0.00658803229800435,0.00724683552780478,0.00797151908058526,0.00876867098864379,0.00964553808750816,0.010610091896259,0.0116711010858849,0.0128382111944734,0.0141220323139207,0.0155342355453128,0.0170876590998441,0.0187964250098285,0.0206760675108113,0.0227436742618924
