"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",8.9712139456837e-08,4.29233255555627e-08,2.33374198031377e-08,1.26885593326844e-08,6.89877198495634e-09,7.58864918345198e-09,8.34751410179717e-09,9.18226551197689e-09,1.01004920631746e-08,1.1110541269492e-08,1.22215953964412e-08,1.34437549360854e-08,1.47881304296939e-08,1.62669434726633e-08,1.78936378199296e-08,1.96830016019226e-08,2.16513017621149e-08,2.38164319383263e-08,2.6198075132159e-08,2.88178826453749e-08,3.16996709099124e-08,3.48696380009036e-08,3.8356601800994e-08,4.21922619810934e-08,4.64114881792027e-08,5.1052636997123e-08,5.61579006968353e-08,6.17736907665188e-08,6.79510598431707e-08,7.47461658274878e-08,8.22207824102366e-08,9.04428606512603e-08,9.94871467163863e-08,1.09435861388025e-07,1.20379447526827e-07,1.3241739227951e-07,1.45659131507461e-07,1.60225044658207e-07,1.76247549124028e-07,1.93872304036431e-07,2.13259534440074e-07,2.34585487884081e-07,2.5804403667249e-07,2.83848440339739e-07,3.12233284373712e-07,3.43456612811084e-07,3.77802274092192e-07,4.15582501501412e-07,4.57140751651553e-07,5.02854826816708e-07,5.53140309498379e-07,6.08454340448217e-07,6.69299774493038e-07,7.36229751942342e-07,8.09852727136577e-07,8.90837999850234e-07,9.79921799835258e-07,1.07791397981878e-06,1.18570537780066e-06,1.30427591558073e-06,1.4347035071388e-06,1.57817385785268e-06,1.73599124363795e-06,1.90959036800175e-06,2.10054940480192e-06,2.31060434528211e-06,2.54166477981032e-06,2.79583125779136e-06,3.07541438357049e-06,3.38295582192754e-06,3.7212514041203e-06,4.09337654453233e-06,4.50271419898556e-06,4.95298561888412e-06,5.44828418077253e-06,5.99311259884978e-06,6.59242385873476e-06,7.25166624460824e-06,7.97683286906906e-06,8.77451615597597e-06,9.65196777157356e-06,1.06171645487309e-05,1.1678881003604e-05,1.28467691039644e-05,1.41314460143609e-05,1.5544590615797e-05,1.70990496773766e-05,1.88089546451143e-05,2.06898501096257e-05,2.27588351205883e-05,2.50347186326471e-05,2.75381904959119e-05,3.02920095455031e-05,3.33212105000534e-05,3.66533315500587e-05,4.03186647050646e-05,4.4350531175571e-05,4.87855842931282e-05,5.3664142722441e-05,5.90305569946851e-05,6.49336126941536e-05
"48-59",1.72669383125379e-06,9.74287976058684e-07,5.29720547328007e-07,2.88009156591071e-07,1.56590630094886e-07,8.96739184953739e-08,9.86413103449113e-08,1.08505441379402e-07,1.19355985517343e-07,1.31291584069077e-07,1.44420742475985e-07,1.58862816723583e-07,1.74749098395942e-07,1.92224008235536e-07,2.11446409059089e-07,2.32591049964998e-07,2.55850154961498e-07,2.81435170457648e-07,3.09578687503413e-07,3.40536556253754e-07,3.7459021187913e-07,4.12049233067042e-07,4.53254156373747e-07,4.98579572011121e-07,5.48437529212234e-07,6.03281282133457e-07,6.63609410346803e-07,7.29970351381483e-07,8.02967386519632e-07,8.83264125171595e-07,9.71590537688754e-07,1.06874959145763e-06,1.17562455060339e-06,1.29318700566373e-06,1.42250570623011e-06,1.56475627685312e-06,1.72123190453843e-06,1.89335509499227e-06,2.0826906044915e-06,2.29095966494065e-06,2.52005563143471e-06,2.77206119457819e-06,3.049267314036e-06,3.3541940454396e-06,3.68961344998357e-06,4.05857479498192e-06,4.46443227448012e-06,4.91087550192813e-06,5.40196305212094e-06,5.94215935733304e-06,6.53637529306634e-06,7.19001282237297e-06,7.90901410461027e-06,8.6999155150713e-06,9.56990706657843e-06,1.05268977732363e-05,1.15795875505599e-05,1.27375463056159e-05,1.40113009361775e-05,1.54124310297952e-05,1.69536741327748e-05,1.86490415460522e-05,2.05139457006575e-05,2.25653402707232e-05,2.48218742977955e-05,2.73040617275751e-05,3.00344679003326e-05,3.30379146903659e-05,3.63417061594024e-05,3.99758767753427e-05,4.3973464452877e-05,4.83708108981647e-05,5.32078919879811e-05,5.85286811867793e-05,6.43815493054572e-05,7.08197042360029e-05,7.79016746596032e-05,8.56918421255635e-05,9.42610263381199e-05,0.000103687128971932,0.000114055841869125,0.000125461426056038,0.000138007568661641,0.000151808325527806,0.000166989158080586,0.000183688073888645,0.000202056881277509,0.00022226256940526,0.000244488826345786,0.000268937708980365,0.000295831479878401,0.000325414627866242,0.000357956090652866,0.000393751699718152,0.000433126869689968,0.000476439556658964,0.000524083512324861,0.000576491863557347,0.000634141049913082,0.00069755515490439,0.000767310670394829
"60-71",6.15509793910143e-06,3.75376572992391e-06,2.04092310062199e-06,1.10965025586104e-06,6.03317043134656e-07,3.28023584561158e-07,2.31405938653076e-07,2.54546532518384e-07,2.80001185770222e-07,3.08001304347244e-07,3.38801434781969e-07,3.72681578260166e-07,4.09949736086182e-07,4.50944709694801e-07,4.96039180664281e-07,5.45643098730709e-07,6.0020740860378e-07,6.60228149464158e-07,7.26250964410574e-07,7.98876060851631e-07,8.78763666936794e-07,9.66640033630474e-07,1.06330403699352e-06,1.16963444069287e-06,1.28659788476216e-06,1.41525767323838e-06,1.55678344056222e-06,1.71246178461844e-06,1.88370796308028e-06,2.07207875938831e-06,2.27928663532714e-06,2.50721529885985e-06,2.75793682874584e-06,3.03373051162042e-06,3.33710356278247e-06,3.67081391906071e-06,4.03789531096678e-06,4.44168484206346e-06,4.88585332626981e-06,5.37443865889679e-06,5.91188252478647e-06,6.50307077726512e-06,7.15337785499163e-06,7.8687156404908e-06,8.65558720453988e-06,9.52114592499387e-06,1.04732605174933e-05,1.15205865692426e-05,1.26726452261668e-05,1.39399097487835e-05,1.53339007236619e-05,1.68672907960281e-05,1.85540198756309e-05,2.0409421863194e-05,2.24503640495134e-05,2.46954004544647e-05,2.71649404999112e-05,2.98814345499023e-05,3.28695780048925e-05,3.61565358053818e-05,3.977218938592e-05,4.37494083245119e-05,4.81243491569632e-05,5.29367840726595e-05,5.82304624799254e-05,6.4053508727918e-05,7.04588596007098e-05,7.75047455607808e-05,8.52552201168588e-05,9.37807421285447e-05,0.000103158816341399,0.000113474697975539,0.000124822167773093,0.000137304384550402,0.000151034823005443,0.000166138305305987,0.000182752135836586,0.000201027349420244,0.000221130084362269,0.000243243092798496,0.000267567402078345,0.00029432414228618,0.000323756556514798,0.000356132212166277,0.000391745433382905,0.000430919976721196,0.000474011974393315,0.000521413171832647,0.000573554489015912,0.000630909937917503,0.000694000931709253,0.000763401024880179,0.000839741127368197,0.000923715240105016,0.00101608676411552,0.00111769544052707,0.00122946498457978,0.00135241148303775,0.00148765263134153,0.00163641789447568,0.00180005968392325
"72-83",9.85023174902529e-06,5.98623417838138e-06,3.25471659645609e-06,1.76958999724782e-06,9.62126398891141e-07,5.23108295640756e-07,2.84414074162762e-07,2.37795422755173e-07,2.6157496503069e-07,2.87732461533759e-07,3.16505707687135e-07,3.48156278455849e-07,3.82971906301434e-07,4.21269096931577e-07,4.63396006624735e-07,5.09735607287208e-07,5.60709168015929e-07,6.16780084817522e-07,6.78458093299274e-07,7.46303902629202e-07,8.20934292892122e-07,9.03027722181334e-07,9.93330494399468e-07,1.09266354383941e-06,1.20192989822336e-06,1.32212288804569e-06,1.45433517685026e-06,1.59976869453529e-06,1.75974556398882e-06,1.9357201203877e-06,2.12929213242647e-06,2.34222134566912e-06,2.57644348023603e-06,2.83408782825963e-06,3.11749661108559e-06,3.42924627219415e-06,3.77217089941357e-06,4.14938798935493e-06,4.56432678829042e-06,5.02075946711946e-06,5.52283541383141e-06,6.07511895521455e-06,6.68263085073601e-06,7.35089393580961e-06,8.08598332939057e-06,8.89458166232962e-06,9.78403982856259e-06,1.07624438114188e-05,1.18386881925607e-05,1.30225570118168e-05,1.43248127129985e-05,1.57572939842983e-05,1.73330233827282e-05,1.9066325721001e-05,2.09729582931011e-05,2.30702541224112e-05,2.53772795346523e-05,2.79150074881176e-05,3.07065082369293e-05,3.37771590606223e-05,3.71548749666845e-05,4.08703624633529e-05,4.49573987096882e-05,4.94531385806571e-05,5.43984524387228e-05,5.98382976825951e-05,6.58221274508546e-05,7.240434019594e-05,7.9644774215534e-05,8.76092516370874e-05,9.63701768007962e-05,0.000106007194480876,0.000116607913928963,0.00012826870532186,0.000141095575854046,0.00015520513343945,0.000170725646783395,0.000187798211461735,0.000206578032607908,0.000227235835868699,0.000249959419455569,0.000274955361401126,0.000302450897541239,0.000332695987295363,0.000365965586024899,0.000402562144627389,0.000442818359090128,0.000487100194999141,0.000535810214499055,0.00058939123594896,0.000648330359543857,0.000713163395498242,0.000784479735048067,0.000862927708552873,0.000949220479408161,0.00104414252734898,0.00114855678008387,0.00126341245809226,0.00138975370390149,0.00152872907429164,0.0016816019817208
"84-95",1.0301132791418e-05,5.63679370265309e-06,3.06472574712819e-06,1.66629193839214e-06,9.05963225764128e-07,4.92572368338368e-07,2.67811685011636e-07,1.45609261174599e-07,1.27397979370957e-07,1.40137777308053e-07,1.54151555038858e-07,1.69566710542744e-07,1.86523381597018e-07,2.0517571975672e-07,2.25693291732392e-07,2.48262620905631e-07,2.73088882996194e-07,3.00397771295814e-07,3.30437548425395e-07,3.63481303267935e-07,3.99829433594728e-07,4.39812376954201e-07,4.83793614649621e-07,5.32172976114583e-07,5.85390273726042e-07,6.43929301098646e-07,7.08322231208511e-07,7.79154454329362e-07,8.57069899762298e-07,9.42776889738528e-07,1.03705457871238e-06,1.14076003658362e-06,1.25483604024198e-06,1.38031964426618e-06,1.5183516086928e-06,1.67018676956208e-06,1.83720544651829e-06,2.02092599117011e-06,2.22301859028713e-06,2.44532044931584e-06,2.68985249424742e-06,2.95883774367216e-06,3.25472151803938e-06,3.58019366984332e-06,3.93821303682765e-06,4.33203434051042e-06,4.76523777456146e-06,5.24176155201761e-06,5.76593770721937e-06,6.3425314779413e-06,6.97678462573544e-06,7.67446308830898e-06,8.44190939713988e-06,9.28610033685387e-06,1.02147103705393e-05,1.12361814075932e-05,1.23597995483525e-05,1.35957795031878e-05,1.49553574535065e-05,1.64508931988572e-05,1.80959825187429e-05,1.99055807706172e-05,2.18961388476789e-05,2.40857527324468e-05,2.64943280056915e-05,2.91437608062606e-05,3.20581368868867e-05,3.52639505755754e-05,3.87903456331329e-05,4.26693801964462e-05,4.69363182160908e-05,5.16299500376999e-05,5.67929450414699e-05,6.24722395456169e-05,6.87194635001786e-05,7.55914098501965e-05,8.31505508352162e-05,9.14656059187378e-05,0.000100612166510612,0.000110673383161673,0.00012174072147784,0.000133914793625624,0.000147306272988186,0.000162036900287005,0.000178240590315706,0.000196064649347276,0.000215671114282004,0.000237238225710204,0.000260962048281225,0.000287058253109347,0.000315764078420282,0.00034734048626231,0.000382074534888541,0.000420281988377395,0.000462310187215135,0.000508541205936648,0.000559395326530313,0.000615334859183345,0.000676868345101679,0.000744555179611847,0.000819010697573032
"96-107",8.92743377538814e-06,4.69378680726589e-06,2.55201272897173e-06,1.38752977846205e-06,7.54400189412328e-07,4.10167518290076e-07,2.23008153260533e-07,1.21249572925718e-07,6.59234145466143e-08,5.69005104519671e-08,6.25905614971638e-08,6.88496176468802e-08,7.57345794115682e-08,8.3308037352725e-08,9.16388410879975e-08,1.00802725196797e-07,1.10882997716477e-07,1.21971297488125e-07,1.34168427236937e-07,1.47585269960631e-07,1.62343796956694e-07,1.78578176652364e-07,1.964359943176e-07,2.1607959374936e-07,2.37687553124296e-07,2.61456308436726e-07,2.87601939280398e-07,3.16362133208438e-07,3.47998346529282e-07,3.8279818118221e-07,4.21077999300431e-07,4.63185799230474e-07,5.09504379153522e-07,5.60454817068874e-07,6.16500298775761e-07,6.78150328653338e-07,7.45965361518671e-07,8.20561897670538e-07,9.02618087437592e-07,9.92879896181352e-07,1.09216788579949e-06,1.20138467437944e-06,1.32152314181738e-06,1.45367545599912e-06,1.59904300159903e-06,1.75894730175893e-06,1.93484203193483e-06,2.12832623512831e-06,2.34115885864114e-06,2.57527474450525e-06,2.83280221895578e-06,3.11608244085136e-06,3.42769068493649e-06,3.77045975343014e-06,4.14750572877316e-06,4.56225630165047e-06,5.01848193181552e-06,5.52033012499707e-06,6.07236313749678e-06,6.67959945124646e-06,7.34755939637111e-06,8.08231533600822e-06,8.89054686960904e-06,9.77960155656995e-06,1.07575617122269e-05,1.18333178834496e-05,1.30166496717946e-05,1.43183146389741e-05,1.57501461028715e-05,1.73251607131586e-05,1.90576767844745e-05,2.09634444629219e-05,2.30597889092141e-05,2.53657678001355e-05,2.79023445801491e-05,3.0692579038164e-05,3.37618369419804e-05,3.71380206361785e-05,4.08518226997963e-05,4.49370049697759e-05,4.94307054667535e-05,5.43737760134289e-05,5.98111536147718e-05,6.5792268976249e-05,7.23714958738739e-05,7.96086454612613e-05,8.75695100073874e-05,9.63264610081262e-05,0.000105959107108939,0.000116555017819833,0.000128210519601816,0.000141031571561998,0.000155134728718197,0.000170648201590017,0.000187713021749019,0.000206484323923921,0.000227132756316313,0.000249846031947944,0.000274830635142739,0.000302313698657012,0.000332545068522714
"108-119",6.21116767199572e-06,3.58530136767536e-06,1.94932899665227e-06,1.0598505251047e-06,5.76240920590528e-07,3.13302291877636e-07,1.7034251228668e-07,9.26152544823079e-08,5.03549304731805e-08,2.73779847297533e-08,2.49190655374694e-08,2.74109720912163e-08,3.0152069300338e-08,3.31672762303718e-08,3.64840038534089e-08,4.01324042387498e-08,4.41456446626248e-08,4.85602091288873e-08,5.3416230041776e-08,5.87578530459537e-08,6.4633638350549e-08,7.10970021856039e-08,7.82067024041643e-08,8.60273726445808e-08,9.46301099090388e-08,1.04093120899943e-07,1.14502432989937e-07,1.25952676288931e-07,1.38547943917824e-07,1.52402738309606e-07,1.67643012140567e-07,1.84407313354624e-07,2.02848044690086e-07,2.23132849159095e-07,2.45446134075004e-07,2.69990747482504e-07,2.96989822230755e-07,3.2668880445383e-07,3.59357684899213e-07,3.95293453389135e-07,4.34822798728048e-07,4.78305078600853e-07,5.26135586460939e-07,5.78749145107033e-07,6.36624059617736e-07,7.0028646557951e-07,7.70315112137461e-07,8.47346623351207e-07,9.32081285686327e-07,1.02528941425496e-06,1.12781835568046e-06,1.2406001912485e-06,1.36466021037335e-06,1.50112623141069e-06,1.65123885455176e-06,1.81636274000693e-06,1.99799901400763e-06,2.19779891540839e-06,2.41757880694923e-06,2.65933668764415e-06,2.92527035640857e-06,3.21779739204942e-06,3.53957713125436e-06,3.8935348443798e-06,4.28288832881778e-06,4.71117716169956e-06,5.18229487786952e-06,5.70052436565647e-06,6.27057680222212e-06,6.89763448244433e-06,7.58739793068876e-06,8.34613772375764e-06,9.18075149613341e-06,1.00988266457467e-05,1.11087093103214e-05,1.22195802413536e-05,1.34415382654889e-05,1.47856920920378e-05,1.62642613012416e-05,1.78906874313658e-05,1.96797561745023e-05,2.16477317919526e-05,2.38125049711478e-05,2.61937554682626e-05,2.88131310150889e-05,3.16944441165978e-05,3.48638885282576e-05,3.83502773810833e-05,4.21853051191916e-05,4.64038356311108e-05,5.10442191942219e-05,5.61486411136441e-05,6.17635052250085e-05,6.79398557475094e-05,7.47338413222603e-05,8.22072254544863e-05,9.0427947999935e-05,9.94707427999285e-05,0.000109417817079921,0.000120359598787913,0.000132395558666705
