"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0.036305189276739,0.023564668709703,0.0240827168612474,0.0264909885473721,0.0291400874021093,0.0320540961423203,0.0352595057565523,0.0387854563322075,0.0426640019654283,0.0469304021619711,0.0516234423781682,0.0567857866159851,0.0624643652775836,0.0687108018053419,0.0755818819858761,0.0831400701844637,0.0914540772029101,0.100599484923201,0.110659433415521,0.121725376757073,0.133897914432781,0.147287705876059,0.162016476463665,0.178218124110031,0.196039936521034,0.215643930173138,0.237208323190452,0.260929155509497,0.287022071060447,0.315724278166491,0.34729670598314,0.382026376581454,0.4202290142396,0.46225191566356,0.508477107229916,0.559324817952908,0.615257299748198,0.676783029723018,0.74446133269532,0.818907465964852,0.900798212561338,0.990878033817472,1.08996583719922,1.19896242091914,1.31885866301106,1.45074452931216,1.59581898224338,1.75540088046771,1.93094096851449,2.12403506536593,2.33643857190253,2.57008242909278,2.82709067200206,3.10979973920227,3.42077971312249,3.76285768443474,4.13914345287822,4.55305779816604,5.00836357798264,5.50919993578091,6.060119929359,6.6661319222949,7.33274511452439,8.06601962597683,8.87262158857451,9.75988374743197,10.7358721221752,11.8094593343927,12.990405267832,14.2894457946151,15.7183903740767,17.2902294114843,19.0192523526328,20.921177587896,23.0132953466856,25.3146248813542,27.8460873694896,30.6306961064386,33.6937657170825,37.0631422887907,40.7694565176698,44.8464021694368,49.3310423863805,54.2641466250185,59.6905612875204,65.6596174162724,72.2255791578996,79.4481370736896,87.3929507810586,96.1322458591645,105.745470445081,116.320017489589,127.952019238548,140.747221162403,154.821943278643,170.304137606507,187.334551367158,206.068006503874,226.674807154261,249.342287869687,274.276516656656
"24-29",0.0253713316310669,0.0137943975583248,0.00750001642657635,0.00753074629002769,0.00828382091903046,0.0091122030109335,0.0100234233120269,0.0110257656432295,0.0121283422075525,0.0133411764283077,0.0146752940711385,0.0161428234782524,0.0177571058260776,0.0195328164086854,0.0214860980495539,0.0236347078545093,0.0259981786399602,0.0285979965039563,0.0314577961543519,0.0346035757697871,0.0380639333467658,0.0418703266814424,0.0460573593495866,0.0506630952845453,0.0557294048129998,0.0613023452942998,0.0674325798237298,0.0741758378061028,0.0815934215867131,0.0897527637453844,0.0987280401199228,0.108600844131915,0.119460928545107,0.131407021399617,0.144547723539579,0.159002495893537,0.174902745482891,0.19239302003118,0.211632322034298,0.232795554237728,0.2560751096615,0.28168262062765,0.309850882690415,0.340835970959457,0.374919568055403,0.412411524860943,0.453652677347038,0.499017945081741,0.548919739589915,0.603811713548907,0.664192884903798,0.730612173394177,0.803673390733596,0.884040729806955,0.972444802787651,1.06968928306642,1.17665821137306,1.29432403251036,1.4237564357614,1.56613207933754,1.72274528727129,1.89501981599842,2.08452179759827,2.29297397735809,2.5222713750939,2.77449851260329,3.05194836386362,3.35714320024999,3.69285752027498,4.06214327230248,4.46835759953273,4.915193359486,5.4067126954346,5.94738396497806,6.54212236147587,7.19633459762346,7.91596805738581,8.70756486312439,9.57832134943683,10.5361534843805,11.5897688328186,12.7487457161004,14.0236202877105,15.4259823164815,16.9685805481297,18.6654386029426,20.5319824632369,22.5851807095606,24.8436987805167,27.3280686585683,30.0608755244252,33.0669630768677,36.3736593845544,40.0110253230099,44.0121278553109,48.413340640842,53.2546747049262,58.5801421754188,64.4381563929607,70.8819720322567,77.9701692354824
"30-35",0.0249106168390596,0.0135439068432782,0.00736382457987837,0.00709322654697739,0.00780254920167513,0.00858280412184264,0.00944108453402691,0.0103851929874296,0.0114237122861726,0.0125660835147898,0.0138226918662688,0.0152049610528957,0.0167254571581853,0.0183980028740038,0.0202378031614042,0.0222615834775446,0.024487741825299,0.0269365160078289,0.0296301676086118,0.032593184369473,0.0358525028064203,0.0394377530870624,0.0433815283957686,0.0477196812353455,0.05249164935888,0.057740814294768,0.0635148957242448,0.0698663852966693,0.0768530238263362,0.0845383262089699,0.0929921588298669,0.102291374712854,0.112520512184139,0.123772563402553,0.136149819742808,0.149764801717089,0.164741281888798,0.181215410077678,0.199336951085445,0.21927064619399,0.241197710813389,0.265317481894728,0.291849230084201,0.321034153092621,0.353137568401883,0.388451325242071,0.427296457766279,0.470026103542906,0.517028713897197,0.568731585286917,0.625604743815609,0.688165218197169,0.756981740016887,0.832679914018575,0.915947905420433,1.00754269596248,1.10829696555872,1.2191266621146,1.34103932832606,1.47514326115866,1.62265758727453,1.78492334600198,1.96341568060218,2.1597572486624,2.37573297352864,2.6133062708815,2.87463689796965,3.16210058776662,3.47831064654328,3.82614171119761,4.20875588231737,4.62963147054911,5.09259461760402,5.60185407936442,6.16203948730086,6.77824343603095,7.45606777963404,8.20167455759745,9.02184201335719,9.92402621469291,10.9164288361622,12.0080717197784,13.2088788917563,14.5297667809319,15.9827434590251,17.5810178049276,19.3391195854204,21.2730315439624,23.4003346983586,25.7403681681945,28.314404985014,31.1458454835154,34.2604300318669,37.6864730350536,41.455120338559,45.6006323724149,50.1606956096564,55.176765170622,60.6944416876842,66.7638858564526,73.4402744420979
"36-47",0.0232802590897941,0.0126574810425873,0.00688187471305648,0.00374167651579791,0.00305112750067083,0.00335624025073791,0.0036918642758117,0.00406105070339287,0.00446715577373216,0.00491387135110538,0.00540525848621592,0.00594578433483751,0.00654036276832126,0.00719439904515339,0.00791383894966873,0.0087052228446356,0.00957574512909916,0.0105333196420091,0.01158665160621,0.012745316766831,0.0140198484435141,0.0154218332878655,0.016964016616652,0.0186604182783173,0.020526460106149,0.0225791061167639,0.0248370167284403,0.0273207184012843,0.0300527902414127,0.033058069265554,0.0363638761921094,0.0400002638113204,0.0440002901924524,0.0484003192116976,0.0532403511328674,0.0585643862461541,0.0644208248707696,0.0708629073578465,0.0779491980936312,0.0857441179029943,0.0943185296932938,0.103750382662623,0.114125420928885,0.125537963021774,0.138091759323951,0.151900935256347,0.167091028781981,0.183800131660179,0.202180144826197,0.222398159308817,0.244637975239699,0.269101772763669,0.296011950040036,0.325613145044039,0.358174459548443,0.393991905503287,0.433391096053616,0.476730205658978,0.524403226224876,0.576843548847363,0.6345279037321,0.69798069410531,0.767778763515841,0.844556639867425,0.929012303854168,1.02191353423958,1.12410488766354,1.2365153764299,1.36016691407289,1.49618360548018,1.64580196602819,1.81038216263101,1.99142037889412,2.19056241678353,2.40961865846188,2.65058052430807,2.91563857673887,3.20720243441276,3.52792267785404,3.88071494563944,4.26878644020339,4.69566508422373,5.1652315926461,5.68175475191071,6.24993022710178,6.87492324981196,7.56241557479316,8.31865713227247,9.15052284549972,10.0655751300497,11.0721326430547,12.1793459073601,13.3972804980961,14.7370085479058,16.2107094026963,17.831780342966,19.6149583772626,21.5764542149888,23.7340996364877,26.1075096001365,28.7182605601501
"48-59",0.0339072776673978,0.0184353929492555,0.0100233264530181,0.00544968439025492,0.00296299438041803,0.0022951193364825,0.00252463127013074,0.00277709439714382,0.0030548038368582,0.00336028422054402,0.00369631264259843,0.00406594390685827,0.0044725382975441,0.00491979212729851,0.00541177134002836,0.00595294847403119,0.00654824332143431,0.00720306765357774,0.00792337441893552,0.00871571186082907,0.00958728304691198,0.0105460113516032,0.0116006124867635,0.0127606737354398,0.0140367411089838,0.0154404152198822,0.0169844567418704,0.0186829024160575,0.0205511926576632,0.0226063119234296,0.0248669431157725,0.0273536374273498,0.0300890011700848,0.0330979012870932,0.0364076914158026,0.0400484605573828,0.0440533066131211,0.0484586372744332,0.0533045010018765,0.0586349511020642,0.0644984462122706,0.0709482908334977,0.0780431199168475,0.0858474319085322,0.0944321750993855,0.103875392609324,0.114262931870256,0.125689225057282,0.13825814756301,0.152083962319311,0.167292358551242,0.184021594406367,0.202423753847003,0.222666129231704,0.244932742154874,0.269426016370362,0.296368618007398,0.326005479808138,0.358606027788951,0.394466630567847,0.433913293624631,0.477304622987094,0.525035085285804,0.577538593814384,0.635292453195823,0.698821698515405,0.768703868366946,0.84557425520364,0.930131680724005,1.0231448487964,1.12545933367605,1.23800526704365,1.36180579374802,1.49798637312282,1.6477850104351,1.81256351147861,1.99381986262647,2.19320184888912,2.41252203377803,2.65377423715583,2.91915166087142,3.21106682695856,3.53217350965441,3.88539086061986,4.27392994668184,4.70132294135002,5.17145523548503,5.68860075903353,6.25746083493689,6.88320691843057,7.57152761027363,8.328680371301,9.1615484084311,10.0777032492742,11.0854735742016,12.1940209316218,13.413423024784,14.7547653272624,16.2302418599886,17.8532660459875,19.6385926505862
"60-71",0.0521720707707827,0.0283659642354756,0.0154225798424487,0.00838525942647961,0.00455906705412791,0.00247876557502775,0.00196724018893597,0.00216396420782957,0.00238036062861252,0.00261839669147378,0.00288023636062115,0.00316825999668327,0.0034850859963516,0.00383359459598676,0.00421695405558543,0.00463864946114398,0.00510251440725837,0.00561276584798421,0.00617404243278263,0.0067914466760609,0.00747059134366699,0.00821765047803369,0.00903941552583706,0.00994335707842076,0.0109376927862628,0.0120314620648891,0.013234608271378,0.0145580690985158,0.0160138760083674,0.0176152636092042,0.0193767899701246,0.0213144689671371,0.0234459158638508,0.0257905074502358,0.0283695581952594,0.0312065140147854,0.0343271654162639,0.0377598819578903,0.0415358701536793,0.0456894571690473,0.050258402885952,0.0552842431745472,0.060812667492002,0.0668939342412022,0.0735833276653224,0.0809416604318546,0.0890358264750401,0.0979394091225441,0.107733350034799,0.118506685038278,0.130357353542106,0.143393088896317,0.157732397785949,0.173505637564543,0.190856201320998,0.209941821453098,0.230936003598407,0.254029603958248,0.279432564354073,0.30737582078948,0.338113402868428,0.371924743155271,0.409117217470798,0.450028939217878,0.495031833139666,0.544535016453633,0.598988518098996,0.658887369908896,0.724776106899785,0.797253717589764,0.87697908934874,0.964676998283615,1.06114469811198,1.16725916792317,1.28398508471549,1.41238359318704,1.55362195250574,1.70898414775632,1.87988256253195,2.06787081878515,2.27465790066366,2.50212369073003,2.75233605980303,3.02756966578333,3.33032663236167,3.66335929559783,4.02969522515762,4.43266474767338,4.87593122244072,5.36352434468479,5.89987677915327,6.4898644570686,7.13885090277546,7.85273599305301,8.63800959235831,9.50181055159414,10.4519916067536,11.4971907674289,12.6469098441718,13.911600828589,15.3027609114479
"72-83",0.0688334556068294,0.0374247621591622,0.0203478498983116,0.0110631296392315,0.00601502556909462,0.0032703704807508,0.00177810101694648,0.00145471117413466,0.00160018229154813,0.00176020052070294,0.00193622057277324,0.00212984263005056,0.00234282689305562,0.00257710958236118,0.0028348205405973,0.00311830259465703,0.00343013285412273,0.003773146139535,0.0041504607534885,0.00456550682883735,0.00502205751172109,0.0055242632628932,0.00607668958918252,0.00668435854810077,0.00735279440291085,0.00808807384320194,0.00889688122752213,0.00978656935027434,0.0107652262853018,0.011841748913832,0.0130259238052152,0.0143285161857367,0.0157613678043103,0.0173375045847414,0.0190712550432155,0.0209783805475371,0.0230762186022908,0.0253838404625199,0.0279222245087718,0.030714446959649,0.0337858916556139,0.0371644808211753,0.0408809289032929,0.0449690217936222,0.0494659239729844,0.0544125163702828,0.0598537680073111,0.0658391448080422,0.0724230592888464,0.0796653652177311,0.0876319017395042,0.0963950919134546,0.1060346011048,0.11663806121528,0.128301867336808,0.141132054070489,0.155245259477538,0.170769785425292,0.187846763967821,0.206631440364603,0.227294584401063,0.25002404284117,0.275026447125287,0.302529091837815,0.332782001021597,0.366060201123757,0.402666221236132,0.442932843359746,0.48722612769572,0.535948740465292,0.589543614511822,0.648497975963004,0.713347773559304,0.784682550915235,0.863150806006758,0.949465886607434,1.04441247526818,1.148853722795,1.26373909507449,1.39011300458194,1.52912430504014,1.68203673554415,1.85024040909857,2.03526445000843,2.23879089500927,2.4626699845102,2.70893698296122,2.97983068125734,3.27781374938307,3.60559512432138,3.96615463675352,4.36277010042887,4.79904711047176,5.27895182151893,5.80684700367083,6.38753170403791,7.0262848744417,7.72891336188587,8.50180469807446,9.35198516788191,10.2871836846701
"84-95",0.0794072294430275,0.0431737248903784,0.0234735619663878,0.0127625798512614,0.00693901695418273,0.00377274476254708,0.00205124200406322,0.0011152606455128,0.000928415822188918,0.00102125740440781,0.00112338314484859,0.00123572145933345,0.00135929360526679,0.00149522296579347,0.00164474526237282,0.0018092197886101,0.00199014176747111,0.00218915594421823,0.00240807153864005,0.00264887869250405,0.00291376656175446,0.00320514321792991,0.0035256575397229,0.00387822329369519,0.00426604562306471,0.00469265018537118,0.0051619152039083,0.00567810672429912,0.00624591739672904,0.00687050913640194,0.00755756005004214,0.00831331605504635,0.00914464766055099,0.0100591124266061,0.0110650236692667,0.0121715260361934,0.0133886786398127,0.014727546503794,0.0162003011541734,0.0178203312695907,0.0196023643965498,0.0215626008362048,0.0237188609198252,0.0260907470118078,0.0286998217129886,0.0315698038842874,0.0347267842727162,0.0381994626999878,0.0420194089699866,0.0462213498669852,0.0508434848536837,0.0559278333390521,0.0615206166729573,0.0676726783402531,0.0744399461742784,0.0818839407917062,0.0900723348708768,0.0990795683579646,0.108987525193761,0.119886277713137,0.131874905484451,0.145062396032896,0.159568635636186,0.175525499199804,0.193078049119785,0.212385854031763,0.233624439434939,0.256986883378433,0.282685571716277,0.310954128887904,0.342049541776695,0.376254495954364,0.413879945549801,0.455267940104781,0.500794734115259,0.550874207526785,0.605961628279464,0.66655779110741,0.733213570218151,0.806534927239966,0.887188419963963,0.975907261960359,1.0734979881564,1.18084778697203,1.29893256566924,1.42882582223616,1.57170840445978,1.72887924490576,1.90176716939633,2.09194388633597,2.30113827496956,2.53125210246652,2.78437731271317,3.06281504398449,3.36909654838294,3.70600620322123,4.07660682354336,4.48426750589769,4.93269425648746,5.42596368213621,5.96856005034983
"96-107",0.0825973375756806,0.0449081872542686,0.024416589464722,0.0132753040712439,0.00721778520454762,0.00392431111026938,0.00213364865450424,0.00116006515613775,0.000630727633457346,0.000534646361173502,0.000588110997290852,0.000646922097019937,0.000711614306721931,0.000782775737394124,0.000861053311133537,0.000947158642246891,0.00104187450647158,0.00114606195711874,0.00126066815283061,0.00138673496811367,0.00152540846492504,0.00167794931141754,0.0018457442425593,0.00203031866681523,0.00223335053349675,0.00245668558684643,0.00270235414553107,0.00297258956008418,0.0032698485160926,0.00359683336770186,0.00395651670447204,0.00435216837491925,0.00478738521241117,0.00526612373365229,0.00579273610701752,0.00637200971771927,0.0070092106894912,0.00771013175844032,0.00848114493428435,0.00932925942771279,0.0102621853704841,0.0112884039075325,0.0124172442982857,0.0136589687281143,0.0150248656009257,0.0165273521610183,0.0181800873771201,0.0199980961148321,0.0219979057263154,0.0241976962989469,0.0266174659288416,0.0292792125217258,0.0322071337738983,0.0354278471512882,0.038970631866417,0.0428676950530587,0.0471544645583646,0.051869911014201,0.0570569021156211,0.0627625923271833,0.0690388515599016,0.0759427367158918,0.0835370103874809,0.091890711426229,0.101079782568852,0.111187760825737,0.122306536908311,0.134537190599142,0.147990909659056,0.162790000624962,0.179069000687458,0.196975900756204,0.216673490831824,0.238340839915007,0.262174923906507,0.288392416297158,0.317231657926874,0.348954823719561,0.383850306091517,0.422235336700669,0.464458870370736,0.51090475740781,0.561995233148591,0.61819475646345,0.680014232109795,0.748015655320775,0.822817220852852,0.905098942938138,0.995608837231952,1.09516972095515,1.20468669305066,1.32515536235573,1.4576708985913,1.60343798845043,1.76378178729547,1.94015996602502,2.13417596262752,2.34759355889028,2.5823529147793,2.84058820625724,3.12464702688296
"108-119",0.0760609569789807,0.0413543559515003,0.0224843707480041,0.0122247564084083,0.00664660225184136,0.0036137588364376,0.00196480132752233,0.00106826283417382,0.00058081469454021,0.000315789053594414,0.000273959747972008,0.000301355722769208,0.000331491295046129,0.000364640424550742,0.000401104467005816,0.000441214913706398,0.000485336405077038,0.000533870045584742,0.000587257050143216,0.000645982755157538,0.000710581030673291,0.000781639133740621,0.000859803047114683,0.000945783351826151,0.00104036168700877,0.00114439785570964,0.00125883764128061,0.00138472140540867,0.00152319354594954,0.00167551290054449,0.00184306419059894,0.00202737060965883,0.00223010767062472,0.00245311843768719,0.00269843028145591,0.0029682733096015,0.00326510064056165,0.00359161070461781,0.00395077177507959,0.00434584895258755,0.00478043384784631,0.00525847723263094,0.00578432495589403,0.00636275745148344,0.00699903319663178,0.00769893651629496,0.00846883016792446,0.0093157131847169,0.0102472845031886,0.0112720129535075,0.0123992142488582,0.013639135673744,0.0150030492411184,0.0165033541652303,0.0181536895817533,0.0199690585399286,0.0219659643939215,0.0241625608333137,0.026578816916645,0.0292366986083095,0.0321603684691405,0.0353764053160545,0.03891404584766,0.042805450432426,0.0470859954756686,0.0517945950232354,0.056974054525559,0.0626714599781149,0.0689386059759264,0.0758324665735191,0.083415713230871,0.0917572845539581,0.100933013009354,0.111026314310289,0.122128945741318,0.13434184031545,0.147776024346995,0.162553626781695,0.178808989459864,0.19668988840585,0.216358877246436,0.237994764971079,0.261794241468187,0.287973665615006,0.316771032176506,0.348448135394157,0.383292948933573,0.42162224382693,0.463784468209623,0.510162915030585,0.561179206533644,0.617297127187008,0.679026839905709,0.74692952389628,0.821622476285908,0.903784723914499,0.99416319630595,1.09357951593654,1.2029374675302,1.32323121428322,1.45555433571154
