"","Current","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36-47",1.81377078160368e-06,1.02518409115392e-06,5.57392774233835e-07,3.03054551322964e-07,1.83019702435596e-07,2.01321672679156e-07,2.21453839947072e-07,2.43599223941779e-07,2.67959146335957e-07,2.94755060969553e-07,3.24230567066508e-07,3.56653623773159e-07,3.92318986150475e-07,4.31550884765522e-07,4.74705973242075e-07,5.22176570566282e-07,5.7439422762291e-07,6.31833650385201e-07,6.95017015423722e-07,7.64518716966094e-07,8.40970588662703e-07,9.25067647528974e-07,1.01757441228187e-06,1.11933185351006e-06,1.23126503886106e-06,1.35439154274717e-06,1.48983069702189e-06,1.63881376672408e-06,1.80269514339648e-06,1.98296465773613e-06,2.18126112350975e-06,2.39938723586072e-06,2.63932595944679e-06,2.90325855539147e-06,3.19358441093062e-06,3.51294285202368e-06,3.86423713722605e-06,4.25066085094866e-06,4.67572693604352e-06,5.14329962964788e-06,5.65762959261267e-06,6.22339255187393e-06,6.84573180706132e-06,7.53030498776746e-06,8.28333548654421e-06,9.11166903519862e-06,1.00228359387185e-05,1.10251195325903e-05,1.21276314858494e-05,1.33403946344343e-05,1.46744340978777e-05,1.61418775076655e-05,1.77560652584321e-05,1.95316717842753e-05,2.14848389627028e-05,2.36333228589731e-05,2.59966551448704e-05,2.85963206593575e-05,3.14559527252932e-05,3.46015479978225e-05,3.80617027976048e-05,4.18678730773653e-05,4.60546603851018e-05,5.0660126423612e-05,5.57261390659732e-05,6.12987529725705e-05,6.74286282698276e-05,7.41714910968103e-05,8.15886402064914e-05,8.97475042271405e-05,9.87222546498545e-05,0.00010859448011484,0.000119453928126324,0.000131399320938956,0.000144539253032852,0.000158993178336137,0.000174892496169751,0.000192381745786726,0.000211619920365399,0.000232781912401939,0.000256060103642132,0.000281666114006346,0.000309832725406981,0.000340815997947679,0.000374897597742446,0.000412387357516691,0.00045362609326836,0.000498988702595196,0.000548887572854716,0.000603776330140188,0.000664153963154207,0.000730569359469627,0.00080362629541659,0.000883988924958249,0.000972387817454074,0.00106962659919948,0.00117658925911943,0.00129424818503137,0.00142367300353451,0.00156604030388796,0.00172264433427676
"48-59",3.25738630963278e-06,2.79402635197398e-06,1.5191126286951e-06,8.25941808684279e-07,4.49064709519691e-07,3.95648595761549e-07,4.35213455337703e-07,4.78734800871473e-07,5.26608280958621e-07,5.79269109054483e-07,6.37196019959931e-07,7.00915621955925e-07,7.71007184151517e-07,8.48107902566669e-07,9.32918692823336e-07,1.02621056210567e-06,1.12883161831624e-06,1.24171478014786e-06,1.36588625816265e-06,1.50247488397891e-06,1.6527223723768e-06,1.81799460961448e-06,1.99979407057593e-06,2.19977347763352e-06,2.41975082539688e-06,2.66172590793656e-06,2.92789849873022e-06,3.22068834860325e-06,3.54275718346357e-06,3.89703290180993e-06,4.28673619199092e-06,4.71540981119001e-06,5.18695079230901e-06,5.70564587153992e-06,6.27621045869391e-06,6.9038315045633e-06,7.59421465501963e-06,8.35363612052159e-06,9.18899973257376e-06,1.01078997058311e-05,1.11186896764142e-05,1.22305586440557e-05,1.34536145084612e-05,1.47989759593074e-05,1.62788735552381e-05,1.79067609107619e-05,1.96974370018381e-05,2.16671807020219e-05,2.38338987722241e-05,2.62172886494465e-05,2.88390175143912e-05,3.17229192658303e-05,3.48952111924134e-05,3.83847323116547e-05,4.22232055428201e-05,4.64455260971022e-05,5.10900787068124e-05,5.61990865774936e-05,6.1818995235243e-05,6.80008947587673e-05,7.4800984234644e-05,8.22810826581083e-05,9.05091909239193e-05,9.95601100163112e-05,0.000109516121017942,0.000120467733119736,0.00013251450643171,0.000145765957074881,0.00016034255278237,0.000176376808060606,0.000194014488866667,0.000213415937753334,0.000234757531528667,0.000258233284681534,0.000284056613149687,0.000312462274464656,0.000343708501911122,0.000378079352102234,0.000415887287312458,0.000457476016043703,0.000503223617648073,0.000553545979412881,0.000608900577354169,0.000669790635089586,0.000736769698598545,0.000810446668458399,0.00089149133530424,0.000980640468834663,0.00107870451571813,0.00118657496728994,0.00130523246401894,0.00143575571042083,0.00157933128146291,0.00173726440960921,0.00191099085057013,0.00210208993562714,0.00231229892918985,0.00254352882210884,0.00279788170431972,0.00307766987475169,0.00338543686222687
"60-71",1.28829228980147e-06,5.13480285435705e-06,2.79179323287429e-06,1.51789848144007e-06,8.25281676603955e-07,4.4870579558922e-07,3.2209278112095e-07,3.54302059233043e-07,3.89732265156349e-07,4.28705491671985e-07,4.71576040839181e-07,5.18733644923101e-07,5.7060700941541e-07,6.27667710356951e-07,6.90434481392643e-07,7.59477929531912e-07,8.35425722485105e-07,9.18968294733613e-07,1.01086512420697e-06,1.11195163662767e-06,1.22314680029044e-06,1.34546148031948e-06,1.48000762835143e-06,1.62800839118657e-06,1.79080923030524e-06,1.96989015333575e-06,2.16687916866933e-06,2.38356708553627e-06,2.62192379408989e-06,2.88411617349888e-06,3.17252779084878e-06,3.48978056993365e-06,3.838758626927e-06,4.22263448961971e-06,4.64489793858169e-06,5.10938773243986e-06,5.62032650568385e-06,6.18235915625224e-06,6.80059507187746e-06,7.48065457906518e-06,8.22872003697171e-06,9.05159204066891e-06,9.95675124473578e-06,1.09524263692094e-05,1.20476690061303e-05,1.32524359067433e-05,1.45776794974177e-05,1.60354474471594e-05,1.76389921918754e-05,1.94028914110629e-05,2.13431805521692e-05,2.34774986073862e-05,2.58252484681249e-05,2.84077733149372e-05,3.12485506464309e-05,3.43734057110741e-05,3.78107462821814e-05,4.15918209103998e-05,4.57510030014394e-05,5.03261033015835e-05,5.53587136317417e-05,6.08945849949161e-05,6.69840434944077e-05,7.36824478438485e-05,8.10506926282332e-05,8.91557618910566e-05,9.80713380801621e-05,0.000107878471888179,0.000118666319076997,0.000130532950984696,0.000143586246083166,0.000157944870691482,0.00017373935776063,0.000191113293536694,0.000210224622890362,0.0002312470851794,0.000254371793697339,0.000279808973067073,0.00030778987037378,0.000338568857411158,0.000372425743152274,0.000409668317467503,0.000450635149214251,0.000495698664135677,0.000545268530549245,0.000599795383604169,0.000659774921964586,0.000725752414161044,0.000798327655577151,0.000878160421134864,0.00096597646324835,0.00106257410957319,0.0011688315205305,0.00128571467258356,0.00141428613984192,0.0015557147538261,0.00171128622920871,0.00188241485212958,0.00207065633734254,0.0022777219710768,0.00250549416818448
"72-83",3.44450786480356e-06,1.29950048184879e-05,7.06538645055072e-06,3.84145188038755e-06,2.08859807635615e-06,1.13557114871852e-06,6.1741023723035e-07,4.86921293327674e-07,5.35613422660441e-07,5.89174764926484e-07,6.48092241419135e-07,7.12901465561047e-07,7.84191612117152e-07,8.62610773328872e-07,9.48871850661756e-07,1.04375903572793e-06,1.14813493930072e-06,1.26294843323079e-06,1.38924327655387e-06,1.52816760420927e-06,1.68098436463019e-06,1.84908280109321e-06,2.03399108120253e-06,2.23739018932279e-06,2.46112920825506e-06,2.70724212908057e-06,2.97796634198863e-06,3.27576297618749e-06,3.60333927380624e-06,3.96367320118687e-06,4.36004052130554e-06,4.79604457343611e-06,5.27564903077972e-06,5.80321393385769e-06,6.38353532724345e-06,7.02188885996783e-06,7.72407774596458e-06,8.49648552056103e-06,9.34613407261716e-06,1.02807474798788e-05,1.13088222278668e-05,1.24397044506535e-05,1.36836748957188e-05,1.50520423852906e-05,1.65572466238197e-05,1.82129712862017e-05,2.00342684148218e-05,2.2037695256304e-05,2.42414647819344e-05,2.66656112601278e-05,2.93321723861407e-05,3.22653896247549e-05,3.54919285872303e-05,3.90411214459532e-05,4.29452335905486e-05,4.72397569496034e-05,5.19637326445639e-05,5.71601059090202e-05,6.28761164999221e-05,6.91637281499146e-05,7.60801009649058e-05,8.36881110613966e-05,9.20569221675364e-05,0.00010126261438429,0.000111388875822719,0.00012252776340499,0.00013478053974549,0.000148258593720038,0.000163084453092043,0.000179392898401247,0.000197332188241371,0.000217065407065509,0.00023877194777206,0.000262649142549265,0.000288914056804192,0.000317805462484611,0.000349586008733071,0.00038454460960638,0.000422999070567018,0.000465298977623721,0.000511828875386092,0.000563011762924702,0.000619312939217171,0.000681244233138889,0.000749368656452778,0.000824305522098055,0.00090673607430786,0.000997409681738646,0.00109715064991251,0.00120686571490376,0.00132755228639414,0.00146030751503355,0.00160633826653691,0.0017669720931906,0.00194366930250966,0.00213803623276063,0.00235183985603668,0.00258702384164035,0.00284572622580439,0.00313029884838483,0.00344332873322332
"84-95",6.48948527045559e-06,2.57564686065828e-05,1.40037966009897e-05,7.61386672363029e-06,4.13966070323442e-06,2.2507342668237e-06,1.22372462455591e-06,6.65339297854037e-07,5.28373245329363e-07,5.81210569862298e-07,6.39331626848531e-07,7.03264789533383e-07,7.73591268486721e-07,8.50950395335393e-07,9.36045434868932e-07,1.02964997835583e-06,1.13261497619141e-06,1.24587647381055e-06,1.37046412119161e-06,1.50751053331076e-06,1.65826158664184e-06,1.82408774530602e-06,2.00649651983663e-06,2.20714617182029e-06,2.42786078900232e-06,2.67064686790255e-06,2.93771155469281e-06,3.23148271016208e-06,3.5546309811783e-06,3.91009407929614e-06,4.30110348722575e-06,4.7312138359483e-06,5.20433521954315e-06,5.72476874149746e-06,6.29724561564722e-06,6.92697017721195e-06,7.61966719493313e-06,8.38163391442643e-06,9.21979730586908e-06,1.0141777036456e-05,1.11559547401016e-05,1.22715502141117e-05,1.34987052355229e-05,1.48485757590752e-05,1.63334333349827e-05,1.7966776668481e-05,1.97634543353291e-05,2.17397997688621e-05,2.39137797457482e-05,2.63051577203231e-05,2.89356734923554e-05,3.18292408415909e-05,3.501216492575e-05,3.85133814183251e-05,4.23647195601575e-05,4.66011915161733e-05,5.12613106677907e-05,5.63874417345697e-05,6.20261859080267e-05,6.82288044988295e-05,7.50516849487124e-05,8.25568534435835e-05,9.0812538787942e-05,9.98937926667361e-05,0.000109883171933409,0.00012087148912675,0.000132958638039425,0.000146254501843368,0.000160879952027705,0.000176967947230476,0.000194664741953523,0.000214131216148875,0.000235544337763763,0.000259098771540139,0.000285008648694154,0.00031350951356357,0.000344860464919927,0.000379346511411918,0.000417281162553111,0.000459009278808421,0.000504910206689264,0.00055540122735819,0.000610941350094011,0.000672035485103412,0.000739239033613752,0.000813162936975127,0.000894479230672639,0.000983927153739904,0.00108231986911389,0.00119055185602528,0.00130960704162781,0.00144056774579059,0.00158462452036965,0.00174308697240662,0.00191739566964728,0.00210913523661201,0.00232004876027321,0.00255205363630052,0.00280725899993058,0.00308798489992364,0.003396783389916
"96-107",6.85396887341436e-06,3.10940561651411e-05,1.69058439139089e-05,9.1917103681656e-06,4.99753457576481e-06,2.71716044518374e-06,1.47732062138684e-06,8.03219486815112e-07,4.36710579044029e-07,3.62287800195006e-07,3.98516580214506e-07,4.38368238235957e-07,4.82205062059552e-07,5.30425568265509e-07,5.83468125092059e-07,6.41814937601264e-07,7.05996431361392e-07,7.76596074497531e-07,8.54255681947283e-07,9.39681250142014e-07,1.03364937515621e-06,1.13701431267183e-06,1.25071574393902e-06,1.37578731833292e-06,1.51336605016621e-06,1.66470265518284e-06,1.83117292070112e-06,2.01429021277123e-06,2.21571923404835e-06,2.43729115745318e-06,2.68102027319851e-06,2.94912230051836e-06,3.24403453057019e-06,3.56843798362721e-06,3.92528178198993e-06,4.31780996018892e-06,4.74959095620782e-06,5.22455005182859e-06,5.74700505701146e-06,6.32170556271261e-06,6.95387611898388e-06,7.64926373088225e-06,8.41419010397048e-06,9.25560911436755e-06,1.01811700258043e-05,1.11992870283847e-05,1.23192157312232e-05,1.35511373043455e-05,1.49062510347801e-05,1.63968761382581e-05,1.80365637520839e-05,1.98402201272923e-05,2.18242421400216e-05,2.40066663540237e-05,2.6407332989426e-05,2.90480662883686e-05,3.19528729172054e-05,3.51481602089261e-05,3.86629762298187e-05,4.25292738528006e-05,4.67822012380805e-05,5.14604213618885e-05,5.66064634980777e-05,6.22671098478853e-05,6.84938208326738e-05,7.53432029159412e-05,8.28775232075354e-05,9.11652755282888e-05,0.000100281803081118,0.000110309983389229,0.000121340981728152,0.000133475079900968,0.000146822587891065,0.000161504846680171,0.000177655331348188,0.000195420864483007,0.000214962950931308,0.000236459246024438,0.000260105170626883,0.000286115687689571,0.000314727256458528,0.000346199982104381,0.000380819980314819,0.000418901978346301,0.000460792176180931,0.000506871393799024,0.000557558533178927,0.000613314386496819,0.000674645825146501,0.000742110407661152,0.000816321448427268,0.000897953593269992,0.000987748952596993,0.00108652384785669,0.00119517623264236,0.0013146938559066,0.00144616324149726,0.00159077956564698,0.00174985752221168,0.00192484327443285,0.00211732760187613
"108-119",5.81871012325424e-06,3.45293776855776e-05,1.87736288407176e-05,1.02072253678709e-05,5.54967026324381e-06,3.01735671749521e-06,1.64053738848474e-06,8.91960472360232e-07,4.84959068801185e-07,2.63672332687774e-07,2.11143652533108e-07,2.32258017786419e-07,2.55483819565061e-07,2.81032201521568e-07,3.09135421673724e-07,3.40048963841097e-07,3.74053860225207e-07,4.11459246247727e-07,4.526051708725e-07,4.97865687959751e-07,5.47652256755726e-07,6.02417482431297e-07,6.62659230674428e-07,7.2892515374187e-07,8.01817669116056e-07,8.81999436027664e-07,9.7019937963043e-07,1.06721931759347e-06,1.17394124935282e-06,1.2913353742881e-06,1.42046891171691e-06,1.56251580288861e-06,1.71876738317746e-06,1.89064412149521e-06,2.07970853364473e-06,2.28767938700921e-06,2.51644732571013e-06,2.76809205828114e-06,3.04490126410926e-06,3.34939139052018e-06,3.6843305295722e-06,4.05276358252941e-06,4.45803994078236e-06,4.9038439348606e-06,5.39422832834666e-06,5.93365116118132e-06,6.52701627729944e-06,7.1797179050294e-06,7.89768969553234e-06,8.68745866508557e-06,9.55620453159412e-06,1.05118249847535e-05,1.15630074832289e-05,1.27193082315518e-05,1.3991239054707e-05,1.53903629601777e-05,1.69293992561955e-05,1.8622339181815e-05,2.04845730999964e-05,2.25330304099961e-05,2.47863334509957e-05,2.72649667960953e-05,2.99914634757048e-05,3.29906098232754e-05,3.6289670805603e-05,3.99186378861632e-05,4.39105016747795e-05,4.83015518422574e-05,5.31317070264831e-05,5.84448777291316e-05,6.42893655020447e-05,7.07183020522492e-05,7.77901322574742e-05,8.55691454832215e-05,9.41260600315438e-05,0.000103538666034698,0.000113892532638168,0.000125281785901985,0.000137809964492183,0.000151590960941402,0.000166750057035542,0.000183425062739096,0.000201767569013005,0.000221944325914306,0.000244138758505737,0.00026855263435631,0.000295407897791942,0.000324948687571135,0.000357443556328249,0.000393187911961075,0.000432506703157181,0.0004757573734729,0.000523333110820189,0.000575666421902208,0.00063323306409243,0.000696556370501672,0.000766212007551841,0.000842833208307024,0.000927116529137727,0.0010198281820515,0.00112181100025665
