"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"0-23",0,0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0,0
"36-47",0,1,0,0,0,0,0,0,0,0,0
"48-59",1,0,0,0,0,0,0,0,0,0,0
"60-71",1,1,0,0,0,0,0,0,0,0,0
"72-83",2,0,1,0,0,0,0,0,0,0,0
"84-95",9,1,0,0,0,0,0,0,0,0,0
"96-107",4,7,1,0,0,0,0,0,0,0,0
"108-119",3,2,2,1,0,0,0,0,0,0,0
"120-131",2,2,1,1,0,0,0,0,0,0,0
"132-143",1,1,1,2,1,0,0,0,0,0,0
"144-155",1,1,1,1,0,0,0,0,0,0,0
"156-167",1,1,1,0,0,1,0,0,0,0,0
"168-179",1,0,1,0,0,0,0,0,0,0,0
"180-191",0,1,0,0,0,0,0,0,0,0,0
"192-203",1,0,0,0,1,0,0,0,0,0,0
"204-",1,0,1,0,0,0,0,0,0,0,0
