"","2002 Base","2002 lci","2002 uci","2003 Base","2003 lci","2003 uci","2004 Base","2004 lci","2004 uci","2005 Base","2005 lci","2005 uci","2006 Base","2006 lci","2006 uci","2007 Base","2007 lci","2007 uci","2008 Base","2008 lci","2008 uci","2009 Base","2009 lci","2009 uci","2010 Base","2010 lci","2010 uci","2011 Base","2011 lci","2011 uci","2012 Base","2012 lci","2012 uci"
"0-23",2.88860832655317,1.80585973348572,4.22156765331375,0.327860515763581,0.0537723615055662,0.844626369760138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00353316644625266,7.24324698904374e-77,0.0282058472857332,0.00236755109894326,1.40057387442487e-109,0.0153344701548247,0.00118308990674998,3.22301286213503e-217,0.00253733562341123
"24-29",14.3368693545877,8.9627374646237,20.9529560000914,8.10194266797936,5.03594534496127,12.3843525360295,0,0,0,1.02353161431191,0.337893786882018,2.08232790543681,0,0,0,0,0,0,0,0,0,0,0,0,0.0135705974848415,2.50221258517913e-76,0.132903351506611,0.0097592288971505,5.13467697663765e-109,0.0757658311908385,0.00487850065232483,1.11656150600284e-216,0.0124616590842352
"30-35",15.0296825869764,9.39578638531971,21.9655839860362,10.7704541104002,6.95646627058606,15.863836621201,0,0,0,1.43294426003668,0.473051301634825,2.91525906761153,0,0,0,0,0,0,0,0,0,0,0,0,0.0140588109200026,2.23882178722472e-76,0.136832667992019,0.0102228857092316,4.74390974365377e-109,0.0793065431616261,0.00510912336284143,1.00062386607398e-216,0.0130175187419363
"36-47",44.8971187605307,33.4047088257305,58.2386307208208,35.6588110148516,25.0380517196275,48.1291328276534,0,0,0,4.92353530091908,1.60629994253416,10.0656230328365,0,0,0,0,0,0,0,0,0,0,0,0,0.0136238797740367,1.01812209022211e-85,0.104364471436758,0.0109496293136426,7.70460306420364e-110,0.0668904483041392,0.00546124584723354,8.20837629230105e-219,0.00982127370969743
"48-59",87.7551132531733,70.4333939304681,106.969529121471,40.4493203561045,28.9617226823748,53.8278150086378,0,0,0,2.67369003524488,0.860099024457711,5.49731057311827,0,0,0,0,0,0,0,0,0,0,0,0,0.0079749624649653,1.75716040527364e-196,0.0242504914586346,0.00706020011916563,2.80773489757454e-225,0.0159055336185706,0.00354004613444615,0,NA
"60-71",122.982206698396,102.277867443255,145.579712671563,63.0025282276708,48.6469625963122,79.2499471524541,22.5005433184197,16.6510928844102,29.2169363951197,0,0,0,1.30023369269236,0.251902301839059,3.19194210412524,0.554396906665882,0.0241963401101414,1.88668952686943,0,0,0,0,0,0,0.00948011921126387,1.20040930531268e-139,0.0428643098593324,0.00710451870108008,2.86047265039801e-221,0.016288611232363,0.00356597827555371,0,NA
"72-83",186.280555251505,160.68972345534,213.764915445119,93.9855515392768,75.9658419479386,113.898101727358,50.0328856547513,37.140011641967,64.8173226555394,0,0,0,2.20932448998127,0.343925129372691,5.88691459226132,1.93696383582921,0.272862744956529,5.39196981887519,0,0,0,0.673718917339047,0.0464446803278311,2.11656004787227,0.0130927700813212,5.5747399474031e-109,0.0899411598027556,0.00726881090905943,3.68434956350942e-221,0.0176526403404672,0.00357851211096499,0,NA
"84-95",245.994219909826,216.219279416568,277.662910698211,132.714951770765,111.267893373015,156.055223264151,63.3999397923515,48.8476316429172,79.8442960205169,0,0,0,1.21332692567921,0.0624509121423548,4.10444652369699,2.4401788241285,0.402412927658021,6.30593694898965,0.897105548735157,0.104985627983445,2.5196515534704,1.19517435434792,0.0611892470864291,4.06440079906313,0.0154317414016929,6.50755555991787e-101,0.124121014510514,0.00751845963472884,8.19854071435934e-206,0.0199405878087426,0.00364473468418592,0,NA
"96-107",250.718572662287,220.645908683686,282.684997965721,170.859197283383,146.200720835147,197.411180564765,95.8310192258976,77.7075066796763,115.847351058061,22.525216116267,16.672310361692,29.2450659267463,1.22766873333904,0.0693004495637811,4.12423534013434,1.63803083461761,0.157072895085601,4.90263377420132,2.09932667184494,0.275632512449208,5.74069260546791,0.471499467480837,0.00744554833575866,1.84719558673922,0.0157259303087825,7.69080001687058e-101,0.12852854493311,0.00767052870839754,9.68918449504777e-206,0.0212951264694679,0.00371431053526996,0,NA
"108-119",230.034252141797,201.278139569199,260.684075618931,170.330576534892,145.712635444371,196.842021757216,82.6587739534511,66.3165962920614,100.893127091771,38.3500827862229,27.3369468738535,51.2535388713402,3.95900267732321,1.28861228055396,8.45756167133185,2.39331495775642,0.48454967924564,6.09863451377119,1.72476944946915,0.195158832399971,5.03572868245672,0,0,0,0.0145759922284653,6.21689589639847e-106,0.111362460040247,0.00706622140249885,1.6923996672073e-215,0.0161444497172437,0.00343555075216486,0,NA
"120-131",202.923155759338,175.978697877609,231.761243921759,134.454772535988,112.882429137965,157.920331844969,33.7658968476937,23.4574583947903,45.9642312638084,24.8769839850435,16.0810789116116,35.561635176273,7.27039591821006,2.98892903316348,13.4263666013129,4.38245756037911,1.29780366906853,9.32698325124173,1.13941469527475,0.0428415152988253,3.97502813242273,0,0,0,0.0125728740387458,5.02043849566923e-118,0.0823277684566954,0.00603013534187032,1.06459851490236e-244,0.00895112352425705,0.00293275899108003,0,NA
"132-143",189.54888443956,163.524350923353,217.467003860396,76.0705589653066,60.1491654782349,93.8842659737339,25.0702990574717,16.237797175065,35.7915840960574,23.9024733914072,15.2993552875703,34.3941131823331,6.8422641623667,2.73419372127309,12.822996158112,2.73518016415415,0.894404345264509,5.58637098615391,1.17644245056655,0.0478510557361642,4.05015579781959,0,0,0,0.0100526987553763,4.99506872971899e-144,0.0486079096128025,0.00483096308903816,4.92533351566404e-299,NA,0.00233425922044541,0,NA
"144-155",211.651956266712,184.134063240501,241.063503783471,66.4284948201918,51.5474820474521,83.2016177282929,28.8980490602042,19.3507522852754,40.3348345337456,18.7432387352406,11.3358295548468,28.03679664781,7.20715727415302,2.98366125427359,13.3038075252041,1.59656394057104,0.383674416378639,3.65787083938267,1.30140180981604,0.0715613162571822,4.29013898097921,0,0,0,0.00849356965001713,5.97335926659282e-186,0.0295685365329161,0.00404142839013027,0,NA,0.00193062718900675,0,NA
"156-167",199.176074392149,172.612840634719,227.632900161577,83.1266347243214,66.2228388817939,101.923090330505,27.6747787117285,18.3783576533656,38.8603683020626,6.94843499569522,3.68170792719694,11.2353311365846,7.43386733685578,3.13069600864253,13.6107276326521,3.82283805113795,1.00560519173161,8.4949100610914,1.07150060083949,0.0577914944007657,3.7667991084352,0.0591879226100703,1.11709018613985e-13,0.530973781750627,0.00651966578079072,1.05999975596095e-194,0.0156494399014527,0.00306373894145703,0,NA,0.00144218801712798,0,NA
"168-179",93.7092015952488,77.4288044009431,111.880178443288,46.4408478124542,35.8166912824761,58.9452770803649,14.1433087498338,8.26584473897492,21.8951929693945,1.0438373777389,0.153215420123783,2.77088251394174,3.25142423341808,1.02351433994121,7.22222643294976,2.37433953125498,0.652566662654897,5.5993506377894,0.312999209675729,0.000750027612317403,1.47237473883377,0.0791148790619863,1.3201974944833e-13,0.715844018272601,0.00254540429330202,0,NA,0.00120749460541371,0,NA,0.000562809259670015,0,NA
