"","2002 Base","2002 lci","2002 uci","2003 Base","2003 lci","2003 uci","2004 Base","2004 lci","2004 uci","2005 Base","2005 lci","2005 uci","2006 Base","2006 lci","2006 uci","2007 Base","2007 lci","2007 uci","2008 Base","2008 lci","2008 uci","2009 Base","2009 lci","2009 uci","2010 Base","2010 lci","2010 uci","2011 Base","2011 lci","2011 uci","2012 Base","2012 lci","2012 uci"
"0-23",2.88860832655317,1.80585973348572,4.22156765331375,0.983581547290742,0.408321884155036,1.80734242293782,0.657140110542211,0.212089839724361,1.34933426394654,0.309522239953958,0.047033438162014,0.814126626665619,0.148067698358584,0.00521635326960541,0.520989896594873,0.0699778497748612,9.7768782698788e-05,0.342942906580403,1.68406589989104,0.0860251705881999,6.53456952665544,0.816012166078469,0.00855518967780788,4.30841708041821,0.407902882972388,0.000269183937799692,2.86353177307036,0.200529061723517,3.38511230485796e-07,1.78517801734306,0.0998168365731695,1.13833333869023e-12,1.00909976449758
"24-29",22.4303707508189,15.7905592357471,30.3129677346007,3.39782714785019,1.41056650245718,6.24354652345283,5.69359702466803,2.7311837202147,9.88701636959402,1.61177961587304,0.262230471309501,4.16519164824852,1.2402761344035,0.200750181264716,3.44522609398289,0.585612178879972,0.0325888051740283,2.19991217911144,1.50841058875251,0.226019146696731,3.99096837251508,0.779333689597936,0.0331096634722116,2.67337194444952,0.380453197533792,0.00102632715134013,1.78726837588679,0.182900778109572,1.19717783284342e-06,1.19686651074945,0.0914376752414675,3.93743234035038e-12,0.797034558340431
"30-35",26.3605845416999,18.9547368648924,35.0696004143492,3.04016113267762,1.26208581815016,5.58633110064923,6.82402764708818,3.45346403528386,11.4866213043806,1.71623446416561,0.285027931798663,4.41024729327195,1.47794115226903,0.271945346289126,3.91395235278859,0.69771389504691,0.0454536762782926,2.48128579850381,1.54520821018901,0.224703658358699,4.12252848467458,0.800796552321432,0.0324476116984022,2.76985916640048,0.390906126530833,0.000967720179283092,1.85290306962337,0.187870145956172,1.0851932813554e-06,1.24027833348965,0.0939022048415307,3.52549618575752e-12,0.824568844521837
"36-47",65.9402223907316,51.1570454306513,82.5746612305449,20.7273697442977,15.1314247105542,27.1901469777148,28.1502724360744,19.0691814067788,39.078902213421,7.90695834804857,3.82622730722755,13.8068017981548,5.90434483166178,2.28407742557243,11.3490516612888,2.75986046225923,0.599877114722831,6.70660019156804,2.22459361163136,0.334221338436906,5.89806586117785,1.12969270761012,0.0458793280988485,3.91504149720469,0.565924460791184,0.00182653574447365,2.65458941660791,0.274059771695496,4.02985970531684e-06,1.78346453037464,0.13661105237449,3.9373162028209e-11,1.18545030675638
"48-59",87.7551132531733,70.4333939304681,106.969529121471,60.905737411206,46.7282935382469,76.9750535048645,52.0085050780226,38.9208210348838,66.9877400180814,21.1941093317646,13.3010567457355,30.9739875594218,10.8943981857656,5.45445773241054,18.2150883465969,5.02075223890898,1.65843040776952,10.2468626946912,2.93575423190403,0.595476945977536,7.11748516222744,1.39945240964786,0.0879041274529052,4.48276386036589,0.736407807972473,0.00652407686247527,3.10295535476433,0.35424397608983,2.95131379408081e-05,2.07989388816617,0.177757647062652,2.04417290816861e-09,1.40779194953438
"60-71",122.982206698396,102.277867443255,145.579712671563,82.7244788394775,65.8673572095907,101.47424969885,53.6182256001525,40.3156088105676,68.8124703538437,35.3419077568395,24.7112991601868,47.8628002637239,14.8503664027442,8.29412856037309,23.2914099423897,6.8388497358838,2.72158191328343,12.8291666163286,3.92248594161152,1.06688203821232,8.63294265635087,1.82463490858519,0.199797239181484,5.25043050196373,0.992558529906074,0.0289851444772842,3.66076654962941,0.480370268589781,0.000757794354693375,2.4446914111909,0.240761076196167,1.11793418914995e-06,1.66966376252532
"72-83",125.620505923655,104.688824231416,148.445375887681,93.9855515392768,75.9658419479386,113.898101727358,50.2039385846318,37.3477101044459,64.9516426645551,46.6683526719187,34.2674146108529,60.9606243766111,19.1549772052702,11.5832523149696,28.613597068814,7.93506471190055,3.41257898457091,14.3338784059763,5.23118978835589,1.76055075993787,10.5678994316389,1.75746109253709,0.191812811275777,5.11415720143856,1.33120363122335,0.0758768266263156,4.34995014135758,0.672767667795072,0.00432403196626843,2.94924920858894,0.330667397327342,1.89207917418508e-05,2.00077393052637
"84-95",102.264513558794,83.4080852645465,123.013910996568,73.7694559140637,58.326977742765,91.103927318801,62.9451446723045,48.3664865994559,79.4159284253099,53.269359631224,39.9351681144255,68.4952809076543,23.1242572912992,14.6808067537396,33.4560219363413,8.99775294332641,4.11976850047397,15.7541613057532,5.20903302588499,1.75167708222421,10.5321054201908,1.61671774928217,0.150900237556922,4.86549417862582,1.54109329675886,0.117520664348056,4.75004020771622,0.802322308236694,0.00940979465665892,3.25736431061554,0.388939050339071,5.9548244595959e-05,2.19050652706388
"96-107",101.398629381134,82.6260264239063,122.064190206938,29.9529562579299,20.3791611492158,41.4157519736814,35.6965445261395,27.6020501997927,44.8159956380086,29.7425406888151,22.4005378157096,38.109273557491,23.1756566940031,14.7222234316137,33.5174147956946,9.99505371812094,4.79212826771095,17.0781613166231,4.21689576894566,1.20276618285222,9.09009012805927,2.4175653273728,0.394125033767803,6.26833662775609,1.58330100668736,0.127106584431841,4.82840708979608,0.826159535080879,0.0107421545457359,3.31161611563612,0.400055388826744,7.40855845615803e-05,2.22480490114478
"108-119",95.5284383000402,77.3495685448715,115.60017460879,10.0669996672877,6.02256197831709,15.1334731403526,7.15411924645472,4.05678217209543,11.1155880419636,6.35341026780971,3.46148007563634,10.1089432577983,18.239223986681,10.9077801513866,27.4569142412219,8.31299528001243,3.70134383373986,14.80066875428,4.16860995684495,1.17767393055458,9.01817791801052,2.69786814978,0.49416742568805,6.73829359100569,1.48824655404803,0.105903440172161,4.65127767882969,0.770123269624992,0.00773512557147275,3.18339725393825,0.37443623664376,4.29002796881043e-05,2.14521139102558
