"","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"0-23",0,0,0,0,0,0,0,0,0,0
"24-29",0,0,0,0,0,0,0,0,0,0
"30-35",0,0,0,0,0,0,0,0,0,0
"36-47",0,0,0,0,0,0,0,0,0,0
"48-59",0,0,0,0,0,0,0,0,0,0
"60-71",0,0,0,0,0,0,0,0,0,0
"72-83",0,0,0,0,0,0,0,0,0,0
"84-95",0,0,0,0,0,0,0,0,0,0
"96-107",0,0,0,0,0,0,0,0,0,0
"108-119",0,0,0,0,0,0,0,0,0,0
"120-131",0,0,0,0,0,0,0,0,0,0
"132-143",0,0,0,0,0,0,0,0,0,0
"144-155",0,0,0,0,0,0,0,0,0,0
"156-167",0,0,0,0,0,0,0,0,0,0
"168-179",0,0,0,0,0,0,0,0,0,0
"180-191",0,0,0,0,0,0,0,0,0,0
"192-203",0,0,0,0,0,0,0,0,0,0
"204-",0,0,0,0,0,0,0,0,0,0
