"","2003 Base","2003 lci","2003 uci","2004 Base","2004 lci","2004 uci","2005 Base","2005 lci","2005 uci","2006 Base","2006 lci","2006 uci","2007 Base","2007 lci","2007 uci","2008 Base","2008 lci","2008 uci","2009 Base","2009 lci","2009 uci","2010 Base","2010 lci","2010 uci","2011 Base","2011 lci","2011 uci","2012 Base","2012 lci","2012 uci"
"0-23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
"24-29",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
"30-35",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
"36-47",1,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
"48-59",1,0,4,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
"60-71",2,0,6,1,0,4,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA
"72-83",2,0,4,2,0,5,1,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,NA,0,0,NA,0,0,NA
"84-95",0,0,0,3,1,7,2,0,5,0,0,1,0,0,2,0,0,1,0,0,2,0,0,NA,0,0,NA,0,0,NA
"96-107",6,3,10,5,2,10,1,0,3,0,0,1,0,0,2,0,0,2,0,0,1,0,0,NA,0,0,NA,0,0,NA
"108-119",13,7,21,7,3,13,0,0,0,1,0,3,0,0,2,0,0,2,0,0,0,0,0,NA,0,0,NA,0,0,NA
"120-131",13,7,21,4,2,7,2,0,4,2,0,5,1,0,3,0,0,2,0,0,0,0,0,NA,0,0,NA,0,0,NA
"132-143",11,5,18,0,0,0,3,1,8,2,0,5,1,0,3,0,0,2,0,0,0,0,0,NA,0,0,NA,0,0,NA
"144-155",9,4,16,2,1,5,3,0,7,2,0,5,0,0,2,0,0,2,0,0,0,0,0,NA,0,0,NA,0,0,NA
"156-167",6,2,12,4,1,8,2,0,6,1,0,4,0,0,2,0,0,2,0,0,0,0,0,NA,0,0,NA,0,0,NA
"168-179",2,1,6,1,0,4,1,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,NA,0,0,NA,0,0,NA
"180-191",0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,NA
"192-203",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
"204-",0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA
