"","2003 Base","2003 lci","2003 uci","2004 Base","2004 lci","2004 uci","2005 Base","2005 lci","2005 uci","2006 Base","2006 lci","2006 uci","2007 Base","2007 lci","2007 uci","2008 Base","2008 lci","2008 uci","2009 Base","2009 lci","2009 uci","2010 Base","2010 lci","2010 uci","2011 Base","2011 lci","2011 uci","2012 Base","2012 lci","2012 uci"
"0-23",0.0819067424617549,0.000283943834989907,0.373754609371252,0.0632636794330557,4.52756091453608e-05,0.324614910474444,0.0364432033588327,1.35716804014412e-07,0.239963597375202,0.0231359552313813,5.65102841922815e-11,0.184870142971922,0.013989042239829,5.36840519717246e-17,0.134474282276878,0.393636732768123,2.2952467715596e-05,2.86643239452243,0.228918744570316,7.19278355173777e-08,2.01115130332896,0.121879798559782,2.08849796039019e-12,1.23209996418403,0.0661026946543142,6.27322958927961e-22,0.684118312899045,0.0359391916570267,1.5600227733922e-38,0.321558377731864
"24-29",0.583606471080072,0.0227058873053608,2.22721604432135,0.451132163917087,0.00930572341420478,1.92606298724912,0.174778625878641,5.06350795506728e-07,1.16794801338138,0.162962753142704,2.07254514005342e-05,1.09270924091104,0.0956343740717522,2.25743017059055e-08,0.797308010257881,0.242909743334029,7.77507161164525e-05,1.38205063220839,0.144996267383306,2.48432979340712e-07,1.03337057937521,0.0835445370829108,7.2148110939653e-12,0.73885237411792,0.043984705385404,2.16711566639941e-21,0.466244040881383,0.0241087671125881,5.38916955619715e-38,0.269008957767091
"30-35",0.6740845642643,0.0312926311724445,2.46573078336605,0.521161153184744,0.0129489862624846,2.1298876138554,0.181080121581477,4.72003602383658e-07,1.21628166895992,0.187765096371354,2.9015533324616e-05,1.20711050745339,0.109470886453457,3.16040222945646e-08,0.881512468239479,0.238543241530742,6.95679673661101e-05,1.3935693669476,0.1422254013415,2.22282146290015e-07,1.03842211431446,0.0820075044638204,6.45535729543289e-12,0.738691282431747,0.043142356473012,1.93899822808018e-21,0.460442194045123,0.0236525496843777,4.82188855090119e-38,0.261069446163977
"36-47",2.32029902315989,0.413121467009092,6.00191384984322,1.60087927574658,0.16059223950749,4.7823336295901,0.650612901198876,0.0196114133573334,2.70628398813547,0.654765408068465,0.00971085686719961,2.83007158152449,0.371026710558075,0.000403539388241467,2.06717921709878,0.238857924783728,7.00929842245286e-07,1.65129034178815,0.141539791200858,9.16799258441574e-11,1.21183204386606,0.0771322266217046,9.67620689419876e-20,0.805046357884755,0.04074225766458,7.50558260215041e-36,0.465156901399625,0.0223410501781587,1.91255958092416e-64,0.228942599156998
"48-59",4.1909933983318,1.21109867314377,9.02790774414079,2.75176304866692,0.53498775286702,6.80310165697,1.56922573997008,0.14492626031924,4.768885149016,1.05757034164678,0.0332473528630195,3.80525967766885,0.693193325541571,0.00685912359463657,2.98600931246131,0.360692011900931,0.000101607847904142,2.08706355922453,0.215034834787076,3.64538210791253e-07,1.56131339311049,0.114627104158622,3.96633719364025e-12,1.05664987524452,0.0597880570567071,1.81523082326463e-22,0.65289972347838,0.033108117294856,3.20109597115053e-39,0.368338497423754
"60-71",6.10727974432941,2.28285785555847,11.8016516425054,3.9658109283262,1.08286398543511,8.70462228182556,2.53576238166331,0.443711389800217,6.45764482335485,1.60832621958169,0.154368899348603,4.84129357402708,0.925133626258846,0.0185233986598619,3.52815022358661,0.54963462453592,0.00164734026875402,2.6337138283626,0.318462884904963,1.87056214584051e-05,1.95626597281339,0.17447922214165,5.18513098632276e-09,1.38745683722885,0.0927873489231661,1.8905048212488e-15,0.919874261866414,0.0509487357668677,1.8514467642901e-27,0.571823475407575
"72-83",10.5328542076628,5.26006651432425,17.6847706179123,5.40082372561269,1.86580570720838,10.8024204197869,3.37826028655046,0.792016557517466,7.81363607335808,2.43690307619436,0.399125754732392,6.30311230784911,1.02057221840144,0.0277020192085566,3.73157063555431,0.733822915772499,0.00642053936923476,3.09682431354557,0.305901420919902,2.16179883683753e-05,1.90272280409642,0.225175893340327,1.09491468019548e-07,1.61569047776576,0.124734353837572,7.85817529585839e-13,1.13060851686894,0.0671952818727434,7.2082841359259e-23,0.72730846635246
"84-95",16.1362141263241,9.26072337693846,24.8972675241924,6.58814692866231,2.5594388343546,12.4893091458968,3.76388330461116,0.972153990923761,8.41020537563975,3.0550718944117,0.645674218602688,7.30839681012815,1.1884153167171,0.0518440670861098,4.06947412407426,0.723519109460834,0.00640145625414895,3.06972150221795,0.290125755517555,1.52562872921608e-05,1.84809075552073,0.264006390826193,8.32416233563399e-07,1.76867451905435,0.141210428616135,3.21928163212204e-12,1.22566733134685,0.0774130005772252,5.07875666868062e-21,0.81299796673577
"96-107",12.6197842142749,6.8698167317031,20.2491097495466,5.91292691480425,2.16890876212541,11.5259046554732,5.09314588858114,1.71787073668575,10.3315168348229,3.51579002557082,0.853711839581929,8.02925099562551,1.48244073994362,0.106548484999443,4.63729108123434,0.608197077777436,0.00193899951992684,2.79543660220512,0.424447829691411,0.000210098261080134,2.29190068873237,0.279235131758876,1.28762607643578e-06,1.82609563361869,0.144098308692975,4.78794224263707e-12,1.2413232862207,0.0804469327812934,7.95805623160338e-21,0.837076756990169
"108-119",5.68409193332365,2.01936699524663,11.2174123129533,4.29431185262926,1.24956978872336,9.19828553130758,6.6654645987942,2.60621312401066,12.5974702492711,3.25132591356028,0.740761196064683,7.60812219084813,1.45171360196092,0.102478379915198,4.57517535129924,0.69626931667418,0.00540539480987313,3.00433799289858,0.493814871067543,0.000446900434280053,2.49495664388857,0.254333856597009,5.65260072409423e-07,1.73135048265952,0.134106561230473,2.48008906008551e-12,1.18517543710236,0.0740475642037601,2.4309764795914e-21,0.785118965757232
"120-131",4.44944166409111,1.33928824080772,9.41954180843471,6.25683940082027,2.48104358223509,11.8980814521568,4.36864496432682,1.48990376800882,9.08185773964831,2.19279420002772,0.326443205061255,5.87458450547234,0.974121878016593,0.0310186516583224,3.60800904342358,0.756893940191792,0.00722449980514237,3.15205562062941,0.501440957283645,0.000502411139620009,2.51586963290942,0.218861309325499,4.63739653972178e-08,1.59078922091634,0.111359672281678,2.90274243149693e-14,1.04909080276707,0.0626154937131995,5.81339291123129e-25,0.687319893270846
"132-143",2.86624550732207,0.595230410244815,6.97191705036546,8.09965359318687,3.53662496838925,14.5389209800579,1.27856945137218,0.0769156466335001,4.22633297499195,1.32820728757572,0.0827561938812176,4.32987060571946,0.839633899173739,0.0147337390422646,3.32930157331917,0.616767014254766,0.00266087144924569,2.81097739230991,0.464813410546084,0.000336498424081779,2.41150497235561,0.193646638894242,5.59510082332816e-09,1.48198540367388,0.0920084907506968,1.48722435421106e-17,0.921614602118582,0.0536485403835255,2.14674555501139e-29,0.603297639017619
"144-155",1.99325239349336,0.240114155159467,5.55993031726462,4.04616670633852,1.43614223234373,8.44436192711323,0.722549760042325,0.00967275904574228,3.04419733250158,0.857821132962369,0.0160041530448833,3.36960666097011,1.01215706963449,0.0266219272465761,3.71438488091203,0.50368334448876,0.00054137509691419,2.52140291771247,0.424895277008695,0.000129133424457644,2.2989492062668,0.200147593051154,2.03087650286386e-08,1.50893437405256,0.0984122508304759,2.76272322185015e-15,0.962476788321405,0.056373113097313,2.72937418674059e-26,0.627978282868344
"156-167",1.84588221268275,0.198497930607276,5.29840448539378,0.866330036843016,0.0135144004360333,3.40083680195484,0.295011692506604,0.000234525654787225,1.6629327521731,0.564446718265746,0.00209737404207987,2.66829976524105,0.772957199253472,0.0141966189684063,3.15370173905496,0.408809784748901,0.000194997687954998,2.24069385564295,0.335043744487623,8.30133820056104e-05,1.98802651934991,0.182771324777404,2.34311172702419e-08,1.41826783366145,0.0949390851917614,3.26498440784706e-15,0.932537774112989,0.052861535790846,3.22562377368256e-26,0.587832305618065
"168-179",0.979547749676528,0.0795714131008522,3.32611941080962,0.501958559455626,0.00628345088944504,2.26682818784689,0.0337517105949945,6.22140114531444e-27,0.371471654347914,0.258862158189657,7.70976209547411e-05,1.54296605480642,0.293219577411635,0.000263008301840956,1.61812471241185,0.199664246325041,4.59873309447561e-06,1.34096252287364,0.12949994859313,1.65106511116237e-08,0.979257151934741,0.0805209327465555,4.84585130173926e-13,0.705796485990557,0.0428247753178428,1.77851448521812e-23,0.429697672019607,0.0235584658435475,1.07399659739011e-41,0.246551028007818
"180-191",0.105134946987251,1.42965421569417e-10,0.883999027722156,0.0556258341193291,8.27303067587795e-17,0.539443029890522,0,0,0,0.0360049930618347,1.32633862786843e-29,0.374759278074381,0.0299568329953258,1.8650435060943e-33,0.311288830365788,0.0316188752727319,1.09689144816349e-32,0.327434152410731,0.0147418478425847,9.72069850577753e-67,0.139728136544126,0.00981337684116812,1.49520293973094e-102,0.0703477724223663,0.00519224450137841,1.3222088831756e-192,0.015301049687963,0.00285754104211329,0,NA
"192-203",0.0195764428749487,3.2004068594164e-59,0.185541790825461,0,0,0,0,0,0,0.00798779866272918,1.60520309168751e-136,0.0389769933646112,0.00479049213941745,2.00240541818698e-243,0.00675605565067009,0.00554575715600635,3.49395348946599e-183,0.0178454851102242,0.00204325990377023,0,NA,0.00156296016677192,0,NA,0.000830323256147647,0,NA,0.000454092979510785,0,NA
"204-",0.00544992146075493,1.81211705717518e-160,0.0259511671197829,0,0,0,0,0,0,0.00313952244979007,0,NA,0.00216937272966918,0,NA,0.00138414400032875,0,NA,0.000568082006468322,0,NA,0.000140510684163989,0,NA,8.58026360990556e-05,0,NA,4.79323236607457e-05,0,NA
"p1",0,0,0,0,0,0,0,0,0,0.00151311198668188,0,NA,0.000877524542448466,0,NA,0.000551658727856319,0,NA,0.000283724141209931,0,NA,4.32359006859689e-05,0,NA,2.70563507524988e-05,0,NA,1.58873861774158e-05,0,NA
"p2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
