"","HS detected","HS detected 2.5th","HS detected 97.5th","ES detected","ES detected 2.5th","ES detected 97.5th","HS infected","HS infected 2.5th","HS infected 97.5th","ES infected","ES infected 2.5th","ES infected 97.5th","HS missed","HS missed 2.5th","HS missed 97.5th","ES missed","ES missed 2.5th","ES missed 97.5th"
"0-23","  0","  0","  0","  0","  0","  0","0.1","1.1e-12","  1","0.0012","3.2e-217","0.0025","0","0","1","0","0","0"
"24-29","  0","  0","  0","  0","  0","  0","0.091","3.9e-12","0.8","0.0049","1.1e-216","0.012","0","0","1","0","0","0"
"30-35","  0","  0","  0","  0","  0","  0","0.094","3.5e-12","0.82","0.0051","1e-216","0.013","0","0","1","0","0","0"
"36-47","4e-07","  0","NA","8.9e-09","  0","NA","0.14","3.9e-11","1.2","0.0055","8.2e-219","0.0098","0","0","NA","0","0","NA"
"48-59","7.4e-06","  0","NA","1.3e-07","  0","NA","0.18","2e-09","1.4","0.0035","  0","NA","0","0","NA","0","0","NA"
"60-71","0.0015","  0","NA","1.9e-05","  0","NA","0.24","1.1e-06","1.7","0.0036","  0","NA","0","0","NA","0","0","NA"
"72-83","0.0067","4.3e-240","0.013","6.8e-05","  0","NA","0.33","1.9e-05","  2","0.0036","  0","NA","0","0","2","0","0","NA"
"84-95","0.011","1.3e-146","0.06","0.0001","  0","NA","0.39","6e-05","2.2","0.0036","  0","NA","0","0","2","0","0","NA"
"96-107","0.0098","1.9e-164","0.045","9.1e-05","  0","NA","0.4","7.4e-05","2.2","0.0037","  0","NA","0","0","2","0","0","NA"
"108-119","0.0068","1.4e-236","0.014","6.3e-05","  0","NA","0.37","4.3e-05","2.1","0.0034","  0","NA","0","0","2","0","0","NA"
"120-131","0.004","  0","NA","3.6e-05","  0","NA","0.33","1.3e-05","  2","0.0029","  0","NA","0","0","NA","0","0","NA"
"132-143","0.002","  0","NA","1.7e-05","  0","NA","0.27","1.9e-06","1.8","0.0023","  0","NA","0","0","NA","0","0","NA"
"144-155","0.001","  0","NA","8.1e-06","  0","NA","0.25","4.2e-07","1.7","0.0019","  0","NA","0","0","NA","0","0","NA"
"156-167","0.00054","  0","NA","3.5e-06","  0","NA","0.22","3.9e-07","1.6","0.0014","  0","NA","0","0","NA","0","0","NA"
"168-179","0.00015","  0","NA","8.5e-07","  0","NA","0.1","1.1e-10","0.84","0.00056","  0","NA","0","0","NA","0","0","NA"
"180-191","1e-05","  0","NA","3.6e-08","  0","NA","0.013","5e-76","0.12","5.1e-05","  0","NA","0","0","NA","0","0","NA"
"192-203","9.7e-07","  0","NA","4.9e-08","  0","NA","0.0024","  0","NA","0.00021","  0","NA","0","0","NA","0","0","NA"
"204-","8e-08","  0","NA","6.8e-08","  0","NA","0.00044","  0","NA","0.0004","  0","NA","0","0","NA","0","0","NA"
"p1","1.8e-08","  0","NA","2.2e-08","  0","NA","0.00016","  0","NA","0.0002","  0","NA","0","0","NA","0","0","NA"
"p2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
"p3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
"p4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
"p5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
"p6","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","0","0","0","0","0","0"
